"adap-org/9810007","Jordi Garcia-Ojalvo","J. Garcia-Ojalvo, J. Casademont, C.R. Mirasso, M.C. Torrent and J.M.
  Sancho","Coherence and synchronization in diode-laser arrays with delayed global
  coupling","8 pages, LaTeX, 6 PS figures, to appear in International Journal of
  Bifurcation and Chaos",,"10.1142/S021812749900167X",,"adap-org cond-mat nlin.AO physics.optics",,"  The dynamics of a semiconductor-laser array whose individual elements are
coupled in a global way through an external mirror is numerically analysed. A
coherent in-phase solution is seen to be preferred by the system at
intermediate values of the feedback coupling strength. At low values of this
parameter, a strong amplification of the spontaneous emission noise is
observed. A tendency towards chaos synchronization is also observed at large
values of the feedback strength.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:39:18 GMT""}]","2015-06-24"
"cond-mat/9810384","van Ruitenbeek","B. Ludoph, M.H. Devoret, D. Esteve, C. Urbina and J.M. van Ruitenbeek","Evidence for saturation of channel transmission from conductance
  fluctuations in atomic-size point contacts","An error in Eq.(2) was corrected, where a square root was added to
  the factor (1-cos(gamma)). This results in a revised estimate for the mean
  free path of 5 nm, which is now fully consistent with the estimates from the
  series resistance and the thermopower","Phys. Rev. Lett. 82 (1999) 1530","10.1103/PhysRevLett.82.1530",,"cond-mat.mes-hall",,"  The conductance of atomic size contacts has a small, random, voltage
dependent component analogous to conductance fluctuations observed in diffusive
wires (UCF). A new effect is observed in gold contacts, consisting of a marked
suppression of these fluctuations when the conductance of the contact is close
to integer multiples of the conductance quantum. Using a model based on the
Landauer-Buettiker formalism we interpret this effect as evidence that the
conductance tends to be built up from fully transmitted (i.e., saturated)
channels plus a single, which is partially transmitted.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 16:57:55 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jul 1999 13:22:48 GMT""}]","2009-10-31"
"cond-mat/9810385","Max Petersen","Chris G. van de Walle, Catherine Stampfl, and Joerg Neugebauer","Theory of Doping and Defects in III-V Nitrides","7 pages, 2 figures. Other related publications can be found at
  http://www.rz-berlin.mpg.de/th/paper.html","J. Cryst. Growth Vol. 189/190, 505 (1998)","10.1016/S0022-0248(98)00340-6",,"cond-mat",,"  Doping problems in GaN and in AlGaN alloys are addressed on the basis of
state-of-the-art first-principles calculations. For n-type doping we find that
nitrogen vacancies are too high in energy to be incorporated during growth, but
silicon and oxygen readily form donors. The properties of oxygen, including
DX-center formation, support it as the main cause of unintentional n-type
conductivity. For p-type doping we find that the solubility of Mg is the main
factor limiting the hole concentration in GaN. We discuss the beneficial
effects of hydrogen during acceptor doping. Compensation of acceptors by
nitrogen vacancies may occur, becoming increasingly severe as x increases in
Al_x Ga_(1-x)N alloys.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 17:11:41 GMT""}]","2009-10-31"
"cond-mat/9810386","Greetje Jongen","D. Bolle, G. Jongen (Instituut voor Theoretische Fysica, K.U. Leuven,
  Belgium) and G.M. Shim (Department of Physics, Chungnam National University,
  R.O. Korea)","Parallel dynamics of extremely diluted symmetric Q-Ising neural networks","26 pages, LaTeX, including 5 figures","J.Stat.Phys.96, 861-882 (1999)","10.1023/A:1004662710179","KUL-TF-98/41","cond-mat.dis-nn",,"  The parallel dynamics of extremely diluted symmetric Q-Ising neural networks
is studied for arbitrary Q using a probabilistic approach. In spite of the
extremely diluted architecture the feedback correlations arising from the
symmetry prevent a closed-form solution in contrast with the extremely diluted
asymmetric model. A recursive scheme is found determining the complete time
evolution of the order parameters taking into account all feedback. It is based
upon the evolution of the distribution of the local field, as in the fully
connected model. As an illustrative example an explicit analysis is carried out
for the Q=2 and Q=3 model. These results agree with and extend the partial
results existing for Q=2. For Q>2 the analysis is entirely new. Finally,
equilibrium fixed-point equations are derived and a capacity-gain function
diagram is obtained.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 17:09:27 GMT""}]","2015-06-25"
"cond-mat/9810387","J. Eroles","C.D. Batista, A.A. Aligia and J. Eroles (Centro Atomico Bariloche -
  Instituto Balseiro)","Spin dynamics of hole doped Y2BaNiO5","4 pages, 2 figures","Europhys. Lett., 43 (1), pp. 71-76 (1998)","10.1209/epl/i1998-00321-x",,"cond-mat.str-el",,"  Starting from a multiband Hamiltonian containing the relevant Ni and O
orbitals, we derive an effective Hamiltonian $H_{eff}$ for the low energy
physics of doped Y$_{2}$BaNiO$_{5}.$ For hole doping, $H_{eff}$ describes O
fermions interacting with S=1 Ni spins in a chain, and cannot be further
reduced to a simple one-band model. Using numerical techniques, we obtain a
dynamical spin structure factor with weight inside the Haldane gap. The nature
of these low-energy excitations is identified and the emerging physical picture
is consistent with most of the experimental information in Y%
$_{2-x}$Ca$_{x}$BaNiO$_{5}$
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:48:50 GMT""}]","2009-10-31"
"cond-mat/9810389","Joan Soto","J. M. Roman, J. Soto (Univ. of Barcelona and IFAE)","Continuum Double Exchange Model","14 pages, LaTeX2e file, two eps included figures. Published version","Phys. Rev. B59 (1999) 11418","10.1103/PhysRevB.59.11418","UB-ECM-PF 98/19","cond-mat.str-el hep-th",,"  We present a continuum model for doped manganites which consist of two
species of quantum spin 1/2 fermions interacting with classical spin fields.
The phase structure at zero temperature turns out to be considerably rich:
antiferromagnetic insulator, antiferromagnetic two band conducting, canted two
band conducting, canted one band conducting and ferromagnetic one band
conducting phases are identified, all of them being stable against phase
separation. There are also regions in the phase diagram where phase separation
occurs.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 11:29:26 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jun 1999 18:38:37 GMT""}]","2009-10-31"
"cond-mat/9810390","Carlos P. Herrero","Carlos P. Herrero","Quantum atomic delocalization vs. structural disorder in amorphous
  silicon","5 pages, 5 PS figures, REVTEX",,"10.1209/epl/i1998-00533-6",,"cond-mat.dis-nn",,"  Quantum effects on the atom delocalization in amorphous silicon have been
studied by path-integral Monte Carlo simulations from 30 to 800 K. The quantum
delocalization is appreciable vs. topological disorder, as seen from structural
observables such as the radial distribution function (RDF). At low
temperatures, the width of the first peak in the RDF increases by a factor of
1.5 due to quantum effects. The overall anharmonicity of the solid vibrations
at finite temperatures in amorphous silicon is clearly larger than in the
crystalline material. Low-energy vibrational modes are mainly located on
coordination defects in the amorphous material.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:05:26 GMT""}]","2009-10-31"
"cond-mat/9810391","Marcus Kollar","N. Chandra, M. Kollar, D. Vollhardt","Nearly universal crossing point of the specific heat curves of Hubbard
  models","Revtex, 9 pages, 6 figures","Phys. Rev. B 59, 10541 (1999)","10.1103/PhysRevB.59.10541","EKM-TP3/15-98","cond-mat.str-el",,"  A nearly universal feature of the specific heat curves C(T,U) vs. T for
different U of a general class of Hubbard models is observed. That is, the
value C_+ of the specific heat curves at their high-temperature crossing point
T_+ is almost independent of lattice structure and spatial dimension d, with
C_+/k_B \approx 0.34. This surprising feature is explained within second order
perturbation theory in U by identifying two small parameters controlling the
value of C_+: the integral over the deviation of the density of states
N(\epsilon) from a constant value, characterized by \delta N=\int d\epsilon
|N(\epsilon)-1/2|, and the inverse dimension, 1/d.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:43:17 GMT""},{""version"":""v2"",""created"":""Tue, 20 Apr 1999 09:02:23 GMT""}]","2009-10-31"
"cs/9810027","Graham Kirby","G. N. C. Kirby, R. Morrison, D. W. Stemple","Linguistic Reflection in Java","25 pages. Source code for examples at
  http://www-ppg.dcs.st-and.ac.uk/Java/ReflectionExample/ Dynamic compilation
  package at http://www-ppg.dcs.st-and.ac.uk/Java/DynamicCompilation/","Software - Practice & Experience 28, 10 (1998) pp 1045-1077",,,"cs.PL",,"  Reflective systems allow their own structures to be altered from within. Here
we are concerned with a style of reflection, called linguistic reflection,
which is the ability of a running program to generate new program fragments and
to integrate these into its own execution. In particular we describe how this
kind of reflection may be provided in the compiler-based, strongly typed
object-oriented programming language Java. The advantages of the programming
technique include attaining high levels of genericity and accommodating system
evolution. These advantages are illustrated by an example taken from persistent
programming which shows how linguistic reflection allows functionality (program
code) to be generated on demand (Just-In-Time) from a generic specification and
integrated into the evolving running program. The technique is evaluated
against alternative implementation approaches with respect to efficiency,
safety and ease of use.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:30:59 GMT""}]","2007-05-23"
"gr-qc/9810086","Dr N. Mavromatos","John Ellis, N.E. Mavromatos and D.V. Nanopoulos","Time-Dependent Vacuum Energy Induced by D-Particle Recoil","14 pages LATEX, no figures","Gen.Rel.Grav.32:943-958,2000","10.1023/A:1001993226227","ACT-9-98, CTP-TAMU-39-98, OUTP-98-74P","gr-qc astro-ph hep-th",,"  We consider cosmology in the framework of a `material reference system' of D
particles, including the effects of quantum recoil induced by closed-string
probe particles. We find a time-dependent contribution to the cosmological
vacuum energy, which relaxes to zero as $\sim 1/ t^2$ for large times $t$. If
this energy density is dominant, the Universe expands with a scale factor $R(t)
\sim t^2$. We show that this possibility is compatible with recent
observational constraints from high-redshift supernovae, and may also respect
other phenomenological bounds on time variation in the vacuum energy imposed by
early cosmology.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 12:57:44 GMT""}]","2009-09-11"
"hep-lat/9810064","Artan Borici","Artan Borici","On the Neuberger overlap operator","Revised version: 16 pages, 5 figures, algorithm added","Phys.Lett.B453:46-53,1999","10.1016/S0370-2693(99)00318-4","PSI-PR-98-21","hep-lat",,"  We compute Neuberger's overlap operator by the Lanczos algorithm applied to
the Wilson-Dirac operator. Locality of the operator for quenched QCD data and
its eigenvalue spectrum in an instanton background are studied.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 16:25:49 GMT""},{""version"":""v2"",""created"":""Tue, 1 Jun 1999 11:10:35 GMT""}]","2011-07-19"
"hep-lat/9810065","Terrence Draper","Terrence Draper","Status of Heavy Quark Physics on the Lattice","LATTICE98(Plenary Review Talk), to be published in Nucl. Phys. Proc.
  Suppl.; LaTeX, 15 pages, 9 PostScript figures, uses espcrc2.sty","Nucl.Phys.Proc.Suppl.73:43-57,1999","10.1016/S0920-5632(99)85006-3","UK/98-17","hep-lat",,"  The status of lattice calculations of some phenomenology of heavy quarks is
presented. Emphasis is on progress made in calculating those quantities
relevant to estimating parameters of the quark mixing matrix, namely leptonic
decay constants, the bag parameter of neutral $B$ mixing, and semileptonic form
factors. New results from studies of quarkonia are highlighted.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:28:01 GMT""}]","2008-11-26"
"hep-ph/9810506","Pat Kalyniak","Stephen Godfrey, Tao Han and Pat Kalyniak","Discovery Limits for Techni-Omega Production in $e\gamma$ Collisions","LaTex file uses revtex, epsfig, 9 pages with 7 postscript figures","Phys.Rev. D59 (1999) 095006","10.1103/PhysRevD.59.095006","OCIP/C 98-02, MADPH-98-1066","hep-ph",,"  In a strongly-interacting electroweak sector with an isosinglet vector state,
such as the techni-omega, $\omega_T$, the direct $\omega_T Z \gamma $ coupling
implies that an $\omega_T$ can be produced by $Z \gamma$ fusion in $e\gamma$
collisions. This is a unique feature for high energy $e^+e^-$ or $e^-e^-$
colliders operating in an $e\gamma$ mode. We consider the processes $e^- \gamma
\to e^- Z\gamma$ and $e^- \gamma \to e^- W^+ W^-Z$, both of which proceed via
an intermediate $\omega_T$. We find that at a 1.5 TeV $e^+e^-$ linear collider
operating in an $e\gamma$ mode with an integrated luminosity of 200 fb$^{-1}$,
an $\omega_T$ can be discovered for a broad range of masses and widths.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 18:55:42 GMT""}]","2009-10-31"
"hep-ph/9810507","Aude Gehrmann","A. Gehrmann-De Ridder (TTP, Karlsruhe)","Photon Fragmentation at LEP","15 pages, LaTeX, 7 Postscript figures included, to appear in the
  proceedings of the workshop on photon interactions and the photon structure,
  Lund, September 10-13, 1998. The complete paper, including figures, is also
  available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ttp98/ttp98-38/ or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP98-38","hep-ph",,"  The production of final state photons in hadronic $Z$-boson decays can be
used to study the quark-to-photon fragmentation function $D_{q\to
\gamma}(z,\mu_{F})$. Currently, two different observables are used at LEP to
probe this function: the `photon' +~1 jet rate and the inclusive photon energy
distribution. We outline the results of a calculation of the `photon' +~1 jet
rate at fixed ${\cal O}(\alpha \alpha_{s})$, which yield a next-to-leading
order determination of the quark-to-photon fragmentation function $D_{q\to
\gamma}(z,\mu_{F})$. The resulting predictions for the isolated photon rate and
the inclusive photon spectrum at the same, fixed order, are found to be in good
agreement with experimental data. Furthermore, we outline the main features of
conventional approaches using parameterizations of the resummed solutions of
the evolution equation and point out deficiencies of these currently available
parameterizations in the large $z$-region. We finally demonstrate that the
ALEPH data on the `photon' +~1 jet rate are able to discriminate between
different parameterizations of the quark-to-photon fragmentation function,
which are equally allowed by the OPAL photon energy distribution data.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 18:22:05 GMT""}]","2007-05-23"
"hep-ph/9810508","Marcio Jose Menon","M.J. Menon","A conjecture on centauro species","3 pages, aps-revtex, 1 ps figure, presented at VI Hadron Physics -
  1998, Florianopolis, SC, March 1998",,,,"hep-ph hep-ex",,"  It is argued that Centauro events observed in cosmic ray experiments may be
characteristic of only pp and not p(bar)p interactions.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 19:18:55 GMT""}]","2007-05-23"
"hep-ph/9810509","Thomas Schaefer","Thomas Schaefer and Frank Wilczek (IAS, Princeton)","High Density Quark Matter and the Renormalization Group in QCD with two
  and three flavors","13 pages, 2 figures","Phys.Lett. B450 (1999) 325-331","10.1016/S0370-2693(99)00162-8","IASSNS-HEP-98-90","hep-ph nucl-th",,"  We consider the most general four fermion operators in QCD for two and three
massless flavors and study their renormalization in the vicinity of the Fermi
surface. We show that, asymptotically, the largest coupling corresponds to
scalar diquark condensation. Asymptotically the direct and iterated (molecular)
instanton interactions become equal. We provide simple arguments for the form
of the operators that diagonalize the evolution equations. Some solutions of
the flow equations exhibit instabilities arising out of purely repulsive
interactions.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 19:38:11 GMT""}]","2009-10-31"
"hep-ph/9810510","Sadek Wagdy Mansour","S. W. Mansour and T. K. Kuo","Solar Neutrinos and the Violation of Equivalence Principle","6 pages, 4 figures, submitted to Phys.Rev.D","Phys. Rev. D 60, 097301 (1999)","10.1103/PhysRevD.60.097301",,"hep-ph",,"  In this Brief Report, a non-standard solution to the solar neutrino problem
is revisited. This solution assumes that neutrino flavors could have different
couplings to gravity, hence, the equivalence principle is violated in this
mechanism. The gravity induced mixing has the potential of accounting for the
current solar neutrino data from several experiments even for massless
neutrinos. We fit this solution to the total rate of neutrino events in the
SuperKamiokande detector together with the total rate from other detectors and
also with the most recent results of the SuperKamiokande results for the
recoil-electron spectrum.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:38:59 GMT""}]","2016-08-25"
"hep-ph/9810511","Dan Pirjol","J\""urgen G. K\""orner and Dan Pirjol","Spin-Momentum Correlations in Inclusive Semileptonic Decays of Polarized
  $\Lambda_b$ Baryons","13 pages, 2 figures, more numerical results added; version published
  as Phys. Rev. D60, 014021 (1999)","Phys.Rev.D60:014021,1999","10.1103/PhysRevD.60.014021","MZ-TH/95-32","hep-ph",,"  We consider spin-momentum correlations between the spin of the bottom baryon
$\Lambda_{\mathrm{b}}$ and the momenta of its decay products in its inclusive
semileptonic decay. We define several polar and azimuthal spin-momentum
correlation measures in different event coordinate systems. The values of the
spin-momentum correlation measures are calculated up to ${\cal O}(1/m_b^2)$
using the standard OPE und HQET methods. Some of the measures turn out to be
sufficiently large to make them good candidates for a determination of the
polarization of the $\Lambda_{\mathrm{b}}$ in e.g. $\mathrm{Z}$ decays.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:46:16 GMT""},{""version"":""v2"",""created"":""Sat, 3 Jul 1999 14:12:57 GMT""}]","2011-02-22"
"hep-ph/9810512","Andrzej Czarnecki","Andrzej Czarnecki and William J. Marciano","Lepton anomalous magnetic moments - a theory update","8 pages; invited talk at the 5th International Workshop on Tau Lepton
  Physics (Tau'98), September 1998, Santander, Spain","Nucl.Phys.Proc.Suppl. 76 (1999) 245-252","10.1016/S0920-5632(99)00474-0","BNL-HET-98/43","hep-ph",,"  Standard Model contributions to the electron, muon, and tau lepton anomalous
magnetic moments, a_l=(g_l-2)/2, are reviewed and updated. The fine structure
constant is obtained from the electron g_e-2 and used to refine the QED
contribution to the muon g_mu-2. Recent advances in electroweak and hadronic
effects on g_mu-2 are summarized. Examples of ``New Physics'' probed by the
a_mu Brookhaven experiment E821 are outlined. The prediction for a_tau is also
given.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:58:26 GMT""}]","2009-10-31"
"hep-ph/9810513","Boris Kayser","Boris Kayser","Neutrino Mass: Where Do We Stand, and Where Are We Going?","To appear in the Proceedings of the 29th International Conference on
  High Energy Physics, Vancouver, July 1998. 6 pages, LaTeX, 1 figure as a .ps
  file, and 2 as .eps files",,,,"hep-ph",,"  We discuss the three major hints of neutrino mass: the strong evidence of
mass from the behavior of atmospheric neutrinos, the very promising further
hint from the behavior of solar neutrinos, and the so-far unconfirmed hint from
the LSND experiment. Then, we describe two illustrative neutrino-mass scenarios
suggested by the observed hints. We identify the needed future tests of both
the present hints and the neutrino-mass scenarios.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 22:36:32 GMT""}]","2007-05-23"
"hep-ph/9810514","Nick Evans","Nick Evans (Boston U.), Stephen Hsu (U. Oregon), Myckola Schwetz
  (Rutgers)","Non-Perturbative Couplings and Color Superconductivity","10 pages, LaTeX, 4 eps files, extra discussion","Phys.Lett. B449 (1999) 281-287","10.1016/S0370-2693(99)00093-3",,"hep-ph hep-th nucl-th",,"  Quark matter at sufficiently high density exhibits color superconductivity,
due to attractive gluonic interactions. At lower densities of order
$\Lambda_{QCD}^3$, it has been proposed that instanton generated vertices may
play an important role in the Cooper pair formation. We study the
renormalization group flow to the Fermi surface of the full set of couplings
generated by gluonic and instanton interactions. In earlier work we showed that
if the gluonic interactions dominate at the matching scale, their running
determines the scale of the Cooper pair formation Delta. Here we consider all
possibilities, including the one in which the instanton interactions dominate
all others at the matching scale. In the latter case we find that a number of
additional induced couplings (including the gluonic ones) reach their Landau
poles almost simultaneously with the instanton vertex. Presumably all
contribute to the Cooper pair formation. The most important consequence of
including all the couplings is a large increase in the gap size Delta.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 22:47:15 GMT""},{""version"":""v2"",""created"":""Wed, 20 Jan 1999 18:20:45 GMT""}]","2009-10-31"
"hep-ph/9810515","Hsien-Hung Shih","Hsien-Hung Shih, Shih-Chang Lee, Hsiang-nan Li","The $\Lambda_b\to pl{\bar\nu}$ decay in perturbative QCD","22 pages in Latex file, 6 figures in postscript files, figure fig6.ps
  changed","Phys.Rev. D59 (1999) 094014","10.1103/PhysRevD.59.094014","NCKU-HEP-98-10","hep-ph",,"  We develop perturbative QCD factorization theorems for the exclusive
semileptonic heavy baryon decay $\Lambda_b \to pl{\bar\nu}$, in which the
relevant hadronic form factor is expressed as the convolution of a hard
subamplitude with the $\Lambda_b$ baryon wave function and the proton wave
function. The specific evolution scale for the proton wave function, determined
from the best fit to the data of the proton form factor, is adopted. The
Sudakov resummation for a heavy-light system (the $\Lambda_b$ baryon) and the
quark-level decay diagrams with at least one hard gluon attaching the $b$
quark, which were ignored in the literature, are incorporated. It turns out
that these additional ingredients are important: the neglect of the former and
the latter reduces the results of the form factor by factors 1.5 and 3,
respectively. We present the predictions of the form factor and of the proton
energy spectrum for the various choices of the parameter involved in the
$\Lambda_b$ baryon wave function.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 03:31:33 GMT""},{""version"":""v2"",""created"":""Fri, 30 Oct 1998 06:57:57 GMT""}]","2009-10-31"
"hep-ph/9810516","V. Gogohia","V. Gogohia, H. Toki, T. Sakai and Gy. Kluge","Dynamical structure of the chiral QCD vacuum in the zero modes
  enhancement quantum model","Double spacing removed, some clarifications are done, some material
  is added, one reference is changed","Phys.Lett. B453 (1999) 281-288","10.1016/S0370-2693(99)00349-4",,"hep-ph",,"  Using the effective potential approach for composite operators we have
formulated the quantum model of the QCD vacuum. It is based on the existence
and importance of the nonperturbative $q^{-4}$-type dynamical, topologically
nontrivial excitations of the gluon field configuration. The QCD vacuum is
found stable since the vacuum energy density has no imaginary part. Moreover, a
possible ground (stationary) state of the nonperturbative Yang-Mills (quenched
QCD) vacuum is discovered. The vacuum energy density at stationary state
depends on a scale at which nonperturbative effects become important. The quark
part of the vacuum energy density depends in addition on the constant of
integration of the corresponding Schwinger-Dyson equation. The value of the
above mentioned scale is determined from the bounds for the pion decay constant
in the chiral limit. Our value for the chiral QCD vacuum energy density is one
order of magnitude bigger than the instanton based models can provide while a
fair agreement with recent phenomenological and lattice results for the chiral
condensate is obtained.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 07:54:25 GMT""},{""version"":""v2"",""created"":""Fri, 4 Dec 1998 06:00:21 GMT""}]","2009-10-31"
"hep-ph/9810517","Ma Bo-Qiang","Bo-Qiang Ma and Jacques Soffer","Quark Flavor Separation in $\Lambda$-Baryon Fragmentation","12 latex pages, accepted for publication in PRL","Phys.Rev.Lett. 82 (1999) 2250-2253","10.1103/PhysRevLett.82.2250","CPT-98/P.3706; BIHEP-TH-98-8","hep-ph hep-ex nucl-ex nucl-th",,"  It is shown that neutrino and antineutrino deep inelastic scattering of
unpolarized and polarized $\Lambda$ and $\bar{\Lambda}$ productions, can
provide a clean separation of unpolarized and polarized fragmentation functions
of a quark into a $\Lambda$, for both light-flavor quarks and antiquarks and
also for strange quarks. Combining with $\Lambda$ and $\bar{\Lambda}$
productions in polarized electron deep inelastic scattering, one can
systematically measure or check the various flavor and spin dependent
fragmentation functions. Such measurements can provide crucial tests of
different predictions concerning the spin structure of hadrons and the
quark-antiquark asymmetry of the nucleon sea.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 09:31:46 GMT""},{""version"":""v2"",""created"":""Thu, 24 Dec 1998 00:51:33 GMT""},{""version"":""v3"",""created"":""Tue, 9 Feb 1999 03:39:04 GMT""}]","2009-10-31"
"hep-ph/9810518","Elvio Disalvo","M. Conte, E. Di Salvo, A. Penzo and M. Pusterla","Perspectives for Direct CP Violation Tests in Hyperon Decays","8 pages, latex","NuovoCim.A111:1351-1357,1998","10.1007/BF03545800",,"hep-ph",,"  We discuss the perspectives of measuring direct CP violation parameters in
hyperon decays by measurements with proton and/or antiproton beams, to be
carried out at various facilities, and in particular we propose new experiments
at the Tevatron and at the LHC.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:03:16 GMT""}]","2022-03-02"
"hep-ph/9810519","Daniele Steer","A.Gomez Nicola and D.A.Steer","Thermal bosonisation in the sine-Gordon and massive Thirring models","34 pages, Latex. No figures","Nucl.Phys. B549 (1999) 409-449","10.1016/S0550-3213(99)00128-5","FT/UCM/1-98, DAMTP-1998-145","hep-ph hep-th",,"  We study bosonisation in the massive Thirring and sine-Gordon models at
finite temperature T and nonzero fermion chemical potential $\mu$. For that
purpose we use both canonical operator and path integral approaches, paying
particular attention to the issues of thermal normal ordering and
renormalisation. At T>0 and $\mu=0$, the massive Thirring model bosonises to
the sine-Gordon model with the same T=0 identification between coupling
constants. We prove that not only the partition functions of the two models
coincide, as was recently shown, but also that thermal averages of zero-charge
operators can be identified. In particular, analysis of the point-split
regularised fermion current then leads to the thermal equivalence between
sine-Gordon kinks and Thirring fermions. At $\mu \neq 0$, T>0 and working in
perturbation theory about the massless Thirring model, we show that the
bosonised theory is the sine-Gordon model plus an additional topological term
which accounts for the existence of net fermion charge excitations (the
fermions or the kinks) in the thermal bath. This result generalises one
recently obtained for the massless case, and it is the two-dimensional version
of the low-energy QCD chiral Lagrangian at finite baryon density.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 12:18:33 GMT""}]","2009-10-31"
"hep-ph/9810520",,"Yosef Nir","Flavor Physics and CP Violation","49 pages, harvmac, no figures, lectures given at the 1998 European
  School of High Energy Physics, University of St. Andrews, Scotland, August 23
  - September 5, 1998",,,"WIS-98/29/Oct-DPP","hep-ph hep-ex",,"  This is a written version of a series of three lectures aimed at graduate
students in the field of experimental high energy physics. The emphasis is on
physics that is relevant to $B$-factories. The main topics covered are: (i) The
flavor sector of the Standard Model; (ii) Determination of the mixing
parameters; (iii) CP violation in meson decays (a model independent
description); (iv) CP violation in the Standard Model; (v) CP violation as a
probe of new physics.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:04:02 GMT""}]","2007-05-23"
"hep-ph/9810521","Vladimir Eletsky","V.L. Eletsky(ITEP, Moscow), B.L. Ioffe (ITEP, Moscow), J.I. Kapusta
  (University of Minnesota)","Properties of $\rho$-mesons produced in heavy ion collisions","Invited talk at the Conference Baryons '98, Bonn, Sep. 22-26, 1998,
  to be published in Proceedings, 5 pages. Using LaTeX2.09, 4 eps figures,
  psfig.sty, b98proc.sty",,,,"hep-ph",,"  The mass shift and width broadening of $\rho$-mesons produced in heavy ion
collisions is estimated. It is found that the mass increases by some tens of
MeV but the width becomes large, increasing by 200 MeV at beam energies of a
few GeV$\cdot$A and by twice that amount at beam energies of about a hundred
GeV$\cdot$A.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:29:52 GMT""}]","2007-05-23"
"hep-ph/9810522","Jochen Biebel","Jochen Biebel","Seeking CP Violating Couplings in ZZ Production at LEP2","6 pages, Latex, 1 figure","Phys.Lett. B448 (1999) 125-128","10.1016/S0370-2693(98)01589-5","DESY 98-163","hep-ph",,"  The effects of CP violating anomalous ZZZ and gammaZZ vertices in ZZ
production are determined. We present the differential cross-section for e+e-
-> ZZ with dependence on the spins of the Z bosons. It is shown that from the
different spin combinations those with one longitudinally and one transversally
polarized Z in the final state are the most sensitive to CP violating anomalous
couplings.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:00:55 GMT""}]","2009-10-31"
"hep-ph/9810523","Daniel Gomez Dumm","D. Gomez Dumm, A. Pich","Short- and long-distance contributions to the rare decay K_L-->mu+ mu-","4 pages, 1 figure, talk given at the Euroconference QCD 98,
  Montpellier, France, July 1998","Nucl.Phys.Proc.Suppl. 74 (1999) 186-189","10.1016/S0920-5632(99)00159-0","FTUV/98-83, IFIC/98-84","hep-ph",,"  The interplay between short- and long-distance contributions to the K_L-->mu+
mu- decay amplitude is analyzed. The long-distance piece is estimated using
chiral perturbation theory techniques and large-N_C considerations, leading to
a consistent description of the pi^0-->e+ e-, eta-->mu+ mu- and K_L-->mu+ mu-
branching ratios.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:12:38 GMT""}]","2009-10-31"
