"adap-org/9810005","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Emergence and Growth of Complex Networks in Adaptive Systems","10 pages (including figures), 3 Postscript figures",,"10.1016/S0010-4655(99)00293-3","IISc-CTS/10/98","adap-org cond-mat nlin.AO",,"  We consider the population dynamics of a set of species whose network of
catalytic interactions is described by a directed graph. The relationship
between the attractors of this dynamics and the underlying graph theoretic
structures like cycles and autocatalytic sets is discussed. It is shown that
when the population dynamics is suitably coupled to a slow dynamics of the
graph itself, the network evolves towards increasing complexity driven by
autocatalytic sets. Some quantitative measures of network complexity are
described.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:48:48 GMT""}]","2009-10-30"
"cond-mat/9810203","A. K. Grover","S. S. Banerjee et al","Simultaneous Observation of Fishtail Effect and Peak Effect in
  2H-Nbse$_2$","To be presented at ""Experimental Workshop on High Temperature
  Superconductors and Related Materials (Advanced Activities)"" to be held from
  October 19$^{th}$ to November 6$^{th}$, 1998 in S. C. Bariloche, Argentina
  and Submitted",,,"TIFR/CM/98/302(I)","cond-mat.supr-con",,"  We report on the discovery of the simultaneous observation of Fishtail Effect
(FE) and Peak Effect (PE) via the study of angular dependence of dc
magnetization hysteresis loops in a clean crystal of 2H-NbSe$_2$. These result
clarify and establish the occurrence of the reentrant characteristics in order
to disorder transformation in an isothermal scan close to zero field
superconducting transition temperature of 2H-NbSe$_2$. The ubiquitous FE arises
from coalescence of two anomalous variations in current density J$_c$, one of
which is related to the collapse of the rigidity FLL close to H$_{c2}$ and
another one located at very low fields presumably corresponds to the pinning
induced order to disorder transformation. When the two effects get well
separated, an ordered state of FLL exists in the intermediate field region.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:55:28 GMT""}]","2007-05-23"
"cond-mat/9810204","A. K. Grover","G. Ravikumar et al","Evidence of a first order like jump in equilibrium magnetization across
  the peak effect region in superconducting 2H-NbSe$_2$","To be presented at ""Experimental Workshop on High Temperature
  Superconductors and Related Materials (Advanced Activities)"" to be held from
  October 19$^{th}$ to November 6$^{th}$, 1998 in S. C. Bariloche, Argentina
  and Submitted",,,"BARC-TIFR/CM/98/301(I)","cond-mat.supr-con",,"  We report magnetization hysteresis measurements in the peak effect region of
a very clean single crystal of superconducting 2H-NbSe$_2$ at temperatures very
close to T$_c$(0). Through measurement of minor magnetization curves, we infer
the equilibrium magnetization curve across the PE region. We observe a small
first order like change in equilibrium magnetization across the peak effect. We
relate this observation to the entropy change associated with the
order-disorder transformation. We further note that the first order like change
in the equilibrium magnetization observed in 2H-NbSe$_2$ is comparable to the
change(s)observed in the equilibrium magnetization at the FLL melting
transition in various high temperature superconductors.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:57:14 GMT""}]","2007-05-23"
"gr-qc/9810051","Mark E. Rupright","James W. York, Jr","Conformal ``thin sandwich'' data for the initial-value problem of
  general relativity","7 pages, RevTeX","Phys.Rev.Lett. 82 (1999) 1350-1353","10.1103/PhysRevLett.82.1350","IFP-UNC-527","gr-qc",,"  The initial-value problem is posed by giving a conformal three-metric on each
of two nearby spacelike hypersurfaces, their proper-time separation up to a
multiplier to be determined, and the mean (extrinsic) curvature of one slice.
The resulting equations have the {\it same} elliptic form as does the
one-hypersurface formulation. The metrical roots of this form are revealed by a
conformal ``thin sandwich'' viewpoint coupled with the transformation
properties of the lapse function.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 18:36:24 GMT""},{""version"":""v2"",""created"":""Wed, 23 Dec 1998 16:22:06 GMT""}]","2012-08-27"
"gr-qc/9810052","Aleksandar Bogojevic","Aleksandar Bogojevic (Institute of Physics) and Dejan Stojkovic (Case
  Western Reserve University)","Black Holes Without Singularities","5 pages, Latex 2e, 1 figure, Lectures given at 11th Yugoslav
  Symposium on Nuclear and Particle Physics, Studenica, September 1998",,,"IP-HET-98/24","gr-qc",,"  We study the properties of a completely integrable deformation of the CGHS
dilaton gravity model in two dimensions. The solution is shown to represent a
singularity free black hole that at large distances asymptoticaly joins to the
CGHS solution.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 22:45:31 GMT""}]","2007-05-23"
"gr-qc/9810053","Dmitriy Yu. Shabalkin","Dmitriy Yu. Shabalkin","On the method of effective nonlinear sigma model in plane- and
  axially-symmetric vacuum spacetimes","5 pages, LaTex, submitted to Gravitation and Cosmology","Grav.Cosmol. 4 (1999) 16",,"UlSU/LFR-9802","gr-qc",,"  In present article effective nonlinear sigma model (NSM) is considered.
  Einstein equation solution, corresponded to the chiral fields determined by
functional parameter method, are presented.
  Effective NSM of stationary axially-symmetric gravitational field is
constructed. Motion equations are solved exactly by functional parameter
method. Einstein equations solution are constructed.
  For particular dependences of functional parameter graphics of solutions are
presented. Metric coefficients behaviour is shown to be similar as functional
parameter one.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:07:22 GMT""}]","2016-08-31"
"hep-lat/9810032","Balint Joo","Balint Joo, Alan C Irving, James C. Sexton, Brian Pendleton, Stephen M
  Pickles, Zbigniew Sroczynski, UKQCD Collaboration","Parallel Tempering in Lattice QCD with O(a)-Improved Wilson Fermions","14 pages 2 figures","Phys.Rev. D59 (1999) 114501","10.1103/PhysRevD.59.114501","Edinburgh Preprint 98/13, LTH 428","hep-lat",,"  We present details of our investigation of the Parallel Tempering algorithm.
We consider the application of action matching technology to the selection of
parameters. We then present a simple model of the autocorrelations for a
particular parallel tempered system. Finally we present numerical results from
applying the algorithm to lattice QCD with O(a)-improved dynamical fermions
with twin ensemble systems
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 18:52:51 GMT""}]","2009-10-31"
"hep-lat/9810033","James E. Hetrick","Ph. de Forcrand, M. Garcia Perez, J.E. Hetrick, E. Laermann, J.F.
  Lagae, and I.O. Stamatescu","Local topological and chiral properties of QCD","LATTICE98(confine), 3 pgs, 4 figures (3 color)","Nucl.Phys.Proc.Suppl. 73 (1999) 578-580","10.1016/S0920-5632(99)85143-3","ANL-HEP-CP-98-65, SCSC-TR-98-10","hep-lat",,"  To elucidate the role played by instantons in chiral symmetry breaking, we
explore their properties in full QCD, around the critical temperature. We study
in particular spatial correlations between low-lying Dirac eigenmodes and
instantons. Our measurements are compared with the predictions of
instanton-based models.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 00:18:00 GMT""}]","2009-10-31"
"hep-lat/9810034","Yannick Meurice","J. J. Godina, Y. Meurice and M. B. Oktay","High-Accuracy Calculations of the Critical Exponents of Dyson's
  Hierarchical Model","15 pages, 9 figures, uses revtex","Phys.Rev. D59 (1999) 096002","10.1103/PhysRevD.59.096002","U. of Iowa 98-2502","hep-lat cond-mat hep-th",,"  We calculate the critical exponent gamma of Dyson's hierarchical model by
direct fits of the zero momentum two-point function, calculated with an Ising
and a Landau-Ginzburg measure, and by linearization about the Koch-Wittwer
fixed point. We find gamma= 1.299140730159 plus or minus 10^(-12). We extract
three types of subleading corrections (in other words, a parametrization of the
way the two-point function depends on the cutoff) from the fits and check the
value of the first subleading exponent from the linearized procedure. We
suggest that all the non-universal quantities entering the subleading
corrections can be calculated systematically from the non-linear contributions
about the fixed point and that this procedure would provide an alternative way
to introduce the bare parameters in a field theory model.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 01:33:10 GMT""}]","2009-10-31"
"hep-ph/9810367","Hong-Jian He","H.-J. He and C.-P. Yuan","New Method for Detecting Charged (Pseudo-)Scalars at Colliders","version in Physical Review Letters (discussion on Rb added,
  conclusion not changed)","Phys.Rev.Lett. 83 (1999) 28-31","10.1103/PhysRevLett.83.28","MSUHEP-80801","hep-ph",,"  We propose a new method for detecting a charged (pseudo-)scalar at colliders,
based upon the observation that its Yukawa coupling to charm and bottom quarks
can be large due to a significant mixing of the top and charm quarks. After
analyzing the typical flavor mixing allowed by low energy data in the topcolor
and the generic two-Higgs doublet models, we study the physics potential of the
Tevatron, LHC, and linear colliders for probing such an s-channel charged
resonance via the single-top (as well as Wh^0) production. We show that
studying its detection at colliders can also provide information on the
dynamics of flavor-changing neutral current phenomena.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 19:13:43 GMT""},{""version"":""v2"",""created"":""Wed, 11 Nov 1998 19:33:21 GMT""},{""version"":""v3"",""created"":""Fri, 7 May 1999 03:32:53 GMT""}]","2009-10-31"
"hep-ph/9810374","Stephen King","G. L. Kane and S. F. King","Naturalness Implications of LEP Results","22 pages, Latex, including 2 eps figures","Phys.Lett.B451:113-122,1999","10.1016/S0370-2693(99)00190-2","SHEP-98/13. This revised version will be published in Physics
  Letters B","hep-ph",,"  We analyse the fine-tuning constraints arising from absence of superpartners
at LEP, without strong universality assumptions. We show that such constraints
do not imply that charginos or neutralinos should have been seen at LEP,
contrary to the usual arguments. They do however imply relatively light gluinos
$(m_{\tilde g} \lsim 350 GeV)$ and/or a relation between the soft-breaking
SU(3) gaugino mass and Higgs soft mass $m_{H_U}$. The LEP limit on the Higgs
mass is significant, especially at low $\tan \beta$, and we investigate to what
extent this provides evidence for both a lighter gluino and correlations
between soft masses.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:56:58 GMT""},{""version"":""v2"",""created"":""Mon, 15 Feb 1999 18:30:20 GMT""}]","2011-05-05"
"hep-ph/9810375",,"Harry J. Lipkin (Weizmann Institute of Science, Tel Aviv University
  and Argonne National Laboratory)","Search for New Physics in $D^\pm \to K_S X^{\pm} $ and $D^\pm \to K_S
  K_S K^{\pm}$","9 pages",,,"WIS-98/27/Oct-PH, TAUP 2530-98, ANL-HEP-CP-98-122","hep-ph",,"  Direct CP violation beyond the standard model can be produced in charged D
decays to final states with a $K_S$ by small new physics contributions to the
transitions $D^+ \to K^o X^+$, where $X^+$ denotes any positively charged
hadronic state or transitions $D^+ \to K^o \bar K^o K^{(*)+}$, where $K^{(*)+}$
denotes any positive strange state. These transitions are doubly-Cabibbo
suppressed and color suppresed in the standard model and branching ratios are
experimentally observed to be suppressed by two orders of magnitude relative to
the allowed $D^+ \to \bar K^o X^+$ or $D^+ \to \bar K^o \bar K^o K^{(*)+}$,
branching ratio. An even smaller new physics contribution might produce an
observable CP asymmetry in $D^\pm \to K_S X^\pm$ or $D^{\pm} \to K_S K_S
K^{(*)\pm}$ decays. Since such asymmetries are easily checked in the early
stages of any charm production experiment, it seems worth while to check them
before the opportunity is lost in later stages of the analysis, even if no
theoretical model predicts such an asymmetry.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 17:20:07 GMT""}]","2007-05-23"
"hep-ph/9810376","Aron Bernstein","A.M.Bernstein","Light Quark Mass Difference and Isospin Breaking In Electromagnetic Pion
  Production","16pages,3 figures, to be published in Phys. Lett. B","Phys.Lett.B442:20-27,1998","10.1016/S0370-2693(98)01257-X",,"hep-ph",,"  It is demonstrated that there is a dynamic isospin breaking effect in the
near threshold $\gamma^{*} N\to \pi N$ reaction due to the mass difference of
the up and down quarks, which also causes isospin breaking in the $\pi N$
system. The photopion reaction is affected through final state $\pi N$
interactions (formally implemented by unitarity and time reversal invariance).
It is also demonstrated that the near threshold $\gamma \vec{N} \to \pi N$
reaction is a practical reaction to measure isospin breaking in the $\pi N$
system, which was first predicted by Weinberg about 20 years ago but has never
been experimentally tested.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 17:52:04 GMT""}]","2011-02-01"
"hep-ph/9810377","Fred Cooper","Fred Cooper","Initial Value Problems in Quantum Field Theory","7 pages uses ws-p8-50x6-00.cls To be published in the proceedings of
  the Sixth International Conference on Path Integrals, Florence Italy, 1998 by
  World Scientific",,,"BC-hep-98-1","hep-ph",,"  We review our work on initial value problems in Quantum Field Theory which is
based on using Schwinger's Closed Time Path formalism and a large-N expansion
of the Path Integral.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 18:13:43 GMT""}]","2007-05-23"
"hep-ph/9810378","Adrian Dumitru","A. Dumitru (Yale University), C. Spieles (LBNL)","Inverse Slope Systematics in High-Energy p+p and Au+Au Reactions","14 pages, 2 figures, REVTEX; mistake in plot of c-quark
  mt-distribution corrected, some references added","Phys.Lett. B446 (1999) 326-331","10.1016/S0370-2693(98)01467-1","YRHI-98-24","hep-ph nucl-th",,"  We employ the Monte-Carlo PYTHIA to calculate the transverse mass spectra of
various hadrons and their inverse slopes T* at m_T-m=1.5-2 GeV in p+p reactions
at sqrt(s)=200 GeV. Due to (multiple) minijet production T* increases as a
function of the hadron mass. Moreover, the T*(m) systematics has a
``discontinuity'' at the charm threshold, i.e. the inverse slope of D-mesons is
much higher than that of non-charmed hadrons and even of the heavier Lambda_C
baryon. The experimental observation of this characteristic behaviour in Au+Au
collisions would indicate the absence of c-quark rescattering. In contrast, the
assumption of thermalized partons and hydrodynamical evolution would lead to a
smoothly increasing T*(m), without discontinuity at the charm threshold. The
degree of collective transverse flow, indicated by the slope of the T*(m)
systematics, depends strongly on whether kinetic equilibrium is maintained for
some time after hadronization or not.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 18:29:11 GMT""},{""version"":""v2"",""created"":""Fri, 4 Dec 1998 16:44:56 GMT""}]","2009-10-31"
"hep-ph/9810379","Keum Yong-Yeon","Y. M. Cho and Y.-Y. Keum","Dilatonic Dark Matter","12 pages, 1 figure. Published in Mod. Phys. Lett A13 (1998) 109-117.
  This essay received an ""honorable mention"" from the Gravity Research
  Foundation, 1997","Mod.Phys.Lett. A13 (1998) 109-117","10.1142/S0217732398000152","APCTP/97-01 (revised)","hep-ph",,"  We study the possibility that the dilaton plays the role of the dark matter
of the universe. We find that the condition for the dilaton to be the dark
matter of the universe strongly restricts its mass to be around 0.5 keV or 270
MeV. For the other mass ranges, the dilaton either undercloses or overcloses
the universe. The 0.5 keV dilaton has the free-streaming distance of about 1.4
Mpc and becomes an excellent candidate of a warm dark matter, while the 270 MeV
one has the free-streaming distance of about 7.4 pc and becomes a cold dark
matter. We discuss the possible ways to detect the dilaton experimentally.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 04:07:42 GMT""}]","2009-10-31"
"hep-ph/9810380","Susumu Koretune","Susumu Koretune (Shimane Medical University)","Flavor Asymmetry of the Sea Quarks in the Baryon Octet","5 pages,Talk given at ICHEP98(Vancouver)July 23--29,1998, submitted
  to the The ICHEP'98 conference proceedings, need ltwol2e.sty(included)",,,"Shimane-med-98-10-1","hep-ph nucl-th",,"  We show that the chiral $SU(n)\otimes SU(n)$ flavor symmetry on the
null-plane severely restricts the sea quarks in the baryon octet. It predicts
large asymmetry for the light sea quarks $(u,d,s)$, and universality and
abundance for the heavy sea quarks. Further it is shown that existence of the
heavy sea quarks constrained by the same symmetry reduces the theoretical value
of the Ellis-Jaffe sum rule substantially.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 04:43:59 GMT""}]","2007-05-23"
"hep-ph/9810381","Amol Dighe","Amol Dighe (ICTP), Saunak Sen (Stanford)","Information Content in $B \to VV$ Decays and the Angular Moments Method","LaTeX, 34 pages with 9 figures","Phys. Rev. D 59, 074002 (1999)","10.1103/PhysRevD.59.074002","ICTP Preprint IC/98/177","hep-ph",,"  The time-dependent angular distributions of decays of neutral $B$ mesons into
two vector mesons contain information about the lifetimes, mass differences,
strong and weak phases, form factors, and CP violating quantities. A
statistical analysis of the information content is performed by giving the
``information'' a quantitative meaning. It is shown that for some parameters of
interest, the information content in time and angular measurements combined may
be orders of magnitude more than the information from time measurements alone
and hence the angular measurements are highly recommended. The method of
angular moments is compared with the (maximum) likelihood method to find that
it works almost as well in the region of interest for the one-angle
distribution. For the complete three-angle distribution, an estimate of
possible statistical errors expected on the observables of interest is
obtained. It indicates that the three-angle distribution, unraveled by the
method of angular moments, would be able to nail down many quantities of
interest and will help in pointing unambiguously to new physics.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:11:20 GMT""}]","2016-08-25"
"hep-ph/9810382","Heinrich Paes","H. P\""as, M. Hirsch, H.V. Klapdor-Kleingrothaus","Improved bounds on SUSY accompanied neutrinoless double beta decay","replaced by revised version to appear in Phys. Lett. B","Phys.Lett. B459 (1999) 450-454","10.1016/S0370-2693(99)00711-X",,"hep-ph",,"  Neutrinoless double beta decay induced by light Majorana neutrino exchange
between two decaying nucleons with squark/slepton exchange inside one and W
exchange inside the other nucleon (so-called vector-scalar exchange) gives
stringent limits on R-parity violating interactions. We have extended previous
work by including the tensor contribution to the transition rate. We discuss
the improved limits on trilinear \Rp -MSSM couplings imposed by the current
experimental limit on the $\znbb$ decay half-life of $^{76}$Ge.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:14:33 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jul 1999 15:32:56 GMT""}]","2009-10-31"
"hep-ph/9810383","Papadopoulos Costas","N.G. Antoniou, Y.F. Contoyiannis, F.K. Diakonos and C.G. Papadopoulos","Fractals at T=Tc due to instanton-like configurations","To appear in Physical Review Letters","Phys.Rev.Lett. 81 (1998) 4289-4292","10.1103/PhysRevLett.81.4289",,"hep-ph",,"  We investigate the geometry of the critical fluctuations for a general system
undergoing a thermal second order phase transition. Adopting a generalized
effective action for the local description of the fluctuations of the order
parameter at the critical point ($T=T_c$) we show that instanton-like
configurations, corresponding to the minima of the effective action functional,
build up clusters with fractal geometry characterizing locally the critical
fluctuations. The connection between the corresponding (local) fractal
dimension and the critical exponents is derived. Possible extension of the
local geometry of the system to a global picture is also discussed.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:44:20 GMT""}]","2009-10-31"
"hep-ph/9810384","Luis Anchordoqui","L. A. Anchordoqui, M. T. Dova, L. N. Epele and S. J. Sciutto","Hadronic interactions models beyond collider energies","31 RevTex pages - 14 ps figures","Phys.Rev. D59 (1999) 094003","10.1103/PhysRevD.59.094003",,"hep-ph",,"  Studies of the influence of different hadronic models on extensive air
showers at ultra-high energies are presented. The hadronic models considered
are those implemented in the well-known QGSJET and SIBYLL event generators. The
different approaches used in both codes to model the underlying physics is
analyzed using computer simulations performed with the program AIRES. The most
relevant observables for both single collisions and air showers are studied for
primary energies ranging from $10^{14}$ eV up to $10^{20.5}$ eV. In addition,
the evolution of lateral and energy distributions during the shower development
is presented. Our analysis seems to indicate that the behaviour of shower
observables does not largely reflect the strong differences observed in single
collisions.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 13:53:44 GMT""}]","2009-10-31"
"hep-ph/9810385","Floarea Stancu","D. Bartz and Fl. Stancu (U. of Liege)","Important configurations for NN processes in a Goldstone boson exchange
  model","17 pages, RevTeX","Phys.Rev. C59 (1999) 1756-1761","10.1103/PhysRevC.59.1756","ULG-PNT-98-3-FS","hep-ph",,"  We study the short-range nucleon-nucleon interaction in a nonrelativistic
chiral constituent quark model by diagonalizing a Hamiltonian containing a
linear confinement and a Goldstone boson exchange interaction between quarks. A
finite six-quark basis obtained from single particle cluster model states was
previously used. Here we show that the configurations which appear naturally
through the use of molecular orbitals, instead of cluster model states, are
more efficient in lowering the six-quark energy.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:09:59 GMT""}]","2009-10-31"
"hep-ph/9810386","Robert Kaminski","R. Kaminski, L. Lesniak and B. Loiseau","Scalar Mesons and Multichannel Amplitudes","36 pages with 6 figures, slightly modified version, accepted for
  publication in Eur. Phys. J. C","Eur.Phys.J.C9:141-158,1999","10.1007/s100529900023","1804/PH, Institute of Nuclear Physics, Cracow","hep-ph",,"  Properties of scalar-isoscalar mesons are analysed using separable
interactions in three decay channels: pion-pion, kaon-antikaon and an effective
2pion-2pion. We obtain different solutions by fitting various data on the
pion-pion and kaon-antikaon phase shifts and inelasticities including the
CERN-Cracow-Munich measurements of the pion- p --> pion+ pion- n reaction on a
polarized target. Analytical structure of the meson-meson multichannel
amplitudes is studied with a special emphasis on the role played by the
S-matrix zeroes. S-matrix poles are found in the complex energy plane and
interpreted as scalar resonances. We see a wide f0(500), a narrow f0(980) and a
relatively narrow f0(1400). In one solution a resonance at about 1700 MeV is
also found. Total, elastic and inelastic channel cross sections, branching
ratios and coupling constants are evaluated and compared with data. We
construct approximation to our model and show that the Breit-Wigner approach
has a limited phenomenological applicability.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:11:26 GMT""},{""version"":""v2"",""created"":""Tue, 26 Jan 1999 16:47:33 GMT""}]","2008-11-26"
"hep-ph/9810388","Colin Froggatt","C.D. Froggatt and H.B. Nielsen","Agut Masses","uuencoded 20 page LaTeX file with 1 postscript figure plus iopconf1
  and FEYNMAN style files; to appear in the Proceedings of the International
  Symposium on Lepton and Baryon Number Violation, Trento, Italy, 20-25 April
  1998",,,"GUTPA/98/10/02","hep-ph",,"  From considerations of the number of matrix elements of different orders of
magnitude in the quark and charged lepton mass matrices, we suggest that the
underlying gauge group responsible for the spectrum should have
several---actually of the order of 7 to 10---cross product factors. This is
taken to support our AGUT gauge group $SMG^3 \times U(1)_f$ which, under
certain simple conditions, is the maximal group transforming the known 45 Weyl
quark-lepton fields into each other. We describe the AGUT fit to the charged
fermion mass spectrum, and briefly discuss baryogenesis and the neutrino mass
problem.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:27:50 GMT""}]","2007-05-23"
"hep-ph/9810389","Massimiliano Grazzini","S. Catani and M. Grazzini","Collinear Factorization and Splitting Functions for
  Next-to-next-to-leading Order QCD Calculations","latex, 10 pages, minor corrections in the references","Phys.Lett. B446 (1999) 143-152","10.1016/S0370-2693(98)01513-5","CERN--TH/98-325, ETH--TH/98-27","hep-ph",,"  We consider the singular behaviour of tree-level QCD amplitudes when the
momenta of three partons become simultaneously parallel. We discuss the
universal factorization formula that controls the singularities of the
multiparton matrix elements in this collinear limit and present the explicit
expressions of the corresponding splitting functions. The results fully include
spin (azimuthal) correlations up to ${\cal O}(\as^2)$. In the case of
spin-averaged splitting functions we confirm similar results obtained by
Campbell and Glover.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:29:25 GMT""},{""version"":""v2"",""created"":""Tue, 1 Dec 1998 11:53:10 GMT""}]","2009-10-31"
"hep-ph/9810390","Eric Braaten","Eric Braaten","Color and Spin in Quarkonium Production","17 pages, LATEX with style file sprocl.sty","Nucl.Phys.Proc.Suppl. 71 (1999) 441-450","10.1016/S0920-5632(98)00376-4",,"hep-ph",,"  I describe the NRQCD factorization approach to the inclusive production of
heavy quarkonium, contrasting it with the color-singlet and color evaporation
models. These approaches differ dramatically in their assumptions about the
roles played by color and spin in the production process. They also differ
dramatically in their predictions for the production of charmonium at large
transverse momentum.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:30:59 GMT""}]","2009-10-31"
"hep-th/9810116","C. Hofman","C. Hofman and E. Verlinde","U-Duality of Born-Infeld on the Noncommutative Two-Torus","19 pages, LaTeX. Reference and discussion on small volume added,
  errors corrected","JHEP 9812:010,1998","10.1088/1126-6708/1998/12/010","spin-98/2","hep-th",,"  We discuss Born-Infeld on the noncommutative two-torus as a description of
compactified string theory. We show that the resulting theory, including the
fluctuations, is manifestly invariant under the T-duality group SO(2,2;Z). The
BPS mass even has a full SL(3,Z)xSL(2,Z) U-duality symmetry. The direct
identification of the noncommutative parameter \theta with the B-field modulus
however seems to be problematic at finite volume.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:28:59 GMT""},{""version"":""v2"",""created"":""Wed, 21 Oct 1998 17:32:15 GMT""},{""version"":""v3"",""created"":""Thu, 29 Oct 1998 09:08:53 GMT""}]","2010-02-03"
"hep-th/9810117","Simionato Michele","Michele Simionato","Gauge Consistent Wilson Renormalization Group II: Non-Abelian Case","34 pages, 1 eps figure, latex2e. Minor changes, version to appear in
  Int. J. Mod. Phys","Int.J.Mod.Phys. A15 (2000) 2153-2179","10.1142/S0217751X00000896",,"hep-th",,"  We give a wilsonian formulation of non-abelian gauge theories explicitly
consistent with axial gauge Ward identitities. The issues of unitarity and
dependence on the quantization direction are carefully investigated. A
wilsonian computation of the one-loop QCD beta function is performed.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:33:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Dec 1999 10:35:13 GMT""}]","2009-10-31"
"hep-th/9810118","F. A. Dilkes","D. G. C. McKeon, T.N. Sherry","Aspects of the Supersymmetry Algebra in Four Dimensional Euclidean Space","13 pages, LaTeX, no figures, no special macros",,,,"hep-th",,"  The simplest supersymmetry (SUSY) algebra in four dimensional Euclidean space
($4dE$) has been shown to closely resemble the $N = 2$ SUSY algebra in four
dimensional Minkowski space ($4dM$). The structure of the former algebra is
examined in greater detail in this paper. We first present its Clifford algebra
structure. This algebra shows that the momentum Casimir invariant of physical
states has an upper bound which is fixed by the central charges. Secondly, we
use reduction of the $N = 1$ SUSY algebra in six dimensional Minkowski space
($6dM$) to $4dE$; this reproduces our SUSY algebra in $4dE$. Moreover, this
same reduction of supersymmetric Yang-Mills theory (SSYM) in $6dM$ reproduces
Zumino's SSYM in $4dE$. We demonstrate how this dimensional reduction can be
used to introduce additional generators into the SUSY algebra in $4dE$.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 17:04:02 GMT""}]","2007-05-23"
"hep-th/9810119","Fiorenzo Bastianelli","Fiorenzo Bastianelli, Olindo Corradini","On Mode Regularization of the Configuration Space Path Integral in
  Curved Space","16 pages, Latex","Phys.Rev. D60 (1999) 044014","10.1103/PhysRevD.60.044014","ITP-SB-98-61","hep-th",,"  The path integral representation of the transition amplitude for a particle
moving in curved space has presented unexpected challenges since the
introduction of path integrals by Feynman fifty years ago. In this paper we
discuss and review mode regularization of the configuration space path
integral, and present a three loop computation of the transition amplitude to
test with success the consistency of such a regularization. Key features of the
method are the use of the Lee-Yang ghost fields, which guarantee a consistent
treatment of the non-trivial path integral measure at higher loops, and an
effective potential specific to mode regularization which arises at two loops.
We also perform the computation of the transition amplitude using the
regularization of the path integral by time discretization, which also makes
use of Lee-Yang ghost fields and needs its own specific effective potential.
This computation is shown to reproduce the same final result as the one
performed in mode regularization.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 18:17:13 GMT""}]","2009-10-31"
"hep-th/9810120","Aleksandar Bogojevic","Aleksandar Bogojevic, Branislav Sazdovic (Institute of Physics) and
  Olivera Miskovic (Vinca Institute)","The Role of Conformal Symmetry in Abelian Bosonization of the Massive
  Thirring Model","5 pages, Latex 2e, Lectures given at 11th Yugoslav Symposium on
  Nuclear and Particle Physics, Studenica, September 1998",,,"IP-HET-98/21","hep-th",,"  We show equivalence between the massive Thirring model and the sine-Gordon
theory by gauge fixing a wider gauge invariant theory in two different ways.
The exact derivation of the equivalence hinges on the existence of an
underlying conformal symmetry. Previous derivations were all perturbative in
mass (althought to all orders).
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 21:40:00 GMT""}]","2007-05-23"
"hep-th/9810121","Aleksandar Bogojevic","Aleksandar Bogojevic and Dragan S. Popovic (Institute of Physics)","The Measure from Schwinger-Dyson Equations","4 pages, Latex 2e, Lectures given at 11th Yugoslav Symposium on
  Nuclear and Particle Physics, Studenica, September 1998",,,"IP-HET-98/23","hep-th",,"  We review a new prescription for calculating the Lagrangian path integral
measure directly from the Hamiltonian Schwinger-Dyson equations. The method
agrees with the usual way of deriving the measure in which one has to perform
the path integration over momenta.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 22:25:23 GMT""}]","2007-05-23"
