"adap-org/9810002","Gafiychuk","I.A.Lubshevsky, V.V.Gafiychuk, M.G.Keijan","Nonlinear theory of autooscillations of quasiplanar interface during
  directional solidification","17 pages, 10 figures, REVTEX",,,,"adap-org nlin.AO",,"  Within the framework of the frozen temperature approximation we develop a
strongly-nonlinear theory of one-dimensional pattern formation during
directional solidification of binary mixture under nonequilibrium segregation.
In the case of small partition coefficient the full problem is reduced to the
system of two ordinary differential equations describing the interface motion
in terms of its velocity and position coordinate. The type of the oscillatory
instability bifurcation is studied in detail in different limits. For the
subcrytical bifurcaton relaxation interface oscillations are analyzed
analytically and numerically. We show that these oscillation exibit a number of
anomalous properies. In particular, such oscillations can be weakly- or
strongly-dissipative depending on the physical parameters and the amplitude of
the strongly-dissipative oscillations is determined not only by the form of the
corresponding nullcline but also by the behavior of the system for small values
of the interface velocity. Characteristic parameters of the superlattice
occuring in the growing crystal are estimated.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:22:47 GMT""}]","2007-05-23"
"gr-qc/9810016","Kip S. Thorne","Kip S. Thorne and Carolee J. Winstein (Caltech and Max Planck
  Insititut fur GravitationsPhysik; University of Southern California)","Human Gravity-Gradient Noise in Interferometric Gravitational-Wave
  Detectors","Submitted to Physical Review D15 as a regular article. 11 pages, 3
  figures; Revtex","Phys.Rev.D60:082001,1999","10.1103/PhysRevD.60.082001","GRP-507","gr-qc",,"  Among all forms of routine human activity, the one which produces the
strongest gravity-gradient noise in interferometric gravitational-wave
detectors (e.g. LIGO) is the beginning and end of weight transfer from one foot
to the other during walking. The beginning and end of weight transfer entail
sharp changes (timescale tau ~ 20msec) in the horizontal jerk (first time
derivative of acceleration) of a person's center of mass. These jerk pairs,
occuring about twice per second, will produce gravity-gradient noise in LIGO in
the frequency band 2.5 Hz <~ f <~ 1/(2 tau) ~= 25 Hz with the form sqrt{S_h(f)}
\~0.6 X 10^{-23} Hz^{-1/2} (f/10Hz)^{-6} (sum_i (r_i/10m)^{-6})^{1/2}. Here the
sum is over all the walking people, r_i is the distance of the i'th person from
the nearest interferometer test mass, and we estimate this formula to be
accurate to within a factor 3. To ensure that this noise is neglible in
advanced LIGO interferometers, people should be prevented from coming nearer to
the test masses than r ~= 10m. A r ~= 10m exclusion zone will also reduce to an
acceptable level gravity gradient noise from the slamming of a door and the
striking of a fist against a wall. The dominant gravity-gradient noise from
automobiles and other vehicles is probably that from decelerating to rest. To
keep this below the sensitivity of advanced LIGO interferometers will require
keeping vehicles at least 30 meters from all test masses.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 17:12:45 GMT""}]","2009-12-30"
"gr-qc/9810017","Ezra T. Newman","Simonetta Frittelli, Ezra T. Newman","An Exact Universal Gravitational Lensing Equation","12 pages, submitted to Phys. Rev. D","Phys.Rev.D59:124001,1999","10.1103/PhysRevD.59.124001",,"gr-qc",,"  We first define what we mean by gravitational lensing equations in a general
space-time. A set of exact relations are then derived that can be used as the
gravitational lens equations in all physical situations. The caveat is that
into these equations there must be inserted a function, a two-parameter family
of solutions to the eikonal equation, not easily obtained, that codes all the
relevant (conformal) space-time information for this lens equation
construction. Knowledge of this two-parameter family of solutions replaces
knowledge of the solutions to the geodesic equations.
  The formalism is then applied to the Schwarzschild lensing problem
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 18:46:01 GMT""}]","2008-12-18"
"gr-qc/9810018","Max Chaves","M. Chaves and G. Padilla","A Charged Inflaton leaves Behind a Fractal Primeval Structure of
  Electromagnetic Fields","7 pages, no figures",,,,"gr-qc",,"  The inflaton field is assumed to possess electric charge. The effect of the
charge upon inflation is studied using a parameter \omega_0 that acts as a
measure of the quantity of inflaton present. It is shown that at the end of
inflation the charged inflaton should produce a fractal electromagnetic
structure, which could act as a seed for the development of macroscopic
galactic structures. Another consequence would be the presence nowadays of
residual electromagnetic fields that would encompass galaxies, clusters, and
larger structures.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 21:26:15 GMT""}]","2007-05-23"
"gr-qc/9810019","Mikhail Yu. Konstantinov","M. Yu. Konstantinov","Superluminal propagation of light in gravitational field and non-causal
  signals: some comments","6 pages, LaTeX, 2 figures inserted in text",,,"RGS-VNIIMS-004/98","gr-qc",,"  We examine the recent statement by A. Dolgov and I. Novikov that superluminal
propagation of light, which is induced by the quantum corrections to the photon
propagation in gravitational field, permits non-causal signal propagation. For
this purpose we examine the possibility of the existence of non-causal signals
in the model case, when characteristic cone of the signal is outside the usual
light cone in Minkowski space-time, as it take place in the case of the photon
propagation in gravitation field with quantum corrections taking into account.
In such model the signal propagates along invariant intervals. It is shown that
there are no non-causal signals in the considered model. The recent statement
of A. Dolgov and I. Novikov was obtained by using additional supposition that
velocity of the signal with respect to the emitter is independent from its
motion. Such supposition does not valid in the case of the photon propagation
in gravitational field.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 03:19:40 GMT""}]","2007-05-23"
"gr-qc/9810020","Luis Herrera","L. Herrera, A. Di Prisco","The Active Gravitational Mass of a Heat Conducting Sphere Out of
  Hydrostatic Equilibrium","To appear in General Relativity and Gravitation","Gen.Rel.Grav.31:301-313,1999","10.1023/A:1026684409560",,"gr-qc astro-ph",,"  We obtain an expression for the active gravitational mass of a relativistic
heat conducting fluid, just after its departure from hydrostatic equilibrium,
on a time scale of the order of relaxation time. It is shown that an increase
of a characteristic parameter leads to larger (smaller) values of active
gravitational mass of collapsing (expanding) spheres, enhacing thereby the
instability of the system.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 03:20:03 GMT""}]","2008-11-26"
"gr-qc/9810021","Helia Hollmann","Helia R. Hollmann, Ruth M. Williams (Cambridge U., DAMTP)","'t Hooft's Polygon Approach Hyperbolically Revisited","20 pages, 16 figure",,,"DAMTP-R-98-26","gr-qc",,"  The initial data in the polygon approach to (2+1)D gravity coupled to point
particles are constrained by the vertex equations and the particle equations.
We establish the hyperbolic nature of the vertex equations and derive some
consequences. In particular we are able to identify the hyperbolic group of
motions as discrete analogues of the diffeomorphisms in the continuum theory.
We show that particles can be included ``hyperbolically'' as well, but they
spoil the gauge invariance. Finally we derive consistent sets of initial data.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:32:55 GMT""}]","2007-05-23"
"hep-ex/9810010","David R. Muller","D. Muller","QCD Tests Using $b\bar{b}g$ Events and a New Measurement of the B-Hadron
  Energy Distribution","12 pages, 5 figures; to appear in proceedings of the XXIXth ICHEP,
  Vancouver, Canada","Nucl.Phys.Proc.Suppl.74:276-281,1999","10.1016/S0920-5632(99)00178-4","SLAC-PUB-7940","hep-ex",,"  We present new studies of 3-jet final states from hadronic $Z^0$ decays
recorded by the SLD experiment, in which jets are identified as quark,
antiquark or gluon. Our gluon energy spectrum, measured over the full kinematic
range, is consistent with the predictions of QCD, and we derive a limit on an
anomalous chromomagnetic $bbg$ coupling. We measure the parity violation in
$Z^0$ decays into $b\bar{b}g$ to be consistent with the predictions of
electroweak theory and QCD, and perform new tests of T- and CP-conservation at
the $bbg$ vertex. We also present a new technique for reconstructing the energy
of a $B$ hadron using the set of charged tracks attached to a secondary vertex.
The $B$ hadron energy spectrum is measured over the full kinematic range,
allowing improved tests of predictions for the shape of the spectrum. The
average scaled energy is measured to be $ = 0.719 \pm 0.005 (stat.)$
(Preliminary).
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 18:58:26 GMT""}]","2008-11-26"
"hep-ex/9810011","Stefan Soldner-Rembold","Stefan Soldner-Rembold","Final States in Photon-Photon and Photon-Proton Interactions","7 pages, 14 figures, uses ltwol2e.sty, submitted to Proceedings of
  ICHEP98, Vancouver, Canada, 22-30 July 1998",,,"FREIBURG-EHEP/98-06","hep-ex",,"  The total hadronic photon-photon cross-section measured by L3 and OPAL and
the apparent discrepancy between the results are discussed. OPAL measurements
of jet and charged hadron production in photon-photon scattering and
preliminary H1 results on neutral pion production in photon-proton scattering
are also presented. The mechanism of baryon number transfer in photon-proton
interactions at HERA has been studied for the first time by H1.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 21:41:11 GMT""}]","2007-05-23"
"hep-ex/9810012",,"Fabrizio Cei (University of Michigan) (for the MACRO Collaboration)","Search for Rare Particles with the MACRO Detector","5 pages, 5 figures; to appear in proceedings of the XXIX
  International Conference on High Energy Physics (ICHEP'98), Vancouver B.C.
  Canada, July 23-29 1998",,,,"hep-ex",,"  We report on the search for Rare Particles (Magnetic Monopoles, Nuclearites,
Weakly Interacting Massive Particles and Lightly Ionizing Particles) with the
MACRO detector. For magnetic monopoles (the main goal of the experiment) our
limit is about 0.4 times the Parker bound for monopole velocities between
10^{-4} and 10^{-1}.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 08:43:54 GMT""}]","2019-08-14"
"hep-ex/9810013","Valeri Dorofeev","VES collaboration","Study of the reaction pi- Be --> omega pi- pi0 Be","14 pages, 6 figures included, LaTeX2e, epsfig",,,"IHEP-97-80","hep-ex",,"  The results of patial wave analysis of the omega pi- pi0 system, produced in
the reaction pi- Be --> pi+ 2pi- 2pi0 Be at beam momentum of 37 GeV are
presented. An indication of the resonant type structure with mass near 1.74 GeV
and JpMetha=0-0+ in the omega rho- system was found. The decay branching ratio
of a2(1320)- to omega pi- pi0 was measured. A wave with JpMetha=2+1+ shows a
broad bump at M near 1.7 GeV. The decays pi2(1670)- --> omega rho- and
a4(2040)- --> omega rho- were observed for the first time. The bump in the
b1(1235)pi wave with exotic quantum numbers Jpc=1-+ at M near 1.7 GeV was
observed.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 09:39:24 GMT""}]","2012-08-27"
"hep-ph/9810246","Haitham Zaraket","Haitham Zaraket","Soft dilepton production and hard thermal loops","Revtex, postscript figures included with epsf, 6 pages. Talk
  presented at the 5th International Workshop on Thermal Field Theories and
  their Applications, Regensburg, Germany, August 1998",,,"LAPTH-98/702","hep-ph",,"  The Hard Thermal Loop expansion, is an attractive theory, but it reveals
difficulties when one uses it as a perturbative scheme. To illustrate this we
use the HTL expansion to calculate the two loop corrections for soft virtual
photons. The resulting corrections are of the same order as the 1-loop
correction.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:30:27 GMT""},{""version"":""v2"",""created"":""Wed, 7 Oct 1998 14:39:34 GMT""}]","2007-05-23"
"hep-ph/9810252","Tonguc Rador","Tonguc Rador","Lepton Number Violation in Top-Color Assisted Technicolor","10 pages, 2 figures, uses revtex","Phys. Rev. D 59, 095012 (1999)","10.1103/PhysRevD.59.095012",,"hep-ph",,"  We calculate the rates for lepton number violating processes via the exchange
of the Z' boson occuring in top-color assisted technicolor. The current
experimental limits on muon electron conversion in Ti nuclei allow for a mass
of the new gauge boson around 1 TeV and the magnitudes of the mixing angles
turn out to lie roughly between the analogous elements of the CKM matrix and
its square root.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 18:42:29 GMT""}]","2016-08-25"
"hep-ph/9810253","Andrzej Zembrzuski","M.Krawczyk (Warsaw), A.Zembrzuski (Warsaw)","NLO prediction for the photoproduction of the isolated photon at HERA","6 pages, containing latex files and postscript figures",,,"IFT 98/12","hep-ph",,"  The NLO calculation of the DIC process with the isolated photon is presented
and the comparison is made with the other NLO calculation and with recent
measurement at HERA. The satisfactory agreement was found.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 19:40:38 GMT""}]","2007-05-23"
"hep-ph/9810254","Randy Lewis","Randy Lewis and Nader Mobed","Isospin violation and the proton's neutral weak magnetic form factor","26 pages including 9 figures","Phys.Rev.D59:073002,1999","10.1103/PhysRevD.59.073002","JLAB-THY-98-39","hep-ph nucl-th",,"  The effects of isospin violation on the neutral weak magnetic form factor of
the proton are studied using two-flavour chiral perturbation theory. The first
nonzero contributions appear at O(p^4) in the small-momentum expansion, and the
O(p^5) corrections are also calculated. The leading contributions from an
explicit Delta(1232) isomultiplet are included as well. At such a high order in
the chiral expansion, one might have expected a large number of unknown
parameters to contribute. However, it is found that no unknown parameters can
appear within loop diagrams, and a single tree-level counterterm at O(p^4) is
sufficient to absorb all divergences. The momentum dependence of the neutral
weak magnetic form factor is not affected by this counterterm.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 21:24:17 GMT""}]","2009-12-30"
"hep-ph/9810255","Shi-Lin Zhu","Shi-Lin Zhu (Institute of Theoretical Physics, Academia Sinica)","The suppression of $\pi N N(1535)$ coupling in QCD","8 pages, 1 figure, submitted to Mod. Phys. Lett. A","Mod.Phys.Lett.A13:2763-2770,1998","10.1142/S021773239800293X",,"hep-ph",,"  The light cone QCD sum rules are employed to calculate the $\pi N N(1535)$
coupling $g_{\pi N N^\ast}$. We study the two point correlation function of two
nucleon currents sandwiched between the vacuum and the pion state. The
contribution from the excited states and the continuum is subtracted cleanly
through double Borel transformation with respect to the nucleon and N(1535)
momenta, $p_1^2$, $p_2^2=(p-q)^2$. Our calculation shows that the $\pi N
N(1535)$ coupling is strongly suppressed.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 00:43:59 GMT""}]","2014-11-17"
"hep-ph/9810256","Hou Defu","Hou Defu, Stefan Ochs, and Li Jiarong","Self-consistent Study on Color Transport in the Quark Gluon Plasma at
  Finite Chemical Potential","Latex, 11 pages, 4 Postscript figures","Phys.Rev.D54:7634-7639,1996","10.1103/PhysRevD.54.7634",,"hep-ph",,"  We calculate the relaxation time self-consistently to study the damping of
collective color modes and the color conductivity in a QGP by deriving
self-consistent equations for the damping rates of gluons and quarks to leading
order QCD by TFD including a chemical potential for quarks. We show that the
damping rates are not sensitive to the chemical potential whereas color
conductivity is enhanced considerably.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 01:38:50 GMT""}]","2014-11-17"
"hep-ph/9810257",,"Gia Dvali, Yosef Nir","Naturally Light Sterile Neutrinos in Gauge Mediated Supersymmetry
  Breaking","12 pages, harvmac; added references","JHEP 9810:014,1998","10.1088/1126-6708/1998/10/014","IC/98/163, WIS-98/25/Oct-DPP","hep-ph",,"  Moduli are generic in string (M) theory. In a large class of gauge-mediated
Supersymmetry breaking models, the fermionic components of such fields have
very light masses, around the eV scale, and non-negligible mixing with active
neutrinos, of order $10^{-4}$. Consequently, these fermions could play the role
of sterile neutrinos to which active neutrinos oscillate, thus affecting
measurements of solar neutrinos or of atmospheric neutrinos. They could also
provide warm dark matter, thus affecting structure formation.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 06:57:42 GMT""},{""version"":""v2"",""created"":""Thu, 15 Oct 1998 06:28:17 GMT""}]","2010-02-03"
"hep-ph/9810258","Wilhelmus van Neerven","V. Ravindran and W.L. van Neerven","Heavy flavour mass corrections to the longitudinal and transverse cross
  sections in e^+e^- - collisions","8 pages Latex, all compressed by uufiles","Phys.Lett.B445:206-213,1998","10.1016/S0370-2693(98)01441-5","DESY 98-157","hep-ph",,"  The sentence, 7th line below Eq. (28), starting with ""Further we exclude all
interference terms ...."" is wrong and has been corrected. Eq. (33) :
f_k^{l,(i)} -> h_k^{l,(i)} i=0,1 Second line below Eq. (33) m_bar(m)=m is
replaced by m_bar(\mu_0)=\mu_0 with \mu_0=4.10 GeV and \mu_0=166.1 GeV for
bottom and top respectively. The numbers in the third column of tables 1 and 2
are a little bit changed.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 08:58:55 GMT""},{""version"":""v2"",""created"":""Mon, 2 Nov 1998 20:39:07 GMT""}]","2014-11-17"
"hep-ph/9810259","Matthias Jamin","M. Jamin and A. Pich","Bottom quark mass from QCD sum rules for the Upsilon system","4 pages, 1 figure, Invited talk at the Euroconference QCD'98,
  Montpellier, July 1998","Nucl.Phys.Proc.Suppl.74:300-303,1999","10.1016/S0920-5632(99)00182-6","HD-THEP-98-50, FTUV/98-75, IFIC/98-76","hep-ph",,"  The talk presents an update of the bottom quark mass determination from QCD
moment sum rules for the Upsilon system by the authors. Employing the MS_bar
scheme, we find m_b(m_b) = 4.19 +- 0.06 GeV. The differences to our previous
analysis will be discussed and we comment on the determination of the pole mass
for the bottom quark.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:11:20 GMT""}]","2011-01-25"
"hep-ph/9810260","Robert Fleischer","Andrzej J. Buras, Robert Fleischer","A General Analysis of $\gamma$ Determinations from $B\to\pi K$ Decays","36 pages, LaTeX, 13 figures","Eur.Phys.J.C11:93-109,1999","10.1007/s100520050617","CERN-TH/98-319, TUM-HEP-330/98","hep-ph",,"  We present a general parametrization of $B^\pm\to\pi^\pm K, \pi^0K^\pm$ and
$B_d\to\pi^0 K, \pi^\mp K^\pm$ decays, taking into account both electroweak
penguin and rescattering effects. This formalism allows -- among other things
-- an improved implementation of the strategies that were recently proposed by
Neubert and Rosner to probe the CKM angle $\gamma$ with the help of
$B^\pm\to\pi^\pm K, \pi^0K^\pm$ decays. In particular, it allows us to
investigate the sensitivity of the extracted value of $\gamma$ to the basic
assumptions of their approach. We find that certain SU(3)-breaking effects may
have an important impact and emphasize that additional hadronic uncertainties
are due to rescattering processes. The latter can be controlled by using SU(3)
flavour symmetry arguments and additional experimental information provided by
$B^\pm\to K^\pm K$ modes. We propose a new strategy to probe the angle $\gamma$
with the help of the neutral decays $B_d\to\pi^0 K, \pi^\mp K^\pm$, which is
theoretically cleaner than the $B^\pm\to\pi^\pm K, \pi^0K^\pm$ approach. Here
rescattering processes can be taken into account by just measuring the
CP-violating observables of the decay $B_d\to\pi^0K_{\rm S}$. Finally, we point
out that an experimental analysis of $B_s\to K^+K^-$ modes would also be very
useful to probe the CKM angle $\gamma$, as well as electroweak penguins, and we
critically compare the virtues and weaknesses of the various approaches
discussed in this paper. As a by-product, we point out a strategy to include
the electroweak penguins in the determination of the CKM angle $\alpha$ from
$B\to\pi\pi$ decays.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:03:12 GMT""}]","2011-09-13"
"hep-ph/9810261","Guy Moore","Jim Cline, Jose Espinosa, Guy D. Moore, and Antonio Riotto","String-mediated electroweak baryogenesis: a critical analysis","33 pages, including 8 figures","Phys.Rev. D59 (1999) 065014","10.1103/PhysRevD.59.065014","CERN-TH/98-306, IEM-FT-182/98, MCGILL-98/24","hep-ph",,"  We study the scenario of electroweak baryogenesis mediated by
nonsuperconducting cosmic strings. This idea relies upon electroweak symmetry
being restored in a region around the core of the topological defect so that,
within this region, the rate of baryon number violation is enhanced. We compute
numerically how effectively baryon number is violated along a cosmic string, at
an epoch when the baryon number violation rate elsewhere is negligible. We show
that B-violation along nonsuperconducting strings is quite inefficient. When
proper accounting is taken of the velocity dependence of the baryon number
production by strings, it proves too small to explain the observed abundance by
at least ten orders of magnitude, whether the strings are in the friction
dominated or the scaling regime.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 14:51:35 GMT""}]","2009-10-31"
"hep-th/9810025","Itzhak Bars","Itzhak Bars","Hidden Symmetries, AdS_D x S^n, and the lifting of one-time-physics to
  two-time-physics","Latex, 23 pages. The term ""cosmological constant"" that appeared in
  the original version has been changed to ""mass term"". My apologies for the
  confusion","Phys. Rev. D 59, 045019 (1999)","10.1103/PhysRevD.59.045019","USC-98/HEP-B5","hep-th",,"  The massive non-relativistic free particle in d-1 space dimensions has an
action with a surprizing non-linearly realized SO(d,2) symmetry. This is the
simplest example of a host of diverse one-time-physics systems with hidden
SO(d,2) symmetric actions. By the addition of gauge degrees of freedom, they
can all be lifted to the same SO(d,2) covariant unified theory that includes an
extra spacelike and an extra timelike dimension. The resulting action in d+2
dimensions has manifest SO(d,2) Lorentz symmetry and a gauge symmetry Sp(2,R)
and it defines two-time-physics. Conversely, the two-time action can be gauge
fixed to diverse one-time physical systems. In this paper three new gauge fixed
forms that correspond to the non-relativistic particle, the massive
relativistic particle, and the particle in AdS_(d-n) x S^n spacetime will be
discussed. The last case is discussed at the first quantized and field theory
levels as well. For the last case the popularly known symmetry is SO(d-n-1,2) x
SO(n+1), but yet we show that it is symmetric under the larger SO(d,2). In the
field theory version the action is symmetric under the full SO(d,2) provided it
is improved with a quantized mass term that arises as an anomaly from operator
ordering ambiguities. The anomalous cosmological term vanishes for AdS_2 x S^0
and AdS_n x S^n (i.e. d=2n). The strikingly larger symmetry could be
significant in the context of the proposed AdS/CFT duality.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 23:49:38 GMT""},{""version"":""v2"",""created"":""Tue, 6 Oct 1998 04:51:45 GMT""}]","2016-08-25"
"hep-th/9810031",,"A.Morozov","Identities between Quantum Field Theories in Different Dimensions","LaTeX, 17pp. Talk given at INTAS-RFBR School, September 98",,,"ITEP/TH-56/98","hep-th",,"  Review of some old and relatively new ideas surrounding the subjects of
AdS/CFT correspondence, generalized tau-functions and possible equivalences
between a priori different quantum field theories.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 17:06:22 GMT""}]","2007-05-23"
"hep-th/9810032","Rafael I. Nepomechie","Rafael I. Nepomechie","A Spin Chain Primer","15 pages, LaTeX; to be published in Proceedings ""New Symmetries in
  Statistical Mechanics and Condensed Matter Physics""","Int.J.Mod.Phys. B13 (1999) 2973-2986","10.1142/S0217979299002800","UMTG-214","hep-th nlin.SI solv-int",,"  This is a very elementary introduction to the Heisenberg (XXX) quantum spin
chain, the Yang-Baxter equation, and the algebraic Bethe Ansatz.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 20:26:29 GMT""}]","2015-06-26"
"hep-th/9810033","Mauro Negrao","M. V. Cougo-Pinto, C. Farina, M. R. Negrao and A. Tort","Casimir effect at finite temperature of charged scalar field","6 pages, Latex",,,,"hep-th",,"  The Casimir effect for Dirac as well as for scalar charged particles is
influenced by external magnetic fields. It is also influenced by finite
temperature. Here we consider the Casimir effect for a charged scalar field
under the combined influence of an external magnetic field and finite
temperature. The free energy for such a system is computed using Schwinger's
method for the calculation of the effective action in the imaginary time
formalism. We consider both the limits of strong and weak magnetic field in
which we compute the Casimir free energy and pressure.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 20:37:58 GMT""}]","2007-05-23"
"hep-th/9810034","Rafael I. Nepomechie","Anastasia Doikou and Rafael I. Nepomechie","Parity and Charge Conjugation Symmetries and S Matrix of the XXZ Chain","20 pages, LaTeX; expanded version of hep-th/9808012 ; to be published
  in Festschrift ""Statistical Physics on the Eve of the Twenty-First Century""",,,"UMTG-215","hep-th nlin.SI solv-int",,"  We formulate the notion of parity for the periodic XXZ spin chain within the
Quantum Inverse Scattering Method. We also propose an expression for the
eigenvalues of the charge conjugation operator. We use these discrete
symmetries to help classify low-lying S^z=0 states in the critical regime, and
we give a direct computation of the S matrix.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 20:48:18 GMT""}]","2007-05-23"
"hep-th/9810035","Nikita Nekrasov","Vladimir A. Kazakov, Ivan K. Kostov and Nikita Nekrasov","D-particles, Matrix Integrals and KP hierachy","harvmac, 35 pp. v2. typos corrected","Nucl.Phys. B557 (1999) 413-442","10.1016/S0550-3213(99)00393-4","CERN-TH/98-302, ITEP-TH-35/98, HUTP-98/A051, LPTENS-98/40,
  SPHT-t98/102","hep-th",,"  We study the regularized correlation functions of the light-like coordinate
operators in the reduction to zero dimensions of the matrix model describing
$D$-particles in four dimensions. We investigate in great detail the related
matrix model originally proposed and solved in the planar limit by J. Hoppe. It
also gives the solution of the problem of 3-coloring of planar graphs. We find
interesting strong/weak 't Hooft coupling dependence. The partition function of
the grand canonical ensemble turns out to be a tau-function of KP hierarchy. As
an illustration of the method we present a new derivation of the large-N and
double-scaling limits of the one-matrix model with cubic potential.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 20:51:27 GMT""},{""version"":""v2"",""created"":""Mon, 23 Nov 1998 16:34:33 GMT""}]","2009-10-31"
"hep-th/9810036","P. Menotti","P. Menotti (Department of Physics, University of Pisa, Italy)","Regge-Liouville action from group theory","4 pages LaTeX, to appear in the proceedings of ``Path Integrals from
  peV to TeV'', Florence-Italy, August 25-29, 1998",,,"IFUP-TH 48/98","hep-th gr-qc hep-lat",,"  We work out the constraints imposed by SL(2C) invariance for sphere topology
and modular invariance for torus topology, on the discretized form of Liouville
action in Polyakov's non local covariant form. These are sufficient to
completely fix the discretized action except for the overall normalization
constant and a term which in the continuum limit goes over to a topological
invariant. The treatment can be extended to the supersymmetric case.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 08:31:57 GMT""}]","2007-05-23"
"hep-th/9810037","Stdp","Qiong-gui Lin","Electron-positron pair creation in a vacuum by an electromagnetic field
  in 3+1 and lower dimensions","REVTeX, 10 pages, no figure, a brief note and some more references
  added in the proof","J.Phys.G25:17-26,1999","10.1088/0954-3899/25/1/003",,"hep-th",,"  We calculate the probability of electron-positron pair creation in vacuum in
3+1 dimensions by an external electromagnetic field composed of a constant
uniform electric field and a constant uniform magnetic field, both of arbitrary
magnitudes and directions. The same problem is also studied in 2+1 and 1+1
dimensions in appropriate external fields and similar results are obtained.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 10:01:44 GMT""},{""version"":""v2"",""created"":""Thu, 28 Jan 1999 04:18:32 GMT""}]","2008-11-26"
"hep-th/9810038","Bandos","I. Bandos, E. Ivanov, A. Kapustnikov, S. Ulanov","General Solution of String Inspired Nonlinear Equations","23 pages, latex, no figures, minor corrections","J.Math.Phys. 40 (1999) 5203-5223","10.1063/1.533025","IC/98/94, TUW-98-21","hep-th",,"  We present the general solution of the system of coupled nonlinear equations
describing dynamics of $D$--dimensional bosonic string in the geometric (or
embedding) approach. The solution is parametrized in terms of two sets of the
left- and right-moving Lorentz harmonic variables providing a special coset
space realization of the product of two (D-2)- dimensional spheres
$S^{D-2}={SO(1,D-1) \over SO(1,1) \times SO(D-2) \semiprod K_{D-2}}.$
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:22:13 GMT""},{""version"":""v2"",""created"":""Thu, 8 Oct 1998 14:40:44 GMT""}]","2009-10-31"
"hep-th/9810039","Mauro Francaviglia","Lorenzo Fatibene, Marco Ferraris, Mauro Francaviglia, Marco Raiteri","Remarks on Noether charges and black holes entropy",,"Annals Phys. 275 (1999) 27-53","10.1006/aphy.1999.5915",,"hep-th",,"  We criticize and generalize some properties of Noether charges presented in a
paper by V. Iyer and R. M. Wald and their application to entropy of black
holes. The first law of black holes thermodynamics is proven for any
gauge-natural field theory. As an application charged Kerr-Newman solutions are
considered. As a further example we consider a (1+2) black hole solution.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:05:50 GMT""},{""version"":""v2"",""created"":""Wed, 7 Oct 1998 06:49:21 GMT""}]","2009-10-31"
"hep-th/9810040","Sergei Kuzenko","Ioseph Buchbinder, Sergei Kuzenko, and Burt Ovrut","Covariant Harmonic Supergraphity for N = 2 Super Yang--Mills Theories","17 pages, LAMUPHYS LaTeX, no figures; based on talks given by I.
  Buchbinder and S. Kuzenko at the International Seminar ``Supersymmetries and
  Quantum Symmetries'', July 1997, Dubna; to be published in the proceedings",,"10.1007/BFb0104584",,"hep-th",,"  We review the background field method for general N = 2 super Yang-Mills
theories formulated in the N = 2 harmonic superspace. The covariant harmonic
supergraph technique is then applied to rigorously prove the N=2
non-renormalization theorem as well as to compute the holomorphic low-energy
action for the N = 2 SU(2) pure super Yang-Mills theory and the leading
non-holomorphic low-energy correction for N = 4 SU(2) super Yang-Mills theory.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:16:29 GMT""}]","2009-10-31"
