"adap-org/9801001","Vipul Periwal","Vipul Periwal","Geometric statistical inference","7 pages, RevTeX",,,"PUPT-1741","adap-org nlin.AO",,"  Finite sample size corrections to the reparametrization-invariant solution of
the inverse problem of probability are computed, and shown to converge
uniformly to the correct distribution.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 20:04:28 GMT""}]","2007-05-23"
"hep-ph/9801202","R. C. Verma","K. K. Sharma and R. C. Verma","Rare Decays of \psi and \Upsilon","20 pages, Latex, no figure","Int.J.Mod.Phys. A14 (1999) 937-946","10.1142/S0217751X99000464",,"hep-ph",,"  We study two-body weak hadronic decays of \psi and Upsilon employing the
factorization scheme. Branching ratios for \psi -> PP/PV and \Upsilon -> PP/PV
decays in the Cabibbo-angle-enhanced and Cabibbo-angle-suppressed modes are
predicted.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 03:53:47 GMT""}]","2009-10-31"
"hep-ph/9801203","T. Pradhan","T. Pradhan","A Model of Composite Electrons and Photons","10 Pages, 3 figures",,,"IP-BBSR/97-46","hep-ph",,"  It is shown that electrons and photons can be considered as composities of
particles representating the fundamental representation of the extended Lorentz
group $SU(3)\otimes SU(3)$ in (8+1) dimensional space-time which are held
together by force mediated by gauge particles belonging to the regular
representation. In this theory, spin states of electron, positron and photon
belong to the $8\otimes 8$ representation of the group. The fine structure
constant of the fundamental gauge interaction is found to be unity from the
fact that the photon is massless. The mass of the fundamental particles
constituting the electron and the photon is estimated to be $\geq 10^{21}$ GeV
from the experimental limit for the life-time of electron decay into neutrino
and photon which is a consequence of the model. This corresponds to distances
of less than $10^{-35}$ cm which is smaller than the Planck length indicating
thereby that the composite nature of electrons and photons will be revealed
when we go to Planckian energies.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 07:03:20 GMT""},{""version"":""v2"",""created"":""Mon, 5 Jan 1998 06:30:19 GMT""}]","2007-05-23"
"hep-ph/9801204","Guy Moore","Guy D. Moore","A Nonperturbative Measurement of the Broken Phase Sphaleron Rate","12 pages, 2 figures included with psfig. A few typos fixed, some
  points clarified","Phys.Lett. B439 (1998) 357-365","10.1016/S0370-2693(98)01009-0","MCGILL-97/36","hep-ph hep-lat",,"  We develop a method to compute the sphaleron rate in the electroweak broken
phase nonperturbatively. The rate is somewhat slower than a perturbative
estimate. In SU(2) X U(1) Higgs theory at the physical value of Theta_W, and
assuming that the latent heat of the phase transition reheats the universe to
the equilibrium temperature, baryon number erasure after the phase transition
is prevented only when lambda/g^2 <= 0.036.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 15:53:32 GMT""},{""version"":""v2"",""created"":""Wed, 5 Aug 1998 19:48:57 GMT""}]","2009-10-31"
"hep-th/9712256","Joerg Teschner","J. Teschner","On structure constants and fusion rules in the $SL(2,\BC)/SU(2)$ WZNW
  model","25 pages, AMSLATEX2e, discussion of canonical quantization and fusion
  rules clarified, a few corrections","Nucl.Phys. B546 (1999) 390-422","10.1016/S0550-3213(99)00072-3","LPM-97/03","hep-th",,"  A closed formula for the structure constants in the SL(2,C)/SU(2) WZNW model
is derived by a method previously used in Liouville theory. With the help of a
reflection amplitude that follows from the structure constants one obtains a
proposal for the fusion rules from canonical quantization. Taken together these
pieces of information allow an unambigous definition of any genus zero n-point
function.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 17:14:16 GMT""},{""version"":""v2"",""created"":""Sat, 27 Jun 1998 14:02:55 GMT""}]","2009-10-30"
"hep-th/9712258","Joerg Teschner","J. Teschner","The Mini-Superspace Limit of the SL(2,C)/SU(2)-WZNW Model","17 pages, AMS-LATEX2e, minor corrections","Nucl.Phys. B546 (1999) 369-389","10.1016/S0550-3213(99)00071-1","LPM 97/02","hep-th",,"  Many qualitatively new features of WZNW models associated to noncompact
cosets are due to zero modes with continuous spectrum. Insight may be gained by
reducing the theory to its zero-mode sector, the mini-superspace limit. This
will be discussed in some detail for the example of SL(2,C)/SU(2)-WZNW model.
The mini-superspace limit of this model can be formulated as baby-CFT.
Spectrum, structure constants and fusion rules as well as factorization of four
point functions are obtained from the harmonic analysis on SL(2,C)/SU(2). The
issues of operator-state correspondence or the appearance of non-normalizable
intermediate states in correlation functions can be discussed transparently in
this context.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 16:54:36 GMT""},{""version"":""v2"",""created"":""Sat, 27 Jun 1998 14:11:51 GMT""}]","2009-10-30"
"hep-th/9801001","Yasha Shnir","V.G. Kiselev (Institute of Medicine, Research Centre Juelich, Germany)
  and Ya.M. Shnir (DAMTP, University of Cambridge, UK)","Forced Topological Nontrivial Field Configurations","18 pages, 3 Postscript figures, RevTeX","Phys.Rev. D57 (1998) 5174-5183","10.1103/PhysRevD.57.5174","IC-97-128, ICTP, Trieste, Aug 1997","hep-th",,"  The motion of a one-dimensional kink and its energy losses are considered as
a model of interaction of nontrivial topological field configurations with
external fields. The approach is based on the calculation of the zero modes
excitation probability in the external field. We study in the same way the
interaction of the t'Hooft-Polyakov monopole with weak external fields. The
basic idea is to treat the excitation of a monopole zero mode as the monopole
displacement. The excitation is found perturbatively. As an example we consider
the interaction of the t'Hooft-Polyakov monopole with an external uniform
magnetic field.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 14:00:02 GMT""}]","2009-10-31"
"math-ph/9801201","Ivan Tsyvra","Wilhelm Fushchych, Zoya Symenoh, Ivan Tsyfra","Symmetry of the Schr\""odinger equation with variable potential",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 13-22","10.2991/jnmp.1998.5.1.3","JNMP 4/2002 (Article)","math-ph math.MP",,"  We study symmetry properties of the Schr\""odinger equation with the potential
as a new dependent variable, i.e., the transformations which do not change the
form of the class of equations. We also consider systems of the Schr\""odinger
equations with certain conditions on the potential. In addition we investigate
symmetry properties of the equation with convection term. The contact
transformations of the Schr\""odinger equation with potential are obtained.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"math-ph/9801202","Remi Leandre","R\'emi L\'eandre","Stochastic cohomology of the frame bundle of the loop space",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 23-40","10.2991/jnmp.1998.5.1.4","JNMP 4/2002 (Article)","math-ph math.MP",,"  We study the differential forms over the frame bundle of the based loop
space. They are stochastics in the sense that we put over this frame bundle a
probability measure. In order to understand the curvatures phenomena which
appear when we look at the Lie bracket of two horizontal vector fields, we
impose some regularity assumptions over the kernels of the differential forms.
This allows us to define an exterior stochastic differential derivative over
these forms.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"math-ph/9801203","Denis Blackmore","Denis Blackmore, Yarema A. Prykarpatsky, Roman Samulyak","The integrability of Lie-invariant geometric objects generated by ideals
  in the Grassmann algebra",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 54-67","10.2991/jnmp.1998.5.1.6","JNMP 4/2002 (Article)","math-ph math.MP",,"  We investigate closed ideals in the Grassmann algebra serving as bases of
Lie-invariant geometric objects studied before by E. Cartan. Especially, the E.
Cartan theory is enlarged for Lax integrable nonlinear dynamical systems to be
treated in the frame work of the Wahlquist Estabrook prolongation structures on
jet-manifolds and Cartan-Ehresmann connection theory on fibered spaces. General
structure of integrable one-forms augmenting the two-forms associated with a
closed ideal in the Grassmann algebra is studied in great detail. An effective
Maurer-Cartan one-forms construction is suggested that is very useful for
applications. As an example of application the developed Lie-invariant
geometric object theory for the Burgers nonlinear dynamical system is
considered having given rise to finding an explicit form of the associated Lax
type representation.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"math-ph/9801204","Louis Marchildon","Louis Marchildon","Lie symmetries of Einstein's vacuum equations in N dimensions",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 68-81","10.2991/jnmp.1998.5.1.7","JNMP 4/2002 (Article)","math-ph math.MP",,"  We investigate Lie symmetries of Einstein's vacuum equations in N dimensions,
with a cosmological term. For this purpose, we first write down the second
prolongation of the symmetry generating vector fields, and compute its action
on Einstein's equations. Instead of setting to zero the coefficients of all
independent partial derivatives (which involves a very complicated substitution
of Einstein's equations), we set to zero the coefficients of derivatives that
do not appear in Einstein's equations. This considerably constrains the
coefficients of symmetry generating vector fields. Using the Lie algebra
property of generators of symmetries and the fact that general coordinate
transformations are symmetries of Einstein's equations, we are then able to
obtain all the Lie symmetries. The method we have used can likely be applied to
other types of equations.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"math-ph/9801205","A. Roy Chowdhury","Dolan Chapa Sen, A. Roy Chowdhury","On the Moyal quantized BKP type hierarchies",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 1-7","10.2991/jnmp.1998.5.1.1","JNMP 4/2002 (Letter)","math-ph math.MP",,"  Quantization of BKP type equations are done through the Moyal bracket and the
formalism of pseudo-differential operators. It is shown that a variant of the
dressing operator can also be constructed for such quantized systems.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2016-09-21"
"math-ph/9801206","Maria Gandarias","Maria Luz Gandarias, M. S. Bruz\'on","Classical and nonclassical symmetries of a generalized Boussinesq
  equation",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 8-12","10.2991/jnmp.1998.5.1.2","JNMP 4/2002 (Letter)","math-ph math.AP math.MP",,"  We apply the Lie-group formalism and the nonclassical method due to Bluman
and Cole to deduce symmetries of the generalized Boussinesq equation, which has
the classical Boussinesq equation as an special case. We study the class of
functions $f(u)$ for which this equation admit either the classical or the
nonclassical method. The reductions obtained are derived. Some new exact
solutions can be derived.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"math-ph/9801207","Pilar Gordoa","P. G. Est\'evez, Esther Conde, Pilar R. Gordoa","Unified approach to Miura, B\""acklund and Darboux transformations for
  nonlinear partial differential equations",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 82-114","10.2991/jnmp.1998.5.1.8","JNMP 4/2002 (Review Article)","math-ph math.AP math.MP",,"  This paper is an attempt to present and discuss at some length the Singular
Manifold Method. This Method is based upon the Painlev\'e Property
systematically used as a tool for obtaining clear cut answers to almost all the
questions related with Nonlinear Partial Differential Equations: Lax pairs,
Miura, B\""acklund or Darboux Transformations as well as $\tau$-functions, in a
unified way. Besides to present the basics of the Method we exemplify this
approach by applying it to four equations in $(1+1)$-dimensions. Two of them
are related with the other two through Miura transformations that are also
derived by using the Singular Manifold Method.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"math/9801001","Semen Konstein","S.E.Konstein","Rational Calogero models based on rank-2 root systems: supertraces on
  the superalgebras of observables","7 pages, LATEX",,,"FIAN/TD/97-18","math.QA hep-th",,"  It is shown that the superalgebra of observables of the rational Calogero
model based on the root system of I_2(n) type possesses [(n+1)/2] supertraces.
Model with three-particle interaction based on the root system G_2 belongs to
this class of models and its superalgebra of observables has 3 independent
supertraces.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 03:17:46 GMT""}]","2007-05-23"
"physics/9712056","Luis Gonzalez","Luis Gonzalez-Mestres (LPC College de France and LAPP Annecy)","Lorentz symmetry violation at Planck scale, cosmology and superluminal
  particles","3 pages, LaTeX, uses sprocl.sty; talk given at COSMO-97, Ambleside
  September 15-19 1997. Revised version with a misprint corrected in formula
  (1)",,"10.1142/9789814447263_0085",,"physics.gen-ph",,"  Although Lorentz symmetry has been tested at low energy with extremely good
accuracy, its validity at very high energy is much less well established. If
Lorentz symmetry violation (LSV) is energy-dependent (e.g. $\propto E^2$), it
can be of order 1 at Planck scale and undetectable at GeV scale or below.
Similarly, superluminal particles with positive mass and energy (superbradyons)
can exist and be the ultimate building blocks of matter. We discuss a few
cosmological consequences of such a scenario, as well as possible experimental
tests.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 19:04:19 GMT""},{""version"":""v2"",""created"":""Wed, 21 Jan 1998 03:48:02 GMT""}]","2016-10-26"
"physics/9801035","Mina Abd-el-Malek","Mina B. Abd-el-malek, Malak N. Makar","Progressive internal gravity waves with bounded upper surface climbing a
  triangular obstacle",,"J. Nonlinear Math. Phys. 5 (1998), no. 1, 41-53","10.2991/jnmp.1998.5.1.5","JNMP 4/2002 (Article)","physics.flu-dyn",,"  In this paper we discuss a theoretical model for the interfacial profiles of
progressive non-linear waves which result from introducing a triangular
obstacle, of finite height, attached to the bottom below the flow of a
stratified, ideal, two layer fluid, bounded from above by a rigid boundary. The
derived equations are solved by using a nonlinear perturbation method. The
dependence of the interfacial profile on the triangular obstacle size, as well
as its dependence on some flow parameters, such as the ratios of depths and
densities of the two fluids, have been studied.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:00:00 GMT""}]","2015-06-26"
"quant-ph/9712058","Igor Kanatczikow","Igor V. Kanatchikov","Towards the Born-Weyl Quantization of Fields","12pp, LaTeX2e. Talk at ""Quantum Structures-96"", Berlin, Aug. 1996. To
  appear in Int. J. Theor. Phys. (1998), January","Int.J.Theor.Phys. 37 (1998) 333-342",,,"quant-ph gr-qc hep-th math-ph math.MP",,"  Elements of the quantization in field theory based on the covariant
polymomentum Hamiltonian formalism (the De Donder-Weyl theory), a possibility
of which was originally discussed in 1934 by Born and Weyl, are developed. The
approach is based on a recently proposed graded Poisson bracket on differential
forms in field theory (see e.g. hep-th/9709229). A covariant analogue of the
Schr\""odinger equation for a hypercomplex wave function on the space of field
and space-time variables is put forward. It is shown to lead to the De
Donder-Weyl Hamilton-Jacobi equations in quasiclassical limit. A possible
relation to the functional Schr\""odinger picture in quantum field theory is
outlined.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 19:30:26 GMT""}]","2007-05-23"
