"adap-org/9801002","Fernando Fagundes Ferreira","F F Ferreira and J F Fontanari","Probabilistic Analysis of the Number Partitioning Problem","14 pages and 5 figures",,"10.1088/0305-4470/31/15/007",,"adap-org cond-mat.stat-mech math-ph math.MP nlin.AO",,"  Given a sequence of $N$ positive real numbers $\{a_1,a_2,..., a_N \}$, the
number partitioning problem consists of partitioning them into two sets such
that the absolute value of the difference of the sums of $a_j$ over the two
sets is minimized. In the case that the $a_j$'s are statistically independent
random variables uniformly distributed in the unit interval, this NP-complete
problem is equivalent to the problem of finding the ground state of an
infinite-range, random anti-ferromagnetic Ising model. We employ the annealed
approximation to derive analytical lower bounds to the average value of the
difference for the best constrained and unconstrained partitions in the large
$N$ limit. Furthermore, we calculate analytically the fraction of metastable
states, i.e. states that are stable against all single spin flips, and found
that it vanishes like $N^{-3/2}$.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:29:47 GMT""}]","2009-10-30"
"cond-mat/9801134","Xavier Waintal","Xavier Waintal (1), Dietmar Weinmann (2) and Jean-Louis Pichard (1)
  ((1) CEA Saclay, France (2) Augsburg, Germany)","Two interacting particles in a disordered chain II: Critical statistics
  and maximum mixing of the one body states","Second paper of a serie of four, to appear in Eur. Phys. J","Eur. Phys. J. B 7, 451-456 (1999)","10.1007/s100510050633",,"cond-mat.str-el cond-mat.dis-nn",,"  For two particles in a disordered chain of length $L$ with on-site
interaction $U$, a duality transformation maps the behavior at weak interaction
onto the behavior at strong interaction. Around the fixed point of this
transformation, the interaction yields a maximum mixing of the one body states.
When $L \approx L_1$ (the one particle localization length), this mixing
results in weak chaos accompanied by multifractal wave functions and critical
spectral statistics, as in the one particle problem at the mobility edge or in
certain pseudo-integrable billiards. In one dimension, a local interaction can
only yield this weak chaos but can never drive the two particle system to full
chaos with Wigner-Dyson statistics.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 11:45:44 GMT""},{""version"":""v2"",""created"":""Thu, 13 Aug 1998 13:54:31 GMT""}]","2009-10-31"
"cond-mat/9801135","Goetz Seibold","G. Seibold, E. Sigmund, and V. Hizhnyakov","Unrestricted slave-boson mean-field approximation for the
  two-dimensional Hubbard model","6 pages, 8 figures, Accepted for publication in Phys. Rev. B",,"10.1103/PhysRevB.57.6937",,"cond-mat.str-el cond-mat.supr-con",,"  The Kotliar-Ruckenstein slave-boson scheme is used to allow for an
unrestricted variation of the bosonic and fermionic fields on the saddle-point
level. Various inhomogeneous solutions, such as spin polarons and domain walls
are discussed within the two-dimensional Hubbard model and compared with
results of unrestricted Hartree-Fock (HF) calculations. We find that the
present approach drastically reduces the polarization of these states and leads
to increased delocalized wave functions as compared to the HF model. The
interaction between two spin polarons turns out to be attractive over a wide
range of the on-site repulsion U. In addition we obtain the crossover from
vertical to diagonal domain walls at a higher value of U than predicted by HF.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:01:48 GMT""}]","2009-10-31"
"cond-mat/9801136",,"M. Alimohammadi, V. Karimipour, and M. Khorrami","Exact solution of a one-parameter family of asymmetric exclusion
  processes","14 pages, LaTex","Phys. Rev. E57 (1998) 6370","10.1103/PhysRevE.57.6370",,"cond-mat hep-th",,"  We define a family of asymmetric processes for particles on a one-dimensional
lattice, depending on a continuous parameter $\lambda \in [0,1] $,
interpolating between the completely asymmetric processes [1] (for $\lambda
=1$) and the n=1 drop-push models [2] (for $ \lambda =0$). For arbitrary $\la$,
the model describes an exclusion process, in which a particle pushes its right
neighbouring particles to the right, with rates depending on the number of
these particles. Using the Bethe ansatz, we obtain the exact solution of the
master equation .
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:52:53 GMT""}]","2009-10-31"
"cond-mat/9801137","Jort van Mourik","Jort van Mourik, Cecilia Clementi, Amos Maritan, Flavio Seno, J.R.
  Banavar","Determination of Interaction Potentials of Amino Acids from Native
  Protein Structures: Test on Simple Lattice Models","24 pages, 4 figures",,"10.1063/1.478885",,"cond-mat.soft cond-mat.dis-nn cond-mat.stat-mech q-bio",,"  We propose a novel method for the determination of the effective interaction
potential between the amino acids of a protein. The strategy is based on the
combination of a new optimization procedure and a geometrical argument, which
also uncovers the shortcomings of any optimization procedure. The strategy can
be applied on any data set of native structures such as those available from
the Protein Data Bank (PDB). In this work, however, we explain and test our
approach on simple lattice models, where the true interactions are known a
priori. Excellent agreement is obtained between the extracted and the true
potentials even for modest numbers of protein structures in the PDB.
Comparisons with other methods are also discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:21:06 GMT""},{""version"":""v2"",""created"":""Thu, 15 Jan 1998 15:30:14 GMT""}]","2009-10-31"
"cond-mat/9801138","Kiran M. Kolwankar","Kiran M. Kolwankar and Anil D. Gangal","Local fractional Fokker-Planck equation","4 pages, Revtex","Phys. Rev. Lett., 80 (1998) 214","10.1103/PhysRevLett.80.214",,"cond-mat.stat-mech",,"  New kind of differential equations, called local fractional differential
equations, has been proposed for the first time. They involve local fractional
derivatives introduced recently. Such equations appear to be suitable to deal
with phenomena taking place in fractal space and time. A local fractional
analog of Fokker-Planck equation has been derived starting from the
Chapman-Kolmogorov condition. Such an equation is solved, with a specific
choice of the transition probability, and shown to give rise to subdiffusive
behavior.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:46:37 GMT""}]","2009-10-31"
"cond-mat/9801139","Geza Odor","Nora Menyhard and Geza Odor","Compact parity conserving percolation in one-dimension","7 pages, 7 figures embedded in the latex, final form before J.Phys.A
  publication","J. Phys. A 31 (1998) 6771","10.1088/0305-4470/31/32/003",,"cond-mat.stat-mech cond-mat.mtrl-sci hep-th",,"  Compact directed percolation is known to appear at the endpoint of the
directed percolation critical line of the Domany-Kinzel cellular automaton in
1+1 dimension. Equivalently, such transition occurs at zero temperature in a
magnetic field H, upon changing the sign of H, in the one-dimensional
Glauber-Ising model with well known exponents characterising spin-cluster
growth. We have investigated here numerically these exponents in the
non-equilibrium generalization (NEKIM) of the Glauber model in the vicinity of
the parity-conserving phase transition point of the kinks. Critical
fluctuations on the level of kinks are found to affect drastically the
characteristic exponents of spreading of spins while the hyperscaling relation
holds in its form appropriate for compact clusters.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 15:22:50 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jun 1998 15:07:36 GMT""}]","2009-10-31"
"cond-mat/9801140","Jean-Philippe Bouchaud","Albert Compte (Universitat Autonoma - Barcelona), Jean-Philippe
  Bouchaud (CEA-Saclay)","Localisation in 1D random random walks","submitted to J. Phys. A",,"10.1088/0305-4470/31/29/004",,"cond-mat.dis-nn",,"  Diffusion in a one dimensional random force field leads to interesting
localisation effects, which we study using the equivalence with a directed walk
model with traps. We show that although the average dispersion of positions
$\bar{< x^2 > - < x > ^2}$ diverges for long times, the probability that two
particles occupy the same site tends to a finite constant in the small bias
phase of the model. Interestingly, the long time properties of this
off-equilibrium, aging phase is similar to the equilibrium phase of the Random
Energy Model.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 15:43:57 GMT""}]","2009-10-31"
"gr-qc/9801044","Brett E. Taylor","Brett E. Taylor, Chris M. Chambers, and William A. Hiscock","Evaporation of a Kerr black hole by emission of scalar and higher spin
  particles","22 pages, 13 figures, RevTeX format; added clearer descriptions for
  variables, added journal reference","Phys.Rev.D58:044012,1998","10.1103/PhysRevD.58.044012","MSUPHY97.09","gr-qc",,"  We study the evolution of an evaporating rotating black hole, described by
the Kerr metric, which is emitting either solely massless scalar particles or a
mixture of massless scalar and nonzero spin particles. Allowing the hole to
radiate scalar particles increases the mass loss rate and decreases the angular
momentum loss rate relative to a black hole which is radiating nonzero spin
particles. The presence of scalar radiation can cause the evaporating hole to
asymptotically approach a state which is described by a nonzero value of $a_*
\equiv a / M$. This is contrary to the conventional view of black hole
evaporation, wherein all black holes spin down more rapidly than they lose
mass. A hole emitting solely scalar radiation will approach a final asymptotic
state described by $a_* \simeq 0.555$. A black hole that is emitting scalar
particles and a canonical set of nonzero spin particles (3 species of
neutrinos, a single photon species, and a single graviton species) will
asymptotically approach a nonzero value of $a_*$ only if there are at least 32
massless scalar fields. We also calculate the lifetime of a primordial black
hole that formed with a value of the rotation parameter $a_{*}$, the minimum
initial mass of a primordial black hole that is seen today with a rotation
parameter $a_{*}$, and the entropy of a black hole that is emitting scalar or
higher spin particles.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 21:46:24 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jul 1998 20:45:52 GMT""}]","2010-11-19"
"gr-qc/9801046","Murat Ozer","Murat \""Ozer","Implications of a Quantum Mechanical Treatment of the Universe","LaTex, 5 pages, 1 figure, to be published in Mod. Phys. Lett. A","Mod.Phys.Lett. A13 (1998) 347-352","10.1142/S0217732398000401",,"gr-qc astro-ph hep-th",,"  We attempt to treat the very early Universe according to quantum mechanics.
Identifying the scale factor of the Universe with the width of the wave packet
associated with it, we show that there cannot be an initial singularity and
that the Universe expands. Invoking the correspondence principle, we obtain the
scale factor of the Universe and demonstrate that the causality problem of the
standard model is solved.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 06:50:00 GMT""}]","2009-10-31"
"gr-qc/9801047","Arkady A. Popov","Arkadii Popov (Kazan State Pedagogical University)","Cosmic String Created from Vacuum Fluctuaions","6 pages, LaTex",,,,"gr-qc",,"  The possibility of the cosmic string creation by the vacuum fluctuations of
quantum fields in the self-consistent semiclassical theory of gravity is
discussed. We use the approximate method for obtaining vacuum expectation value
of the renormalized stress-energy tensor of conformally invariant quantum
fields in static cylindrically symmetric spacetimes. We have obtained the
particular solutions of Einstein equations for the different boundary
conditions at the cylinder symmetry axis.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:28:03 GMT""}]","2007-05-23"
"gr-qc/9801048","Eckhard Hitzer","A. Geitner (1), M. Hanauske (1), E. Hitzer (2) ((1) U. of Konstanz in
  Germany, (2) U. of Kyoto in Japan)","New Higgs Field Ansatz for Effective Gravity in Flat Space Time","10 pages, no figures, LaTeX2e, to appear in: Acta Physica Polonica,
  Proc. of Gauge Theories of Gravity, Jadwisin, Pl. (9/97)","Acta Phys.Polon. B29 (1998) 971-980",,,"gr-qc",,"  Regarding Pauli's matrices as proper Higgs fields one can deduce an
effective(!) approximation for gravity in flat space. In this work we extend
this approximation up to the second order. Reaching complete agreement in the
special case of gravitational waves. Unification in view, we introduce
isospinorial degrees of freedom. In this way the mass spectrum and chiral
asymmetry can be generated with the help of an additional scalar Higgs field.
The Higgs modes corresponding to gravity are discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 12:52:21 GMT""}]","2007-05-23"
"gr-qc/9801049","Tomohiro Harada","Tomohiro Harada","Neutron stars in scalar-tensor theories of gravity and catastrophe
  theory","17 pages, 9 postscript figures. Accepted for publication in Physical
  Review D","Phys.Rev. D57 (1998) 4802-4811","10.1103/PhysRevD.57.4802","KUNS-1476","gr-qc astro-ph",,"  We investigate neutron stars in scalar-tensor theories. We examine their
secular stability against spherically symmetric perturbations by use of a
turning point method. For some choices of the coupling function contained in
the theories, the number of the stable equilibrium solutions changes and the
realized equilibrium may change discontinuously as the asymptotic value of the
scalar field or total baryon number is changed continuously. The behaviour of
the stable equilibrium solutions is explained by fold and cusp catastrophes.
Whether the cusp catastrophe appears or not depends on the choices of the
coupling function. These types of the catastrophes are structurally stable.
Recently discovered spontaneous scalarization, which is non-perturbative
strong-field phenomenon due to the presence of the gravitational scalar field,
is well described in terms of the cusp catastrophe.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:10:15 GMT""},{""version"":""v2"",""created"":""Tue, 24 Feb 1998 02:04:04 GMT""}]","2009-10-31"
"hep-ex/9801011","Victor Steiner","Murray A. Moinester, Victor Steiner","Primakoff Physics for CERN COMPASS Hadron Beam: Hadron Polarizabilities,
  Hybrid Mesons, Chiral Anomaly, Meson Radiative Transitions","Contribution to the Proceedings of the Charles U./JINR and
  International U. (Dubna) CERN COMPASS Summer School, Charles University,
  Prague, Czech Republic, August 1997, Eds. M. Chavleishvili and M. Finger Tel
  Aviv U. Preprint TAUP TAUP-2473-98. 26 pages, 11 figures, latex",,,"Tel Aviv U. Preprint TAUP TAUP-2473-98","hep-ex",,"  We describe a hadron physics program attainable with a partially instrumented
CERN COMPASS spectrometer, involving tracking detectors and moderate-size
ECAL2/HCAL2 calorimeters. COMPASS can realize a state-of-the-art hadron beam
physics program based on hadron polarizability, hybrid mesons, chiral anomaly,
and meson radiative transition studies. We review here the physics motivation
for this hadron beam program. We describe the beam, detector, trigger
requirements, and hardware/software requirements for this program. The triggers
for all this physics can be implemented for simultaneous data taking. The
program is based on using a hadron beam (positive/negative pion, kaon, proton)
in COMPASS.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 16:44:52 GMT""}]","2007-05-23"
"hep-lat/9801011",,"B.L.G. Bakker, M.N. Chernodub, F.V. Gubarev, M.I. Polikarpov and A.I.
  Veselov","Properties of Abelian Monopoles in SU(2) Lattice Gluodynamics","4 pages, LaTeX, 2 figures, uses epsf.sty; Talk given by M.I.
  Polikarpov at 31st International Symposium Ahrenshoop on the Theory of
  Elementary Particles, Buckow, September 2-6, 1997",,,"ITEP-TH-1/98","hep-lat hep-ph hep-th",,"  We discuss some properties of abelian monopoles in the Maximal Abelian
projection of the SU(2) lattice gluodynamics. We show that in the maximal
abelian projection abelian monopoles carry fluctuating electric charge and that
the monopole currents are correlated with the magnetic and the electric parts
of the SU(2) action density.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 16:09:05 GMT""}]","2007-05-23"
"hep-ph/9801283","Javier Magnin","H.R. Christiansen and J. Magnin","Strange / anti-strange asymmetry in the nucleon sea","Modified version, several improvements. To appear in Phys. Lett. B","Phys.Lett. B445 (1998) 8-13","10.1016/S0370-2693(98)01460-9","CBPF-NF-003/98","hep-ph hep-ex nucl-th",,"  We analyze the non-perturbative structure of the strange sea of the nucleon
within a meson cloud picture. In a low $Q^2$ approach in which the nucleon is
viewed as a three valon bound state, we evaluate the probability distribution
of an in-nucleon Kaon-Hyperon pair in terms of splitting functions and
recombination. The resulting kaon and hyperon probability densities are
convoluted with suitable strange distributions inside the meson and baryon in
order to obtain non-perturbative contributions to the strange sea of the
nucleon. We find a structured strange/anti-strange asymmetry, displaying a
clear excess of quarks (anti-quarks) for large (small) momentum fractions
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:56:51 GMT""},{""version"":""v2"",""created"":""Wed, 25 Nov 1998 12:03:31 GMT""}]","2009-10-31"
"hep-ph/9801284",,"M. Suzuki","Long-distance final-state interactions and J/psi decay","11 pages, RevTex","Phys.Rev.D57:5717-5722,1998","10.1103/PhysRevD.57.5717","UCB-PTH-98/2, LBNL-41255","hep-ph",,"  To understand the short-distance vs long-distance final-state interactions,
we have performed a detailed amplitude analysis for the two-body decay, J/psi
into vector and pseudoscalar mesons. The current data favor a large relative
phase nearly 90 degrees between the three-gluon and one-photon decay
amplitudes. The source of this phase is apparently in the long-distance
final-state interaction. Nothing anomalous is found in the magnitudes of the
three-gluon and one-photon amplitudes. We discuss implications of this large
relative phase in the weak decay of heavy particles.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 19:11:29 GMT""}]","2008-11-26"
"hep-ph/9801285","Iain Bertram","B. Abbott, I.A. Bertram, M. Bhattacharjee, G. Di Loreto, V.D. Elvira,
  R. Hirosky, T.Joffe-Minor, J. Krane and F. Nang","An Investigation of Uncertainties in the QCD NLO Predictions of the
  Inclusive Jet Cross Section in pbarp Collisions at sqrt(s) = 1.8 TeV and 630
  GeV","22 pages, 12 figure","Eur.Phys.J.C5:687-692,1998","10.1007/s100520050310","FERMILAB-Pub-98/017","hep-ph",,"  Uncertainties in the NLO calculation of the inclusive jet cross section due
to the choice of renormalization scale, parton distribution functions and
clustering algorithm are explored. These are found to be similar in size to the
current experimental uncertainties of the measured inclusive jet cross section
at DZero and CDF.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 19:42:39 GMT""}]","2011-09-13"
"hep-ph/9801286","Ola Tornkvist","Ola Tornkvist (Fermilab and DAMTP, Cambridge)","Magnetic Fields from the Electroweak Phase Transition","Talk presented at the International Workshop on Particle Physics and
  the Early Universe (COSMO--97) in Ambleside, England, 15-19 Sept 1997. To
  appear in the proceedings (World Scientific). LaTeX, 5 pages",,"10.1142/9789814447263_0056","FERMILAB-Conf-98/018-A, DAMTP-98-2","hep-ph astro-ph",,"  I review some of the mechanisms through which primordial magnetic fields may
be created in the electroweak phase transition. I show that no magnetic fields
are produced initially from two-bubble collisions in a first-order transition.
The initial field produced in a three-bubble collision is computed. The
evolution of fields at later times is discussed.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 20:53:07 GMT""}]","2016-10-26"
"hep-ph/9801287","Valeri Dvoeglazov","Valeri V. Dvoeglazov (Escuela de Fisica, UAZ)","On unusual interactions of the (1/2,0)+(0,1/2) particles","ReVTeX file, 7pp., no figures","Adv. Appl. Clifford Algebras 9 (1999) 231-236, revised version in
  Electromagnetic Phenomena, 2, No. 1 (5), pp. 3-6 (2001)",,"EFUAZ FT-97-45-REV","hep-ph",,"  We continue to study the `fermion -- 4-vector potential' interactions in the
framework of the McLennan-Case construct which is a reformulation of the
Majorana theory of the neutrino. This theory is shown after applying
Majorana-like anzatzen to give rise to appearance of unusual terms as
\vec\sigma \cdot [\vec A \times \vec A^\ast ], which were recently discussed in
non-linear optics.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 22:09:09 GMT""}]","2013-07-12"
"hep-ph/9801288","Sharon Jensen","S. J. Brodsky (SLAC)","High Energy Photon-Photon and Electron-Photon Collisions","LaTex, 12 pages","Int.J.Mod.Phys.A13:2417-2428,1998","10.1142/S0217751X98001207","SLAC-PUB-7732","hep-ph",,"  The advent of a next linear $e^\pm e^-$ collider and back-scatterd laser
beams will allow the study of a vast array of high energy processes of the
Standard Model through the fusion of real and virtual photons and other gauge
bosons. As examples, I discuss virtual photon scattering $\gamma^* \gamma^* \to
X$ in the region dominated by BFKL hard Pomeron exchange and report the
predicted cross sections at present and future $e^\pm e^-$ colliders. I also
discuss exclusive $\gamma \gamma$ reactions in QCD as a measure of hadron
distribution amplitudes and a new method for measuring the anomalous magnetic
and quadrupole moments of the $W$ and $Z$ gauge bosons to high precision in
polarized electron-photon collisions.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 23:17:44 GMT""}]","2009-09-11"
"hep-ph/9801289","Sei Umisedo Quark-Nuclear Group Research","S. Umisedo, H. Toki and H. Suganuma (Research Center for Nuclear
  Physics, Osaka University)","Properties of the QCD vacuum in the dual Ginzburg-Landau theory","3 pages, LateX, sprocl.sty and 2 figures included. Talk presented by
  S. Umisedo at XVII RCNP International Symposium on Innovative Computational
  Methods in Nuclear Many-Body Problems (INNOCOM97), 10 - 15, Nov., 1997,
  Osaka, Japan",,,,"hep-ph",,"  We study the properties of the QCD vacuum in the dual Ginzburg-Landau theory,
where QCD-monopole condensation leads to the linear confinement potential.
Using the effective potential, we find monopole dominance for chiral-symmetry
breaking. The effective mass of off-diagonal (charged) gluons is estimated as
$M_{ch} \simeq 1.31$ GeV. The gluon condensate is calculated as
$<\frac{\alpha_{s}}{\pi}G^2 > = (344 MeV)^4$.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 07:05:51 GMT""}]","2007-05-23"
"hep-ph/9801290","Murat Ozer","Ali Al-Naghmoush, Murat \""Ozer and M. O. Taha","An Upper Bound on the Higgs Boson Mass from a Positivity Condition on
  the Mass Matrix","LaTex, 5 pages","Mod.Phys.Lett. A13 (1998) 753-758","10.1142/S0217732398000814",,"hep-ph",,"  We impose the condition that the eigenvalues of the mass matrix in the
shifted Lagrangian density be positive at \phi=\phi_{0}, the vacuum expectation
value of the scalar field. Using the one-loop effective potential of the
standard model, this condition leads to an upper bound on the Higgs boson mass
m_{H}: m_{H}<230GeV, for a top quark mass of 175GeV.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 07:09:51 GMT""}]","2009-10-31"
"hep-ph/9801291","M. Rysavy","J. Rizek, V. Brabec, O. Dragoun, M. Rysavy, A. Spalek","A possible origin of the endpoint anomaly in tritium beta-spectrum","9 pages, no figures. Requires file myown.sty (included)",,,"NPI Rez - EXP - 01/98","hep-ph",,"  The influence of the residual T atoms appearing after the decay of T_2
molecule on the beta-spectrum shape is considered. Recent experiments performed
in Mainz, Troitsk, and Livermore are briefly reviewed from this viewpoint.
Aspects connected with the possible time dependent change of the tritium source
composition are discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 08:45:25 GMT""}]","2007-05-23"
"hep-ph/9801292","Nils Hammon","N. Hammon, A. Dumitru, H. Stoecker, W. Greiner","Nuclear Shadowing Effects on Prompt Photons at RHIC and LHC","15 pages, Latex, 10 eps-figures","Phys.Rev.C57:3292-3298,1998","10.1103/PhysRevC.57.3292",,"hep-ph nucl-th",,"  The transverse momentum distribution of prompt photons coming from the very
early phase of ultrarelativistic heavy ion collisions for the RHIC and LHC
energies is calculated by means of perturbative QCD. We calculate the single
photon cross section ($A+B\to \gamma +X$) by taking into account the partonic
sub processes $q+ \bar{q}\to \gamma +g$ and $q+g\to\gamma +q$ as well as the
Bremsstrahlung corrections to those processes. We choose a lower momentum
cut-off $k_0 =2$ GeV separating the soft physics from perturbative QCD. We
compare the results for those primary collision with the photons produced in
reactions of the thermalized secondary particles, which are calculated within
scaling hydrodynamics. The QCD processes are taken in leading order. Nuclear
shadowing corrections, which alter the involved nuclear structure functions are
explicitly taken into account and compared to unshadowed results. Employing the
GRV parton distribution parametrizations we find that at RHIC prompt
QCD-photons dominate over the thermal radiation down to transverse momenta $k_T
\approx 2$ GeV. At LHC, however, thermal radiation from the QGP dominates for
photon transverse momenta $k_T \leq 5$ GeV, if nuclear shadowing effects on
prompt photon production are taken into account.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:32:28 GMT""}]","2008-11-26"
"hep-ph/9801293","Kapogiannis Athanasios","A. S. Kapoyannis, C. N. Ktorides and A. D. Panagiotou (University of
  Athens)","An extension of the Statistical Bootstrap Model to include Strangeness","15 pages, 8 figures in 5 files","J.Phys.G23:1921,1997","10.1088/0954-3899/23/12/016","UA/NPPS-10-1997","hep-ph",,"  We extend the Statistical Bootstrap Model (SBM) in order to describe hadronic
systems which carry strangeness. We establish that the hadronic phase can exist
only in a region of the three-dimensional space of temperature, up-down and
strange chemical potentials, which is bounded by a critical critical surface.
We first employ the usual version of the SBM, which corresponds to the value 2
of the exponent which determines the asymptotic fall-off of the mass spectrum
and impose strangeness neutrality in order to obtain the relation between the
temperature and the chemical potentials of the quarks. We find an unphysical
behaviour of the strange chemical potential near the critical surface.
Subsequently, we study another version of SBM where the value of the exponent
equals 4 and we are led to a realistic as well as acceptable behaviour. In this
case we are also able to relate the parameter of the model, the critical
temperature at zero strange chemical potential) with the MIT bag constant B.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:21:15 GMT""}]","2008-11-26"
"hep-ph/9801294",,"Mayumi Aoki (Graduate School of Humanities and Sciences, Ochanomizu
  University), Noriyuki Oshimo (Institute for Cosmic Ray Research,University of
  Tokyo)","CP violation in the top-quark system through light squarks","18 pages, 5 figures","Nucl.Phys. B531 (1998) 49-64","10.1016/S0550-3213(98)00428-3","ICRR-Report-405-97-28, OCHA-PP-108","hep-ph",,"  We study a decay rate asymmetry of the top quark in the supersymmetric
standard model, taking into account the constraints from the electric dipole
moments of the neutron and the electron. One CP-violating phase contained in
the mass-squared matrices of squarks and sleptons is allowed to have an
unsuppressed value, even if their masses are of order 100 GeV. Sizable $CP$
violation could then occur in the production and decay of the top quark through
interactions with top squarks. The asymmetry between the widths for the decays
$t\to bW^+$ and $\bar t\to \bar bW^-$ can be of order $10^{-3}$, which will
possibly be detectable in the near future.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:30:53 GMT""}]","2009-10-31"
"hep-ph/9801295","Hyun-Chul Kim","Hyun-Chul Kim, Michal Prasza{\l}owicz, Maxim V. Polyakov, and Klaus
  Goeke","Flavor structure of the octet magnetic moments","10 pages. RevTeX is used. One figure is included. The final version
  accepted for publication in Phys. Rev. D","Phys.Rev. D58 (1998) 114027","10.1103/PhysRevD.58.114027","RUB-TPII-05/97","hep-ph nucl-th",,"  We use the chiral quark-soliton model to identify all symmetry breaking terms
linear in $m_{s}$ and investigate the strange magnetic moment in a
``model-independent'' way. Assuming hedgehog symmetry and employing the
collective quantization, we obtain the most general expression for the
flavor-singlet and flavor-octet magnetic moments in terms of seven independent
parameters. Having fitted these parameters to the experimental magnetic moments
of the octet baryons, we show that the strange magnetic moment turns out to be
positive. The best fit obtained by minimizing $\chi^2$ assuming 15% theoretical
accuracy yields: $\mu^{({\rm s})}_{N} = (0.41 \pm 0.18) \mu_{N}$.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:47:41 GMT""},{""version"":""v2"",""created"":""Sat, 11 Jul 1998 15:28:52 GMT""}]","2009-10-31"
"hep-ph/9801296",,"Mayumi Aoki (Graduate School of Humanities and Sciences Ochanomizu
  University), Noriyuki Oshimo (Institute for Cosmic Ray Research, University
  of Tokyo)","Baryogenesis from top squark transport","6 pages, sprocl.sty, To appear in the Proceedings of the
  International Workshop on Physics beyond the Standard Model: from Theory to
  Experiment",,,"ICRR-Report-406-97-29, OCHA-PP-112","hep-ph",,"  Baryon asymmetry of the universe is generated in the supersymmetric standard
model (SSM) through the charge transport mechanism mediated by top squarks.
Necessary CP violation originates from a complex phase contained in
mass-squared matrices of squarks and sleptons. This complex phase also gives
contributions to the electric dipole moments (EDMs) of the neutron and the
electron. The amount of induced baryon asymmetry is consistent with its
observed value within reasonable ranges of SSM parameters. The EDMs are
predicted to be slightly smaller than their experimental upper limits.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 12:05:32 GMT""}]","2007-05-23"
"hep-ph/9801297","U. Meissner","V\'eronique Bernard, Harold W. Fearing, Thomas R. Hemmert, Ulf-G.
  Mei{\ss}ner","The form factors of the nucleon at small momentum transfer","21 pp, RevTeX, uses epsf, 4 figs, minor corrections, accepted for
  publication in Nucl.Phys.A","Nucl.Phys. A635 (1998) 121-145; Erratum-ibid. A642 (1998) 563-563","10.1016/S0375-9474(98)00175-4","KFA-IKP(TH)-1998-01, LPT-98-01, TRI-PP-97-73","hep-ph nucl-th",,"  We study the low energy expansion of the nucleon's electroweak form factors
in the framework of an effective chiral Lagrangian including pions, nucleons
and the $Delta (1232)$. We work to third order in the so-called small scale
expansion and compare the results with the ones previously obtained in the
chiral expansion. In addition, these calculations serve as a first exploratory
study of renormalization and decoupling within the small scale expansion.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 12:11:08 GMT""},{""version"":""v2"",""created"":""Tue, 28 Apr 1998 15:16:40 GMT""}]","2009-10-31"
