"adap-org/9811002","Barbara Drossel","Barbara Drossel","A simple model for the formation of a complex organism","Final version, including more references, to appear in PRL","Phys. Rev. Lett. 82, 5144 (1999)","10.1103/PhysRevLett.82.5144",,"adap-org nlin.AO q-bio",,"  A simple model for the formation of a complex organism is introduced.
Individuals can communicate and specialize, leading to an increase in
productivity. If there are limits to the capacity of individuals to communicate
with other individuals, the individuals form groups that interact with each
other, leading to a complex organism that has interacting units on all scales.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:56:54 GMT""},{""version"":""v2"",""created"":""Mon, 10 May 1999 13:52:22 GMT""}]","2009-10-30"
"cond-mat/9811165","Murray. Batchelor","M.T. Batchelor (ANU)","The integrable open XXZ chain with broken Z_2 symmetry","5 pages, talk given at the 22nd International Colloqium for Group
  Theoretical Methods in Physics, Hobart, July 1998","Proceedings of the 22nd International Colloquium on Group
  Theoretical Methods in Physics, eds S.~P. Corney et al, International Press,
  Boston (1999) pp 261-265",,,"cond-mat.stat-mech",,"  The hamiltonian of an asymmetric diffusion process with injection and
ejection of particles at the ends of a chain of finite length is known to be
relevant to that of the spin-1/2 XXZ chain with integrable boundary terms.
However, the inclusion of boundary sources and sinks of particles breaks the
arrow-reversal symmetry necessary for solution via the usual Bethe Ansatz
approach. Developments in solving the model in the absence of arrow-reversal
symmetry are discussed.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 04:27:53 GMT""}]","2007-05-23"
"cond-mat/9811166","Pierbiagio Pieri","P. Pieri and G.C. Strinati","On the correct strong-coupling limit in the evolution from BCS
  superconductivity to Bose-Einstein condensation","25 pages, 14 figures included in paper","Phys. Rev. B 62 (2000) 15370 (paper reduced by half)","10.1103/PhysRevB.61.15370",,"cond-mat.supr-con",,"  We consider the problem of the crossover from BCS superconductivity to
Bose-Einstein condensation in three dimensions for a system of fermions with an
attractive interaction, for which we adopt the simplifying assumption of a
suitably regularized point-contact interaction. We examine in a critical way
the fermionic (self-consistent) T-matrix approximation which has been widely
utilized in the literature to describe this crossover above the superconducting
critical temperature, and show that it fails to yield the correct behaviour of
the system in the strong-coupling limit, where composite bosons form as tightly
bound fermion pairs. We then set up the correct approximation for a ``dilute''
system of composite bosons and show that an entire new class of diagrams has to
be considered in the place of the fermionic T-matrix approximation for the
self-energy. This new class of diagrams correctly describes both the weak- and
strong-coupling limits, and consequently results into an improved interpolation
scheme for the intermediate (crossover) region. In this context, we provide
also a systematic mapping between the corresponding diagrammatic theories for
the composite bosons and the constituent fermions. As a preliminary result to
demonstrate the numerical effect of our new class of diagrams on physical
quantities, we calculate the value of the scattering length for composite
bosons in the strong-coupling limit and show that it is considerably modified
with respect to the result obtained within the self-consistent fermionic
T-matrix approximation.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 08:41:42 GMT""}]","2009-10-31"
"cond-mat/9811167","Bernhard Kaufmann","Bernhard A. Kaufmann, Franz Schwabl, and Uwe C. T""auber (TU M""unchen)","Critical dynamics at incommensurate phase transitions and NMR relaxation
  experiments","21 pages, revtex, 17 figures included (16 as .ps files)","Phys. Rev. B 59 (1999) 11226","10.1103/PhysRevB.59.11226",,"cond-mat.stat-mech",,"  We study the critical dynamics of crystals which undergo a second-order phase
transition from a high-temperature normal phase to a structurally
incommensurate (IC) modulated phase. We give a comprehensive description of the
critical dynamics of such systems, e.g. valid for crystals of the A_2BX_4
family. Using an extended renormalization scheme, we present a framework in
which we analyze the phases above and below the critical temperature T_I. Above
T_I, the crossover from the critical behavior to the mean-field regime is
studied. Specifically, the resulting width of the critical region is
investigated. In the IC modulated phase, we consider explicitly the coupling of
the order parameter modes to one-loop order. Here the Goldstone anomalies and
their effect on measurable quantities are investigated. We show their relation
with the postulated phason gap. While the theory can be applied to a variety of
experiments, we concentrate on quadrupole-perturbed nuclear magnetic resonance
(NMR) experiments. We find excellent agreement with these dynamical
measurements and provide answers for some questions that arose from recent
results.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 09:11:58 GMT""}]","2009-10-31"
"cond-mat/9811168","Shinji Takesue","K. Saito, S. Takesue, and S. Miyashita","Transport Phenomena at a Critical Point -- Thermal Conduction in the
  Creutz Cellular Automaton --","27 pages including 14figures",,"10.1103/PhysRevE.59.2783",,"cond-mat.stat-mech",,"  Nature of energy transport around a critical point is studied in the Creutz
cellular automaton. Fourier heat law is confirmed to hold in this model by a
direct measurement of heat flow under a temperature gradient. The thermal
conductivity is carefully investigated near the phase transition by the use of
the Kubo formula. As the result, the thermal conductivity is found to take a
finite value at the critical point contrary to some previous works. Equal-time
correlation of the heat flow is also analyzed by a mean-field type
approximation to investigate the temperature dependence of thermal
conductivity. A variant of the Creutz cellular automaton called the Q2R is also
investigated and similar results are obtained.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 09:46:06 GMT""}]","2009-10-31"
"cond-mat/9811169","Stephen Fahy","P. Tangney, S. Fahy (University College Cork, Ireland.)","Calculations of the A_1 phonon frequency in photoexcited Tellurium","15 pages Latex, 3 postscript figures",,"10.1103/PhysRevLett.82.4340",,"cond-mat.mtrl-sci",,"  Calculations of the A_1 phonon frequency in photoexcited tellurium are
presented. The phonon frequency as a function of photoexcited carrier density
and phonon amplitude is determined. Recent pump probe experiments are
interpreted in the light of these calculatons. It is proposed that, in
conjunction with measurements of the phonon period in ultra-fast pump-probe
reflectivity experiments, the calculated frequency shifts can be used to infer
the evolution of the density of photoexcited carriers on a sub-picosecond
time-scale.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 13:01:13 GMT""}]","2009-10-31"
"cond-mat/9811170",,"G. Sierra, M.A. Martin-Delgado","The Density Matrix Renormalization Group, Quantum Groups and Conformal
  Field Theory","REVTEX file, 19 pages. Proceedings of the Workshop on the Exact
  Renormalization Group, Faro (Portugal), 10-12 September 1998, to be published
  by World Scientific. One reference added",,,,"cond-mat.str-el",,"  We present an overview of the Density Matrix Renormalization Group and its
connections to Quantum Groups, Matrix Products and Conformal Field Theory. We
emphasize some common formal structures in all these theories. We also propose
two-dimensional extensions of the variational matrix product ansatzs.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 13:43:42 GMT""},{""version"":""v2"",""created"":""Wed, 18 Nov 1998 18:42:41 GMT""},{""version"":""v3"",""created"":""Mon, 30 Nov 1998 19:27:50 GMT""}]","2007-05-23"
"cond-mat/9811172","Frederic Lesage","F. Lesage, H. Saleur","Strong coupling resistivity in the Kondo model","4 Pgs, revtex, 1 Fig",,"10.1103/PhysRevLett.82.4540",,"cond-mat",,"  By applying methods of integrable quantum field theory to the Kondo problem,
we develop a systematic perturbation expansion near the IR (strong coupling)
fixed point. This requires the knowledge of an infinity of irrelevant operators
and their couplings, which we all determine exactly. A low temperature
expansion (ie all the corrections to Fermi liquid theory) of the resistivity
then follows, extending for instance the well known Nozieres $T^2$ result in
the exactly screened case to arbitrary order. The example of the ordinary Kondo
model is worked out in details: we determine $\rho$ up to order $T^6$, and
compare the result with available numerical data.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:15:15 GMT""}]","2009-10-31"
"cs/9811019","Joseph O'Rourke","T. Biedl, E. Demaine, M. Demaine, S. Lazard, A. Lubiw, J. O'Rourke, M.
  Overmars, S. Robbins, I. Streinu, G. Toussaint, S. Whitesides","Locked and Unlocked Polygonal Chains in 3D","To appear in Proc. 10th ACM-SIAM Sympos. Discrete Algorithms, Jan.
  1999","Proc. 10th ACM-SIAM Sympos. Discrete Algorithms, Jan. 1999, pp.
  S866-7.",,,"cs.CG cs.DS cs.RO",,"  In this paper, we study movements of simple polygonal chains in 3D. We say
that an open, simple polygonal chain can be straightened if it can be
continuously reconfigured to a straight sequence of segments in such a manner
that both the length of each link and the simplicity of the chain are
maintained throughout the movement. The analogous concept for closed chains is
convexification: reconfiguration to a planar convex polygon. Chains that cannot
be straightened or convexified are called locked. While there are open chains
in 3D that are locked, we show that if an open chain has a simple orthogonal
projection onto some plane, it can be straightened. For closed chains, we show
that there are unknotted but locked closed chains, and we provide an algorithm
for convexifying a planar simple polygon in 3D with a polynomial number of
moves.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 20:36:50 GMT""}]","2007-05-23"
"cs/9811020","Cynthia Crego","Elizabeth Anderson, Robert Atkinson, Cynthia Crego, Jean Slisz and
  Sara Tompson","Digitizing Legacy Documents: A Knowledge-Base Preservation Project","21 pages, 5 figures","IllinoisLibraries80:211-219,1998",,"Fermilab-TM-2056","cs.DL",,"  This paper addresses the issue of making legacy information (that material
held in paper format only) electronically searchable and retrievable. We used
proprietary software and commercial hardware to create a process for scanning,
cataloging, archiving and electronically disseminating full-text documents.
This process is relatively easy to implement and reasonably affordable.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 22:12:18 GMT""}]","2008-11-26"
"cs/9811021","Bernardo Kastrup","Bernardo Kastrup","Automatic Hardware Synthesis for a Hybrid Reconfigurable CPU Featuring
  Philips CPLDs","6 pages, 7 figures, PACT '98 Workshop on Reconfigurable Computing",,,,"cs.PL cs.AR",,"  A high-level architecture of a Hybrid Reconfigurable CPU, based on a
Philips-supported core processor, is introduced. It features the Philips XPLA2
CPLD as a reconfigurable functional unit. A compilation chain is presented, in
which automatic implementation of time-critical program segments in custom
hardware is performed. The entire process is transparent from the programmer's
point of view. The hardware synthesis module of the chain, which translates
segments of assembly code into a hardware netlist, is discussed in details.
Application examples are also presented.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 09:49:57 GMT""}]","2007-05-23"
"gr-qc/9811035","Filipe Mena","Filipe C. Mena, Reza Tavakol (QMW, London)","Evolution of the density contrast in inhomogeneous dust models","22 pages, 1 figure. To be published in Classical and Quantum Gravity","Class.Quant.Grav.16:435-452,1999","10.1088/0264-9381/16/2/009",,"gr-qc",,"  With the help of families of density contrast indicators, we study the
tendency of gravitational systems to become increasingly lumpy with time.
Depending upon their domain of definition, these indicators could be local or
global. We make a comparative study of these indicators in the context of
inhomogeneous cosmological models of Lemaitre--Tolman and Szekeres. In
particular, we look at the temporal asymptotic behaviour of these indicators
and ask under what conditions, and for which class of models, they evolve
monotonically in time. We find that for the case of ever-expanding models,
there is a larger class of indicators that grow monotonically with time,
whereas the corresponding class for the recollapsing models is more restricted.
Nevertheless, in the absence of decaying modes, indicators exist which grow
monotonically with time for both ever-expanding and recollapsing models
simultaneously. On the other hand, no such indicators may found which grow
monotonically if the decaying modes are allowed to exist. We also find the
conditions for these indicators to be non-divergent at the initial singularity
in both models. Our results can be of potential relevance for understanding
structure formation in inhomogeneous settings and in debates regarding
gravitational entropy and arrow of time. In particular, the spatial dependence
of turning points in inhomogeneous cosmologies may result in multiple density
contrast arrows in recollapsing models over certain epochs. We also find that
different notions of asymptotic homogenisation may be deduced, depending upon
the density contrast indicators used.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 18:06:09 GMT""}]","2008-11-26"
"gr-qc/9811036","Clifford M. Will","Clifford M. Will (Washington University, St. Louis)","The Confrontation between General Relativity and Experiment: A 1998
  Update","Lecture notes from the 1998 Slac Summer Institute on Particle
  Physics; 76 pages, 10 figures","ECONFC9808031:02,1998",,,"gr-qc",,"  The status of experimental tests of general relativity and of theoretical
frameworks for analysing them are reviewed. Einstein's equivalence principle
(EEP) is well supported by experiments such as the E\""otv\""os experiment, tests
of special relativity, and the gravitational redshift experiment. Future tests
of EEP will search for new interactions arising from unification or quantum
gravity. Tests of general relativity have reached high precision, including the
light deflection, the Shapiro time delay, the perihelion advance of Mercury,
and the Nordtvedt effect in lunar motion. Gravitational wave damping has been
detected to half a percent using the binary pulsar, and new binary pulsar
systems promise further improvements. When direct observation of gravitational
radiation from astrophysical sources begins, new tests of general relativity
will be possible.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 19:48:42 GMT""}]","2008-11-26"
"gr-qc/9811037","Mark Trodden","Tanmay Vachaspati and Mark Trodden","Causality and Cosmic Inflation","4 pages, 3 figures, RevTeX, expanded and sharpened discussion of
  result, figures improved, references added","Phys.Rev. D61 (2000) 023502","10.1103/PhysRevD.61.023502","CWRU-P29-98","gr-qc astro-ph",,"  In the context of inflationary models with a pre-inflationary stage, in which
the Einstein equations are obeyed, the weak energy condition is satisfied, and
spacetime topology is trivial, we argue that homogeneity on super-Hubble scales
must be assumed as an initial condition. Models in which inflation arises from
field dynamics in a Friedman-Robertson-Walker background fall into this class
but models in which inflation originates at the Planck epoch, {\it eg.} chaotic
inflation, may evade this conclusion. Our arguments rest on causality and
general relativistic constraints on the structure of spacetime. We discuss
modifications to existing scenarios that may avoid the need for initial
large-scale homogeneity.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 20:21:43 GMT""},{""version"":""v2"",""created"":""Thu, 28 Jan 1999 19:23:28 GMT""}]","2009-10-31"
"gr-qc/9811038","Marcelo Jose Reboucas","G.I. Gomero, A.F.F. Teixeira, M.J. Reboucas, A. Bernui","Spikes in Cosmic Crystallography","25 pages, LaTeX2e. References updated. To appear in Int. J. Mod.
  Phys. D (2002) in the present form","Int.J.Mod.Phys. D11 (2002) 869-892","10.1142/S0218271802002074",,"gr-qc astro-ph hep-ph",,"  If the universe is multiply connected and small the sky shows multiple images
of cosmic objects, correlated by the covering group of the 3-manifold used to
model it. These correlations were originally thought to manifest as spikes in
pair separation histograms (PSH) built from suitable catalogues. Using
probability theory we derive an expression for the expected pair separation
histogram (EPSH) in a rather general topological-geometrical-observational
setting. As a major consequence we show that the spikes of topological origin
in PSH's are due to translations, whereas other isometries manifest as tiny
deformations of the PSH corresponding to the simply connected case. This result
holds for all Robertson-Walker spacetimes and gives rise to two basic
corollaries: (i) that PSH's of Euclidean manifolds that have the same
translations in their covering groups exhibit identical spike spectra of
topological origin, making clear that even if the universe is flat the
topological spikes alone are not sufficient for determining its topology; and
(ii) that PSH's of hyperbolic 3-manifolds exhibit no spikes of topological
origin. These corollaries ensure that cosmic crystallography, as originally
formulated, is not a conclusive method for unveiling the shape of the universe.
We also present a method that reduces the statistical fluctuations in PSH's
built from simulated catalogues.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 20:54:33 GMT""},{""version"":""v2"",""created"":""Tue, 20 Apr 1999 01:02:46 GMT""},{""version"":""v3"",""created"":""Thu, 10 Feb 2000 23:28:31 GMT""},{""version"":""v4"",""created"":""Thu, 21 Feb 2002 02:33:04 GMT""}]","2009-10-31"
"gr-qc/9811039","Olaf Richter","C. Klein, O. Richter","Riemann-Hilbert Problems for the Ernst Equation and Fibre Bundles","12 pages, to be published in Journal of Geometry and Physics","J.Geom.Phys. 30 (1999) 331-342","10.1016/S0393-0440(98)00067-9","LMU-TPW 98-16","gr-qc",,"  Riemann--Hilbert techniques are used in the theory of completely integrable
differential equations to generate solutions that contain a free function which
can be used at least in principle to solve initial or boundary value problems.
The solution of a boundary value problem is thus reduced to the identification
of the jump data of the Riemann-Hilbert problem from the boundary data. But
even if this can be achieved,it is very difficult to get explicit solutions
since the matrix Riemann-Hilbert problem is equivalent to an integral equation.
In the case of the Ernst equation (the stationary axisymmetric Einstein
equations in vacuum), it was shown in a previous work that the matrix problem
is gauge equivalent to a scalar problem on a Riemann surface. If the jump data
of the original problem are rational functions, this surface will be compact
which makes it possible to give explicit solutions in terms of hyperelliptic
theta functions. In the present work, we discuss Riemann-Hilbert problems on
Riemann surfaces in the framework of fibre bundles. This makes it possible to
treat the compact and the non-compact case in the same setting and to apply
general existence theorems.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 09:46:47 GMT""}]","2009-10-31"
"gr-qc/9811040","Andrew Liddle","Luis E Mendes and Andrew R Liddle (Imperial College)","Early cosmology and the stochastic gravitational wave background","17 pages RevTeX file with eight figures incorporated (uses RevTeX and
  epsf). No modifications to results but substantial changes to discussion",,"10.1103/PhysRevD.60.063508",,"gr-qc astro-ph",,"  The epoch when the Universe had a temperature higher than a GeV is long
before any time at which we have reliable observations constraining the
cosmological evolution. For example, the occurrence of a second burst of
inflation (sometimes called thermal inflation) at a lower energy scale than
standard inflation, or a short epoch of early matter domination, cannot be
ruled out by present cosmological data. The cosmological stochastic
gravitational wave background, on scales accessible to interferometer
detection, is sensitive to non-standard cosmologies of this type. We consider
the implications of such alternative models both for ground-based experiments
such as LIGO and space-based proposals such as LISA. We show that a second
burst of inflation leads to a scale-dependent reduction in the spectrum.
Applied to conventional inflation, this further reduces an already
disappointingly low signal. In the pre big bang scenario, where a much more
potent signal is possible, the amplitude is reduced but the background remains
observable by LISA in certain parameter space regions. In each case, a second
epoch of inflation induces oscillatory features into the spectrum in a manner
analogous to the acoustic peaks in the density perturbation spectrum. On LIGO
scales, perturbations can only survive through thermal inflation with
detectable amplitudes if their amplitudes were at one time so large that linear
perturbation theory is inadequate. Although for an epoch of early matter
domination the reduction in the expected signal is not as large as the one
caused by a second burst of inflation, the detection in the context of the pre
big bang scenario may not be possible since the spectrum peaks around the LIGO
frequency window and for lower frequencies behaves as $f^3$.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 09:56:46 GMT""},{""version"":""v2"",""created"":""Thu, 13 May 1999 16:53:57 GMT""}]","2009-10-31"
"hep-ex/9811024","Richard Nisius","Richard Nisius","Two Photon Physics at a Future Linear Collider","17 pages, 16 figures, Invited talk at the Workshop on photon
  interactions and the photon structure, 10-13 September 1998, Lund, Schweden,
  to appear in the Proceedings",,,,"hep-ex",,"  Some general considerations on a future linear collider and selected topics
of two photon physics measurements which can be performed at such a collider
are presented. This review discusses the total photon-photon cross section, jet
cross sections, structure functions, charm production, the BFKL Pomeron,
  $W$ pair production, and Higgs production.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:57:25 GMT""}]","2016-08-31"
"hep-lat/9811016","I. T. Drummond","I T Drummond and R R Horgan","Lattice String Breaking and Heavy Meson Decays","19 pages, 3 figures","Phys.Lett. B447 (1999) 298-307","10.1016/S0370-2693(98)01605-0","DAMTP-98-127","hep-lat",,"  We show how string breaking on the lattice, treated as a mixing effect, can
be related to decay rates for heavy quark systems. We use this to make a
preliminary calculation of the energy split at maximum mixing for static quarks
in QCD from the decay rate for $\Upsilon(4S)\to B{\bar B}$. We extend the
calculation to achieve rough estimates for the contributions of channels
involving $B, B^*, B_s and B_s^*$ mesons to the width of the $\Upsilon(5S)$.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 18:10:31 GMT""}]","2009-10-31"
"hep-ph/9811306","E. R. Berger","E. R. Berger","Elastic cross sections for high energy hadron-hadron scattering","4 pages, 2 eps figures. Talk at the High Energy Conference on Quantum
  Chromodynamics (QCD'98), Montpellier, July 1998","Nucl.Phys.Proc.Suppl.74:96-99,1999","10.1016/S0920-5632(99)00142-5","HD-THEP-98-58","hep-ph",,"  This report discusses some results on differential cross sections for high
energy and small momentum transfer elastic hadron-hadron scattering in QCD,
using a functional integral approach. In particulary a matrix cumulant
expansion for the vacuum expectation values of lightlike Wegner-Wilson loops,
which governs the hadronic amplitudes, is presented. The cumulants are
evaluated using the model of the stochastic vacuum.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 16:52:55 GMT""}]","2016-09-06"
"hep-ph/9811307","Igor N. Mishustin","I.N. Mishustin (Niels Bohr Institute, Copenhagen, and Kurchatov
  Institute, Moscow)","Non-Equilibrium Phase Transition in Rapidly Expanding Matter","11 pages in RevTeX, 1 postscript figure, significantly modified
  manuscript to be published in Phys. Rev. Let","Phys.Rev.Lett. 82 (1999) 4779-4782","10.1103/PhysRevLett.82.4779","NBI-98-37","hep-ph",,"  Non-equilibrium features of a first order phase transition from the
quark-gluon plasma to a hadronic gas in relativistic heavy-ion collisions are
discussed. It is demonstrated that strong collective expansion may lead to the
fragmentation of the plasma phase into droplets surrounded by undersaturated
hadronic gas. Subsequent hadronization of droplets will generate strong
non-statistical fluctuations in the hadron rapidity distribution in individual
events. The strongest fluctuations are expected in the vicinity of the phase
transition threshold.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 19:59:53 GMT""},{""version"":""v2"",""created"":""Thu, 29 Apr 1999 14:03:44 GMT""}]","2009-10-31"
"hep-ph/9811308","Christopher Kolda","K.S. Babu and Christopher Kolda","Signatures of Supersymmetry and Yukawa Unification in Higgs Decays","13 pages LaTeX, 4 figures","Phys.Lett. B451 (1999) 77-85","10.1016/S0370-2693(99)00204-X","OSU-HEP-98-09, LBNL-42521","hep-ph",,"  We show that the branching ratio R_{b/tau}=BR(h^0->bb)/BR(h^0->tau tau) of
the Higgs boson h^0 may usefully differentiate between the Higgs sectors of the
Minimal Supersymmetric Standard Model (MSSM) and non-supersymmetric models such
as the Standard Model or its two Higgs doublet extensions. Although at tree
level R_{b/tau} is the same in all these models, only in the MSSM can it
receive a large radiative correction, for moderate to large values of the
parameter tan(beta). Such large corrections are motivated in supersymmetric
unified schemes wherein the Yukawa couplings of the b-quark and the tau-lepton
are equal at the unification scale; otherwise the b-quark mass prediction is
too large by 15-30% for most of parameter space. Thus accurate measurements of
the Higgs branching ratios can probe physics at the unification scale. The
branching ratio of h^0 into charm quarks, as well as of the other Higgs bosons
(H^0,A^0) into bb, tau tau, and cc can provide additional information about the
supersymmetric nature of the Higgs sector.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 23:14:18 GMT""}]","2009-10-31"
"hep-ph/9811309","Gilda Reyes","R. D. Peccei (U. of California, Los Angeles)","Summary and Outlook","12 pages, 5 figures, Latex file",,,"UCLA/98/TEP/35","hep-ph",,"  This summary is organized into four parts. In the first section (News) I
discuss the SuperKamiokande results on atmospheric neutrino oscillations, as
well as recent results from cosmology. The second section (Refinements) focuses
on electroweak tests, recent results in the flavor sector and in probing QCD,
as well as searches for new particles. The third section (Mysteries) discusses
issues associated with neutrino masses and mixings in more depth. Finally, in
the last section (Hopes) I reflect on both the short and long term future of
the field.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 23:11:06 GMT""}]","2007-05-23"
"hep-ph/9811310","Ken Intriligator","Kenneth Intriligator","""Non-Perturbative Methods"" in Field Theory","10 pages, epsf.sty, ICHEP98 proceedings",,,,"hep-ph hep-th",,"  This talk is an overview of selected topics related to renormalization group
flows and the phases of gauge theories.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 03:14:23 GMT""}]","2007-05-23"
"hep-ph/9811311","Yamaguchi Masahide","Masahide Yamaguchi, M. Kawasaki, and Jun'ichi Yokoyama","Evolution of Axionic Strings and Spectrum of Axions Radiated from Them","Some typos and statements are corrected; to appear in Phys. Rev. Lett","Phys.Rev.Lett. 82 (1999) 4578-4581","10.1103/PhysRevLett.82.4578",,"hep-ph astro-ph",,"  Cosmological evolution of axionic strings is investigated by numerically
solving field equations of a complex scalar field in 3+1 dimensions. It is
shown that the global strings relax to the scaling solution with a
significantly smaller number density than the case of local strings. The power
spectrum of axions radiated from them is calculated from the simulation data,
which is found to be highly peaked around the Hubble scale, and a more accurate
constraint on the Peccei-Quinn breaking scale is obtained.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 08:33:12 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jun 1999 05:04:32 GMT""}]","2009-10-31"
"hep-ph/9811312","Kawamura","Yoshiharu Kawamura","Model-independent analysis of soft masses in heterotic string models
  with anomalous U(1) symmetry","17 pages, latex, no figures, replaced by full version","Phys.Lett. B446 (1999) 228-237","10.1016/S0370-2693(98)01574-3","DPSU-98-8","hep-ph",,"  We study the magnitudes of soft masses in heterotic string models with
anomalous U(1) symmetry model-independently. In most cases, D-term contribution
to soft scalar masses is expected to be comparable to or dominant over other
contributions provided that supersymmetry breaking is mediated by the
gravitational interaction and/or an anomalous U(1) symmetry and the magnitude
of vacuum energy is not more than of order $m_{3/2}^2 M^2$.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 07:19:50 GMT""},{""version"":""v2"",""created"":""Thu, 19 Nov 1998 05:07:09 GMT""}]","2009-10-31"
"hep-ph/9811313","Wolfgang Hollik","W. Hollik","Standard Model Theory","20 pages. Plenary talk at the XXIX International Conference on High
  Energy Physics, 23-29 July 1998, Vancouver, Canada",,,"CERN-TH/98-358, KA-TP-18-1998","hep-ph",,"  In this conference report a summary is given on the theoretical work that has
contributed to provide accurate theoretical predictions for testing the
standard model in present and future experiments. Precision calculations for
the vector boson masses, for the Z resonance, W pair production, and for the
g-2 of the muon are reviewed and the theoretical situation for the Higgs sector
is summarized. The status of the standard model is discussed in the light of
the recent high and low energy data. New Physics beyond the standard model is
briefly addressed as well, with special emphasis on the minimal supersymmetric
standard model. A few references have been added.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 14:52:35 GMT""},{""version"":""v2"",""created"":""Tue, 15 Dec 1998 21:59:33 GMT""}]","2007-05-23"
"hep-th/9811101","Peter West","P. West (King's College, London)","Supergravity, Brane Dynamics and String Duality","109 pages, 2 figures, plain tex",,,"KCL-MTH-98-55","hep-th",,"  In this review we show that a Clifford algebra possesses a unique irreducible
representation; the spinor representation. We discuss what types of spinors can
exist in Minkowski space-times and we explain how to construct all the
supersymmetry algebras that contain a given space-time Lie algebra. After
deriving the irreducible representations of the superymmetry algebras, we
explain how to use them to systematically construct supergravity theories. We
give the maximally supersymmetric supergravity theories in ten and eleven
dimensions and discuss their properties. We find which superbranes can exist
for a given supersymmetry algebra and we give the dynamics of the superbranes
that occur in M theory. Finally, we discuss how the properties of supergravity
theories and superbranes provide evidence for string duality.
  In effect, we present a continuous chain of argument that begins with
Clifford algebras and leads via supersymmetry algebras and their irreducible
representations to supergravity theories, string duality, brane dynamics and M
theory.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 16:56:41 GMT""}]","2007-05-23"
"hep-th/9811102","Fred Dilkes","D. G. C. McKeon, T. N. Sherry","Gauge Model With Extended Field Transformations in Euclidean Space","31 pages, Plain LaTeX","Int.J.Mod.Phys. A15 (2000) 227-250","10.1142/S0217751X00000100",,"hep-th",,"  An SO(4) gauge invariant model with extended field transformations is
examined in four dimensional Euclidean space. The gauge field is
$(A^\mu)^{\alpha\beta} = 1/2 t^{\mu\nu\lambda} (M^{\nu\lambda})^{\alpha\beta}$
where $M^{\nu\lambda}$ are the SO(4) generators in the fundamental
representation. The SO(4) gauge indices also participate in the Euclidean space
SO(4) transformations giving the extended field transformations. We provide the
decomposition of the reducible field $t^{\mu\nu\lambda}$ in terms of fields
irreducible under SO(4). The SO(4) gauge transformations for the irreducible
fields mix fields of different spin. Reducible matter fields are introduced in
the form of a Dirac field in the fundamental representation of the gauge group
and its decomposition in terms of irreducible fields is also provided. The
approach is shown to be applicable also to SO(5) gauge models in five
dimensional Euclidean space.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 20:39:51 GMT""}]","2009-10-31"
"hep-th/9811103","Jose Abdalla Helayel-Neto","M. Carvalho (1), J. A. Helayel-Neto (2), M. W. de Oliveira (2) ((1)
  Dep. Mathematics Waseda University, (2) Centro Brasileiro de Pesquisas
  Fisicas CBPF)","The Geometry of N=1 and N=2 Real Supersymmetric Non-Linear Sigma-Models
  in the Atiyah-Ward Space-Time","12 pages, no figures",,,,"hep-th",,"  We analyse the structure of N=1 and N=2 supersymmetric non-linear
sigma-models built up with a pair of real superfields defined in the superspace
of Atiyah-Ward space-time. The geometry arising has new features such as the
existence of a locally product structure (N=1 case) and a set of automorphisms
of the tangent space that is isomorphic to the split-quaternionic algebra (N=2
case).
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 23:26:23 GMT""}]","2007-05-23"
