"astro-ph/9811422","Ibrahim Arbab Arbab","Arbab I.Arbab","Primordial Black Holes With Variable Gravity","A more revised version",,,,"astro-ph gr-qc",,"  We have studied the evolution of primordial black holes (PBHs) in a universe
with a variable gravitational constant and bulk viscosity. We have found that
the strength of gravity has changed appreciably in the early universe. The
gravitational constant attained its greatest value at t=10^{-23} sec after the
Big Bang. PBHs formed at the GUT and electroweak epochs would have masses about
$1.85\times 10^9 g$ and $1.8\times 10^{-7} g$ respectively. Their temperatures
when they explode are $6\times 10^8K$ and 6 K respectively. PBHs formed during
nuclear epoch are hard to detect at the present time. The gravitational
constant ($G$) is found to increase as $G\propto t^2$ in the radiation epoch.
The gamma rays bursts (GRBs) may have their origin in the evaporation of the
PBHs formed during GUT time.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 22:43:21 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 22:59:17 GMT""},{""version"":""v3"",""created"":""Thu, 3 Dec 1998 17:07:32 GMT""},{""version"":""v4"",""created"":""Mon, 14 Jun 1999 16:09:42 GMT""}]","2007-05-23"
"cond-mat/9811380","Lavagna","C. Pepin and M. Lavagna","Supersymmetric Approach to Heavy-Fermion Systems","5 pages, 2 figures","Z. Phys.B 103, 259 (1997)","10.1007/s002570050369",,"cond-mat.str-el",,"  We present a new supersymmetric approach to the Kondo lattice model in order
to describe simultaneously the quasiparticle excitations and the low-energy
magnetic fluctuations in heavy-Fermion systems. This approach mixes the
fermionic and the bosonic representation of the spin following the standard
rules of superalgebra. Our results show the formation of a bosonic band within
the hybridization gap reflecting the spin collective modes. The density of
states at the Fermi level is strongly renormalized while the Fermi surface sum
rule includes $n_{c}+1$ states. The dynamical susceptibility is made of a Fermi
liquid superimposed on a localized magnetism contribution.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:40:34 GMT""}]","2015-06-25"
"cond-mat/9811381","Horacio M. Cataldo","H. M. Cataldo, M. A. Desp\'osito, and D. M. Jezek","Longitudinal and transverse forces on a vortex in superfluid $^4$He","10 pages, 2 figures, latex2e (iopart.cls), enlarged version submitted
  to J. Phys.: Condensed Matter","J. Phys.: Condens. Matter 11 (1999) 10277-10284","10.1088/0953-8984/11/50/320",,"cond-mat",,"  We examine the transverse and longitudinal components of the drag force upon
a straight vortex line due to the scattering of liquid $^4$He excitations. For
this purpose, we consider a recently proposed Hamiltonian that describes the
dissipative motion of a vortex, giving an explicit expression for the
vortex-quasiparticle interaction. The involved dissipative coefficients are
obtained in terms of the reservoir correlation function. Most of our explicit
calculations are concerned to the range of temperatures below 0.4 K, at which
the reservoir is composed by phonon quasiparticle excitations. We also discuss
some important implications in the determination of possible scattering
processes leading to dissipation, according to the values of vortex mass found
in the literature.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 22:50:28 GMT""},{""version"":""v2"",""created"":""Wed, 1 Sep 1999 00:19:04 GMT""}]","2009-10-31"
"cond-mat/9811382","Roop Mallik","R. Mallik, E.V. Sampathkumaran, M. Strecker and G. Wortmann","Observation of a temperature dependent electrical resistance minimum
  above the magnetic ordering temperature in Gd$_2$PdSi$_3$","4 pages, 4 figures","Europhysics letters Vol 41 (3) pp. 315-320 (1998)","10.1209/epl/i1998-00149-4",,"cond-mat.str-el",,"  Results on electrical resistivity, magnetoresistance, magnetic Results on
electrical resistivity, magnetoresistance, magnetic susceptibility, heat
capacity and Gd Mossbauer measurements on a Gd-based intermetallic compound,
Gd$_{2}$PdSi$_{3}$ are reported. A finding of interest is that the resistivity
unexpectedly shows a well-defined minimum at about 45 K, well above the long
range magnetic ordering temperature (21 K), a feature which gets suppressed by
the application of a magnetic field. This observation in a Gd alloy presents an
interesting scenario. On the basis of our results, we propose electron
localization induced by s-f (or d-f) exchange interaction prior to long range
magnetic order as a mechanism for the electrical resistance minimum.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 04:47:50 GMT""}]","2009-10-31"
"cond-mat/9811383","Jordi Faraudo","Raquel Dominguez-Cascante and David Jou","Entropy flux and Lagrange multipliers: information theory and
  thermodynamics","To appear in Open Systems and Information Dynamics, issue 5.4",,,,"cond-mat.stat-mech",,"  We analyze the relation between the nonequilibrium Lagrange multipliers used
in information theory and those used in Liu's technique to exploit the entropy
inequality. We observe that there is not a complete equivalence between Liu's
technique and information theory.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 08:48:45 GMT""}]","2007-05-23"
"cond-mat/9811384","Assaad","F.F. Assaad and M. Imada","Hole Dynamics in Two-Dimensional Antiferromagnetic Mott Insulators","5 pages including 5 figures",,,,"cond-mat.str-el cond-mat.supr-con",,"  The dispersion relation of a doped hole in the half-filled 2D Hubbard model
is shown to follow a k^4 law around the (0,pi) and (pi,0) points in the
Brillouin zone. Upon addition of pair-hopping processes this dispersion
relation is unstable towards a k^2 law. The above follows from T=0 Quantum
Monte calculations of the single particle spectral function A(k, omega) on 16 X
16 lattices. We discuss finite dopings and argue that the added term restores
coherence to charge dynamics and drives the system towards a d_x^2 - y^2
superconductor.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 11:03:51 GMT""}]","2007-05-23"
"cond-mat/9811385","Roland Hayn","R. Hayn, H. Rosner, V. Yu. Yushankhai, S. Haffner, C. D\""urr, M.
  Knupfer, G. Krabbes, M. S. Golden, J. Fink, H. Eschrig, D. J. Singh, N. T.
  Hien, A. A. Menovsky, Ch. Jung, G. Reichardt","Analysis of the valence band photoemission spectrum of
  Sr$_2$CuO$_2$Cl$_2$ along the high-symmetry directions","13 pages, 16 figures, 5 tables",,"10.1103/PhysRevB.60.645",,"cond-mat",,"  Band structure calculations have been used to identify the different bands
contributing to the polarisation-dependent photoemission spectra of the undoped
model cuprate Sr$_2$CuO$_2$Cl$_2$ at the high-symmetry points of the CuO$_2$
plane $\Gamma$, $(\pi/a,0)$ and $(\pi/a,\pi/a)$ and along the high-symmetry
directions $\Gamma - (\pi/a,\pi/a)$ and $\Gamma - (\pi/a,0)$. Results from
calculations within the local density approximation (LDA) have been compared
with calculations taking into account the strong electron correlations by
LDA+U, with the result that the experimental order of energy levels at the
high-symmetry points is better described by the LDA+U calculation than by the
simple LDA. All the main peaks in the photoemission spectra at the high
symmetry points could be assigned to different Cu 3$d$ and O 2$p$ orbitals
which we have classified according to their point symmetries. The dispersions
along the high-symmetry directions were compared with an 11-band tight-binding
model which was fitted both to the LDA+U band structure calculation and the
angle-resolved photoemission data. The mean field treatment successfully
describes the oxygen derived bands but shows discrepancies for the copper ones.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 11:17:36 GMT""}]","2009-10-31"
"cond-mat/9811386","Loic Turban","L. Turban (Universite Henri Poincare, Nancy I, France)","Aperiodic Extended Surface Perturbations in the Ising Model","13 pages, 13 figures, LaTeX2e, EPJ macros","Eur. Phys. J. B, 11 (1999) 273","10.1007/s100510050938",,"cond-mat.stat-mech",,"  We study the influence of an aperiodic extended surface perturbation on the
surface critical behaviour of the two-dimensional Ising model in the extreme
anisotropic limit. The perturbation decays as a power of the distance from the
free surface with an oscillating amplitude following some aperiodic sequence.
The asymptotic density is 1/2 so that the mean ampltitude vanishes. The
relevance of the perturbation is discussed by combining scaling arguments of
Cordery and Burkhardt for the Hilhorst-van Leeuwen model and Luck for aperiodic
perturbations. The relevance-irrelevance criterion involves the decay exponent
of the perturbation, the wandering exponent which governs the fluctuation of
the sequence and the bulk correlation length exponent. Analytical results are
obtained for the surface magnetization which displays a rich variety of
critical behaviours. The results are checked through a numerical
finite-size-scaling study. They show that second-order effects must be taken
into account in the discussion of the relevance-irrelevance criterion. The
scaling behaviours of the first gap and the surface energy are also discussed.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:54:05 GMT""}]","2009-10-31"
"cond-mat/9811387","Roop Mallik","R. Mallik, E.V. Sampathkumaran and P.L. Paulose","Large Low Temperature Magnetoresistance and Magnetic Anomalies in
  Tb$_2$PdSi$_3$ and Dy$_2$PdSi$_3$","4 pages, 3 figures, RevTex","Solid State Comm. Vol 106, No. 3 pp 169-172 (1998)","10.1016/S0038-1098(98)00012-X",,"cond-mat.str-el",,"  The results of heat-capacity, magnetic susceptibility, electrical resistivity
and magnetoresistance $(\Delta \rho/\rho)$ measurements on the compounds
Tb$_2$PdSi$_3$ and Dy$_2$PdSi$_3$, are reported. The results establish that
these compounds undergo long-range magnetic ordering (presumably with a complex
magnetic structure) below (Tc=) 23 and 8 K respectively. The $\Delta \rho/\rho
$ is negative in the vicinity of Tc and the magnitude grows as Tc is approached
from higher temperature as in the case of well-known giant magnetoresistance
systems (La manganite based perovskites); this is attributed to the formation
of some kind of magnetic polarons. The magnitude of magnetoresistance at low
temperatures is quite large, for instance, about 30% in the presence of 60 kOe
field at 5 K in the Dy sample.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:54:44 GMT""}]","2009-10-31"
"cond-mat/9811388","Henning Loewe","Kurt Broderix, Henning Loewe, Peter Mueller, and Annette Zippelius","Shear viscosity of a crosslinked polymer melt","8 pages, uses Europhysics Letters style; Revisions: results extended","Europhys. Lett., 48 (4), pp. 421-427 (1999)","10.1209/epl/i1999-00500-3",,"cond-mat.stat-mech cond-mat.soft physics.chem-ph",,"  We investigate the static shear viscosity on the sol side of the
vulcanization transition within a minimal mesoscopic model for the
Rouse-dynamics of a randomly crosslinked melt of phantom polymers. We derive an
exact relation between the viscosity and the resistances measured in a
corresponding random resistor network. This enables us to calculate the
viscosity exactly for an ensemble of crosslinks without correlations. The
viscosity diverges logarithmically as the critical point is approached. For a
more realistic ensemble of crosslinks amenable to the scaling description of
percolation, we prove the scaling relation $k=\phi-\beta$ between the critical
exponent $k$ of the viscosity, the thermal exponent $\beta$ associated with the
gel fraction and the crossover exponent $\phi$ of a random resistor network.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 13:57:20 GMT""},{""version"":""v2"",""created"":""Fri, 12 Mar 1999 17:03:54 GMT""},{""version"":""v3"",""created"":""Mon, 5 Jul 1999 09:57:45 GMT""}]","2009-10-31"
"cond-mat/9811389","A. M. Martin","A.M.Martin and J.F. Annett","The importance of self-consistency in determining interface properties
  of S-I-N and D-I-N structures","14 pages, 8 figures, submitted to special issue of ""Superlattices and
  Microstructures""","Superlattices and Microstructures 25,1019 (1999).","10.1006/spmi.1999.0709",,"cond-mat.supr-con cond-mat.mes-hall",,"  We develop a method to solve the Bogoliubov de Gennes equation for
superconductors self-consistently, using the recursion method. The method
allows the pairing interaction to be either local or non-local corresponding to
$s$ and $d$--wave superconductivity, respectively. Using this method we examine
the properties of various $S-I-N$ and $D-I-N$ interfaces. In particular we
self-consistently calculate the spatially varying density of states and the
superconducting order parameter. We see that changing the strength of the
insulating barrier, at the interface, does not, in the case of an $s$--wave
superconductor, dramatically, change the low energy local density of states, in
the superconducting region near the interface. This is in stark contrast to
what we see in the case of a $D-I-N$ interface where the local particle density
of states is changed dramatically. Hence we deduce that in calculating such
properties as the conductance of $S-I-N$ and $D-I-N$ structures it is far more
important to carry out a self-consistent calculations in the $d$--wave case.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:34:21 GMT""}]","2009-10-31"
"cond-mat/9811390","Theo M. Nieuwenhuizen","Th. M. Nieuwenhuizen","Thermodynamics of the glassy state","12 pages, including 2 figures. To appear in: 8th Tohwa University
  Int'l Symposium on Slow Dynamics in Complex Systems",,"10.1063/1.58474",,"cond-mat.dis-nn cond-mat.stat-mech",,"  A picture for thermodynamics of the glassy state is introduced. It assumes
that one extra parameter, the effective temperature, is needed to describe the
glassy state. This explains the classical paradoxes concerning the Ehrenfest
relations and the Prigogine-Defay ratio. As a second part, the approach
connects the response of macroscopic observables to a field change with their
temporal fluctuations, and with the fluctuation-dissipation relation, in a
generalized non-equilibrium way.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:42:28 GMT""}]","2009-10-31"
"cond-mat/9811391","Serguei Isakov","Serguei B. Isakov, Thierry Martin, St\'ephane Ouvry","Conductance and Shot Noise for Particles with Exclusion Statistics","4 pages, revtex, 1 eps figure included","Phys. Rev. Lett. 83 (1999) 580-583","10.1103/PhysRevLett.83.580",,"cond-mat.mes-hall",,"  The first quantized Landauer approach to conductance and noise is generalized
to particles obeying exclusion statistics. We derive an explicit formula for
the crossover between the shot and thermal noise limits and argue that such a
crossover can be used to determine experimentally whether charge carriers in
FQHE devices obey exclusion statistics.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:47:25 GMT""}]","2009-10-31"
"cond-mat/9811392","Marco Grilli","Andrea Gamba, Marco Grilli, and Claudio Castellani","Renormalization group analysis of the quantum non-linear sigma model
  with a damping term","Final version, to be published in Nucl. Phys. B [FS] (26 pages, 5
  figures). Analysis extended to an arbitrary number N of field components,
  added Comments on the d=0, N=2 case to make contact with the physics of
  dissipative macroscopic quantum tunnelling and of spin chains","Nucl.Phys. B556 (1999) 463-483","10.1016/S0550-3213(99)00340-5",,"cond-mat.stat-mech",,"  We investigate the behavior of the zero-temperature quantum non-linear sigma
model in d dimensions in the presence of a damping term of the form f(w)~
|w|^alpha, with 1 \le alpha <2. We find two fixed points: a spin-wave fixed
point FP1 showing a dynamic scaling exponent z=1 and a dissipative fixed point
FP2 with z>1. In the framework of the \epsilon-expansion it is seen that there
is a range of values alpha_*(d) \le alpha \le 2 where the point FP1 is stable
with respect to FP2, so that the system realizes a z=1 quantum critical
behavior even in the presence of a dissipative term. However, reasonable
arguments suggest that in d=2 this range is very narrow. In the broken symmetry
phase we discuss a phenomenological scaling approach, treating damping as a
perturbation of the ordered ground state. The relation of these results with
the pseudogap effect observed in underdoped layered cuprates is discussed.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 15:34:04 GMT""},{""version"":""v2"",""created"":""Mon, 12 Jul 1999 12:20:14 GMT""}]","2009-10-31"
"gr-qc/9811088","Henri Waelbroeck","A. Criscuolo and H. Waelbroeck","Causal Set Dynamics: A Toy Model","28 pages incl. 5 figures","Class.Quant.Grav. 16 (1999) 1817-1832","10.1088/0264-9381/16/6/315",,"gr-qc hep-th",,"  We construct a quantum measure on the power set of non-cyclic oriented graphs
of N points, drawing inspiration from 1-dimensional directed percolation.
Quantum interference patterns lead to properties which do not appear to have
any analogue in classical percolation. Most notably, instead of the single
phase transition of classical percolation, the quantum model displays two
distinct crossover points. Between these two points, spacetime questions such
as ""does the network percolate"" have no definite or probabilistic answer.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 16:01:40 GMT""}]","2009-10-31"
"gr-qc/9811089","Eric Gourgoulhon","S. Bonazzola, E. Gourgoulhon and J.-A. Marck (DARC, CNRS, Observatoire
  de Paris)","Spectral methods in general relativistic astrophysics","51 pages, elsart (Elsevier Preprint), 19 PostScript figures,
  submitted to Journal of Computational & Applied Mathematics","J.Comput.Appl.Math. 109 (1999) 433",,,"gr-qc astro-ph physics.comp-ph",,"  We present spectral methods developed in our group to solve three-dimensional
partial differential equations. The emphasis is put on equations arising from
astrophysical problems in the framework of general relativity.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 16:27:13 GMT""}]","2007-05-23"
"gr-qc/9811090","Pierre Teyssandier","C. Bracco and P. Teyssandier","Scintillation in scalar-tensor theories of gravity","8 pages; to appear in Astronomy and Astrophysics",,,,"gr-qc",,"  We study the scintillation produced by time-varying gravitational fields
within scalar-tensor theories of gravity. The problem is treated in the
geometrical optics approximation for a very distant light source emitting quasi
plane monochromatic electromagnetic waves. We obtain a general formula giving
the time dependence of the photon flux received by a freely falling observer.
In the weak-field approximation, we show that the contribution to the
scintillation effect due to the focusing of the light beam by a gravitational
wave is of first order in the amplitude of the scalar perturbation. Thus
scalar-tensor theories contrast with general relativity, which predicts that
the only first-order effect is due to the spectral shift. Moreover, we find
that the scintillation effects caused by the scalar field have a local
character: they depend only on the value of the perturbation at the observer.
This effect provides in principle a mean to detect the presence of a long range
scalar field in the Universe, but its smallness constitutes a tremendous
challenge for detection.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:09:51 GMT""}]","2007-05-23"
"gr-qc/9811091","Alessandra Buonanno","A. Buonanno and T. Damour","Effective one-body approach to general relativistic two-body dynamics","52 pages, RevTex, epsfig, 8 figures","Phys.Rev. D59 (1999) 084006","10.1103/PhysRevD.59.084006","IHES/P/98/74","gr-qc astro-ph",,"  We map the general relativistic two-body problem onto that of a test particle
moving in an effective external metric. This effective-one-body approach
defines, in a non-perturbative manner, the late dynamical evolution of a
coalescing binary system of compact objects. The transition from the adiabatic
inspiral, driven by gravitational radiation damping, to an unstable plunge,
induced by strong spacetime curvature, is predicted to occur for orbits more
tightly bound than the innermost stable circular orbit in a Schwarzschild
metric of mass M = m1 + m2. The binding energy, angular momentum and orbital
frequency of the innermost stable circular orbit for the time-symmetric
two-body problem are determined as a function of the mass ratio.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 20:44:21 GMT""}]","2009-10-31"
"gr-qc/9811092","Peter Dunsby","Peter Dunsby, Bruce Bassett, George Ellis","Covariant Analysis of Gravitational Waves in a Cosmological Context","11 pages, LaTeX","Class.Quant.Grav. 14 (1997) 1215-1222","10.1088/0264-9381/14/5/023",,"gr-qc",,"  The propagation of gravitational waves or tensor perturbations in a perturbed
Friedmann-Robertson-Walker universe filled with a perfect fluid is re-examined.
It is shown that while the shear and magnetic part of the Weyl tensor satisfy
linear, homogeneous {\it second order} wave equations, for perfect fluids with
a $\gamma$\hs law equation of state satisfying $\case{2}/{3}<\gamma<2$, the
electric part of the Weyl tensor satisfies a linear homogeneous {\it third
order} equation. Solutions to these equations are obtained for a flat
Friedmann-Robertson-Walker background and we discuss implications of this
result.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 07:59:53 GMT""}]","2009-10-31"
"hep-ex/9811045","Laura Baudis","L. Baudis, J. Hellmig, G. Heusser, H.V. Klapdor--Kleingrothaus, S.
  Kolb, B. Majorovits, H. P\""as, Y. Ramachers and H. Strecker
  (Max--Planck--Institut fuer Kernphysik, Heidelberg, Germany) V. Alexeev, A.
  Bakalyarov, A. Balysh, S.T. Belyaev, V.I. Lebedev and S. Zhukov (Russian
  Science Centre Kurchatov Institute, 123 182 Moscow, Russia)","New limits on dark--matter WIMPs from the Heidelberg--Moscow experiment","8 pages (latex) including 5 postscript figures and 2 tables. To
  appear in Phys. Rev. D, 15. December 1998","Phys.Rev.D59:022001,1999","10.1103/PhysRevD.59.022001",,"hep-ex",,"  New results after 0.69 kg yr of measurement with an enriched 76Ge detector of
the Heidelberg--Moscow experiment with an active mass of 2.758 kg are
presented. An energy threshold of 9 keV and a background level of 0.042
counts/(kg d keV) in the energy region between 15 keV and 40 keV was
reached.The derived limits on the WIMP--nucleon cross section are the most
stringent limits on spin--independent interactions obtained to date by using
essentially raw data without background subtraction.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 10:55:01 GMT""}]","2019-08-17"
"hep-ex/9811046","Gerardo Ganis","Gerardo Ganis","Search for SUSY with R-parity violation at LEP","8 pages, 8 figures, to be included in the proceedings of the 29th
  ""International Conference on High Energy Physics"", Vancouver, 1998",,,"MPI-PhE/98-14","hep-ex",,"  Searches for supersymmetry at LEP allowing for R-parity violation are
reviewed. The results are compared with the R-parity conserving scenarios.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 13:30:56 GMT""}]","2007-05-23"
"hep-ph/9811481","Alexander Chapovsky","W. Beenakker (Durham), F.A. Berends (Leiden), A.P. Chapovsky (Leiden)","Radiative corrections to pair production of unstable particles: results
  for e^+e^- --> 4 fermions","59 pages, LaTeX2e (uses axodraw.sty), 16 figures","Nucl.Phys. B548 (1999) 3-59","10.1016/S0550-3213(99)00110-8",,"hep-ph",,"  Radiative corrections to processes that involve the production and subsequent
decay of unstable particles are complex due to various theoretical and
practical problems. The so-called double-pole approximation offers a way out of
these problems. This method is applied to the reaction $e^{+}e^{-} \to
W^{+}W^{-} \to 4 $fermions, which allows us to address all the key issues of
dealing with unstable particles, like gauge invariance, interactions between
different stages of the reaction, and overlapping resonances. Within the
double-pole approximation the complete $\OO(\alpha)$ electroweak corrections
are evaluated for this off-shell $W$-pair production process. Examples of the
effect of these corrections on a number of distributions are presented. These
comprise mass and angular distributions as well as the photon-energy spectrum.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 16:03:47 GMT""}]","2009-10-31"
"hep-ph/9811482","Marcus Mauser","M. Fischer, S. Groote, J.G. K\""orner, M.C. Mauser, B. Lampe","Polarized top decay into polarized W: t(up)->W(up) + b at O(alpha_s)","13 pages, 3 postscript figures added, file standard.sty included,
  material on normal polarization added, some misprints corrected","Phys.Lett. B451 (1999) 406-413","10.1016/S0370-2693(99)00194-X","MZ-TH/98-47","hep-ph",,"  We consider the decay of a polarized top quark into a polarized W-boson plus
a bottom quark, followed by the decay of the W-boson into a pair of leptons or
quarks. The polar angle distribution of the top spin relative to the W-momentum
and the polar angle distribution of the lepton (or quark) in the W-rest frame
is governed by three polarized and three unpolarized rate functions which are
related to the double density matrix elements of the decay $t \to W^+ + b$. We
obtain analytical expressions for the $O(\alpha_s)$ radiative corrections to
the three polarized and three unpolarized rate functions. We also provide a
comprehensive discussion of the dependence of the longitudinal, transverse and
normal polarization of the top quarks produced at $e^+e^-$-colliders on beam
polarization parameters.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 18:07:26 GMT""},{""version"":""v2"",""created"":""Fri, 5 Feb 1999 12:50:11 GMT""},{""version"":""v3"",""created"":""Tue, 2 Mar 1999 17:18:59 GMT""}]","2009-10-31"
"hep-ph/9811483","Robert Ferdinand Wagenbrunn","S. Boffi, P. Demetriou, M. Radici, and R.F. Wagenbrunn","Nucleon form factors in a chiral constituent-quark model","14 pages, including 2 figures; misprint in references corrected","Phys.Rev. C60 (1999) 025206","10.1103/PhysRevC.60.025206","University of Pavia preprint FNT/T-98/15","hep-ph",,"  The electromagnetic form factors of the nucleon have been calculated in a
chiral constituent-quark model. The nucleon wave functions are obtained by
solving a Schr\""odinger-type equation for a semi-relativistic Hamiltonian with
an effective interaction derived from the exchange of mesons belonging to the
pseudoscalar octet and singlet and a linear confinement potential. The
charge-density current operator has been constructed consistently with the
model Hamiltonian in order to preserve gauge invariance and to satisfy the
continuity equation.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:53:08 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 16:44:27 GMT""}]","2009-10-31"
"hep-ph/9811484","Andrei Belitsky","A.V. Belitsky, D. Muller, A. Schafer","Implications of N=1 supersymmetry for QCD conformal operators","11 pages, LaTeX, 1 figure","Phys.Lett. B450 (1999) 126-135","10.1016/S0370-2693(99)00146-X",,"hep-ph hep-th",,"  We prove a set of identities for the anomalous dimensions of the quark and
gluon conformal operators in the flavour singlet channel in QCD. These
relations arise from the graded commutator algebra of the N=1 superconformal
group. We evaluate the rotation matrices for the quantities under study from
the conventional dimensional regularization to the supersymmetry preserving
regularization scheme. Using them we verify the equalities in two-loop
approximation employing the results for the NLO anomalous dimensions of the
conformal operators in the minimal subtraction scheme derived earlier.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 19:22:27 GMT""}]","2009-10-31"
"hep-ph/9811485","Yukinori Nagatani","Yukinori Nagatani (Nagoya University)","Electroweak Baryogenesis by Black Holes","4 pages, 3 figures, RevTeX with epsf macro","Phys.Rev.D59:041301,1999","10.1103/PhysRevD.59.041301",,"hep-ph",,"  We propose a new scenario of the electroweak baryogenesis based on the
properties of electroweak domain walls surrounding black holes in the Higgs
phase vacuum of the extended Standard Model with 2-Higgs doublets. It is shown
that there exists the electroweak domain walls and the symmetric regions
surrounding black holes and that the Hawking radiation of the black holes can
produce a non-zero baryon number density. The scenario can explain the origin
of the baryon number in our universe even without the assumption of the
existence of the first order electroweak phase transition.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 21:10:14 GMT""}]","2010-01-06"
"hep-ph/9811486","Vladimir Lugovoi","Vladimir Lugovoi","Rotating string","22 pages, TeX, 13 figures",,,"175-98-HEP","hep-ph",,"  The qualitative results for string rotation in the frame of Relativistic Flux
Tube Model and the quantitative and qualitative results for decay of massive
open string states of string theory are used as the basic principles in the
Monte Carlo implementation for decay of massive open string. The presented
model can be used as an ingredient into any Monte Carlo model of multiparticle
production for different types of collising particles. In the interval of total
c.m. energy from 3 GeV (e^+e^- annihilation) to 1800 GeV (proton-antiproton
interaction) the presented ""soft"" (i.e. withaut $qq, gg, qg$ scattering) model
has agreement with experimental data on transverse momentum distribution of
secondary particles up to 4 GeV. According to widely known theoretical
hypothesis, the secondary particles from interval $p_{T} > $1GeV are results of
hard scattering QCD states. Therefore (maybe) one can recover a question about
relation between the classical string solutions of string theory and solutions
of QCD equations.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 21:54:45 GMT""}]","2007-05-23"
"hep-ph/9811487","Katsuji Yamamoto","K. Yamamoto and S. Matsuki","Quantum Analysis of Rydberg Atom Cavity Detector for Dark Matter Axion
  Search","6 pages, 4 figures, Invited talk presented at the IDM'98, Buxton, UK,
  7-11 September, 1998, latex, sprocl.sty",,,"NEAP-55","hep-ph",,"  Quantum analysis is made on the dynamical system consisting of the cosmic
axions, photons and Rydberg atoms which are interacting in the resonant cavity.
The atomic motion in a continuous incident beam is taken into account properly
in order to make a precise estimate of the efficiency of the Rydberg atom
cavity detector for dark matter axion search.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 02:38:28 GMT""}]","2007-05-23"
"hep-ph/9811488","A. I. Sanda","I.I. Bigi and A.I. Sanda","Comments on the Sign of CP Asymmetries","16 pages, LATEX, 2 figures included; to be submitted for publication","Phys.Rev.D60:033001,1999","10.1103/PhysRevD.60.033001","UND-HEP-98-BIG 05, EPNU-98-41","hep-ph",,"  Several experiments are about to measure the CP asymmetry for $B \to \psi
K_S$ and other decays. The standard model together with the Kobayashi-Maskawa
ansatz for CP violation predicts the sign as well as the magnitude for this
asymmetry. In this note we elucidate the physics and conventions which lead to
the prediction for the sign of the asymmetry.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 04:50:19 GMT""},{""version"":""v2"",""created"":""Tue, 29 Dec 1998 02:24:18 GMT""},{""version"":""v3"",""created"":""Mon, 18 Jan 1999 01:18:37 GMT""}]","2010-11-23"
