"adap-org/9809003","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Autocatalytic Sets and the Growth of Complexity in an Evolutionary Model","13 pages REVTEX (including figures), 4 Postscript figures",,"10.1103/PhysRevLett.81.5684","IISc-CTS/9/98","adap-org cond-mat nlin.AO",,"  A model of $s$ interacting species is considered with two types of dynamical
variables. The fast variables are the populations of the species and slow
variables the links of a directed graph that defines the catalytic interactions
among them. The graph evolves via mutations of the least fit species. Starting
from a sparse random graph, we find that an autocatalytic set (ACS) inevitably
appears and triggers a cascade of exponentially increasing connectivity until
it spans the whole graph. The connectivity subsequently saturates in a
statistical steady state. The time scales for the appearance of an ACS in the
graph and its growth have a power law dependence on $s$ and the catalytic
probability. At the end of the growth period the network is highly non-random,
being localized on an exponentially small region of graph space for large $s$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 05:02:32 GMT""}]","2009-10-30"
"cond-mat/9809228","Tohru Koma","Tohru Koma","Spectral Gaps of Quantum Hall Systems with Interactions","LaTeX, 54 pages, no figures, discussions on periodic potentials and
  on energy and spatial cutoffs added, typos corrected, accepted for
  publication in J. Stat. Phys",,,,"cond-mat.mes-hall cond-mat.stat-mech",,"  A two-dimensional quantum Hall system without disorder for a wide class of
interactions including any two-body interaction with finite range is studied by
using the Lieb-Schultz-Mattis method [{\it Ann. Phys. (N.Y.)} {\bf 16}: 407
(1961)]. The model is defined on an infinitely long strip with a fixed large
width, and the Hilbert space is restricted to the lowest $(n_{\rm max}+1)$
Landau levels with a large integer $n_{\rm max}$. We proved that, for a
non-integer filling $\nu$ of the Landau levels, either (i) there is a symmetry
breaking at zero temperature or (ii) there is only one infinite-volume ground
state with a gapless excitation. We also proved the following two theorems: (a)
If a pure infinite-volume ground state has a non-zero excitation gap for a
non-integer filling $\nu$, then a translational symmetry breaking occurs at
zero temperature. (b) Suppose that there is no non-translationally invariant
infinite-volume ground state. Then, if a pure infinite-volume ground state has
a non-zero excitation gap, the filling factor $\nu$ must be equal to a rational
number. Here the ground state is allowed to have a periodic structure which is
a consequence of the translational symmetry breaking. We also discuss the
relation between our results and the quantized Hall conductance, and
phenomenologically explain why odd denominators of filling fractions $\nu$
giving the quantized Hall conductance, are favored exclusively.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 06:53:13 GMT""},{""version"":""v2"",""created"":""Tue, 1 Dec 1998 10:07:08 GMT""},{""version"":""v3"",""created"":""Mon, 27 Dec 1999 06:36:14 GMT""}]","2007-05-23"
"cond-mat/9809229","Walter Kob","Jurgen Horbach, Walter Kob, and Kurt Binder (Institute of Physics,
  Mainz, Germany)","The specific heat of amorphous silica within the harmonic approximation","9 pages of Latex, 4 figures","J. Phys. Chem. B 103, 4104 (1999)",,"KOMA-98-14","cond-mat.stat-mech cond-mat.dis-nn",,"  We investigate to what extent the specific heat of amorphous silica can be
calculated within the harmonic approximation. For this we use molecular
dynamics computer simulations to calculate, for a simple silica model (the BKS
potential), the velocity autocorrelation function and hence an effective
density of states g(nu). We find that the harmonic approximation is valid for
temperatures below 300K but starts to break down at higher temperatures. We
show that in order to get a reliable description of the low frequency part of
g(nu), i.e. where the boson peak is observed, it is essential to use large
systems for the simulations and small cooling rates with which the samples are
quenched. We find that the calculated specific heat is, at low temperatures
(below 50K), about a factor of two smaller than the experimental one. In the
temperature range 200K <= T <= T_g, where T_g=1450K is the glass transition
temperature, we find a very good agreement between the theoretical specific
heat and the experimental one.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 07:35:29 GMT""}]","2007-05-23"
"cond-mat/9809230","J. Ravi Prakash","J. Ravi Prakash, H. C. Oettinger","Viscometric Functions for a Dilute Solution of Polymers in a Good
  Solvent","Revised version, to appear in Macromolecules, 37 pages, 10 figures,
  Latex","Macromolecules 1999, 32, 2028-2043","10.1021/ma981534b",,"cond-mat.stat-mech cond-mat.soft",,"  A dilute polymer solution is modeled as a suspension of non-interacting
Hookean dumbbells and the effect of excluded volume is taken into account by
incorporating a narrow Gaussian repulsive potential between the beads of each
dumbbell. The narrow Gaussian potential is a means of regularising a
delta-function potential---it tends to the delta-function potential in the
limit of the width parameter going to zero. Exact predictions of viscometric
functions in simple shear flow are obtained with the help of a retarded motion
expansion and by Brownian dynamics simulations. It is shown that for relatively
small non-zero values of the width parameter, the presence of excluded volume
causes a swelling of the dumbbell at equilibrium, and shear thinning in simple
shear flow. On the other hand, a delta function excluded volume potential does
not lead to either swelling or to shear thinning. Approximate viscometric
functions, obtained by assuming that the bead-connector vector is described by
a Gaussian non-equilibrium distribution function, are found to be accurate
above a threshold value of the width parameter, for a given value of the
strength of excluded volume interaction. A first order perturbation expansion
reveals that the Gaussian approximation is exact to first order in the strength
of excluded volume interaction. The predictions of an alternative quadratic
excluded volume potential suggested earlier by Fixman (J. Chem. Phys., 1966,
45, 785; 793) are also compared with those of the narrow Gaussian potential.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 09:54:30 GMT""},{""version"":""v2"",""created"":""Sun, 20 Dec 1998 05:12:52 GMT""}]","2020-07-03"
"cond-mat/9809231","Kristian K. Mueller-Nedebock","Kristian K. M""uller-Nedebock and Thomas A. Vilgis","Dynamics of dense Polyelectrolyte Solutions","10 pages (incl. figure)","Macromolecules 31, no. 17, (1998) pp. 5898-5903","10.1021/ma980219m",,"cond-mat.soft",,"  We investigate a system of dense polyelectrolytes in solution. The Langevin
dynamics of the system with linearized hydrodynamics is formulated in the
functional integral formalism and a transformation made to collective
coordinates. Within a dynamical Random Phase Approximation (RPA) integration
over the counter- and salt ions produces the Debye-H\""uckel-like screening of
the Coulomb interactions with dependence on the frequency only as part of a
more complicated coupling structure. We investigate the dynamics of the
structure factor as well as the collective diffusion coefficient and comment
upon the viscosity of the whole system of polymers with counterions and fluid
in the simplest approximation. The coupling of the various components of the
system produces nontrivial diffusive behavior. We draw conclusions about the
relationship of the three length scales in the present system, i.e. the static
screening length, the hydrodynamic screening length and the Debye length.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 10:54:47 GMT""}]","2015-06-25"
"cond-mat/9809232","Dr. Deng Wen Ji","Wenji Deng (Department of Physics, South China University of
  Technology, Guangzhou, China)","Multi-step Bose-Einstein Condensation of Trapped Ideal Bose Gases","12 Pages with 3 PS figures",,"10.1016/S0375-9601(99)00490-9",,"cond-mat",,"  The Phenomenon of multi-step Bose-Einstein condensation (BEC) of a finite
number of non-interacting bosons in anisotropic traps has been demonstrated by
studing the populations on eight subsets of states. The cusp in the specific
heat is found to be associated with the crossover between subsets of states
involving Bose functions $g_{n}(z)$ of different classes, as specified by their
behaviour at $z=1$. {PACS: 03.75.Fi, 05.30.-d, 64.60.-i}
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 12:12:30 GMT""},{""version"":""v2"",""created"":""Tue, 22 Sep 1998 12:40:48 GMT""},{""version"":""v3"",""created"":""Wed, 23 Sep 1998 01:07:07 GMT""},{""version"":""v4"",""created"":""Mon, 19 Oct 1998 12:23:14 GMT""},{""version"":""v5"",""created"":""Tue, 20 Oct 1998 09:33:37 GMT""},{""version"":""v6"",""created"":""Tue, 27 Oct 1998 07:48:18 GMT""}]","2009-10-31"
"cond-mat/9809233","M.-B. Lepetit","Marie-Bernadette Lepetit and G. M. Pastor","Density-matrix renormalization using three classes of block states","16 pages, 4 figures",,"10.1103/PhysRevB.58.12691",,"cond-mat.str-el",,"  An extension of the the density matrix renormalization group (DMRG) method is
presented. Besides the two groups or classes of block states considered in
White's formulation, the retained $m$ states and the neglected ones, we
introduce an intermediate group of block states having the following $p$
largest eigenvalues $\lambda_i$ of the reduced density matrix: $\lambda_1 \ge
>... \lambda_m \ge \lambda_{m+1}\ge ... \ge \lambda_{m+p}$. These states are
taken into account when they contribute to intrablock transitions but are
neglected when they participate in more delocalized interblock fluctuations.
Applications to one-dimensional models (Heisenberg, Hubbard and dimerized
tight-binding) show that in this way the involved computer resources can be
reduced without significant loss of accuracy. The efficiency and accuracy of
the method is analyzed by varying $m$ and $p$ and by comparison with standard
DMRG calculations. A Hamiltonian-independent scheme for choosing $m$ and $p$
and for extrapolating to the limit where $m$ and $p$ are infinite is provided.
Finally, an extension of the 3-classes approach is outlined, which incorporates
the fluctuations between the $p$ states of different blocks as a
self-consistent dressing of the block interactions among the retained $m$
states.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 12:15:52 GMT""}]","2009-10-31"
"cond-mat/9809235","Kravtsov Vladimir","Vladimir E. Kravtsov and Vladimir I. Yudson","Topological Spectral Correlations in 2D Disordered Systems","4 pages, revtex","Phys. Rev. Lett. v.82, 157 (1999)","10.1103/PhysRevLett.82.157",,"cond-mat",,"  It is shown that the tail in the two-level spectral correlation function R(s)
for particles on 2D closed disordered surfaces is determined entirely by
surface topology: $R(s)=-\chi/(6\pi^2\beta s^2)$, where $\beta$ = 1,2 or 4 for
the orthogonal, unitary and symplectic ensembles, and $\chi$ = 2(1-p) is the
Euler characteristics of the surface with p ""handles"" (holes). The result is
valid for g << s << g^2 for $\beta$=1,4 and for g << s << g^3 for $\beta$=2,
where g >> 1 is the dimensionless conductance.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:24:13 GMT""}]","2009-10-31"
"cond-mat/9809236","Markus Zoelfl","M. B. Zoelfl, Th. Maier, Th. Pruschke, J. Keller","Electronic properties of the three-band Hubbard model","8 pages, submitted to EPJ B",,,,"cond-mat.str-el",,"  We study the electronic band-structure and transport properties of a
CuO2-plane within the three-band Hubbard model. The Dynamical Mean-Field Theory
(DMFT) is used to solve the many particle problem. The calculations show that
the optical gap Delta_opt is given by excitations from the lower Hubbard band
into the so called Zhang-Rice singlet band. The optical gap Delta_opt turns out
to be considerably smaller than the charge transfer energy Delta (Delta=ep-ed)
for a typical set of parameters, which is in agreement with experiment. For the
two-dimensional CuO2-plane we investigated the dependency of the shape of the
Fermi surface on the different hopping parameters t_CuO and t_OO. A value
t_OO/t_CuO >0$ leads to a Fermi surface surrounding the M point. An additional
different static shift of the oxygen energies is also considered to calculate
the electronic response due to a displacement of the oxygen atoms given by a
frozen phonon. The density-density correlation for the oxygen orbitals is
linear in doping for both hole and electron doping but shows a different
temperature dependency in the two regimes. In the first case it is temperature
independent and increases upon doping, which leads to an increasing
electron-phonon coupling for the B_1g-mode in high-Tc superconductors.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:04:56 GMT""}]","2007-05-23"
"cond-mat/9809237","Denise Hinzke","U. Nowak and D. Hinzke","Magnetization Switching in Small Ferromagnetic Particles: Nucleation and
  Coherent Rotation","3 pages, Revtex, 4 Figures included",,"10.1063/1.370360","SF-98","cond-mat.stat-mech",,"  The mechanisms of thermally activated magnetization switching in small
ferromagnetic particles driven by an external magnetic field are investigated.
For low uniaxial anisotropy the spins rotate coherently while for sufficiently
large uniaxial anisotropy they behave Ising-like, i.e. the switching then is
due to nucleation. The crossover from coherent rotation to nucleation is
studied for the classical three-dimensional Heisenberg model with uniaxial
anisotropy by Monte Carlo simulations. From the temperature dependence of the
metastable lifetime the energy barrier of a switching process can be
determined. For the case of infinite anisotropy we compare numerical results
from simulations of the Ising model with theoretical results for energy
barriers for both, single-droplet and multi-droplet nucleation. The simulated
barriers are in agreement with the theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:32:21 GMT""}]","2009-10-31"
"cond-mat/9809238","Hans Fogedby","Hans C. Fogedby (Institute of Physics and Astronomy, Aarhus, and
  NORDITA, Copenhagen, Denmark)","Aspects of the Noisy Burgers Equation","23 pages,LAMUPHYS LaTeX-file (Springer), 13 figures, and 1 table, to
  appear in the Proceedings of the XI Max Born Symposium on ""Anomalous
  Diffusion: From Basics to Applications"", May 20-24, 1998, Ladek Zdroj, Poland",,"10.1007/BFb0106836",,"cond-mat.stat-mech cond-mat.soft",,"  The noisy Burgers equation describing for example the growth of an interface
subject to noise is one of the simplest model governing an intrinsically
nonequilibrium problem. In one dimension this equation is analyzed by means of
the Martin-Siggia-Rose technique. In a canonical formulation the morphology and
scaling behavior are accessed by a principle of least action in the weak noise
limit. The growth morphology is characterized by a dilute gas of nonlinear
soliton modes with gapless dispersion law with exponent z=3/2 and a superposed
gas of diffusive modes with a gap. The scaling exponents and a heuristic
expression for the scaling function follow from a spectral representation.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:37:01 GMT""}]","2009-10-31"
"cs/9809022","Bernd Ludwig","Bernd Ludwig, Guenther Goerz, Heinrich Niemann","Modelling Users, Intentions, and Structure in Spoken Dialog","17 pages",,,,"cs.CL",,"  We outline how utterances in dialogs can be interpreted using a partial first
order logic. We exploit the capability of this logic to talk about the truth
status of formulae to define a notion of coherence between utterances and
explain how this coherence relation can serve for the construction of AND/OR
trees that represent the segmentation of the dialog. In a BDI model we
formalize basic assumptions about dialog and cooperative behaviour of
participants. These assumptions provide a basis for inferring speech acts from
coherence relations between utterances and attitudes of dialog participants.
Speech acts prove to be useful for determining dialog segments defined on the
notion of completing expectations of dialog participants. Finally, we sketch
how explicit segmentation signalled by cue phrases and performatives is covered
by our dialog model.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 11:10:14 GMT""}]","2007-05-23"
"cs/9809023","Davood Rafiei","Davood Rafiei and Alberto Mendelzon","Similarity-Based Queries for Time Series Data",,"In Proceedings of the ACM SIGMOD Intl. Conf. on Management of
  Data, pages 13-24, Tucson, Arizona, May 1997",,,"cs.DB",,"  We study a set of linear transformations on the Fourier series representation
of a sequence that can be used as the basis for similarity queries on
time-series data. We show that our set of transformations is rich enough to
formulate operations such as moving average and time warping. We present a
query processing algorithm that uses the underlying R-tree index of a
multidimensional data set to answer similarity queries efficiently. Our
experiments show that the performance of this algorithm is competitive to that
of processing ordinary (exact match) queries using the index, and much faster
than sequential scanning. We relate our transformations to the general
framework for similarity queries of Jagadish et al.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:41:07 GMT""},{""version"":""v2"",""created"":""Fri, 18 Sep 1998 19:04:42 GMT""}]","2007-05-23"
"gr-qc/9809049","James M. Nester","J.M. Nester, H-J Yo (National Central U.)","Symmetric teleparallel general relativity","Plain TeX, 6 pages, no figures, minor improvements, accepted by
  Chinese Journal of Physics",,,"NCU-CCS-980904","gr-qc",,"  General relativity can be presented in terms of other geometries besides
Riemannian. In particular, teleparallel geometry (i.e., curvature vanishes) has
some advantages, especially concerning energy-momentum localization and its
``translational gauge theory'' nature. The standard version is metric
compatible, with torsion representing the gravitational ``force''. However
there are many other possibilities. Here we focus on an interesting alternate
extreme: curvature and torsion vanish but the nonmetricity $\nabla g$ does
not---it carries the ``gravitational force''. This {\it symmetric teleparallel}
representation of general relativity covariantizes (and hence legitimizes) the
usual coordinate calculations. The associated energy-momentum density is
essentially the Einstein pseudotensor, but in this novel geometric
representation it is a true tensor.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 04:54:56 GMT""},{""version"":""v2"",""created"":""Wed, 24 Feb 1999 07:39:13 GMT""}]","2007-05-23"
"gr-qc/9809050","Shinji Mukohyama","Shinji Mukohyama","On the Noether charge form of the first law of black hole mechanics","Latex, 16 pages, arguments on gauge conditions and near-stationary
  entropy are added, accepted for publication in Physical Review D","Phys. Rev. D 59, 064009 (1999)","10.1103/PhysRevD.59.064009","YITP-98-61","gr-qc",,"  The first law of black hole mechanics was derived by Wald in a general
covariant theory of gravity for stationary variations around a stationary black
hole. It is formulated in terms of Noether charges, and has many advantages. In
this paper several issues are discussed to strengthen the validity of the
Noether charge form of the first law. In particular, a gauge condition used in
the derivation is justified. After that, we justify the generalization to
non-stationary variations done by Iyer-Wald.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:32:49 GMT""},{""version"":""v2"",""created"":""Thu, 24 Sep 1998 06:33:11 GMT""},{""version"":""v3"",""created"":""Sat, 24 Oct 1998 08:35:51 GMT""},{""version"":""v4"",""created"":""Wed, 18 Nov 1998 06:06:48 GMT""}]","2016-08-25"
"gr-qc/9809051","Luis Bel","Ll. Bel","The Froth of the Universe","Latex, 13 pages",,,,"gr-qc",,"  We consider a model of the Universe based on the equation of state
$p=(1/3)\rho (c/F)^2$, where $F$ is the scale factor. This model behaves as an
inflationary Universe from the beginning and during its early stages, and
behaves as dust matter during the stages of maximum expansion.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 10:25:45 GMT""}]","2007-05-23"
"gr-qc/9809052","Alex Kaganovich","E.I.Guendelman and A.B.Kaganovich","Field Theory Models without the Cosmological Constant Problem","Plenary talk given by E.I.Guendelman in the Fourth Alexander
  Friedmann International Seminar on Gravitation and Cosmology, St. Petersburg,
  1998; 25 pages. LaTeX",,,,"gr-qc hep-th",,"  We study field theory models in the context of a gravitational theory based
on the requirement that the measure of integration in the action is not
necessarily \sqrt{-g} but it is determined dynamically through additional
degrees of freedom, like four scalar fields \phi_{a}. We study three
possibilities for the general structure of the theory: (A) The total action has
the form S=\int\Phi Ld^{4}x where the measure \Phi is built from the scalars
\phi_{a} in such a way that the transformation L\to L+const does not effect
equations of motion. Then an infinite dimensional shifts group of the measure
fields (SGMF) \phi_{a} by arbitrary functions of the Lagrangian density L is a
symmetry group of the action. (B) The total action has the form S=S_{1}+S_{2},
S_{1}=\int\Phi L_{1}d^{4}x, S_{2}=\int\sqrt{-g}L_{2}d^{4}x which is the only
model different from (A) and invariant under SGMF (but now with f_{a}=
f_{a}(L_{1})). Similarly, now only S_{1} satisfies the requirement that the
transformation L_{1}\to L_{1}+const does not effect equations of motion. Both
in the case (A) and in the case (B) it is assumed that L, L_{1}, L_{2} do not
depend on \phi_{a}. (C) The action includes a term which breaks the SGMF
symmetry. It is shown that in the first order formalism in cases (A) and (B)
the CCP is solved: the effective potential vanishes in a true vacuum state
(TVS) without fine tuning. In the case (C), the breaking of the SGMF symmetry
induces a nonzero energy density for the TVS.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 11:15:19 GMT""}]","2007-05-23"
"gr-qc/9809053",,"Salvatore Capozziello, Salvatore De Martino, Silvio De Siena, Fabrizio
  Illuminati","Quantum Signature of Cosmological Large Scale Structures","12 pages, REVTEX, submitted in Phys. Lett.A",,,,"gr-qc",,"  We demonstrate that to all large scale cosmological structures where
gravitation is the only overall relevant interaction assembling the system
(e.g. galaxies), there is associated a characteristic unit of action per
particle whose order of magnitude coincides with the Planck action constant
$h$. This result extends the class of physical systems for which quantum
coherence can act on macroscopic scales (as e.g. in superconductivity) and
agrees with the absence of screening mechanisms for the gravitational forces,
as predicted by some renormalizable quantum field theories of gravity. It also
seems to support those lines of thought invoking that large scale structures in
the Universe should be connected to quantum primordial perturbations as
requested by inflation, that the Newton constant should vary with time and
distance and, finally, that gravity should be considered as an effective
interaction induced by quantization.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:02:30 GMT""}]","2007-05-23"
"gr-qc/9809054","Roland Steinbauer","Roland Steinbauer","On the geometry of impulsive gravitational waves","Unchanged from v2; Comment on publication status changed to: Prepared
  for ""Proceedings of the 8-th National Romaninan Conference on GRG, Bistritza,
  June 1998"", which to my best konwledge never appeared",,,"UWThPh-1998-30","gr-qc math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We describe impulsive gravitational pp-waves entirely in the distributional
picture. Applying Colombeau's nonlinear framework of generalized functions we
handle the formally ill-defined products of distributions which enter the
geodesic as well as the geodesic deviation equation. Using a universal
regularization procedure we explicitly derive regularization independent
distributional limits. In the special case of impulsive plane waves we compare
our results with the particle motion derived from the continuous form of the
metric.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:15:32 GMT""},{""version"":""v2"",""created"":""Tue, 3 Nov 1998 09:36:18 GMT""},{""version"":""v3"",""created"":""Mon, 30 Sep 2013 08:25:02 GMT""}]","2013-10-01"
"hep-ex/9809015","Edward R. Kinney","K. Ackerstaff, et al. (The HERMES Collaboration)","Determination of the Deep Inelastic Contribution to the Generalised
  Gerasimov-Drell-Hearn Integral for the Proton and Neutron","6 pages, 3 figures, 1 table, revtex","Phys.Lett.B444:531-538,1998","10.1016/S0370-2693(98)01396-3","DESY 98-122","hep-ex",,"  The virtual photon absorption cross section differences [sigma_1/2-sigma_3/2]
for the proton and neutron have been determined from measurements of polarised
cross section asymmetries in deep inelastic scattering of 27.5 GeV
longitudinally polarised positrons from polarised 1H and 3He internal gas
targets. The data were collected in the region above the nucleon resonances in
the kinematic range nu < 23.5 GeV and 0.8 GeV**2 < Q**2 < 12 GeV**2. For the
proton the contribution to the generalised Gerasimov-Drell-Hearn integral was
found to be substantial and must be included for an accurate determination of
the full integral. Furthermore the data are consistent with a QCD
next-to-leading order fit based on previous deep inelastic scattering data.
Therefore higher twist effects do not appear significant.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 18:43:28 GMT""},{""version"":""v2"",""created"":""Sun, 20 Dec 1998 11:38:34 GMT""}]","2008-11-26"
"hep-ex/9809016","Andrew Brandt","B. Abbott et al, DZero Collaboration","Probing Hard Color-Singlet Exchange in ppbar Collisions at root-s=630
  GeV and 1800 GeV","16 pages, 6 figures","Phys.Lett.B440:189-202,1998","10.1016/S0370-2693(98)01238-6","Fermilab Pub-98/285-E","hep-ex",,"  We present results on dijet production via hard color-singlet exchange in
proton-antiproton collisions at root-s = 630 GeV and 1800 GeV using the DZero
detector. The fraction of dijet events produced via color-singlet exchange is
measured as a function of jet transverse energy, separation in pseudorapidity
between the two highest transverse energy jets, and proton-antiproton
center-of-mass energy. The results are consistent with a color-singlet fraction
that increases with an increasing fraction of quark-initiated processes and
inconsistent with two-gluon models for the hard color-singlet.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 21:52:00 GMT""}]","2008-11-26"
"hep-ex/9809017","Paolo Bernardini","Paolo Bernardini, Giancarlo Barbarino, Fausto Guarino (NOE
  Collaboration)","NOE, a Neutrino Oscillation Experiment at Gran Sasso Laboratory","10 pages, 9 figures, 2 tables, contributed paper at Neutrino
  Oscillation Workshop (NOW'98), September 7-9, 1998, Amsterdam",,,,"hep-ex",,"  The project of a large underground experiment (NOE) devoted to long baseline
neutrino oscillation measurement is presented. The apparatus is composed by
calorimetric modules interleaved with TRD modules and has been optimized to be
sensitive in the region of sin2 2theta and Dm2 suggested by the atmospheric
neutrino oscillation signal.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:12:25 GMT""}]","2009-09-25"
"hep-ex/9809018","Klaus Hamacher","Klaus Hamacher(Fachbereich Physik, Bergische Universitaet - Gh.
  Wuppertal)","Properties of Gluon and Quark Jets","8 pages, Latex, ltwol2ex.sty, talk given at the ICHEP Vancouver 1998",,,,"hep-ex",,"  Recent developments and results on the comparison of gluon to quark jets are
discussed. A most important topic is the introduction of explicit energy scales
of the jets. The scaling violation of the fragmentation function and the
increase of the multiplicity with scale is shown to be directly proportional to
the corresponding gluon or quark colour factor. The ratio of the hadron
multiplicity in gluon to quark jets is understood to be smaller than the colour
factor ratio due to differences in the fragmentation of the leading quark or
gluon. Novel algorithms to reconstruct the colour portraits or the colour flow
of an event are presented.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:55:26 GMT""}]","2007-05-23"
"hep-lat/9809127","Peter Stephenson","P.W. Stephenson","Putting centre dominance under the microscope","Talk given at LATTICE98(confine), 3pp, LaTeX2e+amstex+epsf","Nucl.Phys.Proc.Suppl. 73 (1999) 569-571","10.1016/S0920-5632(99)85140-8",,"hep-lat",,"  We make various short points on the phenomenon of centre dominance in SU(2).
The Z(2) dominance seen in Wilson loops is related to the loop distribution and
to half-odd-integer representations of the group. The distributions also make
it clear that, in this picture, the requirement of vortices for confinement is
essentially trivial. We confirm that the same effect appears in the positive
plaquette model. The simple random vortex picture is shown to give a
substantial fraction of the string tension.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:01:45 GMT""}]","2009-10-31"
"hep-lat/9809128","Michael P. Grady","Michael Grady","Do Large Abelian Monopole Loops Survive the Continuum Limit?","LATTICE98(confine), 3 pages LaTex, uses espcrc2.sty, two eps figs","Nucl.Phys.Proc.Suppl. 73 (1999) 551-553","10.1016/S0920-5632(99)85134-2","SUNY-FRE-98-10","hep-lat",,"  An analysis of the monopole loop length distribution is performed in
Wilson-action SU(2) lattice gauge theory. A pure power law in the inverse
length is found, at least for loops of length, $l$, less than the linear
lattice size $N$. This power shows a definite $\beta$ dependence, passing 5
around $\beta =2.9$, and appears to have very little finite lattice size
dependence. It is shown that when this power exceeds 5, no loops any finite
fraction of the lattice size will survive the infinite lattice limit. This is
true for any reasonable size distribution for loops larger than N. The apparent
lack of finite size dependence in this quantity would seem to indicate that
abelian monopole loops large enough to cause confinement do not survive the
continuum limit. Indeed they are absent for all $\beta > 2.9$.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 17:02:07 GMT""}]","2009-10-31"
"hep-lat/9809129","Becirevic","D. Becirevic, Ph. Boucaud, L. Giusti, J.P. Leroy, V. Lubicz, G.
  Martinelli, F. Mescia, F. Rapuano","Light hadron spectroscopy on the lattice with the non-perturbatively
  improved Wilson action","29 pages (LaTeX), 14 Postscript figures",,,"LPTHE-Orsay 98/33, Roma 1218/98, SNS/PH/1998-018","hep-lat hep-ph",,"  We present results for the light meson masses and decay constants as obtained
from calculations with the non-perturbatively improved (`Alpha') action and
operators on a 24^3 \times 64 lattice at beta = 6.2, in the quenched
approximation. The analysis was performed in a way consistent with O(a)
improvement. We obtained: reasonable agreement with experiment for the
hyperfine splitting; f_K=156(17) MeV, f_pi =139(22) MeV, f_K/f_pi = 1.13(4) ;
f_{K*}=219(7) MeV, f_rho =199(15) MeV, f_phi =235(4) MeV; f_{K*}^{T}(2 GeV) =
178(10) MeV, f_rho^{T}(2 GeV) =165(11) MeV, where f_V^{T} is the coupling of
the tensor current to the vector mesons; the chiral condensate
<\bar{q}q>^\bar{MS} (2 GeV)= - (253 +/- 25 MeV)^3. Our results are compared to
those obtained with the unimproved Wilson action. We also verified that the
free-boson lattice dispersion relation describes our results very accurately
for a large range of momenta.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 17:55:40 GMT""}]","2007-05-23"
"hep-lat/9809130","Achim Spitz","SESAM Collaboration: A.Spitz, N.Eicker, S.Guesken, H.Hoeber, P.Lacock,
  T.Lippert, K.Schilling, T.Struckmann, P.Ueberholz, J.Viehoff","An Estimate of alpha_S from Bottomonium in Unquenched QCD","LATTICE98(heavyqk)","Nucl.Phys.Proc.Suppl. 73 (1999) 327-329","10.1016/S0920-5632(99)85062-2","HLRZ 1998-55, WUP-TH 98-30","hep-lat",,"  We estimate the strong coupling constant from the perturbative expansion of
the plaquette. The scale is set by the 2S-1S and 1P-1S splittings in
bottomonium which are computed in NRQCD on dynamical gauge configurations with
nf=2 degenerate Wilson quarks at intermediate masses. We have increased the
statistics of our spectrum calculation in order to reliably extrapolate in the
sea-quark mass. We find a value of alpha_MS(m_Z) = 0.1118(26) which is somewhat
lower than previous estimates within NRQCD.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 17:23:07 GMT""}]","2009-10-31"
