"astro-ph/9809163","Arnon Dar","Arnon Dar","Cosmic Rays and Gamma Ray Bursts From Microblazars","Cosmic rays above the GZK cutoff will be discussed in a separate
  publication",,,,"astro-ph hep-ph",,"  Highly relativistic jets from merger and accretion induced collapse of
compact stellar objects, which may produce the cosmological gamma ray bursts
(GRBs), are also very efficient and powerful cosmic ray accelerators. The
expected luminosity, energy spectrum and chemical composition of cosmic rays
from Galactic GRBs, most of which do not point in our direction, can explain
the observed properties of Galactic cosmic rays.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 17:29:58 GMT""}]","2007-05-23"
"hep-lat/9809085","Ting-Wai  Chiu","Ting-Wai Chiu","Exactly massless fermions on the lattice","LATTICE98(chiral), 3 pages, 3 figures","Nucl.Phys.Proc.Suppl.73:688-690,1999","10.1016/S0920-5632(99)85174-3","NTUTH-98-096","hep-lat astro-ph cond-mat.str-el hep-ph hep-th",,"  The salient features of the Ginsparg-Wilson fermion in topologically
nontrivial background gauge fields are outlined. The R-invariance of the zero
modes, the indices and the index theorem on a finite lattice are illustrated.
The role of R in converting the nonlocal D_c into a sequence of highly local D
is demonstrated.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 07:15:13 GMT""},{""version"":""v2"",""created"":""Sun, 4 Oct 1998 02:06:30 GMT""}]","2010-11-19"
"hep-lat/9809086","Takashi Umeda","QCD-TARO : Ph. de Forcrand, M. Garc\'ia Per\'ez, T. Hashimoto, S.
  Hioki, H. Matsufuru, O. Miyamura, A. Nakamura, I.-O Stamatescu, T. Takaishi
  and T. Umeda","Scaling Analysis of Improved Actions for Pure SU(3) Gauge Theory","LATTICE98(improvement)","Nucl.Phys.Proc.Suppl.73:924-926,1999","10.1016/S0920-5632(99)85246-3","HUPD-9824","hep-lat",,"  We have explored the behaviour of some improved actions based on a
nonperturbative renormalization group (RG) analysis in coupling space. We
calculate the RG flow in two-coupling space $(\boneone,\bonetwo)$ and examine
the restoration of rotational invariance and the scaling of physical quantities
$(T_c/\sqrt{\sigma})$.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 10:46:31 GMT""}]","2016-08-15"
"hep-lat/9809088","Gudmar Thorleifsson","S. Bilke, Z. Burda, A. Krzywicki, B. Petersson, K. Petrov, J. Tabaczek
  and G. Thorleifsson","The Strong-Coupling Expansion in Simplicial Quantum Gravity","LATTICE98(surfaces), 3 pages, 4 eps figures","Nucl.Phys.Proc.Suppl. 73 (1999) 798-800","10.1016/S0920-5632(99)85207-4","BI-TP 98/28","hep-lat",,"  We construct the strong-coupling series in 4d simplicial quantum gravity up
to volume 38. It is used to calculate estimates for the string susceptibility
exponent gamma for various modifications of the theory. It provides a very
efficient way to get a first view of the phase structure of the models.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:27:43 GMT""}]","2009-10-31"
"hep-lat/9809089","Misha Stephanov","M.A. Stephanov","Ginzburg Criterion for the Chiral Transition","LATTICE98(hightemp), 4 pages","Nucl.Phys.Proc.Suppl. 73 (1999) 474-476","10.1016/S0920-5632(99)85109-3",,"hep-lat",,"  This report is based on the work done together with J.B. Kogut and C.G.
Strouthos. We study a Yukawa theory with spontaneous chiral symmetry breaking
and with a large number N of fermions near the finite temperature phase
transition. Critical properties in such a system can be described by the mean
field theory very close to the transition point. We show that the width of the
window of non-trivial scaling is suppressed by a certain power of 1/N. Our
Monte Carlo simulations confirm these analytical results. We discuss
implications for the chiral phase transition in QCD.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:48:53 GMT""}]","2009-10-31"
"hep-lat/9809090","Junko Shigemitsu","Colin J. Morningstar and Junko Shigemitsu","Perturbative Matching of Heavy-Light Currents with NRQCD Heavy Quarks","LATTICE98(heavyqk)","Nucl.Phys.Proc.Suppl. 73 (1999) 360-362","10.1016/S0920-5632(99)85073-7","OHSTPY-HEP-T-98-017","hep-lat",,"  We present further results for one-loop matching of heavy-light axial and
vector currents between continuum QCD and a lattice theory with NRQCD heavy
quarks and massless clover quarks.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:51:39 GMT""}]","2009-10-31"
"hep-ph/9809363","Nicole Fiona Bell","Nicole F. Bell, Raymond R. Volkas and Yvonne Y. Y. Wong","Relic neutrino asymmetry evolution from first principles","RevTeX, 38 pages, crucial typos corrected; published version","Phys.Rev.D59:113001,1999","10.1103/PhysRevD.59.113001","UM-P-98/43","hep-ph astro-ph",,"  The exact Quantum Kinetic Equations for a two-flavour active-sterile neutrino
system are used to provide a systematic derivation of approximate evolution
equations for the relic neutrino asymmetry. An extension of the adiabatic
approximation for matter-affected neutrino oscillations is developed which
incorporates decoherence due to collisions. Exact and approximate expressions
for the decoherence and repopulation functions are discussed. A first pass is
made over the exact treatment of multi-flavour partially incoherent
oscillations.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 05:54:30 GMT""},{""version"":""v2"",""created"":""Tue, 13 Oct 1998 06:11:46 GMT""},{""version"":""v3"",""created"":""Wed, 4 Aug 1999 17:43:31 GMT""}]","2009-12-30"
"hep-ph/9809364","Hai-Yang Cheng","Yaw-Hwang Chen, Hai-Yang Cheng, B. Tseng","Charmless Hadronic Two-body Decays of the B_s Mesons","29 pages. Table V is revised and a typo in Eq.(3.3) is corrected. To
  appear in Phys. Rev. D","Phys. Rev. D 59, 074003 (1999)","10.1103/PhysRevD.59.074003",,"hep-ph hep-ex",,"  Two-body charmless nonleptonic decays of the B_s meson are studied within the
framework of generalized factorization in which factorization is applied to the
tree level matrix elements while the effective Wilson coefficients are $\mu$
and renormalization scheme independent, and nonfactorizable effects are
parametrized in terms of N_c(LL) and N_c(LR), the effective numbers of colors
arising from (V-A)(V-A) and (V-A)(V+A) four-quark operators, respectively.
Branching ratios of $B_s\to PP,PV,VV$ decays are calculated as a function of
N_c(LR) with two different considerations for N_c(LL). We find that (i) the
electroweak penguin contributions account for about 85% (for N_c(LL)=2) of the
decay rates of $B_s\to \eta\pi,\eta'\pi,\eta\rho,\eta'\rho,\phi\pi,\phi\rho$,
which receive contributions only from tree and electroweak penguin diagrams; a
measurement of them will provide a clean determination of the electroweak
penguin coefficient a_9, (ii) electroweak penguin corrections to $B_s\to\omega
\etapp,\phi\eta,\omega\phi,K^{(*)}\phi,\phi\phi$ are in general as significant
as QCD penguin effects and even play a dominant role; their decay rates depend
strongly on N_c(LR), (iii) the branching ratio of $B_s\to \eta\eta'$ is of
order 2x10^{-5}, (iv) the contribution from the $\eta'$ charm content is
important for $B_s\to\eta'\eta'$, but less significant for $B_s\to\eta\eta'$,
and (v) the decay rates for the final states $K^{+(*)}K^{-(*)}$ follow the
pattern: $\Gamma(B_s\to K^+K^-)>\Gamma(B_s\to K^+K^{*-})\geq\Gamma(B_s\to
K^{*+}K^{*-}) >\Gamma(B_s\to K^{+*}K^-)$, as a consequence of various
interference effects between the penguin amplitudes governed by the
coefficients a_4 and a_6.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 07:24:32 GMT""},{""version"":""v2"",""created"":""Tue, 1 Dec 1998 05:59:34 GMT""}]","2016-08-25"
"hep-ph/9809365","Ram Brustein","Ram Brustein and David H. Oaknin","Electroweak baryogenesis induced by a scalar field","8 pages, 4 figures","Phys.Rev.Lett. 82 (1999) 2628-2631","10.1103/PhysRevLett.82.2628","BGU-PH-98/07","hep-ph astro-ph",,"  A cosmological pseudoscalar field coupled to hypercharge topological number
density can exponentially amplify hyperelectric and hypermagnetic fields while
coherently rolling or oscillating, leading to the formation of a time-dependent
condensate of topological number density. The topological condensate can be
converted, under certain conditions, into baryons in sufficient quantity to
explain the observed baryon asymmetry in the universe. The amplified
hypermagnetic field can perhaps sufficiently strengthen the electroweak phase
transition, and by doing so, save any pre-existing baryon number asymmetry from
extinction.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 06:59:12 GMT""}]","2009-10-31"
"hep-ph/9809366",,"K.-I. Izawa and T. Yanagida","R-Invariant Dilaton Fixing","8 pages, references added","Prog.Theor.Phys. 101 (1999) 171-175","10.1143/PTP.101.171","UT-824","hep-ph",,"  We consider dilaton stabilization with R invariance, which insures a
vanishing cosmological constant at the scale of stabilization. We construct a
few models which accommodate weak gauge couplings with large or small gauge
groups. Matter condensation plays a central role in the dilaton stabilization.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 07:27:33 GMT""},{""version"":""v2"",""created"":""Mon, 14 Dec 1998 03:01:31 GMT""}]","2009-10-31"
"hep-ph/9809367","Giovanni Ridolfi","S. Frixione (ETH Zurich), P. Nason (CERN) and G. Ridolfi (INFN Genova)","Problems in the resummation of soft-gluon effects in the
  transverse-momentum distributions of massive vector bosons in hadronic
  collisions","21 pages, 1 figure, plain LaTex with epsfig","Nucl.Phys. B542 (1999) 311-328","10.1016/S0550-3213(98)00853-0","CERN-TH/98-278,ETH-TH/98-24,GEF-TH-9/1998,IFUM 630/FT","hep-ph",,"  We consider the resummation of soft-gluon emission in the transverse-momentum
distribution of vector mesons in hadronic collisions. We find that the resummed
expression in the impact-parameter formulation has an expansion in $\as$ with
factorially growing terms with oscillating signs. These diverging terms arise
from the small impact-parameter region of integration, and are of a subleading
nature. We also obtain a closed expression for the next-to-leading logarithm
resummation in $\qt$-space, and we study its analytic structure. We find in
this case that, although no factorially growing terms are present, there are
geometrical singularities that severely restrict the range of applicability of
the resummation formula.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 12:30:44 GMT""}]","2009-10-31"
"hep-ph/9809368","Carlo Giunti","S.M. Bilenky, C. Giunti, W. Grimus","On the neutrino mass spectrum and neutrino mixing from oscillation data","7 pages. Talk presented by S.M. Bilenky at Neutrino '98, Takayama,
  Japan, June 1998",,"10.1016/S0920-5632(99)00411-9","TUM-HEP-327/98, SFB 375-307, UWThPh-1998-50, DFTT 52/98","hep-ph",,"  Two schemes of mixing of four massive neutrinos with two couples of close
neutrino masses separated by a gap of the order of 1 eV can accommodate solar,
atmospheric and LSND neutrino oscillation data. It is shown that long-baseline
nu(e)->nu(e) and nu(mu)->nu(e) transitions are strongly suppressed in these
schemes. The scheme of mixing of three neutrino masses with a mass hierarchy
that can describe solar and atmospheric neutrino data is also discussed. It is
shown that in this scheme the effective Majorana mass |<m>| that characterizes
the matrix element of neutrinoless double-beta decay is less than 10^{-2} eV.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 09:54:33 GMT""}]","2009-10-31"
"hep-ph/9809369","Zakhari Merebashvili","B. Kamal and Z. Merebashvili","Analytically integrated results for heavy fermion production in
  two-photon collisions and a high precision $\alpha_s$ determination","Revtex, 10 pages, 1 Postscript figure, uses epsfig.sty, talk
  presented at Int. Seminar Quarks98, Suzdal, Russia, May 18-23, 1998",,,,"hep-ph",,"  The cross section for massive fermion production in two-photon collisions was
examined at next-to-leading order in QCD/QED for general photon helicity. The
delta function (virtual+soft) part of the differential cross section was
analytically integrated over the final state phase space. Series expansions for
the complete differential and total cross sections were given up to tenth order
in the parameter $\beta$. These were shown to be of practical use and revealed
much structure. Accurate parametrizations of the total cross sections were
given, valid up to higher energies. The above results were applied to top quark
production in the region not too far above threshold. The cross section was
shown to be quite sensitive to $\alpha_s$ in the appropriate energy region.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 10:56:14 GMT""}]","2007-05-23"
"hep-ph/9809370","Martti Raidal","Martti Raidal","Lepton Number and Lepton Flavour Violation in Left-Right Symmetric
  Models","Talk given in the conference ""Lepton-Baryon 98,"" April 1998, Trento,
  Italy",,,"DESY 98-126","hep-ph",,"  The sources of lepton flavour and lepton number violation in the left-right
symmetric models are reviewed and the most sensitive processes to these
violations are discussed. Both the non-SUSY and SUSY versions of the theories
are considered. Present and future experimental constraints at low as well as
at high energies are discussed. Some emphasis has been put on the doubly
charged particle production at future colliders.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 11:22:50 GMT""}]","2007-05-23"
"hep-ph/9809371","Chao-Hsi Chang","Chao-Hsi CHANG, Wu-Sheng DAI, Xue-Qian LI, Yong LIU, Feng-Cai MA,
  Zhi-jian TAO","Possible Effects of Quantum Mechanics Violation Induced by Certain
  Quantum Gravity on Neutrino Oscillations","18 pages, 0 figure, (1 REVTeX file)","Phys.Rev. D60 (1999) 033006","10.1103/PhysRevD.60.033006","AS-ITP-98-08","hep-ph",,"  In this work we tried extensively to apply the EHNS postulation about the
quantum mechanics violation effects induced by the quantum gravity of black
holes to neutrino oscillations. The possibilities for observing such effects in
the neutrino experiments (in progress and/or accessible in the near future)
were discussed. Of them, an interesting one was outlined specially.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 11:26:08 GMT""}]","2009-10-31"
"hep-ph/9809372",,"P. Colangelo, F. De Fazio, M. Ladisa, G. Nardulli, P. Santorelli, A.
  Tricarico","Semileptonic and Rare $B$-meson transitions in a QCD relativistic
  potential model","Latex, 19 pages, 3 figures","Eur.Phys.J.C8:81-90,1999","10.1007/s100529901060","BARI-TH/98-307","hep-ph",,"  Using a QCD relativistic potential model, previously applied to the
calculation of the heavy meson leptonic constants, we evaluate the form factors
governing the exclusive decays $B\to\rho\ell\nu$, $B\to K^*\gamma$ and $B\to
K^*\ell^+\ell^-$. In our approach the heavy meson is described as a $Q\bar q$
bound state, whose wave function is solution of the relativistic Salpeter
equation, with an instantaneous potential displaying Coulombic behaviour at
small distances and linear behaviour at large distances. The light vector meson
is described by using a vector current interpolating field, according to the
Vector Meson Dominance assumption. A Pauli-Villars regularized propagator is
assumed for the quarks not constituting the heavy meson. Our procedure allows
to avoid the description of the light meson in terms of wave function and
constituent quarks, and consequently the problem of boosting the light meson
wave function.
  Assuming as an input the experimental results on $B\to K^*\gamma$, we
evaluate all the form factors describing the $B\to \rho, K^*$ semileptonic and
rare transitions. The overall comparison with the data, whenever available, is
satisfactory.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 12:47:45 GMT""}]","2011-09-13"
"hep-ph/9809373","Hannes Jung","H. Jung (Lund)","Future Diffraction at HERA","14 pages (Latex), 3 figures (Postscript), Talk given at ""LISHEP98"",
  LAFEX school on high energy physics, February 14-21, Rio de Janeiro, Brazil,
  1998",,,"DESY 98-130, LUNFD6/(NFFL-7157) 1998","hep-ph",,"  Future prospects of hard diffraction at HERA a reviewed. A selection of
processes which can be calculated in pQCD is given, with emphasis on the
separation of soft and hard diffraction. The main focus will be put on the
energy dependence of diffractive processes and signatures for the hard pQCD
pomeron. Problems in the experimental detection of these processes and the
expected significance of future measurements at HERA are discussed.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 13:56:09 GMT""}]","2007-05-23"
"hep-ph/9809374","Hannes Jung","H. Jung (Lund)","Monte Carlo Implementations of Diffraction at HERA","15 pages (Latex), 3 figures (Postscript), Talk given at ""LISHEP98"",
  LAFEX school on high energy physics, February 14-21, Rio de Janeiro, Brazil,
  1998",,,"DESY 98-131, LUNFD6/(NFFL-7158) 1998","hep-ph",,"  The Monte Carlo implementation of different approaches for diffractive
scattering in $e - p$ collisions (resolved $\PO$, pQCD, soft color
interactions) is described, with emphasis on the construction of the hadronic
final state. Simple models for proton dissociation and exclusive vector meson
production are described. A comparison of the different approaches is given.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 13:11:38 GMT""}]","2007-05-23"
"hep-ph/9809375","Kari Enqvist","Kari Enqvist (University of Helsinki)","Dark Matter from Unstable B-balls","11 pages, 3 ps figures. Invited talk at DARK98 conference,
  Heidelberg, Germany, July 20-25",,,"HIP-1998-63/TH","hep-ph",,"  The spectrum of MSSM admits solitons carrying baryonic charge, or B-balls. In
an inflationary universe they can be produced in significant numbers by a
break-up of a scalar condensate along the flat directions. It is shown that if
SUSY breaking is mediated to the observable sector by gravity, B-balls are
unstable but decay to baryons and LSPs typically well below the electroweak
phase transition. It is argued that B-balls could be the source of most baryons
and cold dark matter in the universe, with their number densities related by
$n_{LSP}\simeq 3n_{B}$. For B-balls to survive thermalization, the reheating
temperature after inflation should be less than about $10^{3}$ GeV.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 13:24:10 GMT""}]","2007-05-23"
"hep-ph/9809376","Emilio Torrente Lujan","V.B Semikoz, E. Torrente-Lujan","Neutrino Conversions in Solar Random Magnetic Fields","27 pags., 10 eps figs Minor biblio. mistakes have been corrected","Nucl.Phys. B556 (1999) 353-372","10.1016/S0550-3213(99)00352-1","FTUV/IFIC-9830","hep-ph",,"  We consider the effect of a random magnetic field in the convective zone of
the Sun superimposed to a regular magnetic field on resonant neutrino
spin-flavour oscillations. We argue for the existence of a field of strongly
chaotic nature at the bottom of the convective zone. In contrast to previous
attempts we employ in addition a model motivated regular twisting magnetic
field profile. In this scenario electron antineutrinos are produced through
cascades like $\nu_{eL}\to \nu_{\mu L}\to \tilde{\nu}_{eR}$, The expected
signals in the different experiments (SK,GALLEX-SAGE, Homestake) are obtained
as a function of the level of noise, regular magnetic field and neutrino mixing
parameters. Previous results obtained for small mixing and ad-hoc regular
magnetic profiles are reobtained. We confirm the strong suppression for large
part of the parameter space of the $\tilde{\nu}_{eR}$-flux for high energy
boron neutrinos in agreement with present data of the SK experiment. We find
that MSW regions ($\Delta m^2\approx 10^{-5}$ eV$^2$, both small and large
mixing solutions) are stable up to very large levels of noise (P=0.7-0.8) but
they are acceptable from the point of view of antineutrino production only for
moderate levels of it ($P\approx 0.95$). For strong noise and reasonable
regular magnetic field, any parameter region $(\Delta m^2, \sin^2 2\theta)$ is
excluded. As a consequence, we are allowed to reverse the problem and to put
limits on r.m.s field strength and transition magnetic moments by demanding a
particle physics solution to the SNP under this scenario.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:44:49 GMT""},{""version"":""v2"",""created"":""Wed, 16 Sep 1998 11:55:45 GMT""}]","2009-10-31"
"hep-ph/9809377","Matthias Neubert","Matthias Neubert (CERN)","Theoretical Status of B -> Xs gamma Decays","6 pages, 1 figure, uses ltwol2e.sty (included); to appear in the
  Proceedings of the 29th International Conference on High Energy Physics
  (Vancouver)",,,"CERN-TH/98-301","hep-ph",,"  We review the theoretical understanding of the branching ratio and
photon-energy spectrum in B -> Xs gamma decays at next-to-leading order in QCD,
including consistently the effects of Fermi motion. For the Standard Model, we
obtain B(B -> Xs gamma)=(3.29 +- 0.33)*10^{-4} for the total branching ratio,
and B(B -> Xs gamma)=(2.85+0.34-0.40)*10^{-4} if a cut E_gamma > 2.1 GeV is
applied on the photon energy, as done in the recent CLEO analysis. A precise
measurement of the photon spectrum would help reducing the theoretical
uncertainty and yield important information on the momentum distribution of b
quarks inside B mesons.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:37:00 GMT""}]","2007-05-23"
"hep-th/9809085","Cliff Burgess","C.P. Burgess, M.T. Grisaru, M. Kamela, M.E. Knutt-Wehlau, P. Page, F.
  Quevedo and M. Zebarjad","Spacetime Duality and Superduality","As will appear in NPB, minor typos corrected and some references
  added. 30 pages, plain TeX, no figures","Nucl.Phys. B542 (1999) 195-216","10.1016/S0550-3213(98)00782-2","BRX-TH-438, IFUNAM-FT98-10, McGill-98/18","hep-th cond-mat gr-qc hep-ph",,"  We introduce a new class of duality symmetries amongst quantum field
theories. The new class is based upon global spacetime symmetries, such as
Poincare invariance and supersymmetry, in the same way as the existing duality
transformations are based on global internal symmetries.
  We illustrate these new duality transformations by dualizing several scalar
and spin-half theories in 1+1 spacetime dimensions, involving nonsupersymmetric
as well as (1,1) and (2,2) supersymmetric models. For
  (2,2) models the new duality transformations can interchange chiral and
twisted-chiral multiplets.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:52:17 GMT""},{""version"":""v2"",""created"":""Tue, 17 Nov 1998 20:25:40 GMT""}]","2016-09-06"
"hep-th/9809086","V. P. Nair","V.P. Nair","Three ideas on magnetic mass","6 pages, REVTeX 2-column style, Talk given at the 5-th International
  Workshop on Thermal Field Theory, Germany, August 1998, minor changes in
  wording, enlarged discussion in section 4",,,"CCNY-HEP 98/6","hep-th",,"  Three topics, the self-consistent resummation of the perturbative expansion
for thermal Yang-Mills (YM) theory, nonperturbative analysis of Yang-Mills
theories in (2+1) dimensions and modification of the Bose distribution for
gluons, are discussed. These topics are related to the magnetic mass or
magnetic screening in the quark-gluon plasma. The value of the magnetic mass is
argued to be close to $e^2N/2\pi=g^2TN/2\pi$ for an SU(N) gauge theory. An
analytic calculation of the string tension for $YM_{2+1}$, which agrees with
numerical simulations to within 3%, is another result.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 20:33:16 GMT""},{""version"":""v2"",""created"":""Tue, 27 Oct 1998 18:32:07 GMT""},{""version"":""v3"",""created"":""Tue, 3 Nov 1998 18:50:50 GMT""}]","2007-05-23"
"hep-th/9809087","Dimitra Karabali","Dimitra Karabali","Mass Gap and Confinement in (2+1)-Dimensional Yang-Mills Theory","4 pages, Latex, minor corrections. Talk at the ``5th International
  Workshop of Thermal Field Theories and Their Applications"", Regensburg,
  Germany, August 1998",,,"RU-98-12-B","hep-th hep-ph",,"  Using a gauge-invariant matrix parametrization of the gauge fields, we
present an analysis of how the mass gap arises in (2+1)-dimensional Yang-Mills
theory. We further derive an analytical continuum expression for the vacuum
wavefunction and based on this we calculate the string tension which is in
excellent agreement with Monte Carlo simulations of the corresponding lattice
gauge theory.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 20:44:59 GMT""},{""version"":""v2"",""created"":""Tue, 27 Oct 1998 19:54:14 GMT""}]","2007-05-23"
"hep-th/9809088","Shijong Ryang","Shijong Ryang","Covariant Gauge Fixing for Super IIA D-branes","9 pages, LaTeX2e, no figures, one reference added","Phys.Lett. B451 (1999) 46-52","10.1016/S0370-2693(99)00212-9",,"hep-th",,"  For the kappa-symmetric super IIA D-brane action by the canonical approach we
construct an equivalent effective action which is characterized by an auxiliary
scalar field. By analyzing the canonical equations of motion for the
kappa-symmetry-gauge-fixed action we find a suitable conformal-like covariant
gauge fixing of reparametrization symmetry to obtain a simplified effective
action where the non-linear square root structure is removed. We discuss how
the two effective actions are connected.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 04:16:30 GMT""},{""version"":""v2"",""created"":""Mon, 21 Sep 1998 02:34:56 GMT""}]","2009-10-31"
"hep-th/9809089","Vladimir Akulov","V. P. Akulov (CCNY, New York) and Steven Duplij (Kharkov U., Ukraine)","Nilpotent Marsh and SUSY QM","8 pages, Latex 2.09. Talk given at the conference in memory of V.I.
  Ogievetski, Dubna, July, 1997. To be published in the Proceedings",,"10.1007/BFb0104604",,"hep-th",,"  We consider the nilpotent additions to classical trajectories in
supersymmetric and nonsupersymmetric theories. The condition of anilpotence of
action on some generalized solutions leads to the Witten supersymmetric
Lagrangian. The condition of anilpotence of topological charge is the same as
one of superpotential with spontaneous broken supersymmetry. We should vanish
half of Grassmann constants of integration, because in this case only we obtain
the same number of normalized bosonic and fermionic zero modes.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 08:39:05 GMT""},{""version"":""v2"",""created"":""Tue, 15 Sep 1998 06:52:27 GMT""},{""version"":""v3"",""created"":""Sun, 20 Sep 1998 20:41:11 GMT""}]","2009-10-31"
"hep-th/9809090","Christian Rupp","Johanna Erdmenger and Christian Rupp","Geometrical Superconformal Anomalies","7 pages, LaTeX, AMSLaTeX",,,"NTZ 23/98","hep-th",,"  We determine the structure of geometrical superconformal anomalies for N=1
supersymmetric quantum field theories on curved superspace to all orders in h
bar. For the massless Wess-Zumino model we show how these anomalies contribute
to the local Callan-Symanzik equation which expresses the breakdown of
superconformal symmetry in terms of the usual beta and gamma functions.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:06:32 GMT""}]","2007-05-23"
"hep-th/9809091","Sang Pyo Kim","Sang Pyo Kim","Nonequilibrium Self-Interacting Quantum Fields in Cosmology: The
  Liouville-Neumann Approach","Talk presented at the 5th Thermal Field Theories and Their
  Applications, Regensburg, Germany, August 10-14, 1998. RevTex 10 pages, No
  figures; section 2 removed",,,,"hep-th",,"  We present the so-called Liouville-Neumann (LN) approach to nonequilibrium
quantum fields. The LN approach unifies the functional Schr\""{o}dinger equation
and the LN equation for time-independent or time-dependent quantum systems and
for equilibrium or nonequilibrium quantum systems. The LN approach is
nonperturbative in that at the lowest order of coupling constant it gives the
same results as those of the Gaussian effective potential at the zero and
finite temperature in a Minkowski spacetime. We study a self-interacting
quantum field in an expanding Friedmann-Robertson-Walker Universe. By studying
a toy model of anharmonic oscillator and finding the underlying algebraic
structure we propose a scheme to go beyond the Gaussian approximation.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:21:45 GMT""},{""version"":""v2"",""created"":""Mon, 19 Oct 1998 12:47:04 GMT""}]","2007-05-23"
"hep-th/9809092","Virginia Manias","M.V.Manias and M.L.Trobo","Equivalence between a bosonic theory and a massive non-local Thirring
  model at Finite Temperature","7 pages, latex, no figures",,,"LA PLATA-TH 98/13","hep-th",,"  Using the path-integral bosonization procedure at Finite Temperature we study
the equivalence between a massive Thirring model with non-local interaction
between currents (NLMT) and a non-local extension of the sine-Gordon theory
(NLSG). To this end we make a perturbative expansion in the mass parameter of
the NLMT model and in the cosine term of the NLSG theory in order to obtain
explicit expressions for the corresponding partition functions. We conclude
that for certain relationship between NLMT and NLSG potentials both the
fermionic and bosonic expansions are equal term by term. This result
constitutes a generalization of Coleman's equivalence at T=0, when considering
a Thirring model with bilocal potentials in the interaction term at Finite
Temperature. The study of this model is relevant in connection with the physics
of strongly correlated systems in one spatial dimension. Indeed, in the
language of many-body non-relativistic systems, the relativistic mass term can
be shown to represent the introduction of backward-scattering effects.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:17:06 GMT""}]","2007-05-23"
"hep-th/9809093","Enore Guadagnini","R. Benedetti and E. Guadagnini","Classical Teichmuller theory and (2+1) gravity","11 pages, latex","Phys.Lett. B441 (1998) 60-68","10.1016/S0370-2693(98)01156-3","IFUP-TH. 28/98","hep-th",,"  We consider classical Teichmuller theory and the geodesic flow on the
cotangent bundle of the Teichmuller space. We show that the corresponding
orbits provide a canonical description of certain (2+1) gravity systems in
which a set of point-like particles evolve in universes with topology S_g x R
where S_g is a Riemann surface of genus g >1. We construct an explicit York's
slicing presentation of the associated spacetimes, we give an interpretation of
the asymptotic states in terms of measured foliations and discuss the structure
of the phase spaces.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:43:56 GMT""}]","2009-10-31"
"hep-th/9809094","Martin Cecile","Cecile Martin","The Poisson structure of the mean-field equations in the Phi^4 theory","12 pages Tex","Annals Phys. 271 (1999) 294-305","10.1006/aphy.1998.5875",,"hep-th",,"  We show that the mean-field time dependent equations in the Phi^4 theory can
be put into a classical non-canonical hamiltonian framework with a Poisson
structure which is a generalization of the standard Poisson bracket. The
Heisenberg invariant appears as a structural invariant of the Poisson tensor.
(To be pubished in Annals of Physics)
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:49:15 GMT""}]","2009-10-31"
