"adap-org/9809002","Sergey Gavrilets","Sergey Gavrilets","Dynamics of clade diversification on the morphological hypercube","8 pages, Latex, 2 postscript figures, submitted to Proc.R.Soc.Lond.B",,,,"adap-org nlin.AO q-bio",,"  Understanding the relationship between taxonomic and morphological changes is
important in identifying the reasons for accelerated morphological
diversification early in the history of animal phyla. Here, a simple general
model describing the joint dynamics of taxonomic diversity and morphological
disparity is presented and applied to the data on the diversification of
blastozoans. I show that the observed patterns of deceleration in clade
diversification can be explicable in terms of the geometric structure of the
morphospace and the effects of extinction and speciation on morphological
disparity without invoking major declines in the size of morphological
transitions or taxonomic turnover rates. The model allows testing of hypotheses
about patterns of diversification and estimation of rates of morphological
evolution. In the case of blastozoans, I find no evidence that major changes in
evolutionary rates and mechanisms are responsible for the deceleration of
morphological diversification seen during the period of this clade's expansion.
At the same time, there is evidence for a moderate decline in overall rates of
morphological diversification concordant with a major change (from positive to
negative values) in the clade's growth rate.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:20:56 GMT""}]","2007-05-23"
"cond-mat/9809223","Matthieu Micoulaut","Matthieu Micoulaut (University Paris 6)","Nucleation model for the description of glass formation","4 pages, revtex, 3 figures postscript","Modern Physics Letters 12B(14-15) (1998) 561-568","10.1142/S0217984998000664","LGCR97/10/02","cond-mat.dis-nn",,"  We present in this letter a model of glass formation using energy barriers
and a crystal nucleation process. We then analyze the corresponding dynamical
equation in the vicinity of the stationary solutions. The occurence of a pure
amorphous solution (i.e. glass) is due to the contribution of a ratio $\Lambda$
depending on the cooling rate and the crystal nucleation frequency. We also
construct time-temperature-transformation (TTT) curves in order to relate the
model with the kinetic treatment of glass formation.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 12:53:57 GMT""}]","2015-06-25"
"cond-mat/9809224","F. Schoenfeld","A. Kl\""umper, R. Raupach, F. Sch\""onfeld","Finite Temperature DMRG Investigation of the Spin-Peierls Transition in
  CuGeO$_3$","LaTeX, 5 pages, 5 eps figures included",,"10.1103/PhysRevB.59.3612",,"cond-mat",,"  We present a numerical study of thermodynamical properties of dimerized
frustrated Heisenberg chains down to extremely low temperatures with
applications to CuGeO$_3$. A variant of the finite temperature density matrix
renormalization group (DMRG) allows the study of the dimerized phase previously
unaccessible to ab initio calculations. We investigate static dimerized systems
as well as the instability of the quantum chain towards lattice dimerization.
The crossover from a quadratic response in the free energy to the distortion
field at finite temperature to nonanalytic behavior at zero temperature is
studied quantitatively. Various physical quantities are derived and compared
with experimental data for CuGeO$_3$ such as magnetic dimerization, critical
temperature, susceptibility and entropy.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:16:28 GMT""}]","2009-10-31"
"cs/9809020","Min-Yen Kan","Min-Yen Kan, Judith L. Klavans, Kathleen R. McKeown","Linear Segmentation and Segment Significance","9 pages, US Letter, 4 figures. Software License can be found at
  http://www.cs.columbia.edu/nlp/licenses/segmenterLicenseDownload.html","Proceedings of 6th International Workshop of Very Large Corpora
  (WVLC-6), Montreal, Quebec, Canada: Aug. 1998. pp. 197-205",,,"cs.CL",,"  We present a new method for discovering a segmental discourse structure of a
document while categorizing segment function. We demonstrate how retrieval of
noun phrases and pronominal forms, along with a zero-sum weighting scheme,
determines topicalized segmentation. Futhermore, we use term distribution to
aid in identifying the role that the segment performs in the document. Finally,
we present results of evaluation in terms of precision and recall which surpass
earlier approaches.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 23:49:32 GMT""}]","2007-05-23"
"cs/9809021","Frantz Vichot","Francis Wolinski, Frantz Vichot, Olivier Gremont (Informatique
  CDC/DTA, Arcueil, France)","Producing NLP-based On-line Contentware","7 pages, 5 figures","Natural Language Processing & Industrial Applications, Moncton,
  NB, Canada, Aug. 1998",,,"cs.CL cs.AR",,"  For its internal needs as well as for commercial purposes, CDC Group has
produced several NLP-based on-line contentware applications for years. The
development process of such applications is subject to numerous constraints
such as quality of service, integration of new advances in NLP, direct
reactions from users, continuous versioning, short delivery deadlines and cost
control. Following this industrial and commercial experience, malleability of
the applications, their openness towards foreign components, efficiency of
applications and their ease of exploitation have appeared to be key points. In
this paper, we describe TalLab, a powerful architecture for on-line contentware
which fulfils these requirements.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:22:35 GMT""}]","2007-05-23"
"gr-qc/9809047","Hongsu Kim","Hongsu Kim","Spinning BTZ Black Hole versus Kerr Black Hole : A Closer Look","17 pages, 1 figure, Revtex, Accepted for publication in Phys. Rev. D","Phys.Rev. D59 (1999) 064002","10.1103/PhysRevD.59.064002",,"gr-qc hep-th",,"  By applying Newman's algorithm, the AdS_3 rotating black hole solution is
``derived'' from the nonrotating black hole solution of Banados, Teitelboim,
and Zanelli (BTZ). The rotating BTZ solution derived in this fashion is given
in ``Boyer-Lindquist-type'' coordinates whereas the form of the solution
originally given by BTZ is given in a kind of an ``unfamiliar'' coordinates
which are related to each other by a transformation of time coordinate alone.
The relative physical meaning between these two time coordinates is carefully
studied. Since the Kerr-type and Boyer-Lindquist-type coordinates for rotating
BTZ solution are newly found via Newman's algorithm, next, the transformation
to Kerr-Schild-type coordinates is looked for. Indeed, such transformation is
found to exist. And in this Kerr-Schild-type coordinates, truely maximal
extension of its global structure by analytically continuing to ``antigravity
universe'' region is carried out.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 02:54:03 GMT""},{""version"":""v2"",""created"":""Wed, 25 Nov 1998 05:47:42 GMT""}]","2009-10-31"
"gr-qc/9809048","Toporenskij A. V.","A.Yu.Kamenshchik, I.M.Khalatnikov S.V.Savchenko and A.V.Toporensky","Topological entropy for some isotropic cosmological models","Final version to appear in Phys. Rev D. Minor changes, typos
  corrected; 29 pages with 2 eps figures","Phys.Rev. D59 (1999) 123516","10.1103/PhysRevD.59.123516",,"gr-qc chao-dyn nlin.CD",,"  The chaotical dynamics is studied in different Friedmann-Robertson- Walker
cosmological models with scalar (inflaton) field and hydrodynamical matter. The
topological entropy is calculated for some particular cases. Suggested scheme
can be easily generalized for wide class of models. Different methods of
calculation of topological entropy are compared.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:29:22 GMT""},{""version"":""v2"",""created"":""Wed, 12 May 1999 14:43:03 GMT""}]","2009-10-31"
"hep-ex/9809013","Viacheslav V. Shary","M.N.Achasov, V.M.Aulchenko, S.E.Baru, K.I.Beloborodov, A.V.Berdyugin,
  A.V.Bozhenok, A.D.Bukin, D.A.Bukin, S.V.Burdin, T.V.Dimova, S.I.Dolinsky,
  V.P.Druzhinin, M.S.Dubrovin, D.I.Ganushin, I.A.Gaponenko, V.B.Golubev,
  V.N.Ivanchenko, P.M.Ivanov, I.A.Koop, A.A.Korol, M.S.Korostelev, S.V.Koshuba,
  A.P.Lysenko, A.A.Mamutkin, I.N.Nesterenko, A.V.Otboev, E.V.Pakhtusova,
  E.A.Perevedentsev, A.A.Polunin, E.E.Pyata, A.A.Salnikov, S.I.Serednyakov,
  V.V.Shary, Yu.M.Shatunov, V.A.Sidorov, Z.K.Silagadze, A.N.Skrinsky,
  Yu.V.Usov, A.A.Valishev, A.V.Varganov, A.V.Vasiljev, Yu.S.Velikzhanin","Experiments at VEPP-2M with SND detector","68 pages, 63 figures",,,"BINP-98-65","hep-ex",,"  Short overview of experiments with SND detector at VEPP-2M e^+e^- collider in
the energy range 2E = 400 - 1400 MeV and preliminary results of data analysis
are presented.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 02:56:01 GMT""}]","2019-08-17"
"hep-ex/9809014","Baurov Alexey Yu","Yu.A.Baurov (Central Research Institute of Machine Building, Korolyov,
  Moscow Region, Russia), A.A.Konradov (Russian Academy of Sciences, Institute
  of Biochemical Physics, Moscow, Russia), V.F.Kushniruk and Yu.G.Sobolev
  (Flerov Laboratory for Nuclear Reactions (FLNR), Joint Institute for Nuclear
  Reactions (JINR), Dubna, Moscow Region, Russia)","Global Anisotropy of Space and experimental investigation of changes in
  beta-decay count rate of radioactive elements","9 pages, LaTex, 12 PDF figures, Submitted to Modern Physics A,
  Preliminary results published in ""Scientific Report 95-96"" of FLNR (JINR,
  Dubna). in",,,,"hep-ex",,"  The results of experimental investigations of changes in beta-decay count
rate of radioactive elements, are presented, and an explanation of those on the
base of a new physical conception of forming the observed three-dimensional
space from a finite set of one-dimensional discrete vectorial objects (byuons),
containing the cosmological vectorial potential, a new fundamental vectorial
constant, is given. In the theory, the vector direction corresponds with that
of the axis of Universe rotation being discussed in literature.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:38:14 GMT""}]","2016-08-31"
"hep-lat/9809110","Alesandro Travesscasas","M. Bowick and A. Travesset (Syracuse University)","New Analytical Results on Anisotropic Membranes","LATTICE98(surfaces), 3 pages, 2 eps figures","Nucl.Phys.Proc.Suppl. 73 (1999) 807-809","10.1016/S0920-5632(99)85210-4","SU-4240-685","hep-lat cond-mat",,"  We report on recent progress in understanding the tubular phase of
self-avoiding anisotropic membranes. After an introduction to the problem, we
sketch the renormalization group arguments and symmetry considerations that
lead us to the most plausible fixed point structure of the model. We then
employ an epsilon-expansion about the upper critical dimension to extrapolate
to the physical interesting 3-dimensional case. The results are $\nu=0.62$ for
the Flory exponent and $\zeta=0.80$ for the roughness exponent. Finally we
comment on the importance that numerical tests may have to test these
predictions.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:23:44 GMT""}]","2009-10-31"
"hep-lat/9809111","Andrea Donini","A. Donini, E. Gabrielli and M. B. Gavela","Quenched Supersymmetry","LATTICE98(yukawa), minor changes","Nucl.Phys.Proc.Suppl. 73 (1999) 721-723","10.1016/S0920-5632(99)85184-6",,"hep-lat",,"  We study the effects of quenching in Super-Yang-Mills theory. While
supersymmetry is broken, the lagrangian acquires a new flavour $U(1 \mid 1)$
symmetry. The anomaly structure thus differs from the unquenched case. We
derive the corresponding low-energy effective lagrangian. As a consequence, we
predict the mass splitting expected in numerical simulations for particles
belonging to the lowest-lying supermultiplet.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:35:20 GMT""},{""version"":""v2"",""created"":""Tue, 29 Sep 1998 11:20:00 GMT""}]","2009-10-31"
"hep-lat/9809112","Mark Bowick","M. Bowick, S. Catterall and S. Warner (Syracuse), G. Thorleifsson
  (Bielefeld), M. Falcioni (UCLA)","Anisotropic Membranes","LATTICE98(surfaces) 5 pages, 4 Postscript figures","Nucl.Phys.Proc.Suppl. 73 (1999) 804-806","10.1016/S0920-5632(99)85209-8","SU-4240-684","hep-lat",,"  We describe the statistical behavior of anisotropic crystalline membranes. In
particular we give the phase diagram and critical exponents for phantom
membranes and discuss the generalization to self-avoiding membranes.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 18:40:19 GMT""}]","2007-05-23"
"hep-lat/9809113","Christian Hoelbling","Ch. Hoelbling, C. Rebbi and V. A. Rubakov","Free energy of an SU(2) monopole-antimonopole pair","LATTICE98(confine)","Nucl.Phys.Proc.Suppl. 73 (1999) 527-529","10.1016/S0920-5632(99)85126-3",,"hep-lat",,"  We induce an external ${Z}_2$ monopole-antimonopole pair in an SU(2) lattice
gauge system and measure its free energy as a way to probe the vacuum
structure. We discuss the motivation and computational methodology of the
investigation and illustrate our preliminary results.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 18:42:34 GMT""}]","2009-10-31"
"hep-lat/9809114","Simon Catterall","S. Catterall, E. Mottola and T. Bhattacharya","Dynamics of the Conformal Mode and Simplicial Gravity","LATTICE98(surfaces)","Nucl.Phys.Proc.Suppl. 73 (1999) 792-794","10.1016/S0920-5632(99)85205-0",,"hep-lat",,"  We review the derivation of the Liouville action in 2DQG via the trace
anomaly and emphasize how a similar approach can be used to derive an effective
action describing the long wavelength dynamics of the conformal factor in 4D.
In 2D we describe how to make an explicit connection between dynamical
triangulations and this continuum theory, and present results which confirm the
equivalance of the two approaches. By reconstructing a lattice conformal mode
from DT simulations it should be possible to test this equivalence in 4D also.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 19:00:07 GMT""}]","2009-10-31"
"hep-lat/9809115","Dmitry Pekurovsky","D. Pekurovsky, G. Kilcup (Ohio State University)","Delta I=1/2 rule from staggered fermions","LATTICE98(matrixelement)","Nucl.Phys.Proc.Suppl. 73 (1999) 309-311","10.1016/S0920-5632(99)85057-9",,"hep-lat",,"  We present our latest results for the Delta I=1/2 rule, obtained on quenched
ensembles with beta=6.0 and 6.2, and a set of N_f=2 configurations with
beta=5.7. The statistical noise is quite under control. We observe an
enhancement of the Delta I=1/2 amplitude consistent with experiment, although
the systematic errors are still large. We also present a non-perturbative
determination of Z_P, Z_S and the strange quark mass. We briefly discuss our
progress in calculating epsilon-prime.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 19:11:58 GMT""}]","2009-10-31"
"hep-lat/9809116","Norman Harold Shakespeare","Norman H. Shakespeare and Howard D. Trottier","Mean link versus average plaquette tadpoles in lattice NRQCD","LATTICE(heavyqk) 3 pages, 2 figures","Nucl.Phys.Proc.Suppl. 73 (1999) 342-344","10.1016/S0920-5632(99)85067-1","SFU-98-159","hep-lat",,"  We compare mean-link and average plaquette tadpole renormalization schemes in
the context of the quarkonium hyperfine splittings in lattice NRQCD.
Simulations are done for the three quarkonium systems $c\bar c$, $b\bar c$, and
$b\bar b$. The hyperfine splittings are computed both at leading and at
next-to-leading order in the relativistic expansion. Results are obtained at a
large number of lattice spacings. A number of features emerge, all of which
favor tadpole renormalization using mean links. This includes much better
scaling of the hyperfine splittings in the three quarkonium systems. We also
find that relativistic corrections to the spin splittings are smaller with
mean-link tadpoles, particularly for the $c\bar c$ and $b\bar c$ systems. We
also see signs of a breakdown in the NRQCD expansion when the bare quark mass
falls below about one in lattice units (with the bare quark masses turning out
to be much larger with mean-link tadpoles).
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 19:22:27 GMT""}]","2009-10-31"
"hep-lat/9809117","Estia Eichten","A. Duncan, E. Eichten and H. Thacker","Matching the High Momentum Modes in a Truncated Determinant Algorithm","LATTICE98(algorithms) ; typos corrected","Nucl.Phys.Proc.Suppl.73:840-842,1999","10.1016/S0920-5632(99)85219-0","Fermilab PUB-CONF-98/283-T","hep-lat",,"  Within a truncated determinant algorithm, two alternatives are discussed for
including systematically the remaining ultraviolet modes. Evidence is presented
that these modes are accurately described by an effective action involving only
small Wilson loops.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 21:04:45 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 16:42:36 GMT""}]","2009-09-25"
"hep-lat/9809118","Hugh P. Shanahan","CP-PACS Collaboration: S. Aoki et al","Heavy Quark Physics in Nf=2 QCD","3 pages Latex, 3 eps figures. Uses espcrc2.sty and epsf.sty . To
  appear in the Proceedings of Lattice 98 (Heavy Quarks)","Nucl.Phys.Proc.Suppl. 73 (1999) 375-377","10.1016/S0920-5632(99)85078-6","UTCCP-P-49","hep-lat",,"  We present a preliminary analysis of the heavy-heavy spectrum and heavy-light
decay constants in full QCD, using a tadpole-improved SW quark action and an
RG-improved gauge action on a 16^3 x 32 lattice with four sea quark masses
corresponding to m_pi/m_rho = 0.8, 0.75, 0.7, 0.6 and a^-1 = 1.3 GeV. We focus
particularly on the effect of sea quarks on these observables.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 02:35:46 GMT""}]","2015-06-25"
"hep-lat/9809119","Derek B. Leinweber","Derek B. Leinweber and Frank X. Lee","Improved Lattice QCD Actions for Hadron Phenomenology","10 pages, 6 figures. Presented by D.B.L. at the workshop on
  Nonperturbative Methods in Quantum Field Theory, CSSM, Adelaide, Feb. 2-13,
  1998",,,"ADP-98-53/T321","hep-lat",,"  The masses and dispersions of light hadrons are calculated in lattice QCD
using an order a^2 tadpole-improved gluon action and the Dchi34 action, an
order a^2 tadpole-improved next-nearest-neighbor fermion action originally
proposed by Hamber and Wu. Two lattices of constant volume with lattice
spacings of approximately 0.40 fm and 0.24 fm are considered. The results
reveal some scaling violations at the coarser lattice spacing on the order of
5%. At the finer lattice spacing, the calculated N/rho mass ratio reproduces
state-of-the-art results using unimproved actions. Good dispersion and
rotational invariance up to momenta p*a the order of 1 are also found. The
relative merit of alternative choices for improvement operators is assessed
through close comparisons with other plaquette-based tadpole-improved actions.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 04:18:27 GMT""}]","2007-05-23"
"hep-lat/9809120","Kazuyuki Kanaya","CP-PACS Collaboration: S. Aoki, G. Boyd, R. Burkhalter, S. Ejiri, M.
  Fukugita, S. Hashimoto, Y. Iwasaki, K. Kanaya, T. Kaneko, Y. Kuramashi, K.
  Nagai, M. Okawa, H.P. Shanahan, A. Ukawa, T. Yoshi\'e","Full QCD light hadron spectrum from the CP-PACS","LATTICE98(spectrum), 3 pages, 3 figures","Nucl.Phys.Proc.Suppl. 73 (1999) 192-194","10.1016/S0920-5632(99)85019-1","UTCCP-P-45","hep-lat",,"  We report on an on-going two-flavor full QCD study on CP-PACS using an
RG-improved gauge action and a tadpole-improved SW quark action. Runs are made
for three lattice spacings $a^{-1}\approx 0.9$, 1.3, and 2.5 GeV on
$12^3\times24$, $16^3\times32$, and $24^3\times48$ lattices. Four sea quark
masses having $m_{\rm PS}/m_{\rm V} \approx 0.8$--0.6 are simulated, for each
of which hadron masses are evaluated for valence quark masses corresponding to
$m_{\rm PS}/m_{\rm V} \approx 0.8$--0.5. Results for hadron and light quark
masses are presented and compared with those obtained in quenched QCD.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 06:52:59 GMT""}]","2012-08-27"
"hep-lat/9809121","Kari Rummukainen","K. Kajantie, M. Laine, K. Rummukainen, M. Shaposhnikov and M. Tsypin","The Ising model universality of the electroweak theory","3 pages, contribution to LATTICE98(electroweak)","Nucl.Phys.Proc.Suppl. 73 (1999) 653-655","10.1016/S0920-5632(99)85164-0","NORDITA-98/44HE","hep-lat",,"  Lattice simulations have shown that the first order electroweak phase
transition turns into a regular cross-over at a critical Higgs mass m_{H,c}. We
have developed a method which enables us to make a detailed investigation of
the critical properties of the electroweak theory at m_{H,c}. We find that the
transition falls into the 3d Ising universality class. The continuum limit
extrapolation of the critical Higgs mass is m_{H,c} = 72(2) GeV, which implies
that there is no electroweak phase transition in the Standard Model.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:42:54 GMT""}]","2009-10-31"
"hep-lat/9809122","Yasumichi Aoki","Y. Aoki, F. Csikor, Z. Fodor, A. Ukawa","The end point of the first-order phase transition of the SU(2)
  gauge-Higgs model on a four-dimensional isotropic lattice","LATTICE98(electroweak), 3 pages of LaTeX, 4 figures","Nucl.Phys.Proc.Suppl. 73 (1999) 656-658","10.1016/S0920-5632(99)85165-2","ITP-Budapest 546, UTCCP-P-46, UTHEP-389","hep-lat hep-ph",,"  We report results of a study of the end point of the electroweak phase
transition of the SU(2) gauge-Higgs model defined on a four-dimensional
isotropic lattice with N_t=2. Finite-size scaling study of Lee-Yang zeros
yields lambda_c=0.00116(16) for the end point. Combined with a zero-temperature
measurement of Higgs and W boson masses, this leads to M_{H,c}=68.2+-6.6 GeV
for the critical Higgs boson mass. An independent analysis of Binder cumulant
gives a consistent value lambda_c=0.00102(3) for the end point.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 08:36:43 GMT""}]","2009-10-31"
"hep-lat/9809123","Yoshio Kikukawa","Y. Kikukawa (Kyoto Univ.)","Symmetry and Symmetry Restoration of Lattice Chiral Fermion in the
  Overlap Formalism","LATTICE98(chiral), 3 pages, LaTeX using espcrc2.sty","Nucl.Phys.Proc.Suppl. 73 (1999) 694-696","10.1016/S0920-5632(99)85176-7","KUNS-1530","hep-lat",,"  Three aspects of symmetry structure of lattice chiral fermion in the overlap
formalism are discussed. By the weak coupling expansion of the overlap Dirac
operator, the axial anomaly associated to the chiral transformation proposed by
Luescher is evaluated and is shown to have the correct form of the topological
charge density for perturbative backgrounds. Next we discuss the exponential
suppression of the self-energy correction of the lightest mode in the
domain-wall fermion/truncated overlap. Finally, we consider a supersymmetric
extension of the overlap formula in the case of the chiral multiplet and
examine the symmetry structure of the action.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 09:36:04 GMT""}]","2009-10-31"
"hep-lat/9809124","Naruhito Ishizuka","JLQCD Collaboration: S. Aoki, M. Fukugita, S. Hashimoto, K-I.
  Ishikawa, N. Ishizuka, Y. Iwasaki, K. Kanaya, T. Kaneda, S. Kaya, Y.
  Kuramashi, M. Okawa, T. Onogi, S. Tominaga, N. Tsutsui, A. Ukawa, N. Yamada,
  T. Yoshi\'e","Non-perturbative renormalization factors of bilinear quark operators for
  Kogut-Susskind fermions and light quark masses in quenched QCD","LATTICE98(matrixelement), 3 pages, 4 eps figures","Nucl.Phys.Proc.Suppl. 73 (1999) 279-281","10.1016/S0920-5632(99)85047-6",,"hep-lat",,"  Light quark masses are computed for Kogut-Susskind fermions by evaluating
non-perturbatively the renormalization factor for bilinear quark operators.
Calculations are carried out in the quenched approximation at \beta=6.0, 6.2,
and 6.4. For the average up and down quark mass we find $m_{\bar MS}(2 GeV)=
4.15(27) MeV$ in the continuum limit, which is significantly larger than
$3.51(20) MeV$ ($q^*=1/a$) or $3.40(21) MeV$ ($q^*=\pi/a$) obtained with the
one-loop perturbative renormalization factor.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 11:01:31 GMT""}]","2016-08-15"
"hep-lat/9809125","Maarten Golterman","Maarten Golterman (Washington Univ.)","On tadpole improvement for staggered fermions","LATTICE98(improvement), 3 pages, 1 figure, latex, uses espcrc2.sty,
  epsf.sty","Nucl.Phys.Proc.Suppl. 73 (1999) 906-908","10.1016/S0920-5632(99)85240-2",,"hep-lat",,"  An explanation is proposed for the fact that Lepage--Mackenzie tadpole
improvement does not work well for staggered fermions. The idea appears to work
for all renormalization constants which appear in the staggered fermion
self-energy. Wilson fermions are also discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:28:51 GMT""}]","2009-10-31"
"hep-lat/9809126","Dr A. J. van der Sijs","A.J. van der Sijs (Zurich)","Laplacian Abelian Projection: Abelian dominance and Monopole dominance","LATTICE98(confine), 3 pages","Nucl.Phys.Proc.Suppl. 73 (1999) 548-550","10.1016/S0920-5632(99)85133-0",,"hep-lat",,"  A comparative study of Abelian and Monopole dominance in the Laplacian and
Maximally Abelian projected gauges is carried out. Clear evidence for both
types of dominance is obtained for the Laplacian projection. Surprisingly, the
evidence is much more ambiguous in the Maximally Abelian gauge. This is
attributed to possible ``long-distance imperfections'' in the maximally abelian
gauge fixing.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:20:59 GMT""}]","2009-10-31"
"hep-ph/9809399","Daniel M. Kaplan","Daniel M. Kaplan, Vassili Papavassiliou","Experimental Prospects for CP Violation in Charm","11 pages, 5 figures. Invited talk presented at the Workshop on CP
  Violation, 3--8 July 1998, Adelaide, Australia",,,"IIT-HEP-98/3","hep-ph hep-ex",,"  Experimental sensitivity to CP violation in charm decay is beginning to
approach the interesting regime ($\sim10^{-3}$) in which new physics may be
manifest. In the early years of the 21st century, if the technical challenges
can be met, the proposed BTeV experiment should have the best sensitivity for
rare effects both in charm and in beauty.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 17:32:49 GMT""},{""version"":""v2"",""created"":""Thu, 7 Jan 1999 21:55:08 GMT""}]","2007-05-23"
"hep-ph/9809400","Daniel M. Kaplan","Daniel M. Kaplan","Searching for CP Violation in Pion Decay","4 pages, 1 figure. Presented at the Workshop on CP Violation, 3--8
  July 1998, Adelaide, Australia",,,"IIT-HEP-98/4","hep-ph hep-ex",,"  Surprisingly, until recently CP violation in pion decay was not ruled out
experimentally even at the percent level. I have derived the first experimental
limit, $-0.01<A_{CP}<0.02$, from old data on the anomalous magnetic moment
$g-2$ of the muon. New data from the Brookhaven $g-2$ experiment might extend
the search by a few orders of magnitude, but probably will not probe the
theoretically-interesting sub-$10^{-7}$ regime.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 17:29:58 GMT""}]","2007-05-23"
"hep-ph/9809401","Pierre Ramond","P. Ramond (University of Florida, Gainesville, Fl)","Neutrinos: A Glimpse Beyond the Standard Model","Latex, 11 pages. Invited Talk at Neutrino-98, Takayama, Japan, June
  1998, to appear in Proceedings. Uses article.sty","Nucl.Phys.Proc.Suppl. 77 (1999) 3-9","10.1016/S0920-5632(99)00382-5","UFIFT-HEP98-23","hep-ph",,"  After a review of the early history of neutrinos and their detection, we
analyze the different types of models that extend the standard model to massive
neutrinos. We emphasize the generic nature of maximal mixing between muon and
tau neutrinos, given simple assumptions based on grand unification.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 18:04:10 GMT""}]","2009-10-31"
"hep-ph/9809402","Paul H. Frampton","Paul H. Frampton and Masayasu Harada","Aspects of Soft and Spontaneous CP Violation","24 pages LaTeX including 4 figures. Minor modification to analysis of
  lower bound for d_n, summarized in new Table II","Phys.Rev.D59:036004,1999","10.1103/PhysRevD.59.036004","IFP-763-UNC","hep-ph",,"  We study four different models for CP violation: the standard (KM) model, the
aspon model of spontaneous breaking and two models of soft breaking. In all
except the standard model, the strong CP problem is addressed and solved.
Testable predictions for the area of the unitarity triangle and for
(epsilon'/epsilon)_K are emphasized. The issue of CP violation may well become
the first place where the standard model of particle theory is shown
definitively to be deficient. There are two reasons for expecting this to
happen: (1) the strong CP problem is still not understood in the unadorned
standard model and (2) the KM mechanism, although unquestionably present, may
not provide the full explanation of epsilon_K and (epsilon'/epsilon)_K.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 19:15:20 GMT""},{""version"":""v2"",""created"":""Mon, 5 Oct 1998 22:10:32 GMT""},{""version"":""v3"",""created"":""Tue, 27 Oct 1998 19:55:45 GMT""}]","2014-11-17"
"hep-ph/9809403","Ed Stoeffhaas","M. M. Block, E. M. Gregores, F. Halzen, and G. Pancheri","Photon-Proton and Photon-Photon Scattering from Nucleon-Nucleon Forward
  Amplitudes","37 pages, Latex2.09, uses epsfig.sty, 27 postscript figures","Phys.Rev. D60 (1999) 054024","10.1103/PhysRevD.60.054024","MADPH-98-1041, NUHEP 501","hep-ph",,"  We show that the data on $\gamma p$ and $\gamma\gamma$ interactions can be
derived from the $pp$ and $\bar p p$ forward scattering amplitudes using vector
meson dominance and the additive quark model. The nucleon-nucleon data are
parameterized using a model where high energy cross sections rise with energy
as a consequence of the increasing numbers of soft partons populating the
colliding particles. We present detailed descriptions of the data on the total
and elastic cross sections, the ratio of the real to imaginary part of the
forward scattering amplitude, and on the slope of the differential cross
sections for $pp$, $\bar p p$, $\gamma p$, $\gamma\gamma$, $\gamma p \to \gamma
V$ and $\gamma\gamma \to V_i V_j$ reactions, where $V= \rho, \omega, \phi$. We
make a wide range of predictions for future HERA and LHC experiments and for
$\gamma\gamma$ measurements at LEP.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 19:42:31 GMT""}]","2009-10-31"
