"adap-org/9808001","Kunihiko Kaneko","Kunihiko Kaneko","Life as Complex Systems --- Viewpoint from Intra-Inter Dynamics","20 pages including 1 figure; Complexity, in press",,,,"adap-org nlin.AO q-bio",,"  Basic problems in complex systems are surveyed in connection with Life. As a
key issue for complex systems, complementarity between syntax/rule/parts and
semantics/behavior/whole is stressed. To address the issue, a constructive
approach for a biological system is proposed. As a construction in a computer,
intra-inter dynamics is presented for cell biology, where the following five
general features are drawn from our model experiments; intrinsic
diversification, recursive type formation, rule generation, formation of
internal representation, and macroscopic robustness. Significance of the
constructed logic to the biology of existing organisms is also discussed.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 05:00:41 GMT""}]","2007-05-23"
"cond-mat/9808105","David S. Hall","E. A. Cornell, D. S. Hall, M. R. Matthews, and C. E. Wieman","Having it Both Ways: Distinguishable Yet Phase-Coherent Mixtures of
  Bose-Einstein Condensates","15 pages, 6 figures",,,,"cond-mat",,"  We have begun a series of experiments on mixed bosonic quantum fluids. Our
system is mixed Bose-Einstein condensates in dilute Rb-87. By simultaneously
trapping the atoms in two different hyperfine states, we are able to study the
dynamics of component separation and of the relative quantum phase of two
interpenetrating condensates. Population can be converted from one state to the
other at a rate that is sensitive to the relative phase.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 12:21:09 GMT""},{""version"":""v2"",""created"":""Wed, 12 Aug 1998 16:16:55 GMT""}]","2007-05-23"
"cond-mat/9808106","Cetin Kilic","C. Kilic, H. Mehrez, and S. Ciraci (Bilkent University, Turkey)","Quantum point contact on graphite surface","LaTeX, 11 pages, 9 figures (included), to be published in Phys. Rev.
  B, tentatively scheduled for 15 September 1998 (Volume 58, Number 12)",,"10.1103/PhysRevB.58.7872","CK1998-1","cond-mat.mtrl-sci",,"  The conductance through a quantum point contact created by a sharp and hard
metal tip on the graphite surface has features which to our knowledge have not
been encountered so far in metal contacts or in nanowires. In this paper we
first investigate these features which emerge from the strongly directional
bonding and electronic structure of graphite, and provide a theoretical
understanding for the electronic conduction through quantum point contacts. Our
study involves the molecular-dynamics simulations to reveal the variation of
interlayer distances and atomic structure at the proximity of the contact that
evolves by the tip pressing toward the surface. The effects of the elastic
deformation on the electronic structure, state density at the Fermi level, and
crystal potential are analyzed by performing self-consistent-field
pseudopotential calculations within the local-density approximation. It is
found that the metallicity of graphite increases under the uniaxial compressive
strain perpendicular to the basal plane. The quantum point contact is modeled
by a constriction with a realistic potential. The conductance is calculated by
representing the current transporting states in Laue representation, and the
variation of conductance with the evolution of contact is explained by taking
the characteristic features of graphite into account. It is shown that the
sequential puncturing of the layers characterizes the conductance.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 12:24:31 GMT""}]","2009-10-31"
"gr-qc/9808028","Jacob D. Bekenstein","Jacob D. Bekenstein (Hebrew University, Jerusalem)","Black Holes: Classical Properties, Thermodynamics and Heuristic
  Quantization","LaTeX, 44 pages, 4 eps figs. and conf_cg.sty included. Lectures
  delivered at the IX Brazilian School on Cosmology and Gravitation, Rio de
  Janeiro 7-8/98. Updated references and positioning on page corrected","in Cosmology and Gravitation, M. Novello, ed. (Atlantisciences,
  France 2000), pp. 1-85",,,"gr-qc",,"  I discuss the no hair principle, the recently found hairy solutions, generic
properties of nonvacuum spherical static black holes, and the new no scalar
hair theorems. I go into the generic phenomenon of superradiance, first uniform
linear motion superradiance, then Kerr black hole superradiance, and finally
general rotational superradiance and its possible applications in the
laboratory. I show that the horizon area of a nearly stationary black hole can
be regarded as an adiabatic invariant. This invariance suggests that quantum
horizon area is quantized in multiples of a basic unit. Consideration of the
quantum version of the Christodoulou reversible processes provides support for
this idea. Horizon area quantization dictates a definite discrete black hole
mass spectrum, so that Hawking's semiclassical spectrum is predicted to be
replaced by a spectrum of nearly uniformly spaced lines whose envelope is
roughly Planckian. Line natural broadening seems not enough to wash out the
lines. To check on the possibility of line splitting, I present a simple
algebra involving, among other operators, the black hole observables. Under
simple assumptions it also leads to the uniformly spaced area spectrum.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 08:12:01 GMT""},{""version"":""v2"",""created"":""Fri, 30 Oct 1998 07:40:51 GMT""},{""version"":""v3"",""created"":""Mon, 2 Nov 1998 10:33:31 GMT""}]","2007-05-23"
"gr-qc/9808029","Giovanni Amelino-Camelia","Giovanni Amelino-Camelia","An interferometric gravitational wave detector as a quantum-gravity
  apparatus","LaTex, 7 pages. Version accepted for publication in Nature. Under
  press embargo until publication","Nature 398 (1999) 216-218","10.1038/18377","NEIP-98-007","gr-qc",,"  As a consequence of the extreme precision of the measurements it performs, an
interferometric gravitational wave detector is a macroscopic apparatus for
which quantum effects are not negligible. I observe that this property can be
exploited to probe some aspects of the interplay between Quantum Mechanics and
Gravity.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 09:23:46 GMT""},{""version"":""v2"",""created"":""Wed, 23 Dec 1998 16:10:52 GMT""}]","2015-06-25"
"gr-qc/9808030","Ion Cotaescu","Ion I. Cot\u{a}escu (The West University of Timi\c{s}oara, Romania)","The Dirac particle on de Sitter background","9 pages, Latex","Mod.Phys.Lett. A13 (1998) 2991-2998","10.1142/S021773239800317X",,"gr-qc",,"  We show that the Dirac equation on de Sitter background can be analytically
solved in a special static frame where the energy eigenspinors can be expressed
in terms of usual angular spinors known from special relativity, and a pair of
radial wave functions.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 09:55:55 GMT""}]","2009-10-31"
"gr-qc/9808031","GR visitor account","Daksh Lohiya, Annu Batra, Shobhit Mahajan, Amitabha Mukherjee
  (Department of Physica, University of Delhi, Delhi, India)","Nucleosynthesis in a simmering univeerse","Plian Tex, 10 Pages",,,"ducos - dl - 9804","gr-qc",,"  Primordial nucleosynthesis is considered a success story of the standard big
bang (SBB) cosmology. The cosmological and elementary particle physics
parameters are believed to be severely constrained by the requirement of
correct abundances of light elements. We explore nucleosynthesis in a class of
models very different from SBB. In these models the cosmological scale factor
increases linearly with time right through the period during which
nucleosynthesis occurs till the present. It turns out that weak interactions
remain in thermal equilibrium upto temperatures which are two orders of
magnitude lower than the corresponding (weak interaction decoupling)
temperature in SBB. Inverse beta decay of the proton can ensure adequate
production of several light elements while producing primordial metalicity much
higher than that produced in SBB. Other attractive features of these models are
the absence of the horizon, flatness and the age problems and consistency with
classical cosmological tests.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 14:38:58 GMT""}]","2007-05-23"
"hep-ex/9808006","Rick Van Kooten","The OPAL Collaboration, G. Abbiendi et al","Measurement of the Average Polarization of b Baryons in Hadronic Z^0
  Decays","19 pages, LaTeX, 4 eps figures included, submitted to Phys. Lett. B","Phys.Lett.B444:539-554,1998","10.1016/S0370-2693(98)01387-2","CERN-EP/98-119","hep-ex",,"  In the Standard Model, b quarks produced in e^+e^- annihilation at the Z^0
peak have a large average longitudinal polarization of -0.94. Some fraction of
this polarization is expected to be transferred to b-flavored baryons during
hadronization. The average longitudinal polarization of weakly decaying b
baryons, <P_L^{\Lambda_b}>, is measured in approximately 4.3 million hadronic
Z^0 decays collected with the OPAL detector between 1990 and 1995 at LEP. Those
b baryons that decay semileptonically and produce a \Lambda baryon are
identified through the correlation of the baryon number of the \Lambda and the
electric charge of the lepton. In this semileptonic decay, the ratio of the
neutrino energy to the lepton energy is a sensitive polarization observable.
The neutrino energy is estimated using missing energy measurements. From a fit
to the distribution of this ratio, the value
  <P_L^{\Lambda_b}> = -0.56^{+0.20}_{-0.13} +/- 0.09
  is obtained, where the first error is statistical and the second systematic.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:29:34 GMT""}]","2008-11-26"
"hep-ex/9808007","Del Buono Luigi","M. Benayoun, L. Del Buono, Ph. Leruste","Reconstruction and Particle Identification for a DIRC System","67 pages, 23 figures","Nucl.Instrum.Meth. A426 (1999) 283-331","10.1016/S0168-9002(99)00019-4",,"hep-ex",,"  We study the reconstruction and particle identification (PID) problem for
Ring Imaging devices providing a good knowledge of the direction of the
Cerenkov photons, as the DIRC system, on which we specialize. We advocate first
the use of the stereographic projection as a tool allowing a suitable
representation of the photon data, as it allows to represent the Cerenkov cone
always as a circle. We set up an algorithm able to perform reliably a fit of
circle arcs of small angular opening, by minimising a true Chi2 expression. The
system we develop for PID relies on this algorithm and on a procedure able to
remove background photons with a high efficiency. We thus show that, even when
the background is large, it is possible to perform an efficient PID by means of
a fit algorithm which finally provides all the circle parameters; these are
connected with the charged track direction and its Cerenkov angle. It is shown
that background effects can be dealt without spoiling significantly the
reconstruction probability distributions.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:37:59 GMT""}]","2009-10-31"
"hep-lat/9808008","Christian Holm","Christian Holm and Wolfhard Janke","Simplicial Quantum Gravity on a Randomly Triangulated Sphere","LaTex, 29 pages, including 9 figures","Int.J.Mod.Phys. A14 (1999) 3885-3904","10.1142/S0217751X99001810","M-98-140","hep-lat",,"  We study 2D quantum gravity on spherical topologies employing the Regge
calculus approach with the dl/l measure. Instead of the normally used fixed
non-regular triangulation we study random triangulations which are generated by
the standard Voronoi-Delaunay procedure. For each system size we average the
results over four different realizations of the random lattices. We compare
both types of triangulations quantitatively and investigate how the difference
in the expectation value of the squared curvature, $R^2$, for fixed and random
triangulations depends on the lattice size and the surface area A. We try to
measure the string susceptibility exponents through finite-size scaling
analyses of the expectation value of an added $R^2$-interaction term, using two
conceptually quite different procedures. The approach, where an ultraviolet
cut-off is held fixed in the scaling limit, is found to be plagued with
inconsistencies, as has already previously been pointed out by us. In a
conceptually different approach, where the area A is held fixed, these problems
are not present. We find the string susceptibility exponent $\gamma_{str}'$ in
rough agreement with theoretical predictions for the sphere, whereas the
estimate for $\gamma_{str}$ appears to be too negative. However, our results
are hampered by the presence of severe finite-size corrections to scaling,
which lead to systematic uncertainties well above our statistical errors. We
feel that the present methods of estimating the string susceptibilities by
finite-size scaling studies are not accurate enough to serve as testing grounds
to decide about a success or failure of quantum Regge calculus.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:52:45 GMT""}]","2009-10-31"
"hep-ph/9808280","U. Meissner","Sven Steininger, Ulf-G. Mei{\ss}ner and Nadia Fettes","On wave function renormalization and related aspects in heavy fermion
  effective field theories","25 pp, JHEP.cls, uses epsf+epsfig, 2 figs, some corrections","JHEP 9809 (1998) 008","10.1088/1126-6708/1998/09/008","FZJ-IKP(TH)-1998-21","hep-ph",,"  We reconsider the question of wave function renormalization in heavy fermion
effective field theories. In particular, we work out a simple and efficient
scheme to define the wave function renormalization with respect to the lowest
order heavy fermion propagator. The method presented is free of a set of
ambiguities which arise in heavy fermion effective field theories. In this
context, we discuss the approaches used in the literature so far. We also
calculate the fourth order pion mass contribution to the nucleon mass shift and
discuss the tree and loop contributions to the electric Sachs form factor of
the nucleon.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:35:12 GMT""},{""version"":""v2"",""created"":""Fri, 28 Aug 1998 08:07:26 GMT""}]","2009-10-31"
"hep-ph/9808281","A. B. Balantekin","A.B. Balantekin (Physics Department, University of Wisconsin, Madison)","Neutrino Propagation in Matter","17 pages, 5 figures. Expanded version of a talk at the Slansky
  Memorial Symposium, Los Alamos, May 1998","Phys.Rept.315:123-135,1999","10.1016/S0370-1573(99)00017-4","mad-nt-98-01","hep-ph",,"  The enhancement of neutrino oscillations in matter is briefly reviewed. Exact
and approximate solutions of the equations describing neutrino oscillations in
matter are discussed. The role of stochasticity of the media that the neutrinos
propagate through is elucidated.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:20:12 GMT""}]","2011-04-15"
"hep-ph/9808282","Andreas Metz","A. Metz, B. Pasquini, D. Drechsel","Observables in Unpolarized and Polarized Virtual Compton Scattering","17 pages, LaTex file, 6 PS-figures, uses sprocl.sty, talk given at
  the second workshop on Electronuclear Physics with Internal Targets and the
  BLAST detector, MIT, Cambridge, May 28-30, 1998, to appear in the proceedings
  of the conference",,,"HD-TVP-98-6, MKPH-T-98-15","hep-ph nucl-th",,"  Below pion threshold virtual Compton scattering off the nucleon gives access
to the generalized electromagnetic polarizabilities. Different theoretical
results for the generalized polarizabilities have been compared. In particular,
the influence of the generalized polarizabilities on the unpolarized cross
section and on double polarization observables has been investigated.
Predictions for these observables have been obtained in the linear sigma model
and chiral perturbation theory.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:30:18 GMT""}]","2007-05-23"
"hep-ph/9808283","Robin Stuart","Timo van Ritbergen and Robin G. Stuart","Complete 2-loop Quantum Electrodynamic Contributions to the Muon
  Lifetime in the Fermi Model","5 pages REVTeX. 2 figures. Uses axodraw.sty. References added, minor
  changes in text. To be published in Phys. Rev. Lett","Phys.Rev.Lett.82:488-491,1999","10.1103/PhysRevLett.82.488","UM-TH-98-15","hep-ph",,"  The complete 2-loop quantum electrodynamic corrections to the muon lifetime
are calculated in the Fermi theory. The exact result for the effects of virtual
and real photons, virtual electrons, muons as well as e+e- pair creation is
  Delta Gamma_QED
  = Gamma_0(alpha/pi)^2[(156815/5184)-(1036/27)zeta(2)-(895/36)zeta(3)
  +(67/8)zeta(4)+53zeta(2)ln(2)]
  = Gamma_0(alpha/pi)^2(6.743)
  where Gamma_0 is the tree-level width. The theoretical error in the value of
the Fermi coupling constant, G_F, is now rendered negligible compared to the
experimental uncertainty coming from the measurement of the muon lifetime. The
overall error in G_F is then roughly halved giving
  G_F = (1.16637 +/- 0.00001) x 10^(-5) GeV^(-2).
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:57:35 GMT""},{""version"":""v2"",""created"":""Mon, 7 Dec 1998 09:54:21 GMT""}]","2008-11-26"
"hep-ph/9808284",,"R. N. Mohapatra","Particle Physics Implications of Neutrinoless Double Beta Decay","10 pages; four figures: Invited talk presented at the NEUTRINO 98
  conference held in Takayama, Japan, June, 1998; to appear in the proceedings;
  references added","Nucl.Phys.Proc.Suppl. 77 (1999) 376-385","10.1016/S0920-5632(99)00447-8",,"hep-ph",,"  Neutrinoless double beta decay is a sensitive probe of the patterns of
neutrino masses and mixings if the neutrinos are Majorana particles as well as
other new physics scenarios beyond the standard model. In this talk, the
present experimental lower bound on the lifetime for $\beta\beta_{0\nu}$ is
used to constrain the neutrino mixings and set limits on the parameters of the
new physics scenarios such as the left-right symmetric models, R-parity
violating SUSY models etc which lead to this process. We also discuss proposed
high precision searches for $\beta\beta_{0\nu}$ decay that can provide
extremely valuable insight not only into the nature of neutrino mixings and
masses but also put constraints on (or even rule out) new physics scenarios.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 18:06:24 GMT""},{""version"":""v2"",""created"":""Fri, 14 Aug 1998 17:19:00 GMT""}]","2009-10-31"
"hep-ph/9808285","Kevin B. Sprague","Victor Elias and Kevin Sprague","Fermion-Antifermion Condensate Contribution to the Anomalous Magnetic
  Moment of a Fundamental Dirac Fermion","39 pages, 4 figures, accepted for publication in the International
  Journal of Theoretical Physics (November issue)","Int.J.Theor.Phys. 37 (1998) 2767-2789",,,"hep-ph",,"  We consider the contribution of fermion-antifermion condensates to the
anomalous magnetic moment of a fermion in a vacuum in which such condensates
exist. The real part of the condensate contribution to the anomalous magnetic
moment is shown to be zero. A nonzero imaginary part is obtained below the
kinematic threshold for intermediate fermion-antifermion pairs. The calculation
is shown to be gauge-parameter independent provided a single fermion mass
characterizes both the fermion propagator and condensate-sensitive
contributions, suggestive of a dynamically-generated fermion mass. The nonzero
imaginary part is then argued to correspond to the kinematic production of the
intermediate-state Goldstone bosons anticipated from a chiral-noninvariant
vacuum. Finally, speculations are presented concerning the applicability of
these results to quark electromagnetic properties.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 18:29:10 GMT""}]","2007-05-23"
"hep-ph/9808286","Russel P. Kauffman","Russel P. Kauffman (Muhlenberg College) and Satish V. Desai (SUNY,
  Stony Brook)","Production of a Higgs pseudoscalar plus two jets in hadronic collisions","12 pages, LaTeX, 4 Postscript figures, submitted to Phys. Rev. D","Phys.Rev. D59 (1999) 057504","10.1103/PhysRevD.59.057504","MUHL-PHY/98-1","hep-ph",,"  We consider the production of a Higgs pseudoscalar accompanied by two jets in
hadronic collisions. We work in the limit that the top quark is much heavier
than the Higgs pseudoscalar and use an effective Lagrangian for the
interactions of gluons with the pseudoscalar. We compute the amplitudes
involving: 1) four gluons and the pseudoscalar, 2) two quarks, two gluons and
the pseudoscalar and 3) four quarks and the pseudoscalar. We find that the
pseudoscalar amplitudes are nearly identical to those for the scalar case, the
only differences being the overall size and the relative signs between terms.
We present numerical cross sections for proton-proton collisions with
center-of-mass energy 14 TeV.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 19:03:13 GMT""}]","2009-10-31"
"hep-ph/9808287","Will Loinaz","Will Loinaz (Virginia Tech), James D. Wells (SLAC)","Higgs boson interactions in supersymmetric theories with large tan beta","11 pages, 4 figures","Phys.Lett. B445 (1998) 178-184","10.1016/S0370-2693(98)01483-X","SLAC-PUB-7900, VPI-IPPAP-98-5","hep-ph",,"  We show that radiative corrections to the Higgs potential in supersymmetric
theories with large tan beta generically lead to large differences in the light
Higgs boson decay branching fractions compared to those of the standard model
Higgs boson. In contrast, the light Higgs boson production rates are largely
unaffected. We identify W h associated production followed by Higgs boson
decays to photons or to leptons via W W* as potential experimental probes of
these theories.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 20:29:32 GMT""}]","2009-10-31"
"hep-ph/9808288","Renata Zukanovich Funchal","O. J. P. Eboli (1), R. Z. Funchal(2), T. L. Lungov(1) ((1) Instituto
  de Fisica Teorica - UNESP, (2) Instituto de Fisica, Universidade de Sao
  Paulo)","Multilepton Signatures for Leptoquarks","13 pages, 4 figures","Phys.Rev. D59 (1999) 035002","10.1103/PhysRevD.59.035002","IFUSP/P-1315,IFT-P.054/98","hep-ph",,"  The production of third generation leptoquarks can give rise to multilepton
events accompanied by jets and missing transverse energy.
  In this work we study the signals of these leptoquarks at the CERN Large
Hadron Collider and compare them with the ones expected in supersymmetric
models.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 21:13:31 GMT""}]","2009-10-31"
"hep-ph/9808289","Gino Isidori","G. D'Ambrosio, G. Ecker, G. Isidori and J. Portoles","The Decays $K \to \pi \ell^+ \ell^-$ beyond Leading Order in the Chiral
  Expansion","18 pages, latex","JHEP 9808:004,1998","10.1088/1126-6708/1998/08/004","INFNNA-IV-98/25, UWThPh-1998-45, FTUV-98/61","hep-ph hep-ex",,"  We present a model-independent analysis of $K^+\to\pi^+\ell^+\ell^-$ and
$K_S\to\pi^0\ell^+\ell^-$ decays, including $K\to 3 \pi$ unitarity corrections
and a general decomposition of the dispersive amplitude. From the existing data
on $K^+\to\pi^+ e^+ e^-$ we predict the ratio $R=
B(K^+\to\pi^+\mu^+\mu^-)/B(K^+\to\pi^+ e^+ e^-)$ to be larger than 0.23, in
slight disagreement with the recent measurement $R = 0.167 \pm 0.036$.
Consequences for the $K^\pm \to\pi^\pm e^+ e^-$ charge asymmetries and for the
$K_L\to\pi^0 e^+ e^-$ mode are also discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 21:47:34 GMT""}]","2010-02-03"
"hep-ph/9808290","Fumiaki Araki Nuclear Science Group II Rcnp","F. Araki, M. Musakhanov, H. Toki (RCNP)","Axial Currents of Virtual Charm in Light Quark Processes","26 pages, revtex, new references and PACS Codes added, minor
  corrections are made",,,,"hep-ph",,"  The systematic investigations of the role of the virtual charm axial currents
in the decay of $B$-mesons to $\eta '$ $K$ and the spin structure of the
nucleon are performed. We reduce the divergence of the virtual charm axial
current to a specific gluon operator. Since this operator receives the main
contribution from topologically nontrivial components of the QCD vacuum, we
rederive the Dyakonov-Petrov Effective Action, based on the instanton QCD
vacuum model. This action is applied to the calculations of the coupling of
$\eta '$ to the charm axial current and found $f_{\eta '}^{(c)} (\mu \simeq
m_c) = - (12.3 \sim 18.4 {\rm MeV}), $ providing a possibility for the
explanations of the recent experimental data on $B \to \eta ' K$-decay.
Analogous calculations of the virtual charm content of the nucleon spin leads
to $\Delta c (\mu \simeq m_c) = - (0.015 \sim 0.024),$ which is one order of
magnitude smaller than the analogous contribution of the strange quark.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 22:36:17 GMT""},{""version"":""v2"",""created"":""Mon, 24 Aug 1998 14:10:10 GMT""},{""version"":""v3"",""created"":""Tue, 25 Aug 1998 12:47:50 GMT""}]","2007-05-23"
"hep-ph/9808291","Andrei Afanasev","Andrei V. Afanasev","Scaling Region Meson Photoproduction and Elastic Form Factors of Hadrons","9 pages, 7 figures, Talk at the Workshop `Jefferson Lab Physics and
  Instrumentation with 6-12 GeV Beams', Newport News, VA, June 15-18, 1998;
  typos fixed",,,,"hep-ph",,"  First, I define generalized Bloom-Gilman duality and Bjorken-like scaling for
inclusive photoproduction of pions, relating Quark-Parton Model description in
the deep-inelastic region to the properties of exclusive resonance excitation.
Secondly, connection between inclusive and exclusive processes is established
in the formalism of Nonforward Parton Densities used here to predict deviations
from dimensional scaling for a variety of observables: nucleon and pion elastic
form factors, and pion Compton scattering.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 23:03:24 GMT""},{""version"":""v2"",""created"":""Thu, 13 Aug 1998 15:03:23 GMT""}]","2007-05-23"
"hep-ph/9808292","Omar Miranda","J. W. F. Valle","Super-gravity unification with bilinear R-parity violation","11 pages, latex, 2 figures with sprocl.sty, invited talk at PASCOS98,
  Boston",,,,"hep-ph hep-th",,"  Bilinear R-parity violation (BRpV) provides the simplest and most meaningful
way to include such effects into the Minimal Supersymmetrical Standard Model
(MSSM). It is defined by a quadratic superpotential term $\epsilon L H$ which
mixes lepton and Higgs superfields and mimics the effects of models with
spontaneous breaking. I review some of its main features and show how large
$\epsilon$ values can lead to a small neutrino mass radiatively, without any
fine-tuning. I discuss the effect of BRpV on gauge and Yukawa unification,
showing how bottom--tau unification can be achieved at any value of
$\tan\beta$. However, for very large m $\epsilon$ values the large $\tan\beta$
solution is ruled out.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 11:31:43 GMT""}]","2007-05-23"
"hep-ph/9808294","Roberto Pittau","A. Abada, J. Matias and R. Pittau (CERN)","Direct computation of inelastic photon-neutrino processes in the
  Standard Model","19 pages, 3 Postscript figures, uses axodraw.sty","Nucl.Phys. B543 (1999) 255-268","10.1016/S0550-3213(98)00790-1","CERN-TH/98-241 and LPTHE Orsay-98/43","hep-ph astro-ph",,"  In this paper, we compute the Standard Model polarized amplitudes and cross
sections of the processes $\gamma\nu\to\gamma\gamma \nu$, $\gamma\gamma \to
\gamma\nu\bar\nu$ and $\nu\bar\nu \to \gamma\gamma\gamma$, for centre-of-mass
energies $\omega$ within the range of validity of the Fermi theory. By using a
large electron-mass expansion of the exact result, we also derive the first
correction term to the effective, low-energy ($\omega < m_e$) formula for
$\gamma\nu\to\gamma\gamma \nu$. Finally, we discuss possible astrophysical
implications of our results and provide simple fits to the exact expressions.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 13:28:30 GMT""}]","2009-10-31"
"hep-ph/9808295","Dr. Burkhard Kleihaus","B. Kleihaus (NUI Maynooth, Ireland)","Energy barrier in the two-Higgs model","19 pages, including 4 eps figures, LaTex format, new results included","Mod.Phys.Lett. A14 (1999) 1431-1444","10.1142/S021773239900153X",,"hep-ph hep-th",,"  The electroweak model is extended by a second Higgs doublet and a numerical
investigation of static, finite energy classical solutions is performed. The
results indicate that for a large domain of the parameters of the Higgs
potential, the energy barrier between topologically distinct vacua of the
Lagrangian is constituted by a bisphaleron.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 15:55:29 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jun 1999 11:55:33 GMT""}]","2009-10-31"
"hep-th/9808055","Laurent Baulieu","L. Baulieu (CERN and LPTHE)","On Forms with Non-Abelian Charges and Their Dualities","11 pages, harvmac file","Phys.Lett. B441 (1998) 250-256","10.1016/S0370-2693(98)01186-1","CERN-TH-98-258, LPTHE-98-25","hep-th",,"  We describe forms with non-Abelian charges. We avoid the use of theories with
flat curvatures by working in the context of topological field theory. We
obtain TQFTs for a form and its dual. We leave open the question of getting
gauges in which the form, or its dual, can be gauged away, in such way that the
model has two dual formulations. We give the example of charged two-forms in
six dimensions.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:01:08 GMT""}]","2009-10-31"
"hep-th/9808056","Shamit Kachru","Shamit Kachru (UC Berkeley), Eva Silverstein (SLAC)","Self-Dual Nonsupersymmetric Type II String Compactifications","9 pages, harvmac big; typo in references corrected","JHEP 9811:001,1998","10.1088/1126-6708/1998/11/001","LBNL-42139, SLAC-PUB-7907, UCB-PTH-98/40","hep-th",,"  It has recently been proposed that certain nonsupersymmetric type II
orbifolds have vanishing perturbative contributions to the cosmological
constant. We show that techniques of Sen and Vafa allow one to construct dual
type II descriptions of these models (some of which have no weakly coupled
heterotic dual). The dual type II models are given by the same orbifolds with
the string coupling $S$ and a $T^2$ volume $T$ exchanged. This allows us to
argue that in various strongly coupled limits of the original type II models,
there are weakly coupled duals which exhibit the same perturbative
cancellations as the original models.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:22:07 GMT""},{""version"":""v2"",""created"":""Mon, 17 Aug 1998 20:07:45 GMT""}]","2009-10-31"
"hep-th/9808057","Kamran Saririan","Bayram Tekin, Kamran Saririan, and Yutaka Hosotani","Complex Monopoles in YM + Chern-Simons Theory in 3 Dimensions","10 pages, 5 Figures, LaTeX. To appear in the proceedings of
  Quarks'98, Suzdal, Russia (May 18-24, 1998)",,,,"hep-th",,"  In this talk, we give a brief discussion of complex monopole solutions in the
three dimensional Georgi-Glashow model with a Chern-Simons term. We find that
there exist complex monopole solutions of finite action. They dominate the path
integral and disorder the Higgs vacuum, but electric charges are not confined.
Subtleties in the model and issues related to Gribov copies are also noted.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 02:28:06 GMT""}]","2007-05-23"
"hep-th/9808058","Rabin Banerjee","Subir Ghosh","Bosonisation Excercise in Three Dimensions: Gauged Massive Thirring
  Model","11 pages, LaTeX, E-mail: subir@bose.ernet.in","Phys.Rev. D59 (1999) 045014","10.1103/PhysRevD.59.045014",,"hep-th",,"  Bosonisation of the massive Thirring model, with a non-minimal and
non-abelian gauging is studied in 2+1-dimensions. The static abelian model is
solved completely in the large fermion mass limit and the spectrum is obtained.
The non-abelian model is solved for a restricted class of gauge fields. In both
cases explicit expressions for bosonic currents corresponding to the fermion
currents are given.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 07:43:24 GMT""}]","2016-09-06"
"hep-th/9808059","Tekin Dereli","T. Dereli (METU), Robin W. Tucker (Univ. Lancaster)","String Fields and the Standard Model","4 pages, LATEX, no figures","Phys.Rev.Lett. 82 (1999) 4184-4187","10.1103/PhysRevLett.82.4184",,"hep-th",,"  The Cremmer-Scherk mechanism is generalised in a non-Abelian context. In the
presence of the Higgs scalars of the standard model it is argued that fields
arising from the low energy effective string action may contribute to the mass
generation of the observed vector bosons that mediate the electroweak
interactions and that future analyses of experimental data should consider the
possibility of string induced radiative corrections to the Weinberg angle
coming from physics beyond the standard model.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 13:20:40 GMT""}]","2009-10-31"
