"adap-org/9805002","Barbara Drossel","Barbara Drossel","Extinction events and species lifetimes in a simple ecological model","4 pages RevTex, including 3 postscript figures","Phys. Rev. Lett.81, 5011 (1998)","10.1103/PhysRevLett.81.5011",,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  A model for large-scale evolution recently introduced by Amaral and Meyer is
studied analytically and numerically. Species are located at different trophic
levels and become extinct if their prey becomes extinct. It is proved that this
model is self-organized critical in the thermodynamic limit, with an exponent 2
characterizing the size distribution of extinction events. The lifetime
distribution of species, cutoffs due to finite-size effects, and other
quantities are evaluated. The relevance of this model to biological evolution
is critically assessed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 08:36:48 GMT""}]","2009-10-30"
"hep-lat/9805015","Shailesh Chandrasekharan","Shailesh Chandrasekharan (Duke University)","Lattice QCD with Ginsparg-Wilson fermions","6 pages, REVTEX. Added a new section on the critical behavior of the
  zero modes near T_c with various flavors. This version will appear in Phys.
  Rev. D","Phys. Rev. D 60, 074503 (1999)","10.1103/PhysRevD.60.074503","DUKE-TH-98-161","hep-lat hep-ph hep-th",,"  Lattice QCD using fermions whose Dirac operator obeys the Ginsparg-Wilson
relation, is perhaps the best known formulation of QCD with a finite cutoff. It
reproduces all the low energy QCD phenomenology associated with chiral symmetry
at finite lattice spacings. In particular it explains the origin of massless
pions due to spontaneous chiral symmetry breaking and leads to new ways to
approach the U(1) problem on the lattice. Here we show these results in the
path integral formulation and derive for the first time in lattice QCD a known
formal continuum relation between the chiral condensate and the topological
susceptibility. This relation leads to predictions for the critical behavior of
the topological susceptibility near the phase transition and can now be checked
in Monte-Carlo simulations even at finite lattice spacings.
","[{""version"":""v1"",""created"":""Sun, 17 May 1998 18:37:30 GMT""},{""version"":""v2"",""created"":""Thu, 21 May 1998 17:54:43 GMT""},{""version"":""v3"",""created"":""Wed, 5 May 1999 14:29:47 GMT""}]","2016-08-25"
"hep-ph/9805346","Yasunori Nomura","K. Hamaguchi, Yasunori Nomura, and T. Yanagida","Superheavy Dark Matter with Discrete Gauge Symmetries","9 pages, Latex","Phys.Rev.D58:103503,1998","10.1103/PhysRevD.58.103503","UT-817","hep-ph astro-ph",,"  We show that there are discrete gauge symmetries protect naturally heavy X
particles from decaying into the ordinary light particles in the supersymmetric
standard model. This makes the proposal very attractive that the superheavy X
particles constitute a part of the dark matter in the present universe. It is
more interesting that there are a class of discrete gauge symmetries which
naturally accommodate a long-lived unstable X particle. We find that in some
discrete Z_{10} models, for example, a superheavy X particle has lifetime
\tau_X \simeq 10^{11}-10^{26} years for its mass M_X \simeq 10^{13}-10^{14}
GeV. This long lifetime is guaranteed by the absence of lower dimensional
operators (of light particles) couple to the X. We briefly discuss a possible
explanation for the recently observed ultra-high-energy cosmic ray events by
the decay of this unstable X particle.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 02:39:33 GMT""}]","2009-09-29"
"hep-ph/9805349","Marcela Carena","M. Carena, P.H. Chankowski, S. Pokorski and C.E.M. Wagner","The Higgs Boson Mass as a Probe of the Minimal Supersymmetric Standard
  Model","15 pages, 5 figures, LateX, psfig","Phys.Lett.B441:205-214,1998","10.1016/S0370-2693(98)01163-0","CERN-TH/98-148, FERMILAB-PUB--98/146-T, IFT--98/23","hep-ph",,"  Recently, the LEP collaborations have reported a lower bound on a Standard
Model-like Higgs boson of order 89 GeV. We discuss the implications of this
bound for the minimal supersymmetric extension of the Standard Model (MSSM). In
particular, we show that the lower bound on $\tan\beta$, which can be obtained
from the presently allowed Higgs boson mass value, becomes stronger than the
one set by the requirement of perturbative consistency of the theory up to
scales of order $M_{GUT}$ (associated with the infrared fixed-point solution of
the top quark Yukawa coupling) in a large fraction of the allowed parameter
space. The potentiality of future LEP2 searches to further probe the MSSM
parameter space is also discussed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 00:50:14 GMT""}]","2008-11-26"
"hep-ph/9805350","Massimiliano Grazzini","M. Grazzini","Fracture functions: factorization and evolution","latex, 4 pages including 2 postscript figures; Talk given at the
  DIS98 Workshop, Brussels, 4-8, 1998",,,,"hep-ph",,"  Fracture functions and their evolution equations are reviewed. Some
phenomenological applications are briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 09:35:44 GMT""}]","2007-05-23"
"hep-ph/9805351","Wojciech Broniowski","Wojciech Broniowski, Maxim Polyakov, Hyun-Chul Kim, and Klaus Goeke","Tensor susceptibilities of the vacuum from constituent quarks","8 pages, elsart","Phys.Lett. B438 (1998) 242-247","10.1016/S0370-2693(98)01048-X","INP 1797/PH, RUB-TPII-6/98","hep-ph",,"  We show that the constituent quark model leads to simple expressions for the
isoscalar and isovector tensor susceptibilities of the vacuum. The found values
are negative and of magnitude compatible with QCD-sum-rule parameterizations of
spectral densities in appropriate L=1-meson channels.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 10:48:02 GMT""}]","2009-10-31"
"hep-ph/9805353","Kotikov A. V.","A. V. Kotikov, V. G. Krivokhijine (JINR, Dubna)","F_2 Structure Function and Higher-twist Contributons (Nonsinglet Case)","4 pages, latex. Talk presented at the DIS98 workshop, Brussels, April
  1998",,,,"hep-ph",,"  We performed the combine fits of SLAC, BCDMS and NMC data at NLO level. The
data are fitted very well with different parametrizations of higher twist
contributions. The theory-based parametrizations lead to the low values of QCD
parameter \Lambda^{f=4}_{\overfull{MS}} \sim 140 \pm 21 MeV (or
\alpha_s(M^2_Z)= 0.103 \pm 0.002).
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 11:23:15 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jun 1998 16:20:56 GMT""}]","2007-05-23"
"hep-ph/9805354","Yan Mu-Lin","Mu-Lin Yan (ICTP, Trieste; USTC, Hefei) Yi Wei and Ting-Liang Zhuang
  (USTC, Hefei)","Comment on the hadronic decay of excited heavy quarkonia","7 pages, no figures, LaTeX file, To appear in The European Physical
  Journal (1998)","Eur.Phys.J.C7:61-63,1999","10.1007/s100520050384",,"hep-ph",,"  We make comments on ref.[Z.Phys. C73, 541 (1997)], and provide partial wave
analysis to the decays of excited heavy S-wave $1^-$ quarkonia into the basic
$1^-$ quarkonia state plus $\pi\pi$. It is revealed that there exist
contributions of D-wave transition in $\psi'\longrightarrow J/\psi\pi\pi$,
$\Upsilon(2S)\longrightarrow \Upsilon(1S) \pi \pi$ and
$\Upsilon(3S)\longrightarrow \Upsilon(1S) \pi \pi$ by using the data-fitting
results in ref.[Z.Phys C73, 541 (1997)]. A possible experimental method to
measure the D-wave directly is discussed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 11:33:37 GMT""},{""version"":""v2"",""created"":""Sun, 26 Jul 1998 16:06:09 GMT""}]","2011-09-13"
"hep-ph/9805355","Tord Riemann","Jochen Biebel and Tord Riemann","Off-shell W pair production with anomalous couplings: The CC11 process","26 pages, Latex, 6 figures, 2 tables, uses feynmp and epsf styles;
  tables numerically updated, 5 references added, few typos corrected, version
  to be published in EPJC","Eur.Phys.J.C8:655-667,1999","10.1007/s100529900007","DESY 98-047","hep-ph",,"  The differential cross-sections for processes of the type e+ e- to W+ W- to l
nu q anti-q are determined with account of background contributions and of
anomalous triple gauge boson couplings. Analytic expressions for dsigma/ds1 ds2
dcostheta, where theta is the production angle of the W boson, are numerically
integrated with the Fortran package GENTLE. QED corrections are taken into
account in the leading logarithmic approximation. The importance of the various
contributions is studied for center-of-mass energies of 190 GeV, 500 GeV, and 1
TeV.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:01:19 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jan 1999 10:40:26 GMT""}]","2011-09-13"
"hep-ph/9805356","Akaki Rusetsky","M. A. Ivanov (JINR, Dubna), V. E. Lyubovitskij (JINR, Dubna and Tomsk
  State University), E. Z. Lipartia (JINR, Dubna and IHEP, Tbilisi State
  University), A. G. Rusetsky (JINR, Dubna and IHEP, Tbilisi State University)","(Pi+Pi-) Atom in Chiral Perturbation Theory","36 pages, LaTeX-file (revtex.sty)","Phys.Rev. D58 (1998) 094024","10.1103/PhysRevD.58.094024","QFT-TSU-98-28, TSU-HEPI/98-01","hep-ph",,"  Hadronic (Pi+Pi-) atom is studied in the relativistic perturbative approach
based on the Bethe-Salpeter equation. The general expression for the atom
lifetime is derived. Lowest-order corrections to the relativistic Deser-type
formula for the atom lifetime are evaluated within the Chiral Perturbation
Theory.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 14:18:27 GMT""}]","2009-10-31"
"hep-ph/9805357","Xinwei Kong","Xinwei Kong, Finn Ravndal (University of Oslo)","Non-Relativistic Pion Interactions and the Pionium Lifetime","8 pages, 5 figures",,"10.1103/PhysRevD.59.014031",,"hep-ph",,"  We construct an effective Lagrangian for interacting pions with
non-relativistic energies. The coupling constants can be expressed in terms of
the different scattering lengths and slopes. When used in the calculation of
the pionium decay rate, the scattering slope contribution gives a correction of
about 8% compared with the lowest order contribution coming from the scattering
lengths alone.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:35:57 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jun 1998 16:20:29 GMT""}]","2009-10-31"
"hep-ph/9805358","Hong-Yi Zhou","Hong-Yi Zhou","CP Violation in Top Quark Pair Production at Hadron Colliders","28 pages,3 figures, 38 refs","Phys.Rev. D58 (1998) 114002","10.1103/PhysRevD.58.114002","HD-THEP-98-21,TUIMP-TH-98/96","hep-ph",,"  CP violating effects in top quark pair production at the future 2 TeV $p\bar
p$ Tevatron and 14 TeV $pp$ LHC colliders are investigated. We study three
kinds of CP violating sources:the supersymmetric CP-odd phase of the stop
trilinear soft breaking term: $arg(A_t)$, the CP-odd parameter in two-Higgs
doublet extensions of the standard model(2HDM), and the model-independent top
quark chromoelectric dipole moment(CEDM), respectively. Optimal observables as
well as simple observables are used. We find that it is possible to observe CP
violating effects from $arg(A_t)$ in top quark pair production at the 2 TeV
Tevatron with $\sim 30fb^{-1}$ integrated luminosity when $m_{\tilde{g}}\sim
200$ GeV. If the experimental systematic errors are sufficient small, the LHC
with $\sim 150fb^{-1}$ can put a limit of order $10^{-1}$ on the phase
$arg(A_t)$ and the CP-odd parameter in 2HDM by using optimal observables. The
CEDM of the top quark can be measured to an accuracy of $10^{-18} cm g_s$ at
the Tevatron and few $\times 10^{-20} cm g_s$ at the LHC.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:15:11 GMT""}]","2009-10-31"
"hep-ph/9805359","Sergio Lupia","Sergio Lupia (Max-Planck-Inst. fuer Physik, Munich)","QCD description of high order factorial moments in quark and gluon jets","LaTeX, 3 pages, to appear in Proc. of XXXIIIrd Rencontres de Moriond,
  `QCD and high energy interactions'', Les Arcs, France, March 21-28, 1998",,,"MPI-PhT/98-37","hep-ph",,"  The complete QCD evolution equation for factorial moments in quark and gluon
jets is numerically solved with initial conditions at threshold by fully taking
into account the energy-momentum conservation law. Within the picture of Local
Parton Hadron Duality, the perturbative QCD predictions can successfully
describe the available experimental data.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:57:50 GMT""}]","2007-05-23"
"hep-th/9805103","Vivian de la Incera","Efrain J. Ferrer and Vivian de la Incera","Yukawa Interactions and Dynamical Generation of Mass in an External
  Magnetic Field","Corrected mistake in last reference. Work presented at SILAFAE'98, 8
  pages. To be published in the proceedings of SILAFAE'98, April 8-11, San
  Juan, Puerto Rico",,"10.1063/1.56623","SUNY-FRE-98-05","hep-th hep-ph",,"  In this work we study the dynamical generation of a fermion mass induced by a
constant and uniform external magnetic field in an Abelian gauge model with a
Yukawa term. We show that the Yukawa coupling not only enhances the dynamical
generation of the mass, but it substantially decreases the magnetic field
required for the mass to be generated at temperatures comparable to the
electroweak critical temperature. These results indicate that if large enough
primordial magnetic fields were present during the early universe evolution,
the field-induced generation of fermion masses, which in turn corresponds to
the generation of fermion bound states, may play an important role in the
electroweak phase transition.
","[{""version"":""v1"",""created"":""Sun, 17 May 1998 22:37:59 GMT""},{""version"":""v2"",""created"":""Wed, 1 Jul 1998 20:05:45 GMT""}]","2009-10-31"
"hep-th/9805105","Gordon Chalmers","G. Chalmers, H. Nastase, K. Schalm, R. Siebelink","R-Current Correlators in N=4 Super Yang-Mills Theory from Anti-de Sitter
  Supergravity","24 pages, latex, minor corrections, publication in NPB","Nucl.Phys.B540:247-270,1999","10.1016/S0550-3213(98)00758-5","ITP-SB-98-36, KUL-TF-98/24","hep-th",,"  We test the conjectured relationship between N=4 super Yang-Mills theory in
four dimensions and IIB supergravity compactified on $AdS_5\times S_5$ by
computing the two- and three-point functions of R-symmetry currents. We observe
that the integral expressions describing the general three-point correlator on
the supergravity side have a structure similar to one-loop triangle diagrams in
N=4 super Yang-Mills theory. This allows us to compare the expressions on both
sides of the AdS/CFT correspondence without the technical complications of the
loop integrations. We confirm that the two- and three-point correspondence
arises at only one-loop in the N=4 super Yang-Mills theory. Higher-point
functions as well as further three-point functions may be analyzed similarly.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 02:07:35 GMT""},{""version"":""v2"",""created"":""Fri, 18 Dec 1998 07:55:58 GMT""}]","2011-05-05"
"hep-th/9805106","Ryu Sasaki","A.J. Bordner, E. Corrigan and R. Sasaki","Calogero-Moser Models: A New Formulation","28 pages LaTeX2e, no figure; Root type Lax pair is constructed for
  all four choices of potentials. Two references added","Prog.Theor.Phys. 100 (1998) 1107-1129","10.1143/PTP.100.1107","YITP-98-29, DTP-98-27","hep-th cond-mat nlin.SI solv-int",,"  A new formulation of Calogero-Moser models based on root systems and their
Weyl group is presented. The general construction of the Lax pairs applicable
to all models based on the simply-laced algebras (ADE) are given for two types
which we call `root' and `minimal'. The root type Lax pair is new; the matrices
used in its construction bear a resemblance to the adjoint representation of
the associated Lie algebra, and exist for all models, but they do not contain
elements associated with the zero weights corresponding to the Cartan
subalgebra. The root type provides a simple method of constructing sufficiently
many number of conserved quantities for all models, including the one based on
$E_{8}$, whose integrability had been an unsolved problem for more than twenty
years. The minimal types provide a unified description of all known examples of
Calogero-Moser Lax pairs and add some more. In both cases, the root type and
the minimal type, the formulation works for all of the four choices of
potentials: the rational, trigonometric, hyperbolic and elliptic.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 06:04:06 GMT""},{""version"":""v2"",""created"":""Mon, 22 Jun 1998 07:07:33 GMT""},{""version"":""v3"",""created"":""Wed, 19 Aug 1998 07:32:33 GMT""}]","2009-10-31"
"hep-th/9805107","Toshio Nakatsu","T.Nakatsu","On N=2 MQCD","32 pages. 4 figires. Lecture in the Second Winter School on ``Branes,
  Fields And Mathematical Physics"" at the APCTP (Feb.9-20, 1998)",,,"OU-HET 295","hep-th",,"  We review M-theory description of 4d N=2 SQCD. Configurations of M-theory
fivebranes relevant to describe the moduli spaces of the Coulomb and Higgs
branches are studied using the Taub-NUT geometry. Minimal area membranes
related with the BPS states of N=2 SQCD are given explicitly. They almost
saturate the BPS bounds. The deviation from the bounds is due to their boundary
condition constrained by the fivebrane. The electric-magnetic duality at the
baryonic branch root is also examined from the M-theory viewpoint. In this
course, novel concepts such as creation of brane and exchange of branes in Type
II theory are explained in the framework of M-theory.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 06:45:49 GMT""}]","2007-05-23"
"hep-th/9805108","Jan Ambjorn","J. Ambjorn and R. Loll","Non-perturbative Lorentzian Quantum Gravity, Causality and Topology
  Change","30 pages, 5 figures, Latex, uses psfig.sty","Nucl.Phys. B536 (1998) 407-434","10.1016/S0550-3213(98)00692-0","NBI-HE-98-11","hep-th gr-qc hep-lat",,"  We formulate a non-perturbative lattice model of two-dimensional Lorentzian
quantum gravity by performing the path integral over geometries with a causal
structure. The model can be solved exactly at the discretized level. Its
continuum limit coincides with the theory obtained by quantizing 2d continuum
gravity in proper-time gauge, but it disagrees with 2d gravity defined via
matrix models or Liouville theory. By allowing topology change of the compact
spatial slices (i.e. baby universe creation), one obtains agreement with the
matrix models and Liouville theory.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 07:38:53 GMT""}]","2009-10-31"
"hep-th/9805109","Clovis Wotzasek","R. Banerjee and C. Wotzasek","Bosonisation and Duality Symmetry in the Soldering Formalism","LaTex file, 38 pages, this paper is a revised combination of
  hep-th/9709105 and hep-th/9710060. Ref-Journal: Nucl. Phys. B, to appear","Nucl.Phys. B527 (1998) 402-432","10.1016/S0550-3213(98)00411-8",,"hep-th",,"  We develop a technique that solders the dual aspects of some symmetry. Using
this technique it is possible to combine two theories with such symmetries to
yield a new effective theory. Some applications in two and three dimensional
bosonisation are discussed. In particular, it is shown that two apparently
independent three dimensional massive Thirring models with same coupling but
opposite mass signatures, in the long wavelegth limit, combine by the process
of bosonisation and soldering to yield an effective massive Maxwell theory.
Similar features also hold for quantum electrodynamics in three dimensions. We
also provide a systematic derivation of duality symmetric actions and show that
the soldering mechanism leads to a master action which is duality invariant
under a bigger set of symmetries than is usually envisaged. The concept of
duality swapping is introduced and its implications are analysed. The example
of electromagnetic duality is discussed in details.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 10:53:52 GMT""}]","2009-10-31"
"hep-th/9805110",,"Alexey Maznytsia, Christian Preitschopf and Dmitri Sorokin","Duality of Self-Dual Actions","LaTeX file, 14 pages. Typos corrected","Nucl.Phys. B539 (1999) 438-452","10.1016/S0550-3213(98)00741-X","HUB EP-98/28","hep-th",,"  Using examples of a D=2 chiral scalar and a duality-symmetric formulation of
D=4 Maxwell theory we study duality properties of actions for describing chiral
bosons. In particular, in the D=4 case, upon performing a duality transform of
an auxiliary scalar field, which ensures Lorentz covariance of the action, we
arrive at a new covariant duality-symmetric Maxwell action, which contains a
two-form potential as an auxiliary field. When the two-form field is gauge
fixed this action reduces to a duality-symmetric action for Maxwell theory
constructed by Zwanziger. We consider properties of this new covariant action
and discuss its coupling to external dyonic sources. We also demonstrate that
the formulations considered are self-dual with respect to a dualization of the
field-strengths of the chiral fields.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:07:13 GMT""},{""version"":""v2"",""created"":""Mon, 1 Jun 1998 16:24:40 GMT""},{""version"":""v3"",""created"":""Mon, 26 Oct 1998 10:35:17 GMT""}]","2009-10-31"
"math-ph/9805015","M. Krishna","M Krishna, J Obermeit","Localization and mobility edge for sparsely random potentials","Completely revised, main theorems modified; latex2e file",,,,"math-ph cond-mat.dis-nn math.MP math.SP",,"  In this paper we consider sparsely random potentials in 5 or more dimensional
cubic lattice and exhibit localized and extended states. We identify also the
mobility edge for a class of potentials going to infinity at infinity. Our
treatment includes a large class of unperturbed selfadjoint opeartors commuting
with the usual Laplacian on the lattice.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 06:40:18 GMT""},{""version"":""v2"",""created"":""Wed, 4 Nov 1998 08:30:23 GMT""}]","2007-05-23"
"math/9805074","Chuu-Lian Terng","Chuu-Lian Terng and Karen Uhlenbeck","B\""acklund Transformations and Loop Group Actions","Plain Tex, 80 pages",,,,"math.DG nlin.SI solv-int",,"  We construct a local action of the group of rational maps from $S^2$ to
$GL(n,C)$ on local solutions of flows of the ZS-AKNS $sl(n,C)$-hierarchy. We
show that the actions of simple elements (linear fractional transformations)
give local B\""acklund transformations, and we derive a permutability formula
from different factorizations of a quadratic element. We prove that the action
of simple elements on the vacuum may give either global smooth solutions or
solutions with singularities. However, the action of the subgroup of the
rational maps that satisfy the U(n)-reality condition $g(\bar\l)^*g(\l)=I$ on
the space of global rapidly decaying solutions of the flows in the
$u(n)$-hierarchy is global, and the action of a simple element gives a global
B\""acklund transformation.
  The actions of certain elements in the rational loop group on the vacuum give
rise to explicit time periodic multi-solitons (multi-breathers). We show that
this theory generalizes the classical B\""acklund theory of the sine-Gordon
equation. The group structures of B\""acklund transformations for various
hierarchies are determined by their reality conditions. We identify the reality
conditions (the group structures) for the $sl(n,R)$, $u(k,n-k)$, KdV,
Kupershmidt-Wilson, and Gel'fand-Dikii hierarchies. The actions of linear
fractional transformations that satisfies a reality condition, modulo the
center of the group of rational maps, gives B\""acklund and Darboux
transformations for the hierarchy defined by the reality condition. Since the
factorization cannot always be carried out under these reality condition, the
action is again local, and B\""acklund transformations only generate local
solutions for these hierarchies unless singular solutions are allowed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 06:23:28 GMT""}]","2007-05-23"
"math/9805075","Mihai Tibar","Mihai Tibar","Asymptotic equisingularity and topology of complex hypersurfaces","May 1997, revised Oct. 1997, changed title, last version before
  publication","Int.Math.Research Notices, 18 (1998), 979-990","10.1155/S1073792898000580",,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider an equisingularity problem for polynomial families of affine
hypersurfaces $X_\tau \subset \mathbb C^n$ with (at worst) isolated
singularities. We show that the constancy of the global polar invariants
$\gamma^* (X_\tau)$ is equivalent to the $t$-equisingularity at infinity, an
asymptotic-type equisingularity that we introduce. We prove that
$\gamma^*$-constancy implies C$^\infty$-triviality in the neighbourhood of
infinity. We show how the invariants $\gamma^*$ enter in the description of a
CW-complex model of a hypersurface $X_\tau$ and therefore provide in particular
new invariants at infinity for polynomial functions $f: \mathbb C^n \to \mathbb
C$.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 09:09:40 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 2017 17:08:16 GMT""}]","2017-11-28"
"math/9805076","Pieter P. N. de Groen","P.P.N. de Groen","An Introduction to Total Least Squares",,"Nieuw Archief voor Wiskunde, 4th Series, Vol. 14 (1996), pp 237 --
  253",,"formerly math.LA/9805076","math.RA math.NA",,"  The method of ``Total Least Squares'' is proposed as a more natural way (than
ordinary least squares) to approximate the data if both the matrix and and the
right-hand side are contaminated by ``errors''. In this tutorial note, we give
a elementary unified view of ordinary and total least squares problems and
their solution. As the geometry underlying the problem setting greatly
contributes to the understanding of the solution, we introduce least squares
problems and their generalization via interpretations in both column space and
(the dual) row space and we shall use both approaches to clarify the solution.
After a study of the least squares approximation for simple regression we
introduce the notion of approximation in the sense of ``Total Least Squares
(TLS)'' for this problem and deduce its solution in a natural way. Next we
consider ordinary and total least squares approximations for multiple
regression problems and we study the solution of a general overdetermined
system of equations in TLS-sense. In a final section we consider
generalizations with multiple right-hand sides and with ``frozen'' columns. We
remark that a TLS-approximation needs not exist in general; however, the line
(or hyperplane) of best approximation in TLS-sense for a regression problem
does exist always.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 09:48:34 GMT""}]","2007-05-23"
"math/9805077","Sabbah Claude","Claude Sabbah","Hypergeometric periods for a tame polynomial","AMS-LaTeX with amsart.sty. Uses XY-pic package. 43 pages","C. R. Acad. Sci. Paris Ser. I Math. t.328 (1999) 603-608 & Port.
  Math. (N.S.) 63 (2006), no. 2, 173--226","10.1016/S0764-4442(99)80254-7",,"math.AG",,"  We analyse the Gauss-Manin system of differential equations---and its Fourier
transform---attached to regular functions satisfying a tameness assupmption on
a smooth affine variety over C (e.g. tame polynomials on C^{n+1}). We give a
solution to the Birkhoff problem and prove Hodge-type results analogous to
those existing for germs of isolated hypersurface singularities.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 15:09:21 GMT""}]","2011-01-04"
"math/9805078","Alexander Stoimenow","A. Stoimenow","Positive knots, closed braids and the Jones polynomial","36 pages; revision 7 Sep 99: added discussion of
  Brandt-Lickorish-Millett-Ho polynomial, Jones polynomial of the untwisted
  Whitehead double and signature as well as some Vassiliev invariant
  inequalites for positive braids. Reorganized several sections; revision 1 Mar
  01: minor changes","Ann. Scuola Norm. Sup. Pisa Cl. Sci. (5) 2(2) (2003), 237--285.",,,"math.GT",,"  Using the recent Gauss diagram formulas for Vassiliev invariants of
Polyak-Viro-Fiedler and combining these formulas with the Bennequin inequality,
we prove several inequalities for positive knots relating their Vassiliev
invariants, genus and degrees of the Jones polynomial. As a consequence, we
prove that for any of the polynomials of Alexander/Conway, Jones, HOMFLY,
Brandt-Lickorish-Millett-Ho and Kauffman there are only finitely many positive
knots with the same polynomial and no positive knot with trivial polynomial.
  We also discuss an extension of the Bennequin inequality, showing that the
unknotting number of a positive knot not less than its genus, which recovers
some recent unknotting number results of A'Campo, Kawamura and Tanaka, and give
applications to the Jones polynomial of a positive knot.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 11:32:36 GMT""},{""version"":""v2"",""created"":""Tue, 7 Sep 1999 11:51:17 GMT""},{""version"":""v3"",""created"":""Fri, 2 Mar 2001 01:27:09 GMT""}]","2007-05-23"
"nucl-ex/9805007","Thomas Peitzmann","R. Albrecht, et al. ( WA80 Collaboration )","Transverse momentum distributions of neutral pions from nuclear
  collisions at 200 AGeV","Accepted for publication in Eur.Phys.J.C, 13 pages including 16
  figures","Eur.Phys.J.C5:255-267,1998","10.1007/s100520050267","IKP-MS-980501","nucl-ex",,"  New results on transverse mass spectra of neutral pions measured at central
rapidity are presented for impact parameter selected 200 AGeV S + S and S + Au
collisions. The spectra from all systems show a clear power-law like shape with
similar curvature. Collisions of S + Au exhibit a larger mean transverse
momentum than pp increasing with centrality. Predictions of string models and
by hydrodynamic approaches including collective expansion and decays of short
lived resonances are compared to the data and the implications are discussed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:08:59 GMT""}]","2011-09-13"
"patt-sol/9805004","Hiroyasu Yamada","H. Yamada, T. Nakagaki, M. Ito","Pattern formation of reaction-diffusion system having self-determined
  flow in the amoeboid organism of Physarum plasmodium","REVTeX, one column, 7 pages, no figure",,"10.1103/PhysRevE.59.1009",,"patt-sol nlin.PS q-bio",,"  The amoeboid organism, the plasmodium of Physarum polycephalum, behaves on
the basis of spatio-temporal pattern formation by local
contraction-oscillators. This biological system can be regarded as a
reaction-diffusion system which has spatial interaction by active flow of
protoplasmic sol in the cell. Paying attention to the physiological evidence
that the flow is determined by contraction pattern in the plasmodium, a
reaction-diffusion system having self-determined flow arises. Such a coupling
of reaction-diffusion-advection is a characteristic of the biological system,
and is expected to relate with control mechanism of amoeboid behaviours. Hence,
we have studied effects of the self-determined flow on pattern formation of
simple reaction-diffusion systems. By weakly nonlinear analysis near a trivial
solution, the envelope dynamics follows the complex Ginzburg-Landau type
equation just after bifurcation occurs at finite wave number. The flow term
affects the nonlinear term of the equation through the critical wave number
squared. Contrary to this, wave number isn't explicitly effective with lack of
flow or constant flow. Thus, spatial size of pattern is especially important
for regulating pattern formation in the plasmodium. On the other hand, the flow
term is negligible in the vicinity of bifurcation at infinitely small wave
number, and therefore the pattern formation by simple reaction-diffusion will
also hold. A physiological role of pattern formation as above is discussed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:06:07 GMT""}]","2009-10-31"
"physics/9805024","Jochen Rau","Jochen Rau (MPI-PKS Dresden)","Statistical Mechanics in a Nutshell","Lecture Notes (Part I of a course on ""Transport Theory"" taught at
  Dresden University of Technology, Spring 1997), 23 pages; more info at
  http://www.mpipks-dresden.mpg.de/~jochen/transport/intro.html",,,,"physics.ed-ph cond-mat.stat-mech",,"  I give a concise introduction to some essential concepts of statistical
mechanics:
  1. Probability theory (constrained distributions, concentration theorem,
frequency estimation, hypothesis testing);
  2. Macroscopic systems in equilibrium (macrostate, thermodynamic variables,
entropy, first law, thermodynamic potentials, correlations);
  3. Linear response (Kubo formula).
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 11:40:52 GMT""}]","2016-09-08"
