"adap-org/9812002","Carl Lipo","Mark Madsen (1), Carl Lipo (1 and 2), Michael Cannon (2) ((1) Emergent
  Media, Inc., (2) University of Washington)","Reproductive Tradeoffs In Uncertain Environments: Explaining The
  Evolution Of Cultural Elaboration","32 pages, 5 figures",,,,"adap-org nlin.AO",,"  Dunnell's (1989) explanation for cultural elaboration proposed that
elaboration could be a consequence of selection within uncertain environments.
He developed the theory to the extent that it performed well explaining the
distribution of elaboration at regional scales within eastern North America.
More detailed studies require more detailed development of the theory, so that
additional hypotheses and implications can be deduced. We draw upon theories of
selection in fluctuating environments and portions of life history theory to
propose a formal model of selection for ""waste"" in uncertain environments. We
use agent-based simulation to explore the sufficiency of the theory for
explaining the maintenance of high levels of elaboration within populations,
and deduce novel implications for archaeological evidence usable by others to
test the utility of Dunnell's model in specific localities.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:35:27 GMT""}]","2007-05-23"
"astro-ph/9812096","Marco Tavani","M. Tavani, G. Barbiellini, P. Caraveo, S. Di Pippo, S. Mereghetti, A,
  Morselli, A. Pellizzoni, A. Perrino, P. Picozza, P. Schiavon, S. Severoni, F.
  Tavecchio, A. Vacchi, S. Vercellone","AGILE: a Gamma-Ray Mission for a Light Imaging Detector","4 pages, LATEX text, style file and two postscript figures included.
  To appear in the Proceedings of the conference: ""Dal nano- al Tera-eV: tutti
  i colori degli AGN"", Rome 18-21 May 1998, to be published by the Memorie
  della Societa' Astronomica Italiana",,,,"astro-ph",,"  AGILE is an innovative, cost-effective gamma-ray mission proposed to the ASI
Program of Small Scientific Missions.
  It is planned to detect gamma-rays in the 30 MeV - 50 GeV energy band and
operate as an {\bf Observatory} open to the international community. Primary
scientific goals include the study of AGNs, gamma-ray bursts, Galactic sources,
unidentified gamma-ray sources, solar flares, and diffuse gamma-ray emission.
AGILE is planned to be operational during the year 2001 for a 3-year mission.
It will ideally `fill the gap' between EGRET and GLAST, and support
ground-based multiwavelength studies of high-energy sources.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:36:12 GMT""}]","2016-08-30"
"chao-dyn/9812010","Victor M. Eguiluz","Victor M. Eguiluz, Emilio Hernandez-Garcia, Oreste Piro (IMEDEA, Palma
  de Mallorca, Spain)","Boundary Effects in The Complex Ginzburg-Landau Equation","5 pages, 4 figures, submitted for publication; slight modifications;
  for related work visit http://www.imedea.uib.es/~victor","International Journal of Bifurcation and Chaos 9, 2209-2214 (1999)",,,"chao-dyn nlin.CD",,"  The effect of a finite geometry on the two-dimensional complex
Ginzburg-Landau equation is addressed. Boundary effects induce the formation of
novel states. For example target like-solutions appear as robust solutions
under Dirichlet boundary conditions. Synchronization of plane waves emitted by
boundaries, entrainment by corner emission, and anchoring of defects by shock
lines are also reported.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 18:22:16 GMT""},{""version"":""v2"",""created"":""Fri, 4 Dec 1998 17:05:12 GMT""}]","2007-05-23"
"chao-dyn/9812011","Lev Kaplan","L. Kaplan and E. J. Heller","Measuring Scars of Periodic Orbits","20 pages, 11 figures","Phys. Rev. E 59, 6609 (1999).","10.1103/PhysRevE.59.6609",,"chao-dyn nlin.CD",,"  The phenomenon of periodic orbit scarring of eigenstates of classically
chaotic systems is attracting increasing attention. Scarring is one of the most
important ""corrections"" to the ideal random eigenstates suggested by random
matrix theory. This paper discusses measures of scars and in so doing also
tries to clarify the concepts and effects of eigenfunction scarring. We propose
a new, universal scar measure which takes into account an entire periodic orbit
and the linearized dynamics in its vicinity. This measure is tuned to pick out
those structures which are induced in quantum eigenstates by unstable periodic
orbits and their manifolds. It gives enhanced scarring strength as measured by
eigenstate overlaps and inverse participation ratios, especially for longer
orbits. We also discuss off-resonance scars which appear naturally on either
side of an unstable periodic orbit.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 20:14:36 GMT""}]","2009-08-14"
"chao-dyn/9812012","Jan Wiersig","Holger Waalkens, Jan Wiersig, Holger R. Dullin","Triaxial Ellipsoidal Quantum Billiards","37 pages, 17 figures, Latex2e, submitted to Annals of Physics","Ann. Physics, 276:64--110, 1999","10.1006/aphy.1999.5936",,"chao-dyn nlin.CD",,"  The classical mechanics, exact quantum mechanics and semiclassical quantum
mechanics of the billiard in the triaxial ellipsoid is investigated. The system
is separable in ellipsoidal coordinates. A smooth description of the motion is
given in terms of a geodesic flow on a solid torus, which is a fourfold cover
of the interior of the ellipsoid. Two crossing separatrices lead to four
generic types of motion. The action variables of the system are integrals of a
single Abelian differential of second kind on a hyperelliptic curve of genus 2.
The classical separability carries over to quantum mechanics giving two
versions of generalized Lam{\'e} equations according to the two sets of
classical coordinates. The quantum eigenvalues define a lattice when
transformed to classical action space. Away from the separatrix surfaces the
lattice is given by EBK quantization rules for the four types of classical
motion. The transition between the four lattices is described by a uniform
semiclassical quantization scheme based on a WKB ansatz. The tunneling between
tori is given by penetration integrals which again are integrals of the same
Abelian differential that gives the classical action variables. It turns out
that the quantum mechanics of ellipsoidal billiards is semiclassically most
elegantly explained by the investigation of its hyperelliptic curve and the
real and purely imaginary periods of a single Abelian differential.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 12:30:47 GMT""}]","2007-05-23"
"cond-mat/9812057","David S. Duncan","C. Livermore, D.S. Duncan, and R.M. Westervelt (Division of
  Engineering & Applied Sciences and Department of Physics, Harvard University)
  K.D. Maranowski and A.C. Gossard (Materials Department, University of
  California, Santa Barbara)","Conductance oscillations in tunnel-coupled quantum dots in the quantum
  Hall regime","12 pages, 4 figures",,"10.1103/PhysRevB.59.10744",,"cond-mat.mes-hall",,"  We present measurements of transport through two tunnel-coupled quantum dots
of different sizes connected in series in a strong, variable, perpendicular
magnetic field. Double dot conductance was measured both as a function of
magnetic field, which was varied across the filling factor nu = 4 quantum Hall
plateau, and as a function of charge induced evenly on the two dots. The
conductance peaks undergo position shifts and height modulations as the
magnetic field is varied. These shifts and modulations form a pattern that
repeats over large ranges of magnetic field and with the addition of double dot
charge. The robust pattern repetition is consistent with a frequency locking
effect.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:41:44 GMT""}]","2009-10-31"
"cond-mat/9812061","C. Stephen Hellberg","C. Stephen Hellberg and Steven C. Erwin (Naval Research Laboratory)","Strongly Correlated Electrons on a Silicon Surface: Theory of a Mott
  Insulator","4 pages; 4 figures included in text; Revtex",,"10.1103/PhysRevLett.83.1003",,"cond-mat.mtrl-sci cond-mat.str-el",,"  We demonstrate theoretically that the electronic ground state of the
potassium-covered Si(111)-B surface is a Mott insulator, explicitly
contradicting band theory but in good agreement with recent experiments. We
determine the physical structure by standard density-functional methods, and
obtain the electronic ground state by exact diagonalization of a many-body
Hamiltonian. The many-body conductivity reveals a Brinkman-Rice metal-insulator
transition at a critical interaction strength; the calculated interaction
strength is well above this critical value.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:56:33 GMT""}]","2009-10-31"
"cond-mat/9812062","M.-Carmen Miguel","M.-Carmen Miguel and J.M. Rubi","A field-oriented chain of dipolar particles in elongational flow","8 REVTEX pages, 2 figures, J. Chem Phys. in press",,,,"cond-mat.soft cond-mat.stat-mech",,"  We study the behavior of an isolated field-oriented chain of dipolar
particles in elongational fluid flow. Our main goal is to emphasize the effect
of dipolar interactions on the chain's contribution to the pressure tensor and
to the viscosities of a dilute suspension of these linear aggregates. In our
model, despite the overall rigid appearance of the chain at rest, the
constituent beads may move slightly relative to one another, conferring a
certain degree of flexibility to the chain. This flexibility is quantified in
terms of a dimensionless parameter, $\lambda^{-1}$, comparing thermal and
dipolar energies. We perform an expansion in $\lambda^{-1}$, and obtain the
first correction to the rigid chain contribution to the Kramers' pressure
tensor for different flow geometries. The interplay of the elongational flow
field and the field-induced chain orientation gives rise to a rich variety of
scenarios. We compute the elongational, shear, and rotational viscosities in
some representative situations.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:57:40 GMT""}]","2007-05-23"
"cond-mat/9812063","Eva S. Zeisky","Philip W. Anderson","Anomalous Magnetothermal Resistance of High-Tc Superconductors:
  Anomalous Cyclotron Orbits at a Dirac Point","11 pages, 3 Figures (figures not included but hard copies available
  on request",,,,"cond-mat.supr-con",,"  I derive equations of motion for quasiparticles near the nodes in the d-wave
gap of high Tc superconductors. Previous versions have not properly taken into
account the spatial dependence of the gap parameter phase. The results are
compatible with magnetothermal conductivity measurements in the superconducting
phase by Ong and Krishana.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 21:08:25 GMT""}]","2007-05-23"
"cond-mat/9812064","Zyun Francis Ezawa","A. Sawada, Z.F. Ezawa, H. Ohno, Y. Horikoshi, A. Urayama, Y. Ohno, S.
  Kishimoto, F. Matsukura, N. Kumada","Interlayer Coherence in the $\nu=1$ and $\nu=2$ Bilayer Quantum Hall
  States","4 pages including 5 figures",,"10.1103/PhysRevB.59.14888","TU-557","cond-mat.mes-hall",,"  We have measured the Hall-plateau width and the activation energy of the
bilayer quantum Hall (BLQH) states at the Landau-level filling factor $\nu=1$
and 2 by tilting the sample and simultaneously changing the electron density in
each quantum well. The phase transition between the commensurate and
incommensurate states are confirmed at $\nu =1$ and discovered at $\nu =2$. In
particular, three different $\nu =2$ BLQH states are identified; the compound
state, the coherent commensurate state, and the coherent incommensurate state.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:58:43 GMT""}]","2009-10-31"
"cond-mat/9812065","Keith Slevin","Keith Slevin and Tomi Ohtsuki","Corrections to scaling at the Anderson transition","Accepted for publication in Physical Review Letters","Physical Review Letters 82 (1999) 382","10.1103/PhysRevLett.82.382",,"cond-mat.dis-nn",,"  We report a numerical analysis of corrections to finite size scaling at the
Anderson transition due to irrelevant scaling variables and non-linearities of
the scaling variables. By taking proper account of these corrections, the
universality of the critical exponent for the orthogonal universality class for
three different distributions of the random potential is convincingly
demonstrated.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 01:38:00 GMT""}]","2009-10-31"
"cond-mat/9812066","N. Furukawa","N. Furukawa (Aoyama Gakuin Univ.)","Thermodynamics of the Double Exchange Systems","36 pages (including 22 eps figs.), to be published in Proc.
  Conference on Physics of Manganites (July 1998 at Michigan State University)",,,,"cond-mat.str-el",,"  This article gives a comprehensive review on the recent studies of the double
exchange systems using non-perturbative approaches; the dynamical mean-field
theory and the Monte Carlo method. Investigations beyond mean-field type
treatments are described. Taking into account strong spin fluctuations which
create large changes in conduction electron structure, finite temperature
properties as well as dynamics of the system are calculated. Comparisons with
experimental data for colossal magnetoresistance manganites are made. We show
that high Curie temperature (Tc) compounds, e.g. (La,Sr)MnO3, are canonical
double-exchange systems. Properties of other compounds with lower Tc are
discussed in relation to inhomogeneities of the system including the issue of
phase separation.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 02:33:40 GMT""}]","2007-05-23"
"cond-mat/9812067","Onuttom Narayan","O. Narayan and B. S. Shastry","The 2-d Coulomb Gas on a 1-d lattice","15 pages, 7 figures",,"10.1088/0305-4470/32/7/005",,"cond-mat",,"  The statistical mechanics of a two dimensional Coulomb gas confined to one
dimension is studied, wherein hard core particles move on a ring. Exact
self-duality is shown for a version of the sine-Gordon model arising in this
context, thereby locating the transition temperature exactly. We present
asymptotically exact results for the correlations in the model and characterize
the low and high temperature phases. Numerical simulations provide support to
these renormalization group calculations. Connections with other interesting
problems, the quantum Brownian motion of a particle in a periodic potential and
impurity problems, are pointed out.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 05:23:21 GMT""}]","2009-10-31"
"cond-mat/9812068","Onuttom Narayan","O. Narayan and S. R. Nagel","Incipient failure in sandpile models","5 pages, 1 figure",,"10.1016/S0378-4371(98)00470-1",,"cond-mat",,"  Elastoplastic and constitutive equation theories are two approaches based on
very different assumptions for creating a continuum theory for the stress
distributions in a static sandpile. Both models produce the same surprising
prediction that in a two dimensional granular pile constructed at its angle of
repose, the outside wedge will be on the verge of failure. We show how these
predictions can be tested experimentally.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 05:43:41 GMT""}]","2015-06-25"
"cond-mat/9812069","Roop Mallik","R. Mallik, E.V. Sampathkumaran, P.L. Paulose and V. Nagarajan","The magnetoresistance in GdNi: Magnetic-polaronic-like effect near Curie
  temperature and low temperature sign reversal","4 pages Text (RevTex), 3 Postscript Figures (separate)","Phys. Review B Vol. 55 No. 14, R8650 (1997)",,,"cond-mat.str-el",,"  The results of magnetoresistance ($\Delta \rho /\rho$)measurements in GdNi,
in the temperature range 4.2 to 300 K are reported. The sign of $\Delta \rho
/\rho $ above the Curie temperature (Tc= 70 K) is negative and its magnitude in
a magnetic field of 80kOe grows with decreasing temperature below 150 K with a
peak value of about -20% at Tc. These features, qualitatively resembling those
in giant magnetoresistance systems (manganates), are attributed to the
formation of some kind of magnetic polarons induced by Gd. The
magnetoresistance changes sign below 12 K which is attributed to subtle band
structure effects.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 08:36:46 GMT""}]","2007-05-23"
"cond-mat/9812070","Giorgio Fontana","Giorgio Fontana","A possibility of emission of high frequency gravitational radiation from
  junctions between d-wave and s-wave superconductors",,,,,"cond-mat.supr-con",,"  Recent measurements on a class of high-Tc superconductors (HTSCs) have shown
that Cooper-pairs wavefunction is a d-wave, while in another class, d-wave and
s-wave may coexist. Conventional low-Tc superconductors are s-wave
superconductors. When d-wave Cooper-pairs are injected in a superconductor that
can sustain s-wave pairing, d-wave pairs are subject to transition to s-wave
pairs and energy is irradiated by means of gravitons. We show that in s-wave to
d-wave type superconductor (SDS) junctions in an equilibrium condition no net
gravitational wave energy is emitted, on the other hand under non equilibrium
conditions a net gravitational wave energy is emitted by the junction.
Experiments that show a gravitational interaction between inhomogeneous high-Tc
superconductors, under non-equilibrium conditions, and test objects may be
understood by accepting a possibility of emission of gravitational radiation
from SDS junctions.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 08:42:07 GMT""}]","2007-05-23"
"cond-mat/9812071","Jean-Marc Luck","J.M. Luck (Saclay) and Th.M. Nieuwenhuizen (Amsterdam)","Light scattering from mesoscopic objects in diffusive media","31 pages, 2 tables, 7 figures. To appear in Eur. J. Phys. B","Eur. Phys. J. B 7 (1999), 483","10.1007/s100510050636",,"cond-mat.mes-hall cond-mat.stat-mech",,"  The diffuse intensity propagating in turbid media is sensitive to the
presence of any kind of object embedded in the medium, e.g. obstacles or
defects. The long-ranged effects of isolated objects can be described by a
stationary diffusion equation, the effect of any single object being
parametrized in terms of a multipole expansion. An absorbing object is chiefly
characterized by a negative charge, while the leading effect of a non-absorbing
object is due to its dipole moment. The associated intrinsic characteristics of
the object (capacitance $Q$ or effective radius $R_{\rm eff}$, polarizability
$P$) can be evaluated within the diffusion approximation for large enough
objects. The situation of mesoscopic objects, with a size comparable to the
mean free path, requires a more careful treatment, for which the appropriate
framework is radiative transfer theory. This formalism is worked out in detail
for spheres and cylinders of the following kinds: totally absorbing (black),
transparent, and totally reflecting.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 09:41:33 GMT""}]","2009-10-31"
"cond-mat/9812072","Valentin Irkhin","V.Yu. Irkhin and Yu.P. Irkhin","Electronic Structure, Correlation Effects and Physical Properties of d-
  and f-Metals and Their Compounds","TeX files of the text of the book, style is enclosed, reference to
  draft figures in gif format is added which can be found in the /figs
  directory of the source or at http://www1.imp.uran.ru/ktm_lab/book/","Ekaterinburg, Ural Branch of RAN Publishing, 2004 [in Russian];
  Cambridge International Science Publishing, 2007",,,"cond-mat","http://creativecommons.org/licenses/by/4.0/","  The book includes all main physical properties of d- and f-transition-metal
systems and corresponding theoretical concepts. Especial attention is paid to
the theory of magnetism and transport phenomena. Some examples of
non-traditional questions which are treated in detail in the book: the
influence of density of states singularities on electron properties;
many-electron description of strong itinerant magnetism; mechanisms of magnetic
anisotropy; microscopic theory of anomalous transport phenomena in
ferromagnets. Besides considering classical problems of solid state physics as
applied to transition metals, modern developments in the theory of correlation
effects in d- and f-compounds are considered within many-electron models. The
book contains, where possible, a simple physical discussion. More difficult
questions are considered in Appendices.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 11:20:54 GMT""},{""version"":""v2"",""created"":""Thu, 18 May 2000 09:14:24 GMT""},{""version"":""v3"",""created"":""Tue, 31 Aug 2021 14:45:41 GMT""}]","2021-09-01"
"cond-mat/9812073",,"Masato Hisakado","KPZ Equation and Surface Growth Model","14 pages, LaTex,8 eps files",,,,"cond-mat nlin.SI solv-int",,"  We consider the ultra-discrete Burgers equation. All variables of the
equation are discrete. We classify the equation into five regions in the
parameter space. We discuss behavior of solutions. Using this equation we
construct the deterministic surface growth models respectively. Furthermore we
introduce noise into the ultra-discrete Burgers equation. We present the
automata models of the KPZ equation. One model corresponds to the discrete
version of the ASEP and the other to the Kim-Kosterlitz model.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 11:48:23 GMT""}]","2007-05-23"
"cond-mat/9812074","Vittorio Loreto","S. Krishnamurthy, V. Loreto, H.J. Herrmann, S.S. Manna and S. Roux","Self-Structuring of Granular Media under Internal Avalanches","4 pages RevTex, 3 eps figures, revised version to appear in Phys.
  Rev. Lett","Phys. Rev. Lett. 83, 304 (1999)","10.1103/PhysRevLett.83.304",,"cond-mat.stat-mech",,"  We study the phenomenon of internal avalanching within the context of
recently proposed ``Tetris'' lattice models for granular media. We define a
recycling dynamics under which the system reaches a steady state which is
self-structured, i.e. it shows a complex interplay between textured internal
structures and critical avalanche behavior. Furthermore we develop a general
mean-field theory for this class of systems and discuss possible scenarios for
the breakdown of universality.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 12:21:43 GMT""},{""version"":""v2"",""created"":""Sun, 6 Dec 1998 16:34:11 GMT""},{""version"":""v3"",""created"":""Thu, 27 May 1999 12:59:52 GMT""}]","2009-10-31"
"cond-mat/9812075","Vittorio Loreto","S. Krishnamurthy (1), H.J. Herrmann(1,2), V. Loreto(1), M. Nicodemi
  (3), and S. Roux(4) ((1) P.M.M.H. ESPCI - Paris, (2) ICA1, Univ. Stuttgart,
  Germany, (3) Universita' di Napoli ""Federico II"", Napoli, Italy, (4)
  Laboratoire Surface du Verre et Interfaces, Unite Mixte de Recherche
  CNRS/Saint-Gobain, Aubervilliers, France)","Internal avalanches in models of granular media","12 pages including 9 eps figures, LaTeX. To appear in Fractals",,,,"cond-mat.stat-mech",,"  We study the phenomenon of internal avalanching within the context of
recently introduced lattice models of granular media. The avalanche is produced
by pulling out a grain at the base of the packing and studying how many grains
have to rearrange before the packing is once more stable. We find that the
avalanches are long-ranged, decaying as a power-law. We study the distriution
of avalanches as a function of the density of the packing and find that the
avalanche distribution is a very sensitive structural probe of the system.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 12:26:10 GMT""}]","2007-05-23"
"cond-mat/9812076","Daniel Y. Oberli","D. Y. Oberli, M.-A. Dupertuis, F. Reinhardt, E. Kapon","Effect of disorder on the temperature dependence of radiative lifetimes
  in V-groove quantum wires","10 pages, 5 figures to be published in Phys. Rev. B (15 january 1999)","Phys. Rev. B 59, 2910 (1999)","10.1103/PhysRevB.59.2910",,"cond-mat.mtrl-sci",,"  We have studied the effect of disorder on the radiative properties of
semiconductor quantum wires by time-resolved photoluminescence spectroscopy.
The dependence of the radiative lifetimes is measured over a temperature range
extending from 8 to 150 K. At low temperatures we find that the measured
dependence does not conform to the theoretical prediction for recombination of
free excitons in a quasi one-dimensional system due to the major influence of
disorder. An extension of the theory is developped in order to take into
account exciton ionization and the contribution of free carriers. A mean
localization length for excitons is also estimated from the radiative lifetime
at 8 K.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:54:42 GMT""}]","2007-05-23"
"cond-mat/9812077","Emilio CIRILLO Post Doc . Mathieu","Raphael Cerf, Emilio N.M. Cirillo","Finite size scaling in three-dimensional bootstrap percolation","18 pages, LaTeX file, no figure","The Annals of Probability, 27, 1833-1850 (1999)",,,"cond-mat.stat-mech",,"  We consider the problem of bootstrap percolation on a three dimensional
lattice and we study its finite size scaling behavior. Bootstrap percolation is
an example of Cellular Automata defined on the $d$-dimensional lattice
$\{1,2,...,L\}^d$ in which each site can be empty or occupied by a single
particle; in the starting configuration each site is occupied with probability
$p$, occupied sites remain occupied for ever, while empty sites are occupied by
a particle if at least $\ell$ among their $2d$ nearest neighbor sites are
occupied. When $d$ is fixed, the most interesting case is the one $\ell=d$:
this is a sort of threshold, in the sense that the critical probability $p_c$
for the dynamics on the infinite lattice ${\Bbb Z}^d$ switches from zero to one
when this limit is crossed. Finite size effects in the three-dimensional case
are already known in the cases $\ell\le 2$: in this paper we discuss the case
$\ell=3$ and we show that the finite size scaling function for this problem is
of the form $f(L)={\mathrm{const}}/\ln\ln L$. We prove a conjecture proposed by
A.C.D. van Enter.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:55:41 GMT""}]","2007-05-23"
"cond-mat/9812078","Andrej Postnikov","R. I. Eglitis (1,2), E. A. Kotomin (2,3), A. V. Postnikov (3), N. E.
  Christensen (4), M. A. Korotin (5), G. Borstel (3) ((1) IMRE, National
  University of Singapore, (2) Institute of Solid State Physics, Riga, Latvia,
  (3) Osnabrueck University, Germany, (4) University of Aarhus, Denmark, (5)
  Institute of Metal Physics, Yekaterinburg, Russia)","Computer simulations of defects in perovskite KNbO3 crystals","7 pages with 1 embedded postscript figure; submitted to the
  proceedings of the 2nd Asian Meeting on Ferroelectrics",,,"B6-98-12","cond-mat.mtrl-sci",,"  An ab initio LMTO approach and semi-empirical quantum chemical INDO method
have been used for supercell calculations of basic point defects - F-type
centers and hole polarons bound to cation vacancy - in partly covalent
perovskite KNbO3. We predict the existence of both one-site and two-site
(molecular) polarons with close absorption energies (~ 1 eV). The relevant
experimental data are discussed and interpreted.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 15:03:20 GMT""}]","2007-05-23"
"cond-mat/9812079","Jure Demsar","J.Demsar (1), B.Podobnik (1), J.Evetts (2), G.Wagner (2) and
  D.Mihailovic (1) ((1)Jozef Stefan Institute, Ljubljana, Slovenia (2)Materials
  Science Department, University of Cambridge, Cambridge, U.K)","Evidence for crossover from a Bose-Einstein condensate to a BCS-like
  superconductor with doping in YBa2Cu3O(7-x) from quasiparticle relaxation
  dynamics experiments","4 pages, 3 figures, accepted for publication in Europhysics Letters",,"10.1209/epl/i1999-00175-8",,"cond-mat.supr-con",,"  Time resolved measurements of quasiparticle (QP) relaxation dynamics on the
femtosecond timescale are reported as a function of temperature and doping in
YBa2Cu3O(7-x) for (0.48 < x < 0.1). In the underdoped state (x > 0.15), there
is no evidence for any changes in the low-energy gap structure at Tc from
either photoinduced QP absorption or QP relaxation time data. In combination
with the sum rule, this implies the existence of pre-formed pairs up to a much
higher temperature T*. Near x = 0.1 a rapid cross-over is observed, to a state
where the QP recombination time diverges and the photoinduced QP density falls
to zero at Tc, indicating the existence of a temperature-dependent
superconducting gap which closes at Tc.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 15:10:40 GMT""},{""version"":""v2"",""created"":""Mon, 7 Dec 1998 08:48:56 GMT""}]","2009-10-31"
"cs/9812004","Mark D. Roberts","Mark D. Roberts","Name Strategy: Its Existence and Implications","32 pages, 2 ascii diagrams","Int.J.Computational Cognition Volume 3 Pages 1-14 (2005).",,,"cs.CL cs.AI math.HO",,"  It is argued that colour name strategy, object name strategy, and chunking
strategy in memory are all aspects of the same general phenomena, called
stereotyping. It is pointed out that the Berlin-Kay universal partial ordering
of colours and the frequency of traffic accidents classified by colour are
surprisingly similar. Some consequences of the existence of a name strategy for
the philosophy of language and mathematics are discussed. It is argued that
real valued quantities occur {\it ab initio}. The implication of real valued
truth quantities is that the {\bf Continuum Hypothesis} of pure mathematics is
side-stepped. The existence of name strategy shows that thought/sememes and
talk/phonemes can be separate, and this vindicates the assumption of thought
occurring before talk used in psycholinguistic speech production models.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 12:28:19 GMT""}]","2007-05-23"
"gr-qc/9812013","Maureen Meyer","S. Deser (Brandeis University)","Dimensionally Challenged Gravities","4 pages, Contribution to J. Stachel Festschrift, to be published in
  ""Boston Studies in the Philosophy of Science""; Revisiting the foundations of
  relativistic physics (Kluwer 2003)",,,,"gr-qc",,"  I review some ways in which spacetime dimensionality enters explicitly in
gravitation. In particular, I recall some unusual geometrical gravity models
that are constructible in dimensions different from four, especially in D=3
where even ordinary Einstein theory is ""different"", e.g., fully Machian.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 18:26:12 GMT""}]","2009-11-19"
"gr-qc/9812014","Patrick R. Brady","Patrick R Brady and Teviet Creighton","Searching for periodic sources with LIGO. II: Hierarchical searches","22 Pages, 13 Figures","Phys.Rev. D61 (2000) 082001","10.1103/PhysRevD.61.082001","GRP-508, NSF-ITP-98-120","gr-qc",,"  The detection of quasi-periodic sources of gravitational waves requires the
accumulation of signal-to-noise over long observation times. If not removed,
Earth-motion induced Doppler modulations, and intrinsic variations of the
gravitational-wave frequency make the signals impossible to detect. These
effects can be corrected (removed) using a parameterized model for the
frequency evolution. We compute the number of independent corrections
$N_p(\Delta T,N)$ required for incoherent search strategies which use stacked
power spectra---a demodulated time series is divided into $N$ segments of
length $\Delta T$, each segment is FFTed, the power is computed, and the $N$
spectra are summed up. We estimate that the sensitivity of an all-sky search
that uses incoherent stacks is a factor of 2--4 better than would be achieved
using coherent Fourier transforms; incoherent methods are computationally
efficient at exploring large parameter spaces. A two-stage hierarchical search
which yields another 20--60% improvement in sensitivity in all-sky searches for
old (>= 1000 yr) slow (<= 200 Hz) pulsars, and for young (>= 40 yr) fast (<=
1000 Hz) pulsars. Assuming 10^{12} flops of effective computing power for data
analysis, enhanced LIGO interferometers should be sensitive to: (i) Galactic
core pulsars with gravitational ellipticities of $\epsilon\agt5\times 10^{-6}$
at 200 Hz, (ii) Gravitational waves emitted by the unstable r-modes of newborn
neutron stars out to distances of ~8 Mpc, and (iii) neutron stars in LMXB's
with x-ray fluxes which exceed $2 \times 10^{-8} erg/(cm^2 s)$. Moreover,
gravitational waves from the neutron star in Sco X-1 should be detectable is
the interferometer is operated in a signal-recycled, narrow-band configuration.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 03:25:11 GMT""}]","2009-10-31"
"hep-ex/9812006","Francesco Pietropaolo","The ICARUS Collaboration","The ICARUS 50 l LAr TPC in the CERN Nu Beam","10 pages, 5 figures, to appear in the Proceedings of the Workshop on
  New Detectors held in Erice, Italy, 1997",,,,"hep-ex",,"  The 50 liter liquid Argon TPC is a detector built and successfully operated
at CERN for R&D purposes within the ICARUS programme. In the year 1997 it has
been exposed at the CERN neutrino beam for the entire SPS neutrino run period
as proposed and approved at the SPSLC of January 1997. The detector,
complemented with scintillators acting as veto, trigger counters and pre-shower
counters, was installed in front of the NOMAD detector. The year 1997 was
scheduled to be the last for the operation of the West Area Neutrino Facility.
It was important to take this last opportunity for a parasitic exposure, which
did not interfere with running experiments, of an already existing and
operating liquid Argon TPC. As we had expected, the collected data brought
important information for a better understanding of the performance of liquid
Argon TPC's which should be useful for the entire ICARUS program.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:35:42 GMT""}]","2012-08-27"
