"adap-org/9812004","Rui Vilela Mendes","R. Vilela Mendes (Grupo de Fisica Matematica, Lisboa, Portugal)","Clustering and synchronization with positive Lyapunov exponents","10 pages Latex, 2 ps figures","Physics Letters A 257 (1999) 132","10.1016/S0375-9601(99)00319-9",,"adap-org nlin.AO",,"  Clustering and correlation effects are frequently observed in chaotic systems
in situations where, because of the positivity of the Lyapunov exponents, no
dimension reduction is to be expected. In this paper, using a globally coupled
network of Bernoulli units, one finds a general mechanism by which strong
correlations and slow structures are obtained at the synchronization edge. A
structure index is defined, which diverges at the transition points. Some
conclusions are drawn concerning the construction of an ergodic theory of
self-organization.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:58:47 GMT""}]","2009-10-30"
"astro-ph/9812355","Isabella Gioia","G. A. Luppino (Institute for Astronomy, Honolulu, HI, USA), I. M.
  Gioia (IfA, USA and IRA-CNR Bologna, Italy), F. Hammer (Observatoire de
  Meudon, France), O. Le Fevre (Laboratoire d'Astronomie Spatiale, Marseille,
  France) and J. A. Annis (Fermilab, Batavia, IL, USA)","A search for gravitational lensing in 38 X-ray selected clusters of
  galaxies","Latex file, 17 pages, 7 jpeg figures, to be published in Astronomy
  and Astrophysics Supplements","Astron.Astrophys.Suppl.Ser. 136 (1999) 117-137","10.1051/aas:1999203",,"astro-ph",,"  We present the results of a CCD imaging survey for gravitational lensing in a
sample of 38 X-ray-selected clusters of galaxies. Our sample consists of the
most X-ray luminous (Lx>= 2x10^{44} erg s^{-1}) clusters selected from the
Einstein Observatory Extended Medium Sensitivity Survey (EMSS) that are
observable from Mauna Kea (dec > -40deg). The sample spans a redshift range of
0.15 < z < 0.823 and includes 5 clusters with z > 0.5. CCD images of the
clusters were obtained in excellent seeing. There is evidence of strong
gravitational lensing in the form of giant arcs (length l > 8'', axis ratio l/w
> 10) in 8 of the 38 clusters. Two additional clusters contain shorter arclets,
and 6 more clusters contain candidate arcs that require follow-up observations
to confirm their lensing origin. Since the survey does not have a uniform
surface brightness limit we do not draw any conclusion based on the statistics
of the arcs found. We note, however, that 60% (3 of 5) of the clusters with Lx
> 10^{45} erg s^{-1}, and none of the 15 clusters with Lx < 4x10^{44} erg
s^{-1} contain giant arcs, thereby confirming that high X-ray luminosity does
identify the most massive systems, and thus X-ray selection is the preferred
method for finding true, rich clusters at intermediate and high redshifts. The
observed geometry of the arcs, most of which are thin, have large axis ratios
(l/w > 10), and are aligned orthogonal to the optical major axes of the
clusters, indicate the cluster core mass density profiles must be compact
(steeper than isothermal). In several cases, however, there is also some
evidence, in the form of possible radial arcs, for density profiles with finite
core radii.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:35:37 GMT""}]","2009-10-31"
"chao-dyn/9812022","Zoltan Kaufmann","Z. Kaufmann (1), P. Sz\'epfalusy (1,2) ((1) Eotvos University,
  Budapest, Hungary, (2) Research Institute for Solid State Physics and Optics,
  Budapest, Hungary)","Generalized multibaker maps for open dissipative systems","9 pages in REVTeX (twocolumn) including figures; changes: figures
  added, more elaborate discussion; to appear in J. Stat. Phys",,,,"chao-dyn nlin.CD",,"  Generalized multibaker maps are introduced to model dissipative systems which
are spatially extended only in certain directions and escape of particles is
allowed in other ones. Effects of nonlinearity are investigated by varying a
control parameter. Emphasis is put on the appearance of the critical state
representing the borderline of transient chaos, where anomalous behavior sets
in. The investigations extend to the conditionally invariant and the related
natural measures and to transient diffusion in normal and critical states as
well. Permanent chaos is also considered as a special case.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 19:18:56 GMT""},{""version"":""v2"",""created"":""Fri, 6 Aug 1999 20:53:27 GMT""},{""version"":""v3"",""created"":""Thu, 5 Oct 2000 16:38:59 GMT""}]","2007-05-23"
"cond-mat/9812303","Drazen Zanchi","D. Zanchi and H. J. Schulz","Weakly correlated electrons on a square lattice: a renormalization group
  theory","42 pages, 19 figures included (minor corrections)",,,"PAR/LPTHE/98-60","cond-mat.str-el cond-mat.supr-con",,"  We formulate the exact Wilsonian renormalization group for a system of
interacting fermions on a lattice. The flow equations for all vertices of the
Wilson effective action are expressed in form of the Polchinski equation. We
apply this method to the Hubbard model on a square lattice using both zero- and
finite- temperature methods. Truncating the effective action at the sixth term
in fermionic variables we obtain the one-loop functional renormalization
equations for the effective interaction. We find the temperature of the
instability Tc^{RG} as function of doping. We calculate furthermore the
renormalization of the angle-resolved correlation functions for the
superconductivity (SC) and for the antiferromagnetism (AF). The dominant
component of the SC correlations is of the type d while the AF fluctuations are
of the type s Following the strength of both SC and AF fluctuation along the
instability line we obtain the phase diagram. The temperature Tc^{RG} can be
identified with the crossover temperature T{co} found in the underdoped regime
of the high-temperature superconductors, while in the overdoped regime Tc^{RG}
corresponds to the superconducting critical temperature.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 19:04:39 GMT""},{""version"":""v2"",""created"":""Fri, 18 Dec 1998 13:34:33 GMT""}]","2007-05-23"
"cond-mat/9812305","Michail Paraskevopoulos","M. Paraskevopoulos, J. Hemberger, A. Loidl, A. A. Mukhin, V. Yu.
  Ivanov and A. M. Balbashov","Positive magnetoresistance and orbital ordering in La(1-x)Sr(x)MnO(3)","3 pages, 5 figures submitted to PRL December 1998",,,,"cond-mat.str-el",,"  We report on detailed transprort measurements of single crystalline
La(1-x)Sr(x)MnO(3) (x<=0.2). We have found a giantpositive magnetoresistance in
the compositions range between 0.1<=x<=0.125 and give an explaination in terms
of orbital ordering due to the interplay between superexchange interactions and
Jahn-Teller distortions.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:00:08 GMT""}]","2007-05-23"
"cond-mat/9812306","K. A. Muttalib","K. A. Muttalib and J. R. Klauder","Generalized Fokker-Planck Equation For Multichannel Disordered Quantum
  Conductors","8 pages, abstract, introduction and summary rewritten for broader
  readership. To be published in Phys. Rev. Lett",,"10.1103/PhysRevLett.82.4272",,"cond-mat.dis-nn cond-mat.mes-hall",,"  The Dorokhov-Mello-Pereyra-Kumar (DMPK) equation, which describes the
distribution of transmission eigenvalues of multichannel disordered conductors,
has been enormously successful in describing a variety of detailed transport
properties of mesoscopic wires. However, it is limited to the regime of quasi
one dimension only. We derive a one parameter generalization of the DMPK
equation, which should broaden the scope of the equation beyond the limit of
quasi one dimension.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:24:47 GMT""},{""version"":""v2"",""created"":""Thu, 15 Apr 1999 18:28:53 GMT""}]","2009-10-31"
"cond-mat/9812307","Joseph L. Birman","Nguyen Que Huong and Joseph L. Birman","Quantum Dot Lattice Embedded in An Organic Medium: Hybrid Exciton State
  and Optical Response","16 pages,2 Figs;Changes in Text and Figures",,,,"cond-mat.mes-hall cond-mat.mtrl-sci",,"  We propose a new model to implement organic exciton-semiconductor exciton
hybridization by embedding a semiconductor quantum dot array into an organic
medium. A Wannier-Mott transfer exciton is formed when the exciton in each
semiconductor dot interacts via the multipole-multipole coupling with other
excitons in the different dtos of the array. A new hybrid exciton appears in
the system owing to strong dipole-dipole interaction of the Frenkel exciton of
the organic molecules with the Wannier Mott transfer exciton of the quantum dot
array. This hybrid exciton has both a large oscillator strength (Frenkel like)
and a large Bohr radius (Wannier like). At resonance between these two types of
excitons, the optical non-linearity is very large and can be controlled by
changing parameters of the system such as dot radius and dot spacing.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:05:17 GMT""},{""version"":""v2"",""created"":""Mon, 21 Dec 1998 18:19:46 GMT""},{""version"":""v3"",""created"":""Thu, 15 Apr 1999 16:33:48 GMT""},{""version"":""v4"",""created"":""Tue, 14 Dec 1999 15:21:29 GMT""}]","2007-05-23"
"cond-mat/9812308","Stephen Dugdale","E.A. Livesay (1), R.N. West (1), S.B. Dugdale (2,3), G. Santi (3) and
  T. Jarlborg (3) ((1) University of Texas at Arlington, (2) University of
  Bristol, UK, (3) University of Geneva, Switzerland)","Fermi surface of the colossal magnetoresistance perovskite
  La_{0.7}Sr_{0.3}MnO_{3}","5 pages, 5 PS figures",,"10.1088/0953-8984/11/25/104",,"cond-mat.str-el",,"  Materials that exhibit colossal magnetoresistance (CMR) are currently the
focus of an intense research effort, driven by the technological applications
that their sensitivity lends them to. Using the angular correlation of photons
from electron-positron annihilation, we present a first glimpse of the Fermi
surface of a material that exhibits CMR, supported by ``virtual crystal''
electronic structure calculations. The Fermi surface is shown to be
sufficiently cubic in nature that it is likely to support nesting.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:14:41 GMT""}]","2009-10-31"
"cond-mat/9812309","Gian Salis","G. Salis, P. Wirth, T. Heinzel, T. Ihn, K. Ensslin, K. Maranwoski, A.
  C. Gossard","Variation of elastic scattering across a quantum well","4 pages, 4 figures","Phys. Rev. B 59, R5304 (1999)","10.1103/PhysRevB.59.R5304",,"cond-mat.mes-hall",,"  The Drude scattering times of electrons in two subbands of a parabolic
quantum well have been studied at constant electron sheet density and different
positions of the electron distribution along the growth direction. The
scattering times obtained by magnetotransport measurements decrease as the
electrons are displaced towards the well edges, although the lowest-subband
density increases. By comparing the measurements with calculations of the
scattering times of a two-subband system, new information on the location of
the relevant scatterers and the anisotropy of intersubband scattering is
obtained. It is found that the scattering time of electrons in the lower
subband depends sensitively on the position of the scatterers, which also
explains the measured dependence of the scattering on the carrier density. The
measurements indicate segregation of scatterers from the substrate side towards
the quantum well during growth.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:16:30 GMT""}]","2009-10-31"
"cond-mat/9812310","Vincenzo Fiorentino","F. Mancini (University of Salerno, Italy)","The Mott-Hubbard transition and the paramagnetic insulating state in the
  two-dimensional Hubbard model","7 pages, 5 EPS figures, EuroTeX, to be published in EuroPhysics
  Letters; content changed, references removed","Europhys. Lett. 50, 229 (2000)","10.1209/epl/i2000-00259-y",,"cond-mat.str-el",,"  The Mott-Hubbard transition is studied in the context of the two-dimensional
Hubbard model. Analytical calculations show the existence of a critical value
Uc of the potential strength which separates a paramagnetic metallic phase from
a paramagnetic insulating phase. Calculations of the density of states and
double occupancy show that the ground state in the insulating phase contains
always a small fraction of empty and doubly occupied sites. The structure of
the ground state is studied by considering the probability amplitude of
intersite hopping. The results indicate that the ground state of the Mott
insulator is characterized by a local antiferromagnetic order; the electrons
keep some mobility, but this mobility must be compatible with the local
ordering. The vanishing of some intersite probability amplitudes at U=Uc puts a
constrain on the electron mobility. It is suggested that such quantities might
be taken as the quantities which control the order in the insulating phase.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:19:31 GMT""},{""version"":""v2"",""created"":""Thu, 17 Feb 2000 20:14:12 GMT""}]","2007-05-23"
"cond-mat/9812311","Adolfo Emilio Trumper","Adolfo E. Trumper (The Abdus Salam International Centre for
  Theoretical Physics)","Spin wave analysis to the spatially-anisotropic Heisenberg
  antiferromagnet on triangular lattice","Revised version, 4 pages, Latex (twocolumn), 4 figures as eps files.
  To appear in PRB","Phys. Rev. B60, 2987 (1999)","10.1103/PhysRevB.60.2987",,"cond-mat.stat-mech",,"  We study the phase diagram at T=0 of the antiferromagnetic Heisenberg model
on the triangular lattice with spatially-anisotropic interactions. For values
of the anisotropy very close to J_alpha/J_beta=0.50, conventional spin wave
theory predicts that quantum fluctuations melt the classical structures, for
S=1/2. For the regime J_beta<J_alpha, it is shown that the incommensurate
spiral phases survive until J_beta/J_alpha=0.27, leaving a wide region where
the ground state is disordered. The existence of such nonmagnetic states
suggests the possibility of spin liquid behavior for intermediate values of the
anisotropy.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:31:44 GMT""},{""version"":""v2"",""created"":""Fri, 7 May 1999 18:18:23 GMT""}]","2009-10-31"
"cond-mat/9812312","Studart","O. G. Balev, P. Vasilopoulos, and Nelson Studart","Edge helicons and repulsion of fundamental edge magnetoplasmons in the
  quantum Hall regime","12 pages, 6 figures",,"10.1088/0953-8984/11/26/315",,"cond-mat.str-el",,"  A quasi-microscopic treatment of edge magnetoplasmons (EMP) is presented for
very low temperatures and confining potentials smooth on the scale of the
magnetic length $\ell_{0}$ but sufficiently steep at the edges such that Landau
level (LL) flattening can be discarded. The profile of the unperturbed electron
density is sharp and the dissipation taken into account comes only from
electron intra-edge and intra-LL transitions due to scattering by acoustic
phonons. For wide channels and filling factors $\nu =1$ and 2, there exist
independent EMP modes spatially symmetric and antisymmetric with respect to the
edge. Some of these modes, named edge helicons, can propagate nearly undamped
even when the dissipation is strong. Their density profile changes
qualitatively during propagation and is given by a rotation of a complex vector
function. For $\nu >2,$ the Coulomb coupling between the LLs leads to a
repulsion of the uncoupled fundamental LL modes: the new modes have very
different group velocities and are nearly undamped. The theory accounts well
for the experimentally observed plateau structure of the delay times as well as
for the EMP's period and decay rates.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:51:45 GMT""}]","2009-10-31"
"cond-mat/9812313","J. S. Frasier","J. S. Frasier, V. Celli and T. Blum","Resonant Processes in a Frozen Gas","30 pages, 6 figures","Physical Review A, Volume 59, Number 6, pp. 4358-4367","10.1103/PhysRevA.59.4358",,"cond-mat.dis-nn physics.atom-ph",,"  We present a theory of resonant processes in a frozen gas of atoms
interacting via dipole-dipole potentials that vary as $r^{-3}$, where $r$ is
the interatomic separation. We supply an exact result for a single atom in a
given state interacting resonantly with a random gas of atoms in a different
state. The time development of the transition process is calculated both on-
and off-resonance, and the linewidth with respect to detuning is obtained as a
function of time $t$. We introduce a random spin Hamiltonian to model a dense
system of resonators and show how it reduces to the previous model in the limit
of a sparse system. We derive approximate equations for the average effective
spin, and we use them to model the behavior seen in the experiments of Anderson
et al. and Lowell et al. The approach to equilibrium is found to be
proportional to $\exp (-\sqrt{\gamma_{eq}t}$), where the constant $\gamma
_{eq}$ is explicitly related to the system's parameters.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 22:36:07 GMT""},{""version"":""v2"",""created"":""Sun, 17 Jan 1999 21:31:35 GMT""}]","2009-10-31"
"cond-mat/9812314","Werner Fettes","Ingo Morgenstern, Werner Fettes, Thomas Husslein (University of
  Regensburg), Dennis M. Newns, and Pratap C. Pattnaik (IBM T.J. Watson
  Research Center)","Glass Model, Hubbard Model and High-Temperature Superconductivity","7 pages, 7 figures (included), LaTex using Revtex, accepted by Int.
  J. Mod. Phys. C",,"10.1142/S0129183199000218",,"cond-mat.supr-con cond-mat.str-el",,"  In this paper we revisit the glass model describing the macroscopic behavior
of the High-Temperature superconductors. We link the glass model at the
microscopic level to the striped phase phenomenon, recently discussed widely.
The size of the striped phase domains is consistent with earlier predictions of
the glass model when it was introduced for High-Temperature Superconductivity
in 1987. In an additional step we use the Hubbard model to describe the
microscopic mechanism for d-wave pairing within these finite size stripes. We
discuss the implications for superconducting correlations of Hubbard model,
which are much higher for stripes than for squares, for finite size scaling,
and for the new view of the glass model picture.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 10:05:52 GMT""}]","2015-06-25"
"cond-mat/9812315","Oded Agam","Oded Agam","Nonequilibrium effects in the tunneling conductance spectra of small
  metallic particles","19 pages, 7 figures included, plenum style, to appear in
  Supersymmetry and Trace Formulae: Chaos and Disorder (I.V. Lerner, J.P.
  Keating, and D.E. Khmelnitskii, eds.) Plenum Press (1999), pages 133-151",,,,"cond-mat chao-dyn nlin.CD",,"  The tunneling spectra of small metallic grains shows an unusual structure of
the differential conductance peaks. Namely, resonance peaks appear in clusters,
or develop substructure as the the gate voltage is changed. These features are
manifestations of a nonequilibrium behavior which appears when the applied
source-drain voltage is sufficiently large. Electron-electron Coulomb
interaction as well as an attractive pairing interaction play an important role
in determining the magnitude and energy scales of the phenomena. For normal
grains each cluster of resonances is identified with one excited
single-electron state of the metal particle, shifted as a result of the
different nonequilibrium occupancy configurations of the other single-electron
states. For superconducting grains in the odd charging state, the substructure
of the resonance is explained by nonequilibrium ``gapless'' excitations
associated with different energy levels occupied by the unpaired electron. The
excitations are generated by inelastic cotunneling.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:14:38 GMT""}]","2007-05-23"
"cond-mat/9812316","Tatsumi","Rie Tatsumi and George Chikenji","The Origin of the Designability of Protein Structures","17 pages, 2 figures",,"10.1103/PhysRevE.60.4696","OUCMT-98-9","cond-mat.soft cond-mat.mtrl-sci q-bio",,"  We examined what determines the designability of 2-letter codes (H and P)
lattice proteins from three points of view. First, whether the native structure
is searched within all possible structures or within maximally compact
structures. Second, whether the structure of the used lattice is bipartite or
not. Third, the effect of the length of the chain, namely, the number of
monomers on the chain. We found that the bipartiteness of the lattice structure
is not a main factor which determines the designability. Our results suggest
that highly designable structures will be found when the length of the chain is
sufficiently long to make the hydrophobic core consisting of enough number of
monomers.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:20:55 GMT""},{""version"":""v2"",""created"":""Wed, 5 May 1999 11:01:29 GMT""}]","2009-10-31"
"cond-mat/9812317","Andreas Osteroh","A. Osterloh, L. Amico, and U. Eckern","Bethe Ansatz solution of a new class of Hubbard-type models","4 pages, revtex. Essentially modified version","J. Phys. A, Vol 33, L87 (2000)","10.1088/0305-4470/33/9/101",,"cond-mat.str-el",,"  We define one-dimensional particles with generalized exchange statistics. The
exact solution of a Hubbard-type Hamiltonian constructed with such particles is
achieved using the Coordinate Bethe Ansatz. The chosen deformation of the
statistics is equivalent to the presence of a magnetic field produced by the
particles themselves, which is present also in a ``free gas'' of these
particles.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:22:58 GMT""},{""version"":""v2"",""created"":""Tue, 6 Apr 1999 16:26:00 GMT""},{""version"":""v3"",""created"":""Tue, 14 Dec 1999 12:55:29 GMT""}]","2007-05-23"
"cond-mat/9812318","Matthias Otto","Matthias Otto (Institute of Theoretical Physics, University of
  Goettingen, Germany)","Using path integrals to price interest rate derivatives","15 pages, no figures, typos corrected, references added",,,,"cond-mat.stat-mech q-fin.PR",,"  We present a new approach for the pricing of interest rate derivatives which
allows a direct computation of option premiums without deriving a
(Black-Scholes type) partial differential equation and without explicitly
solving the stochastic process for the underlying variable. The approach is
tested by rederiving the prices of a zero bond and a zero bond option for a
short rate environment which is governed by Vasicek dynamics. Furthermore, a
generalization of the method to general short rate models is outlined. In the
case, where analytical solutions are not accessible, numerical implementations
of the path integral method in terms of lattice calculations as well as path
integral Monte Carlo simulations are possible.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:50:18 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jun 1999 12:54:50 GMT""}]","2008-12-02"
"cond-mat/9812319","Mariusz Lisowski","M. Lisowski, E. Zipper, and M. Stebelski","Possibility of long-range order in clean mesoscopic cylinders","14 pages, REVTeX, 5 figures, in print in Phys. Rev. B",,"10.1103/PhysRevB.59.8305",,"cond-mat.mes-hall",,"  A microscopic Hamiltonian of the magnetostatic interaction is discussed. This
long-range interaction can play an important role in mesoscopic systems leading
to an ordered ground state.
  The self-consistent mean field approximation of the magnetostatic interaction
is performed to give an effective Hamiltonian from which the spontaneous,
self-sustaining currents can be obtained.
  To go beyond the mean field approximation the mean square fluctuation of the
total momentum is calculated and its influence on self-sustaining currents in
mesoscopic cylinders with quasi-1D and quasi-2D conduction is considered. Then,
by the use of the microscopic Hamiltonian of the magnetostatic interaction for
a set of stacked rings, the problem of long-range order is discussed. The
temperature $T^{*}$ below which the system is in an ordered state is
determined.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:55:59 GMT""}]","2009-10-31"
"cond-mat/9812320","Tetsuro Nikuni","T. Nikuni, E. Zaremba and A. Griffin","Two-fluid dynamics for a Bose-Einstein condensate out of local
  equilibrium with the non-condensate","4 pages, revtex, 1 postscript figure, Fig.1 has been corrected",,"10.1103/PhysRevLett.83.10",,"cond-mat",,"  We extend our recent work on the two-fluid hydrodynamics of a Bose-condensed
gas by including collisions involving both condensate and non-condensate atoms.
These collisions are essential for establishing a state of local thermodynamic
equilibrium between the condensate and non-condensate. Our theory is more
general than the usual Landau two-fluid theory, to which it reduces in the
appropriate limit, in that it allows one to describe situations in which a
state of complete local equilibrium between the two components has not been
reached. The exchange of atoms between the condensate and non-condensate is
associated with a new relaxational mode of the gas.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:53:12 GMT""},{""version"":""v2"",""created"":""Tue, 20 Apr 1999 05:22:13 GMT""}]","2009-10-31"
"gr-qc/9812063","Rosario Martin","Rosario Martin and Enric Verdaguer","An effective stochastic semiclassical theory for the gravitational field","33 pages, LaTeX, no figures; v2: Eqs. (2.28) and (2.31) of subsection
  II C have been generalized","Int.J.Theor.Phys.38:3049-3089,1999","10.1023/A:1026668418065",,"gr-qc hep-th",,"  Assuming that the mechanism proposed by Gell-Mann and Hartle works as a
mechanism for decoherence and classicalization of the metric field, we formally
derive the form of an effective theory for the gravitational field in a
semiclassical regime. This effective theory takes the form of the usual
semiclassical theory of gravity, based on the semiclassical Einstein equation,
plus a stochastic correction which accounts for the back reaction of the lowest
order matter stress-energy fluctuations.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 19:43:34 GMT""},{""version"":""v2"",""created"":""Mon, 21 Dec 1998 19:36:27 GMT""}]","2011-04-15"
"gr-qc/9812064","Elizabeth Winstanley","E. Winstanley","Existence of stable hairy black holes in su(2) Einstein-Yang-Mills
  theory with a negative cosmological constant","22 pages, 10 figures (1 ps file), LaTeX2e, uses amssymb, graphicx
  Minor changes, version to appear in Classical and Quantum Gravity","Class.Quant.Grav. 16 (1999) 1963-1978","10.1088/0264-9381/16/6/325","OUTP-98-92-P","gr-qc",,"  We consider black holes in EYM theory with a negative cosmological constant.
The solutions obtained are somewhat different from those for which the
cosmological constant is either positive or zero. Firstly, regular black hole
solutions exist for continuous intervals of the parameter space, rather than
discrete points. Secondly, there are non-trivial solutions in which the gauge
field has no nodes. We show that these solutions are linearly stable.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:35:42 GMT""},{""version"":""v2"",""created"":""Thu, 29 Apr 1999 16:49:33 GMT""}]","2009-10-31"
"gr-qc/9812065","Christopher Beetle","Abhay Ashtekar, Christopher Beetle and Stephen Fairhurst","Isolated Horizons: A Generalization of Black Hole Mechanics","9 pages, LaTeX2e, 3 eps figures","Class.Quant.Grav.16:L1-L7,1999","10.1088/0264-9381/16/2/027",,"gr-qc",,"  A set of boundary conditions defining a non-rotating isolated horizon are
given in Einstein-Maxwell theory. A space-time representing a black hole which
itself is in equilibrium but whose exterior contains radiation admits such a
horizon . Physically motivated, (quasi-)local definitions of the mass and
surface gravity of an isolated horizon are introduced. Although these
definitions do not refer to infinity, the quantities assume their standard
values in Reissner-Nordstrom solutions. Finally, using these definitions, the
zeroth and first laws of black hole mechanics are established for isolated
horizons.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 00:24:24 GMT""}]","2010-04-06"
"gr-qc/9812066","Garcia","L.C.Garcia de Andrade","Chern-Simons electrodynamics in (2+1)-spacetime with torsion","5 pages latex",,,,"gr-qc",,"  Chern-Simons electrodynamics in 2+1-spacetimes with torsion is investigated.
We start from the usual Chern-Simons (CS) electrodynamics Lagrangian and Cartan
torsion is introduced in the covariant derivative and by a direct coupling of
torsion vector to the CS field. Variation of the Lagrangian with respect to
torsion shows that Chern-Simons field is proportional to the product of the
square of the scalar field and torsion. The electric field is proportional to
torsion vector and the magnetic flux is computed in terms of the time-component
of the two dimensional torsion. Contrary to early massive electrodynamics in
the present model the photon mass does not depend on torsion.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 03:07:47 GMT""}]","2007-05-23"
"gr-qc/9812067","Robert J. Low","Robert J Low","Speed Limits in General Relativity","7 pages; AMS-LaTeX; accepted for publication by Classical and Quantum
  Gravity","Class.Quant.Grav. 16 (1999) 543-549","10.1088/0264-9381/16/2/016",,"gr-qc",,"  Some standard results on the initial value problem of general relativity in
matter are reviewed. These results are applied first to show that in a well
defined sense, finite perturbations in the gravitational field travel no faster
than light, and second to show that it is impossible to construct a warp drive
as considered by Alcubierre (1994) in the absence of exotic matter.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:06:01 GMT""}]","2009-10-31"
"gr-qc/9812068","Willy Kley","Willy Kley, Gerhard Schaefer (TPI, University of Jena)","Relativistic dust disks and the Wilson-Mathews approach","4 Pages, 5 eps-figures, uses revtex.sty. Submitted to PRL","Phys.Rev.D60:027501,1999","10.1103/PhysRevD.60.027501",,"gr-qc astro-ph",,"  Treating problems in full general relativity is highly complex and frequently
approximate methods are employed to simplify the solution. We present
comparative solutions of a infinitesimally thin relativistic, stationary,
rigidly rotating disk obtained using the full equations and the approximate
approach suggested by Wilson & Mathews. We find that the Wilson-Mathews method
has about the same accuracy as the first post-Newtonian approximation.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:10:46 GMT""}]","2008-11-26"
"gr-qc/9812069","Ruth Lazkoz","Ruth Lazkoz","G1 Cosmologies with Gravitational and Scalar Waves","24 pages, 2 figures","Phys. Rev. D 60, 104008 (1999)","10.1103/PhysRevD.60.104008",,"gr-qc",,"  I present here a new algorithm to generate families of inhomogeneous massless
scalar field cosmologies. New spacetimes, having a single isometry, are
generated by breaking the homogeneity of massless scalar field $G_2$ models
along one direction. As an illustration of the technique I construct
cosmological models which in their late time limit represent perturbations in
the form of gravitational and scalar waves propagating on a non-static
inhomogeneous background. Several features of the obtained metrics are
discussed, such as their early and late time limits, structure of singularities
and physical interpretation.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:56:20 GMT""}]","2016-08-25"
"hep-ex/9812021","Siegfried Hahn","DELPHI Collaboration (Siegfried Hahn for the Collaboration)","The Strong Coupling: Measurements and Running","Plenary talk given at the Hadron Structure 98, Stara Lesna, Slovakia,
  7-13 Sep 98 (24 pp.)",,,"DELPHI 98-174 PHYS 813, WU B 98-39","hep-ex",,"  Measurements of \alpha_s from event shapes in e^{+} e^{-} annihilation are
discussed including recent determinations using experimentally optimized
scales, studies of theoretically motivated scale setting prescriptions, and
recently observed problems with predictions in Next to Leading Logarithmic
Approximation. Other recent precision measurements of \alpha_s are briefly
discussed. The relevance of power terms for the energy evolution of event shape
means and distributions is demonstrated. Finally a summary on the current
results on \alpha_s(M_Z) and its running is given.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 21:07:03 GMT""}]","2012-08-27"
"hep-lat/9812015","Jan Ambjorn","J. Ambjorn, P. Bialas and J. Jurkiewicz","Connected Correlators in Quantum Gravity","21 pages, 8 figures","JHEP 9902 (1999) 005","10.1088/1126-6708/1999/02/005","MPS-RR 1998-33, BI-TP 98/39, NBI-HE-98-23","hep-lat gr-qc hep-th",,"  We discuss the concept of connected, reparameterization invariant matter
correlators in quantum gravity. We analyze the effect of discretization in two
solvable cases: branched polymers and two-dimensional simplicial gravity. In
both cases the naively defined connected correlators for a fixed volume display
an anomalous behavior, which could be interpreted as a long-range order. We
suggest that this is in fact only a highly non-trivial finite-size effect and
propose an improved definition of the connected correlator, which reduces the
effect. Using this definition we illustrate the appearance of a long-range spin
order in the Ising model on a two-dimensional random lattice in an external
magnetic field $H$, when $H \to 0$ and $\beta=\beta_C$.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:00:27 GMT""}]","2009-10-31"
