"adap-org/9807004","Makoto Taiji","Makoto Taiji and Takashi Ikegami","Dynamics of Internal Models in Game Players","19 pages, 6 figures",,"10.1016/S0167-2789(99)00115-3","ISM-98-01","adap-org nlin.AO",,"  A new approach for the study of social games and communications is proposed.
Games are simulated between cognitive players who build the opponent's internal
model and decide their next strategy from predictions based on the model. In
this paper, internal models are constructed by the recurrent neural network
(RNN), and the iterated prisoner's dilemma game is performed. The RNN allows us
to express the internal model in a geometrical shape. The complicated
transients of actions are observed before the stable mutually defecting
equilibrium is reached. During the transients, the model shape also becomes
complicated and often experiences chaotic changes. These new chaotic dynamics
of internal models reflect the dynamical and high-dimensional rugged landscape
of the internal model space.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:12:03 GMT""}]","2009-10-30"
"cond-mat/9807312","Prabhakar Pradhan","Prabhakar Pradhan (UCLA)","Enhancement of coherent light amplification using Anderson localization","27 pages RevTex, 14 figures",,,,"cond-mat.dis-nn cond-mat.mes-hall",,"  Several aspects of interplay between Anderson localization and coherent
amplification/absorption, and aspect of mirrorless laser for a laser-active
(amplifying) disordered dielectric medium have been addressed. We have
calculated the statistics of the reflection coefficient and the associated
phase for a light wave reflected from a coherently amplifying/absorbing
one-dimensional disordered dielectric medium for different lengths, different
disorder strengths and different ""amplification""/""absorption"" parameters of the
disordered sample. Problems with modeling coherent amplification/absorption by
complex potential have been discussed. We have shown an alternative way to
model the coherent absorption. Several conceptual and physical aspect for
coherently amplifying/absorbing media with disorder also have been discussed.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 01:07:45 GMT""}]","2007-05-23"
"cond-mat/9807313","Wang","H. T. Nieh, Ping Sheng, Xiao-Bing Wang","Ward Identities for Interacting Electronic Systems","11 pages, 3 figures, to appear in Phys. Lett. A",,"10.1016/S0375-9601(98)00548-9","CASTU 98-012","cond-mat",,"  A Ward-Takahashi identity, as a consequence of gauge invariance and in a form
that relates self-energy to the two-particle Bethe-Salpeter scattering kernel,
was first derived by Vollhardt and W\""{o}lfle for a system of independent
particles moving in a random medium. This is generalized to a class of
interacting electronic systems in materials with or without random impurities,
following a procedure previously used for classical waves transport in
disordered media. This class of systems also possesses other symmetry
properties such as invariance under time translations and local spin rotations,
which imply local conservation laws for energy and spin current. They imply
additional Vollhardt-W\""{o}lfle type identities. We present non-perturbative
derivations of these identities, and consider the constraints they impose on
the relationship between the self-energy and the two-particle scattering
kernel.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 03:21:13 GMT""}]","2009-10-31"
"cond-mat/9807314","Holger J. Kaufmann","H. J. Kaufmann, O. V. Dolgov, E. K. H. Salje","The optical response of Ba_{1-x}K_xBiO_3: Evidence for an unusual
  coupling mechanism of superconductivity?","5 pages REVTex, 5 figures, 32 refs, accepted for publication in Phys.
  Rev. B",,"10.1103/PhysRevB.58.9479",,"cond-mat.supr-con",,"  We have analysed optical reflectivity data for Ba_{1-x}K_xBiO_3 in the
far-infrared region using Migdal-Eliashberg theory and found it inconsistent
with standard electron-phonon coupling: Whereas the superconducting state data
could be explained using moderate coupling, \lambda=0.7, the normal state
properties indicate \lambda \le 0.2. We have found that such behaviour could be
understood using a simple model consisting of weak standard electron-phonon
coupling plus weak coupling to an unspecified high energy excitation near 0.4
eV. This model is found to be in general agreement with the reflectivity data,
except for the predicted superconducting gap size. The additional high energy
excitation suggests that the dominant coupling mechanism in Ba_{1-x}K_xBiO_3 is
not standard electron-phonon.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 13:44:26 GMT""}]","2009-10-31"
"cond-mat/9807315","Toni Ramsak","P. Prelovsek (1 and 2), A. Ramsak (1 and 2), I. Sega (1) ((1) J.
  Stefan Institute, Ljubljana, Slovenia, (2) Faculty of Mathematics and
  Physics, University of Ljubljana, Ljubljana, Slovenia)","c-axis conductivity in the normal state of cuprate superconductors","4 pages, 4 Postscript figures, submitted to Phys.Rev.Lett, added a
  comparisson with in-plane conductivity, rescaled some figures","Phys. Rev. Lett. 81 (1998) 3745","10.1103/PhysRevLett.81.3745",,"cond-mat.str-el",,"  The c-axis optical conductivity and d.c. resistivity are calculated within
the t-J model assuming that the interlayer hopping is incoherent. Use is made
of numerical results for spectral functions recently obtained with the
finite-temperature Lanczos method for finite two-dimensional systems. In the
optimally doped regime we find an anomalous relaxation rate, suggesting a
common relaxation mechanism for intra- and interlayer transport. At low doping
a pseudo-gap opening in the density of states appears to be responsible for a
semimetallic-like behavior of d.c. resistivity.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 10:32:50 GMT""},{""version"":""v2"",""created"":""Wed, 19 Aug 1998 12:16:59 GMT""}]","2009-10-31"
"gr-qc/9807062","Mark E. Rupright","James W. York, Jr","Causal Propagation of Constraints and the Canonical Form of General
  Relativity","9 pages, no figures, Latex",,,"IFP-UNC-525","gr-qc",,"  Studies of new hyperbolic systems for the Einstein evolution equations show
that the ``slicing density'' $\alpha(t,x)$ can be freely specified while the
lapse $N = \alpha g^{1/2}$ cannot. Implementation of this small change in the
Arnowitt-Deser-Misner action principle leads to canonical equations that agree
with the Einstein equations whether or not the constraints are satisfied. The
constraint functions, independently of their values, then propagate according
to a first order symmetric hyperbolic system whose characteristic cone is the
light cone. This result follows from the twice-contracted Bianchi identity and
constitutes the central content of the constraint ``algebra'' in the canonical
formalism.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 17:10:19 GMT""}]","2012-08-27"
"gr-qc/9807063","Bahram Mashhoon","B. Mashhoon (University of Missouri-Columbia) and N. O. Santos (Cidade
  Universitaria)","Rotating Cylindrical Systems and Gravitomagnetism","LaTeX file, 22 pages, no figures, submitted to Phys. Rev. D","Annalen Phys. 9 (2000) 49-63","10.1002/(SICI)1521-3889(200001)9:1<49::AID-ANDP49>3.0.CO;2-2",,"gr-qc",,"  We discuss gravitomagnetism in connection with rotating cylindrical systems.
In particular, the gravitomagnetic clock effect is investigated for the
exterior vacuum field of an infinite rotating cylinder. The dependence of the
clock effect on the Weyl parameters of the stationary Lewis metric is
determined. We illustrate our results by means of the van Stockum spacetime.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 04:35:03 GMT""}]","2017-09-27"
"gr-qc/9807064","K. Srinivasan","K. Srinivasan and T. Padmanabhan","Facets of Tunneling: Particle production in external fields","22 pages, Revtex file",,,"IUCAA Preprint No: 29/98","gr-qc hep-th",,"  This paper presents a critical review of particle production in an uniform
electric field and Schwarzchild-like spacetimes. Both problems can be reduced
to solving an effective one-dimensional Schrodinger equation with a potential
barrier. In the electric field case, the potential is that of an inverted
oscillator -x^2 while in the case of Schwarchild-like spacetimes, the potential
is of the form -1/x^2 near the horizon. The transmission and reflection
coefficients can easily be obtained for both potentials. To describe particle
production, these coefficients have to be suitably interpreted. In the case of
the electric field, the standard Bogoliubov coefficients can be identified and
the standard gauge invariant result is recovered. However, for
Schwarzchild-like spacetimes, such a tunnelling interpretation appears to be
invalid. The Bogoliubov coefficients cannot be determined by using an
identification process similar to that invoked in the case of the electric
field. The reason for such a discrepancy appears to be that, in the tunnelling
method, the effective potential near the horizon is singular and symmetric. We
also provide a new and simple semi-classical method of obtaining Hawking's
result in the (t,r) co-ordinate system of the usual standard Schwarzchild
metric. We give a prescription whereby the singularity at the horizon can be
regularised with Hawking's result being recovered. This regularisation
prescription contains a fundamental asymmetry that renders both sides of the
horizon dissimilar. Finally, we attempt to interpret particle production by the
electric field as a tunnelling process between the two sectors of the Rindler
metric.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 06:40:49 GMT""}]","2016-08-31"
"gr-qc/9807065","Kirill Tuchin","Kirill Tuchin","On Black Hole Horizon Fluctuations","20 pages; LaTeX2e; to be published in the Nuclear Physics B; Section
  3 was revised and Appendix added","Nucl.Phys. B553 (1999) 333-352","10.1016/S0550-3213(99)00238-2",,"gr-qc",,"  A study of the high angular momentum particles 'atmosphere' near the
Schwarzschild black hole horizon suggested that strong gravitational
interactions occur at invariant distance of the order of $\sqrt[3]{M}$ (A.
Casher et. al). We present a generalization of this result to the Kerr-Newman
black hole case. It is shown that the larger charge and angular momentum black
hole bears, the larger invariant distance at which strong gravitational
interactions occur becomes. This invariant distance is of order
$\sqrt[3]{r_+^2/\hh}.$ This implies, that the Planckian structure of the
Hawking radiation of extreme black holes is completely broken.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 10:35:46 GMT""},{""version"":""v2"",""created"":""Thu, 15 Apr 1999 14:11:55 GMT""}]","2009-10-31"
"gr-qc/9807066","Valerio Faraoni","Valerio Faraoni","Does the non-minimal coupling of the scalar field improve or destroy
  inflation ?","7 pages, LaTeX, no figures, to appear in Proceedings of the 7th
  Canadian Conference on General Relativity and Relativistic Astrophysics
  (Calgary, Canada 1997)",,,,"gr-qc astro-ph",,"  The non-minimal coupling of a scalar field to the Ricci curvature in a curved
spacetime is unavoidable according to several authors. The coupling constant is
not a free parameter: the prescriptions for the value of the coupling constant
in specific scalar field and gravity theories (in particular in general
relativity) are studied. The results are applied to the most popular
inflationary scenarios of cosmology and their theoretical consistence is
analysed. Certain observational constraints on the coupling constant are also
discussed.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 10:42:28 GMT""}]","2007-05-23"
"gr-qc/9807067","A. Dolgov","A.D. Dolgov and I.D. Novikov","Superluminal propagation of light in gravitational field and non-causal
  signals","18 pages, 4 figures, Latex","Phys.Lett. B442 (1998) 82-89","10.1016/S0370-2693(98)01223-4","TAC-1998-018","gr-qc hep-th",,"  It has been found in several papers that, because of quantum corrections,
light front can propagate with superluminal velocity in gravitational fields
and even in flat space-time across two conducting plates. We show that, if this
is the case, closed time-like trajectories would be possible and, in
particular, in certain reference frames photons could return to their source of
origin before they were produced there, in contrast to the opposite claim made
in the literature.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 15:49:17 GMT""}]","2009-10-31"
"hep-ex/9807022","Prem P. Singh","Prem P Singh (University of Illinois at Urbana-Champaign) (for the CDF
  Collaboration)","Discovery of the B_c Meson",,,,"FERMILAB-Conf-98/209-E","hep-ex",,"  This paper reports on the discovery of the B_c meson.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 19:32:17 GMT""},{""version"":""v2"",""created"":""Thu, 23 Jul 1998 21:20:28 GMT""}]","2019-08-14"
"hep-ex/9807023","Tasevsky","Marek Tasevsky (Institute of Physics, Prague, Czech Republic)","Jets as a Source of Information about Photon Structure","6 pages, 6 figures. To appear in the Proceedings of the DIS98
  Workshop, Brussels. One reference added",,,"PRA-HEP/98-05","hep-ex",,"  A review of recent jet measurements of the photon structure from the H1
experiment at HERA. The scale and the virtuality dependence of the effective
parton distribution function of the photon is discussed.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 15:32:43 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jul 1998 23:25:05 GMT""}]","2007-05-23"
"hep-ex/9807024","Piero Zucchelli","The CHORUS Collaboration","New results on the numu-nutau oscillation search with the CHORUS
  detector","5 pages, two figures",,,,"hep-ex",,"  The present results on the $\numtonut$ oscillation search by the CHORUS
experiment at CERN are summarised. A fraction of the neutrino interactions
collected in 1994-1995-1996 by the CHORUS experiment has been analysed,
searching for $\nu_{\tau}$ charged current interactions followed by the $\tau$
lepton decay into a negative hadron or into a muon. A sample of 68,156 events
with an identified final state muon and 7,206 events without an identified muon
in the final state have been located in the emulsion target. Within the applied
cuts, no $\nu_{\tau}$ candidate has been found. This result leads to a 90% C.L.
limit $P(\numtonut)< 6.0\cdot 10^{-4}$ on the mixing probability.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 15:13:37 GMT""}]","2012-08-27"
"hep-lat/9807037","Paolo Provero","R. Fiore, F. Gliozzi, P. Provero","Critical correlators of three-dimensional gauge theories at finite
  temperature: exact results from universality","LATTICE98(hightemp)","Nucl.Phys.Proc.Suppl. 73 (1999) 429-431","10.1016/S0920-5632(99)85094-4","DFTT 42/98","hep-lat hep-th",,"  According to the Svetitsky-Yaffe conjecture, a three-dimensional gauge theory
undergoing a continuous deconfinement transition is in the same universality
class as a two-dimensional statistical model with order parameter taking values
in the center of the gauge group. This allows us to use conformal field theory
techniques to evaluate exactly various correlation functions at the critical
point. In particular, we show that the plaquette operator of the gauge theory
is mapped into the energy operator of the dimensionally reduced model. The
plaquette expectation value in presence of static sources for three-dimensional
SU(2) and SU(3) theories at the deconfinement temperature can be exactly
evaluated, providing some new insight about the structure of the color flux
tube in mesons and baryons.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:44:14 GMT""}]","2009-10-31"
"hep-ph/9807454",,"Antonio Riotto (CERN-TH)","Theories of Baryogenesis","LaTeX file, 90 pages, 12 figures. Lectures delivered at the Summer
  School in High Energy Physics and Cosmology, Trieste, Italy, 29 June -17 July
  1998. New references added",,,"CERN-TH/98-204","hep-ph astro-ph hep-th",,"  These lectures provide a pedagogical review of the present status of theories
explaining the observed baryon asymmetry of the Universe. Particular emphasis
is given on GUT baryogenesis and electroweak baryogenesis. The key issues, the
unresolved problems and the very recent developments, such as GUT baryogenesis
during preheating, are explained. Some exercises (and their solution) are also
provided.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:33:19 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jul 1998 07:05:26 GMT""}]","2007-05-23"
"hep-ph/9807467","Gabor Papp","Romuald A. Janik, Maciej A. Nowak, Gabor Papp and Ismail Zahed","Chiral Disorder and Diffusion of Light Quarks in the QCD Vacuum","9 pages in APPB sty (included). Invited talk by MAN at the Workshop
  on the Structure of Mesons, Baryons and Nuclei, Cracow, May 26-30, 1998","Acta Phys.Polon. B29 (1998) 3215-3224",,,"hep-ph cond-mat hep-lat nucl-th",,"  We give a pedagogical introduction to the concept that light quarks diffuse
in the QCD vacuum following the spontaneous breaking of chiral symmetry. By
analogy with disordered electrons in metals, we show that the diffusion
constant for light quarks in QCD is $D=2F_{\pi}^2/|\la\bar{q}q\to|$ which is
about 0.22 fm. We comment on the correspondence between the diffusive phase and
the chiral phase as described by chiral perturbation theory, as well as the
cross-over to the ergodic phase as described by random matrix theory. The
cross-over is identified with the Thouless energy $E_c=D/\sqrt{V_4}$ which is
the inverse diffusion time in an Euclidean four-volume $V_4$.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:14:32 GMT""}]","2007-05-23"
"hep-ph/9807468","K. Zuber","K. Zuber","Status and perspectives of neutrino oscillation searches","Inv. Plenary talk at 6th Symp. on Particles, Strings and Cosmology
  (PASCOS'98), Boston, March 1998. 8 pages, 5 eps-figures included, needs
  sprocl.sty",,,,"hep-ph",,"  The current status of neutrino oscillation searches with reactors and
accelerators is reviewed. An outlook, especially on future long baseline
neutrino oscillation projects, is given.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 17:51:02 GMT""}]","2007-05-23"
"hep-ph/9807469","Elizabeth H. Simmons","Bogdan A. Dobrescu and Elizabeth H. Simmons","Top-Bottom Splitting in Technicolor with Composite Scalars","21 pages","Phys. Rev. D 59, 015014 (1998)","10.1103/PhysRevD.59.015014","FERMI-PUB-98/225-T; BUHEP-98-16","hep-ph",,"  We present a model of dynamical electroweak symmetry breaking in which the
splitting between the top and bottom quark masses arises naturally. The W and Z
masses are produced by a minimal technicolor sector, the top quark mass is
given by the exchange of a weak-doublet technicolored scalar, and the other
quark and lepton masses are induced by the exchange of a weak-doublet
technicolor-singlet scalar. We show that, in the presence of the latter scalar,
the vacuum alignment is correct even in the case of SU(2) technicolor. The fit
of this model to the electroweak data gives an acceptable agreement
(chi-squared = 28 for 20 degrees of freedom). The mass hierarchy between the
standard fermions other than top can also be explained in terms of the
hierarchy of squared-masses of some additional scalars. We discuss various
possibilities for the compositeness of the scalars introduced here.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 21:54:05 GMT""}]","2016-08-25"
"hep-ph/9807470","Peter Kroll","Peter Kroll","Higher Fock states and power counting in exclusive charmonium decays","6 pages, amsmath","Acta Phys.Polon.B29:2789-2796,1998",,"WU B 98-15","hep-ph",,"  The role of higher Fock-state contributions to exclusive charmonium decays
will be discussed. It will be argued that the J/Psi (Psi') decays into
baryon-antibaryon pairs are dominated by the valence Fock-state contributions.
P-wave charmonium decays, on the other hand, receive strong contributions from
the c cbar g Fock states since the valence Fock-state contributions are
suppressed in these reactions. Numerical results for the decay widths of J/Psi
(Psi') into baryon-antibaryon and chi(J) into pairs of pseudoscalar mesons will
be also presented and compared to data.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 06:56:16 GMT""}]","2010-11-19"
"hep-ph/9807471","Peter Kroll","Peter Kroll","The Diquark Model for Exclusive Reactions","7 pages, 3 Postscript figures, amsmath, epsfig","Few Body Syst.Suppl.11:255-262,1999",,"WU B 98-22","hep-ph",,"  The present status of the diquark model for exclusive reactions at moderately
large momentum transfer is reviewed. That model is a variant of the
Brodsky-Lepage approach in which diquarks are considered as quasi-elementary
constituents of baryons. Recent applications of the diquark model, relevant to
high energy physics with electromagnetic probes, are discussed.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:08:15 GMT""}]","2011-04-15"
"hep-ph/9807472",,"V.S. Fadin, R. Fiore","The Generalized Non-forward BFKL Equation and the ``Bootstrap''
  Condition for the Gluon Reggeization in the NLLA","16 pages, LaTeX","Phys.Lett. B440 (1998) 359-366","10.1016/S0370-2693(98)01099-5","BUDKERINP/98-54, UNICAL-TP 98/3","hep-ph",,"  The generalization of the BFKL equation for the case of non-forward
scattering is considered. The kernel of the generalized equation in the
next-to-leading approximation is expressed in terms of the gluon Regge
trajectory and the effective vertices for particle production in Reggeon
collisions. The ``bootstrap'' equations for the gluon Reggeization are
presented.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:10:46 GMT""}]","2009-10-31"
"hep-ph/9807473","Dominik Schwarz","Dominik J. Schwarz (Univ. Frankfurt)","Cosmological and astrophysical aspects of finite-density QCD","13 pages, 4 figures. Invited talk at 'QCD at Finite Baryon Density',
  Bielefeld (Germany), April 1998","Nucl.Phys. A642 (1998) 336-348","10.1016/S0375-9474(98)00534-X",,"hep-ph astro-ph hep-th",,"  The different phases of QCD at finite temperature and density lead to
interesting effects in cosmology and astrophysics. In this work I review some
aspects of the cosmological QCD transition and of astrophysics at high baryon
density.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 09:31:57 GMT""}]","2009-10-31"
"hep-ph/9807474","Akaki Rusetsky","M. A. Ivanov (JINR, Dubna), V. E. Lyubovitskij (JINR, Dubna and Tomsk
  State University), E. Z. Lipartia (JINR, Dubna and IHEP, Tbilisi State
  University), A. G. Rusetsky (JINR, Dubna and IHEP, Tbilisi State University)","pi+pi- Atom in Chiral Theories","7 pages, LaTeX-file (dubna98.sty) Talk given at the International
  Workshop ""Hadronic Atoms and Posirtonium in the Standard Model"", 26-31 May
  1998, Dubna, Russia",,,,"hep-ph",,"  We review the existing theoretical approaches to the study of the observables
of hadronic atoms. In the relativistic perturbative approach based on the
Bethe-Salpeter equation and Chiral Perturbation Theory we derive the general
expression for the pi+pi- atom lifetime. The lowest-order correction to the
relativistic Deser-type formula for the atom width is predicted to be 6.1\pm
3.1 %.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 11:45:33 GMT""}]","2007-05-23"
"hep-ph/9807475",,"Giuseppe Battistoni, Paolo Lipari","Atmospheric neutrinos, long-baseline neutrino beams and the precise
  measurement of the neutrino oscillation parameters","Latex, 31 pages, 7 eps-figures. To appear in the proceedings of the
  1998 'Vulcano workshop on Frontier Objects in Astrophysics and Particle
  Physics'",,,,"hep-ph",,"  Measurements of atmospheric neutrinos by Super-Kamiokande an other detectors
have given evidence for the existence of neutrino oscillations with large
mixing and $\Delta m^2$ in the range 10^{-3}-10^{-2} eV^2. In this work we
discuss critically some of the possible experimental strategies to confirm this
result and determine more accurately the neutrino oscillation parameters. A
possible method is the development of long-baseline accelerator neutrino beams.
The accelerator beams can have higher intensity and higher average energy than
the atmospheric flux, and if (\nu_\mu \leftrightarrow \nu_\tau) oscillations
are indeed the cause of the atmospheric neutrino anomaly, they can produce a
measurable rate of $\tau$ leptons for most (but not all) of the values of the
oscillation parameters that are a solution to the atmospheric data. On the
other hand measurements of atmospheric neutrinos with large statistics and/or
better experimental resolutions, can also provide convincing evidence for
oscillations, thanks to unambiguous detectable effects on the energy, zenith
angle and L/E_\nu distributions of the events. The study of these effects can
provide a precise determination of the oscillations parameters. The range of
L/E_\nu available for atmospheric neutrinos is much larger than in
long-baseline accelerator experiments, and the sensitivity extends to lower
values of \Delta m^2.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 12:57:16 GMT""}]","2007-05-23"
"hep-ph/9807476","Helmut Schlattl","Helmut Schlattl, Achim Weiss (MPA Garching), Georg Raffelt (MPP
  Muenchen)","Helioseismological constraint on solar axion emission","6 pages, 7 figures, RevTeX, submitted to Astrop. Phys, minor changes
  in figures and text","Astropart.Phys.10:353-359,1999","10.1016/S0927-6505(98)00063-2",,"hep-ph astro-ph",,"  Helioseismological sound-speed profiles severely constrain possible
deviations from standard solar models, allowing us to derive new limits on
anomalous solar energy losses by the Primakoff emission of axions. For an
axion-photon coupling $g_{a\gamma} < 5 x 10^(-10) GeV^(-1)$ the solar model is
almost indistinguishable from the standard case, while $g_{a\gamma} > 10 x
10^(-10) GeV^(-1)$ is probably excluded, corresponding to an axion luminosity
of about $0.20 L_(sun)$. This constraint on $g_{a\gamma}$ is much weaker than
the well-known globular-cluster limit, but about a factor of 3 more restrictive
than previous solar limits. Our result is primarily of interest to the large
number of current or proposed search experiments for solar axions because our
limit defines the maximum g_{a\gamma}$ for which it is self-consistent to use a
standard solar model to calculate the axion luminosity.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 13:03:08 GMT""},{""version"":""v2"",""created"":""Thu, 3 Dec 1998 17:10:40 GMT""}]","2011-05-23"
"hep-ph/9807477","Lev N. Lipatov","L.N. Lipatov","Duality of Reggeon Interactions in QCD","Talk given at DIS 98, Brussels, April 1998, 5 pages, Latex, typos
  corrected, one reference added",,"10.1016/S0370-1573(99)00062-9",,"hep-ph",,"  The duality symmetry of the hamiltonian and integrals of motion for reggeon
interactions in the multi-colour QCD is formulated as an integral equation for
the wave function of compound states of reggeized gluons, which together with
the property of holomorphic factorization allows one to reduce the Odderon
problem in QCD to the solution of the one-dimensional Schroedinger equation.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 13:57:26 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jul 1998 15:48:36 GMT""}]","2009-10-31"
"hep-ph/9807478","Sasa Prelovsek","S. Prelovsek, S. Fajfer and P. Singer","Can FCNC transition $c\to ul^+l^-$ be seen in $D\to Vl^+l^-$ decays?","3 pages, latex, 3 figures, Talk given by S. Prelovsek at the
  Hyperons, Charm and Beauty Hadrons, Genova, Italy, 30 June -3 July 1998, to
  appear as proceedings in Nucl. Phys. B","Nucl.Phys.Proc.Suppl.75B:141-143,1999","10.1016/S0920-5632(99)00224-8","IJS-TP-98/17","hep-ph",,"  The decays $D\to Vl^+l^-$ present in principle the opportunity to observe the
short distance FCNC transition $c\to ul^+l^-$, which is sensitive to the
physics beyond the Standard Model. We analyze the $D \to V l^+ l^- $ decays
within the Standard Model, where in addition to the short distance dynamics
also the long distance dynamics is present. The short distance contribution due
to $c\to ul^+l^-$ transition, which is present only in the Cabibbo suppressed
decays, is found to be three orders of magnitude smaller than the long distance
contribution. The branching ratios well above $10^{-7}$ for Cabibbo suppressed
decays could signal new physics. The most frequent decays are the Cabibbo
allowed decays $D_s^+\to\rho^+\mu^+\mu^-$ and $D^0\to\bar K^{*0}\mu^+\mu^-$,
which are expected at the branching ratios of $3\cdot 10^{-5}$ and $1.7\cdot
10^{-6}$, respectively. These rates are not much lower than the present
experimental upper limit.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 14:06:02 GMT""}]","2009-10-31"
"hep-ph/9807480","Bernd Kniehl","A.A. Barrientos Bendezu, B.A. Kniehl (MPI Munich)","W^+- H^-+ Associated Production at the Large Hadron Collider","16 pages (Latex), 8 figures (Postscript)","Phys.Rev.D59:015009,1999","10.1103/PhysRevD.59.015009","MPI/PhT/98-054","hep-ph hep-ex",,"  We study the production of a charged Higgs boson in association with a W
boson at the CERN Large Hadron Collider in the context of the minimal
supersymmetric extension of the standard model. This production mechanism is
particularly promising if the charged Higgs boson is too heavy to be generated
by top-quark decay. We compare the contributions due to b b-bar annihilation at
the tree level and gg fusion, which proceeds at one loop. Apart from the total
cross section, we also consider distributions in transverse momentum and
rapidity. We also assess the viability of W^+- H^-+ associated production at
the Fermilab Tevatron after the installation of the Main Injector and the
Recycler.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 15:50:53 GMT""}]","2008-11-26"
"hep-th/9807171","Riccardo Argurio","Riccardo Argurio","Brane Physics in M-theory","206 pages, Latex (three times), no figures. PhD thesis (Universite
  Libre de Bruxelles). One reference modified",,,"ULB-TH-98/15","hep-th",,"  The thesis begins with an introduction to M-theory (at a graduate student's
level), starting from perturbative string theory and proceeding to dualities,
D-branes and finally Matrix theory. The following chapter treats, in a
self-contained way, of general classical p-brane solutions. Black and extremal
branes are reviewed, along with their semi-classical thermodynamics. We then
focus on intersecting extremal branes, the intersection rules being derived
both with and without the explicit use of supersymmetry. The last three
chapters comprise more advanced aspects of brane physics, such as the dynamics
of open branes, the little theories on the world-volume of branes and how the
four dimensional Schwarzschild black hole can be mapped to an extremal
configuration of branes, thus allowing for a statistical interpretation of its
entropy. The original results were already reported in hep-th/9701042,
hep-th/9704190, hep-th/9710027 and hep-th/9801053.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:38:56 GMT""},{""version"":""v2"",""created"":""Thu, 3 Sep 1998 15:52:44 GMT""}]","2007-05-23"
"hep-th/9807172","Carlos Roberto Pena Ruano","A. Gonzalez-Arroyo, C. Pena","Nahm Transformation on the Lattice","24 pages, 5 eps figures. Minor changes","JHEP 9809:013,1998","10.1088/1126-6708/1998/09/013","FTUAM-98-13, IFT-UAM/CSIC-98-10","hep-th hep-lat",,"  By studying zero modes of the Dirac equation on the lattice, we explicitly
construct the Nahm transform of some topologically non-trivial gauge field
configurations.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 18:04:53 GMT""},{""version"":""v2"",""created"":""Tue, 8 Sep 1998 17:05:44 GMT""}]","2010-02-03"
